,Modified_gpt-3.5-turbo_of_CV_Modelgpt-3.5-turbo
435,"
 • Acquired understanding of software development methodologies and project management plans and registers
• Familiarity with Scrum and Kanban frameworks
• Proficient in Jira for tracking progress and writing user stories
• Experience with Miro app for creating boards and GanttPro for project planning and coordination
• Established friendly environment and trust with team members
• Demonstrated problem-solving, critical thinking, and leadership skills
• Educational project 'Mandruy' focused on developing an app similar to 'Tripadvisor' for Ukraine's places of interest
• Implemented Agile methodology, produced Lean Canvas, Mind Map, Outline, and prototypes
• Utilized Kanban board in Jira Software to monitor project progress and created Road Map and Gantt Chart
• Pitched project and received valuable feedback from mentors at the end of course
• Seeking opportunity for further development and continuous growth in upcoming IT company to work on interesting projects with talented and creative individuals
• Motivated to achieve goals and contribute effectively to team and company success.
"
436,"
 Education program:
- Skilled in project management including project initiation, estimation, requirements development, budgeting, timeline management, and release management.
- Proficient in communication with developers to develop technical requirements, define project team roles, create product roadmap, evaluate tasks and releases, document product requirements, analyze events, and utilize agile frameworks.
- Experienced in people management including recruitment, onboarding, performance reviews, motivation, conflict resolution, delegation, and termination.

First short-term project experience:
- Analyzed products and identified organizational gaps.
- Collaborated with CEO to develop business strategy, goals, milestones, and work plan.
- Led company rebranding by creating new concept and implementation.
- Designed and launched fully functional website on Tilda with CRM integration.
- Conducted marketing research to identify target audience, analyze competition, and develop brand voice.
- Assisted in recruitment of targeting specialist.
"
437,"
 I have 12 years of experience in Sales (B2C and B2B) and 3 years in Business Development. In my role, I have solved problems between companies and clients, utilizing my strong negotiation skills. I am goal-oriented and constantly strive to improve business processes and enhance my skills. I have worked closely with Project Managers and Product owners, leading projects and motivating team members. I have also taken recent Project Management courses to further develop my skills in that area.
"
438,"
 Certificates:

Project/Product Management:
- Foundations of Project Management by Google.
- Agile with Atlassian Jira.
- Product Management at Kyiv Academy of Media Arts.

Web Design:
- Web-Design. Beginning at Projector.
- Front-End. Beginning at Projector.

Experience:

Project Management:
- Assisted in assembling project plans and setting tasks for 2+ projects simultaneously.
- Handled internal and external communications, organized and facilitated team meetings.
- Researched and implemented tools for efficient project performance, predominantly Agile frameworks.

Web/Graphic Design:
- Created wireframes, visual mockups, and prototypes for websites.
- Utilized research to implement specific web design solutions.
- Designed and developed websites on platforms such as Tilda and Wix, as well as email templates.
- Led full-cycle branding projects for events including logos, posters, banners, brochures, and social media visuals.

Looking for a new challenge and development opportunities to maximize potential in both soft and hard skills.
"
439,"
 My experience as a Project Manager in the construction industry has led me to transition into Project Management in IT due to the war in Ukraine. Recently, I have completed online courses at Udemy to familiarize myself with essential software used in IT development such as Jira, Confluence, and Slack. I have a fundamental understanding of Agile methodologies (Scrum, Kanban) and Waterfall. While I may lack technical knowledge, I am confident that I can quickly grasp the basics of IT product development by working on your projects.

My work in project management has equipped me with valuable soft skills including project administration (reporting, progress analysis, scheduling, budget monitoring, staff recruitment), effective business communication with clients and team members, excellent time management, and prioritization skills. I have a strong sense of responsibility and willingness to take ownership of tasks, demonstrated by my successful completion of numerous projects with minimal job changes throughout my career.

As a refugee from the Russia invasion in Ukraine, I now have the time to dedicate myself to projects. I am eager to showcase my potential as a Junior Project Manager or Scrum Master in an online interview.
"
440,"
 Education:
- Completed one semester of basic marketing coursework
- Passed English college exam
- Successfully completed university semester with extra science work

Experience:
- Volunteered with local Ukrainians in England who were also forced to leave their homes
- Took on the role of shift leader at a shelter for internally displaced persons in Lviv
- Implemented a resource accounting system, consistent schedule, and reorganized storage at the shelter
- Communicated effectively with higher management to improve daily processes and impact the community

Skills:
- Strong time management skills
- Ability to adapt and thrive in challenging environments
- Excellent communication and leadership abilities
- Passion for helping others and making a difference
"
441,"
 - Experience in project management, including expanding functionality, improving quality, participating in construction, and launching of monetization systems
- Completed Project Management course at Hillel IT-school in October 2021
- Previous experience as an economist in a pharmaceutical company, gaining skills in working with big data, attention to detail, and developing analytical skills
- Proficient in Excel and 1C
- Sales representative in FMCG company, skilled in building proper communication with stakeholders, applying sales techniques, and working with objections
- Worked on a startup online platform for freight, focusing on improving the quality of the mobile application, testing, attracting users, and optimizing business processes
- R&D manager for a Fintech company, responsible for analyzing market innovations and implementing user verification through Bank ID system
- Familiar with software development methodologies such as Scrum, Kanban, Waterflou, RUP and tools like Jira, Trello, Confluence, MS Project
- Competencies in project development cost calculation, creating specifications, high-level requirements, and project risk management
- Skilled in implementing well-organized systems of motivation and incentives for work
- Strong focus on acquiring new knowledge and experience
- Effective in teamwork collaboration
"
442,"
 Coordinator of Volunteers at Publishers' Forum in Lviv:
- Coordinated volunteers for event
- Created registration form
- Conducted familiarization meetings
- Distributed volunteers to various activities
- Completed preliminary preparations

Travel Manager:
- Provided visa support for UK, USA, Canada
- Developed tours for bus groups, children, and individual travelers
- Booked tickets, hotels, excursions, and transfers
- Updated website information on hotels and tours
- Conducted interviews for tourist group guides
- Searched for buses for touristic transportation

Education:
- Graduated from IT project management course in top 20
- Completed pet project with presentation
- Google project management certification
- Currently working on developing hard skills

Goal:
- Looking to further develop in project management
- Strong soft skills with ongoing focus on hard skills.
"
443,"
 Experience in successfully implementing projects in sports, particularly in organizing multisport races, orienteering championships, and snowboard instructor schools. Proficient in Java and Android programming, obtained through EPAM courses and online study. Extensive experience working with people and groups as an instructor in various outdoor activities. Actively pursue self-improvement through reading books and attending courses on team management and psychology. Seeking a position in management and project implementation to further develop skills and contribute to a company's success. CV with additional event details and reviews available upon request.
"
444,"
 Responsibilities and Experiences:
- Developed distribution on assigned territory (Europe)
- Calculated product costs
- Conducted negotiations with distributors and producers of confectionery, bakery, and ice-cream products
- Prepared export documents
- Delivered sales results to meet financial targets
- Participated in exhibitions
- Planned production 1-6 months
- Responsible for development and launch of new products
- Prepared annual sales forecasts

Key Achievements:
- 8 years in B2B sales (EU, UK, MENA, and USA markets)
- Fluent in English
- Experience starting a business from scratch
- Increased sales volume up to 20% per year in previous job

Ambition:
To work in a successful company in international sales, offering skills and experience to benefit the company.
"
445,"
 - Led strategy implementation resulting in a 30% increase in company income
- Oversaw company growth, ergonomic reconstruction, equipment updates, recruitment, and rebranding
- Organized team training and development 
- 12+ years of project management experience in the medical field
- Skilled in project planning, organization, leadership, timeline and budget control
- Proficient in team motivation and client communication
- Managed team development and staff selection
- Seeking growth opportunities and skill realization in a new position as a director manager in the medical field
"
446,"
 Functional responsibilities:
- Team management of 10 people
- Estimate and schedule work in a store to achieve business goals
- Hiring, adaptation, motivation, and supporting of staff
- Maintain a high level of customer service
- Ensure and control the execution of KPI in store
- Manage reports and necessary documentation
- Resolve conflict situations between team members and customers

Achievements:
- Formed an effective team where I raised two managers
- Improved workflows in the store
- Increased KPIs against the previous year (conversion, complex, sales volume)
- Won the ""Best Manager 2020"" award with the lowest percentage of dismissals for the year

Previous Work Experience:
Store Manager at MD Fashion
- Facilitated the work of the team, set up processes, identified weaknesses, and calculated performance indicators
- Developed valuable skills in leadership, communication, organization, and conflict management

Education:
EPAM Project Management School
- Acquired knowledge and skills in project management

Pet Project (Online Store)
- Gained experience in the operation of an online store

Objective:
Utilize my leadership skills, communication abilities, and project management knowledge to help your company achieve its goals.
"
447,"
 Project Manager 

Experience:
Freelance, Poland 
May 2019 - Present 

Responsibilities:
- SMM
- Organizing the launch of info products 
- Recruitment of personnel to the team
- Control and organization of work
- Reporting

Achievements:
- Launched 5 online courses from 0
- Helped clients achieve results in a short period of time

Financial Consultant 
May 2017 - Apr 2019 
Forward Bank, Zhytomyr 

Responsibilities:
- Meetings with clients
- Drawing up financial plans for clients
- Condition analysis, loans, insurance policies

Achievements:
- Influenced the increase in turnover of the loan issuing company
- Conducted training for interns for the position of financial consultant.
"
448,"
 I created a social project called ''CareerBridge Ukraine'' which was sold to NDT-Group, becoming a commercial recruiting website for Ukrainian refugees.

Responsibilities:
- Developed and maintained project plans, including task assignments, resource allocation, and progress tracking using project management tools and methodologies.
- Monitored and controlled project risks, issues, and dependencies, implementing proactive measures to mitigate potential disruptions and ensure project success.
- Conducted comprehensive project assessments, risk analyses, and feasibility studies to identify potential challenges and develop mitigation strategies.
- Utilized project management software such as JIRA, Confluence, Slack, and Microsoft Project to track tasks, monitor progress, and facilitate communication and collaboration among team members.
- Worked closely with cross-functional teams comprising individuals from different backgrounds and areas of expertise.
"
449,"
 I have experience as a Data Analyst at Accenture (EMEA Poland, Warsaw), where I provided back-end support for global client inquiries, managed data accuracy and integrity, and met tight deadlines while maintaining high-quality standards. I improved my English proficiency for communicating complex data findings to a global audience and led a training and development project to showcase my leadership and project management potential. I am seeking a project manager role to enhance my leadership skills, deepen project management knowledge, and excel in budget and resource management, problem-solving, risk management, and conflict resolution.
"
450,"
 - Skilled Project Coordinator with a proven track record of developing project concepts from scratch and obtaining approval for development
- Experienced in building strong communication among stakeholders in diverse projects
- Proficient in timely reporting, regular syncs, and status updates to ensure all stakeholders are informed
- Previous experience at WePlay Esports as a Project Coordinator involved in two key projects 
- Successfully managed integration of tournament platform to Senet (SaaS for PC clubs), including team hiring, communication between companies, project development reports, task tracking, and stakeholder management 
- Contributed to the success of Organization.gg startup, handling stakeholder communication, meeting minutes, requests processing, tasks tracking, and building strong communication between organizations 
- Prior experience in Esports startup focused on offline locations, leagues, and education, with additional background in the football sphere 
- Seeking a Project Manager/Coordinator role in IT to continue developing project management skills
- Open to new challenges and opportunities, preferably remote positions but willing to consider all options
"
451,"
 - Optimized and standardized the network infrastructure of the retail network within a short timeframe.
- Led the transition of the company's retail stores from analog to IP video surveillance in the Ukraine region.
- Contributed to the deployment of a server cluster for centralized monitoring of video surveillance in the CIS region.
- Implemented a purchasing power analytics system.
- Resolved technical issues for office and warehouse users within SLA guidelines.
- Assisted in creating technical specifications and manuals.
- Troubleshooted system services and hardware problems.
- Provided project support for optimizing retail equipment in the CIS region.
- Supported remote users as an engineer.
- Administered network using Cisco equipment.
- Configured and connected client networks.
- Serviced and configured client equipment.
- Enhanced company network infrastructure.
- Integrated company products into client networks.
"
452,"
 Skills:
-English B2
-Scrum
-Agile
-Team management
-Project planning
-Excel
-Trello/Jira
-Good communication skills

Work Experience:
2021 (5 months) Freelance UI/UX Designer
-Designed business card websites, landing pages, animations, and advertising banners.

2022 (4 months) Sales Manager at Advica Visa Center (CUAET)
-Communicated with clients and provided advice on the Canadian CUAET visa.

2022 (3 months) Deputy Chief Project Manager at Nexus RP Project
-Communicated with clients, created tasks for developers, checked product for bugs and defects, maintained Excel spreadsheets, managed roadmap for developers under the guidance of a senior PM manager.

Education:
-Studying secondary education in computer science and mathematics at Vasyl Stefanyk National University.
-Courses on Prometeus platform: ""Fundamentals of Project Management,"" ""Fundamentals of Team and Project Management in IT. Preparatory""

About Me:
-Open to communication and always ready to help.
-Hard work ethic leading to goal achievement.
-Open to criticism for personal growth.
-Enjoys discovering new ideas and opportunities, eager to participate in new and interesting projects.
"
453,"
 Work Experience:
- Managed teams
- Conducted presentations
- Conducted negotiations with stakeholders
- Managed processes
- Formed strategies
- Created products
- Analyzed the data
- Analyzed the market and consumer
- Controlled the budget

Skills:
- Project management
- Product management
- Understanding of software development architecture
- Project management methodology Agile, Scrum, Kanban, Waterfall
- Understanding MVP creation process
- Knowledge of main metrics for tracking product or advertising effectiveness

Looking for a position in project management or marketing where I can apply my experience and skills, as well as continue to learn and grow within the company. Aim to eventually transition into a product management role combining marketing and management expertise.
"
454,"
 New Standard company
Period: October 2021- November 2022
Responsibilities:
- Worked with a team of 20 people
- Provided business reports
- Created various project presentations
- Took an active part in communication with clients
- Signed contracts
- Resolved issues quickly
- Offered and implemented different solutions for the team
- Attracted IBM's Asian cluster business to work with the company
"
455,"
 Skills:
- Contract negotiations
- Purchase negotiations
- Project management
- Contract execution
- Strategic planning
- Operations management
- Market forecasting
- Knowledge of AGILE/Scrum
- MS Office/JIRA/Confluence

November 2020 - Present
Ecentria Solutions Odessa
Job Title: Supply Chain Specialist (Remote)

May 2018 - November 2020
Maternity Leave - Continued self-education, improvement of English, basic learning of project management, Agile, and Scrum methodologies

February 22, 2017 - May 2018
PJSC “Vinnnitsa Dairy Plant “ROSHEN”
Job Title: IMEX Manager
- Export of dairy products to EU and worldwide
- Sales contracts execution, logistics and delivery organization, loading, and strategic planning
- Export execution operations, paperwork for customs procedures, and documentary support for customers
- Payments control
- Organization of attending international exhibitions

October 1, 2010 - February 1, 2017
BioChemInvest, Vinnitsa region, Ukraine
Job Title: Senior Procurement Manager
1. Import supply chain:
- Raw material purchases for production, searching for suppliers, business correspondence, requests for quotations, signing sales-purchase contracts (Europe, South America, Asia)
- Supply Chain management, transport organization, and delivery process control
- Direct contacts with producers to decrease net costs of raw materials/final product
- Export operations paperwork
2. Preparing preliminary plan of supply chain considering remaining stock and planned sales of final product
3. Searching for suppliers, service companies, international multimodal forwarders, contacts with terminals and shipping lines in Ukrainian ports
4. Contact and cooperation with tanker freight brokers, chartering bulk shipments with handling in marine ports of Ukraine.
"
456,"
 Became the leader of the southern region in 2021 in the Silpo chain of stores, achieving a plan for the sale of 102% and entering the acceptable loss indicator for the store. Achieved a turnover rate of 36.6% and reached 100% availability target. Completed 95% of Mystery Guest store inspections. Currently leading two projects, developing budgets, analyzing risks, and creating technical specifications for designers and copywriters. Communicating with lawyers and applying for grants. Overseeing operational processes and controlling employee work hours. Implementing new projects such as cash issuance at the checkout, product delivery to stores, delivery process improvements, and assortment proposals. Launched the store's first food delivery project (Darckitchen). Trained new employees for managerial roles. Managed a staff of 120. Seeking a position as a project manager/project coordinator in an IT organization, leveraging experience in product company management and coordination. Ready to apply expertise for the benefit of a new company.
"
457,"
 EXPERIENCE
Sales Support Manager (Industrial company, European market) July, 2018 – Present
Interpipe Group, Ukraine
- Support communication with clients and relationships;
- Documentary maintenance of sales;
- Providing the updates for client through status reporting;
- Problems and conflict resolving;
- Meetings and negotiations with customers;
- Controlling the transactions from clients.

KNOWLEDGE AND SKILLS
- Familiar with the SDLC concepts;
- Knowledge of the methodologies such as Agile (Scrum, Kanban), Waterfall etc.;
- Usage of issue tracking managers JIRA, Confluence, Trello;
- Understanding the fundamentals of Software Development processes; 
- Experience conducting the meetings and negotiations with customers.

OBJECTIVE
The start of my career in management began four years ago in sales where I could obtain a huge experience of working with an international market for this time. And for now, I want to redirect my path to Project Management where I would like to bring my expertise, knowledge and skills in this new sphere. Also, I recently accomplished the certified course of Project Management where I successfully protected my own project and received more practical stuff during education which I regard as a good contribution to my self-education. I am now on the active search for employment in IT-sector for the position of Junior Project Manager and ready for review of interesting propositions. 

COURSES completed
Mar 2022
- Scrum Fundamentals Certified course
SCRUMstudy - Accreditation Body for Scrum and Agile;

Dec 2021 – Feb 2022
- Project Management course
Hillel IT School, Ukraine;
"
458,"
 •	October 2015 – June 2021 - Project Manager at Cedra Interior Design Studio (completed over 35 projects)
          Responsibilities:
         - Procurement and customer communication
         - Drafting specifications
         - Estimating deadlines
         - Planning and managing projects, overseeing designers and contractors
         - Customer communication, issue resolution coordination
         - Developing business processes, contracts, and technology maps
         - Quality control, compliance with terms of reference, and drawing review

•	Managed investment properties in real estate, from selection and problem-solving to successful sale
•	Result-oriented thinker with strong analytical and critical thinking skills, effective communication abilities, and a focus on organization and completion of tasks 
•	Skilled in software development lifecycle, risk estimation, and problem prediction 
•	Proficient in Agile methodologies (Scrum, Kanban) and previous experience with Scrum planning
•	Understanding of various types of testing, with particular knowledge in manual QA testing
•	Graduated from PLLUG Community - QA (Manual) course and EPAM – Software Functional Testing course
•	Fluent in English and Russian
•	Completed a Master’s degree in ""Architecture of Buildings and Structures"" from National University ""Lviv Polytechnic""
•	Completed business school courses on ""Business Efficiency"" and small and medium enterprises management.
"
459,"
 October 2015 – September 2018 
Customer Support in IT project Welocal Network, specialist in social integration and promotion 
Official duties:
⁃ Communication with users and partners. 
⁃ Drawing up a technical task and forming a plan for the implementation of current tasks for the company's advertising division, contractors and developers, monitoring the implementation, making changes and accepting the tasks performed. 
⁃ Writing of training and information materials on blockchain technology and cryptocurrencies, instructions, scripts for commercials, and developing various strategies for promoting the product to the market. 
⁃ Development of basic presentations and information materials for users of blockchain platforms.

September 2010 –December 2013 
Informational and publishing company «NTMT», Kharkov, advertising manager, editor, proofreader 
Official duties: 
⁃ Work with standard office documentation (contracts, reports, acts of acceptance/transfer of work, invoices, accounting documents, etc.). 
⁃ Preparation and organization of advertising campaigns. 
⁃ Organization and holding of exhibitions. 
⁃ Preparation of texts of commercial offers and letters for distribution. 
⁃ Work with authors, customers, and contractors, creating a database of potential customers and making «cold calls».

March 2009 – Present 
Freelance copywriter, editor, and administrator of sites Extensive practical experience in the sphere of writing unique and optimized content, selling, and information texts of various subjects.
Official duties: 
⁃ Search and collection of requirements for the project, analysis of similar cases to understand the needs of the customer/buyer. 
⁃ Proper setting of goals for contractors. 
⁃ Drawing up descriptions for goods and services. 
⁃ Checking all texts for uniqueness and editing. 
⁃ Direct communication with SEO specialists and customers.
"
460,"
 Experience:
- 2.5 years of experience working with projects in retail and digital marketing, providing effective cooperation and quality services to partners and clients.
- Managed processes in various projects, dealing with internal and external stakeholders, as well as cross-functional teams.

Project-Related Experience:
- October 2021– April 2022: Project Account Manager at Svit Soft LLC
- September 2019- July 2021: Project Specialist at the Department of Farm Products (Lavka Tradytsii project) in Silpo Food LLC

Main Responsibilities:
- Conducted negotiations and concluded contracts
- Planned, assessed risks, and budgeted for projects
- Worked with various documents such as contracts, agreements, specifications, acts, and invoices
- Interacted with team for task setting, coordination, efficiency analysis, and problem resolution
- Provided customer support and generated reports
- Formed budgets and provided material and technical support to the team

Job Preference:
- Open to job offers related to project management or working with people (PM assistant)
- Interested in working as a Project Manager in the future but willing to start with an internship to gain experience and perform all tasks effectively.
"
461,"
 OFFICE MANAGER – TRADUX®

- Quality and Performance Control
- Reports
- Handling Emails & Clients Queries
- Documents modification using Word, PowerPoint, Excel (Mostly word)
- Office management
- Coordinating with other region teams relating to documentation, forms
- Coordinating with Branches
- Timely escalation of an issue if any to team leader & project manager
- Productivity & process improvement
- Receives, date stamps, and sorts mail for the Classification Department
- Answers telephone calls professionally and provides customer service
- Met incoming customers with a professional approach and provided friendly, knowledgeable assistance.
- Responsible for monthly financial reports.
- Handling day to day activities

BACK OFFICE STAGE – ROZONA SERVICIO DE PREVENCIÓN

- Check the status of contracts
- The Data Entry activity, insertion, and management of company databases and personal data.
- Administrative support for all data entry on daily basis with MS Excel.
"
462,"
 - Experience in website code writing for a business and completing an internship at InternetDevels
- Strong communication skills gained through hosting English-language shows for foreigners in Bulgaria
- Proficient in writing code for business websites using Python, with prior experience in copywriting, project planning, time management, and negotiations
- Currently pursuing a degree in Applied Linguistics, with a focus on writing posts and creating content for social networks using Canva
- Skilled in communication with people, adept at time management and work planning to meet deadlines
- Seeking opportunities in IT recruitment, HR management, sales, account management, and project management roles.
"
463,"
 Optimistic and resilient person with experience in project management and coordination. Working in highly competitive and international environments helped me develop a skill of ensuring effective collaboration and top performance of various kinds of employees. Years of operating in ever-changing areas sharpened my skill to adapt and learn fast. 

04/2019 - present
IT Project manager/Business Analyst
Whiteport AB, Stockholm  
Responsibilities:
• Project management and task tracking of multiple projects concurrently. 
• Project estimations and report to stakeholders.
• Specification and validation of business needs of the clients.
• Working with Agile methodologies.
• Communication and negotiations with clients.
• Keep track and brainstorm for potential improvements in product and presenting them to the client.
• Creating Facebook messenger bots

As a result: 
• Improved quality of communication with clients which increased the amount of satisfied customers and team members by 25%
• More than 50% increase in the speed of product delivery 

05/2018 – 04/2019
Project manager 
Kyiv branch of cryptocurrency trading company (NDA)
Responsibilities:
• Hiring and training key position employees to work with international clients. 
• Resource planning and budget control.
• Maintaining high level productivity.
• Operational management.
• Strategic management.
• Estimating time and costs for new implementing changes.
• Risk analysis and management.
• Strategic influencing and business partnering.

As a result: 
• Increased revenue by 600% 
• Decreased operational costs by 5%
• Organized a fully functioning and self-sufficient working environment

Looking for a company to devote myself to and build long-lasting mutually beneficial relationships.
"
464,"
 - Experience in optimizing business processes by implementing an automated accounting system for a network of retail outlets
- Proficient in organization's document flow optimization
- Successful expansion of contractor base from 2 to 10, creating a strong base
- Skilled in creating corporate style, brand book, and defining mission and goals
- Experienced in organizing events such as trainings and conferences
- Developed organization's standards and brand book
- Expertise in preparing concept notes, commercial proposals, and participating in grant application process
- Effective project management including planning, implementation, monitoring, reporting, and results review
- Hands-on experience in projects such as tubing hill and amusement park
- Proficient in ensuring full cycle branded products 
- Strong communication skills with contractors, overseeing payments and deliveries
- Coordination of end-to-end supply chain from customer request to delivery
- Able to prepare detailed project reports

Looking for opportunities in project management, targeting roles such as junior specialist or assistant project manager.
"
465,"
 •	Languages: Russian - fluent, English - Upper-Intermediate.
•	Participant of LvivCSS Conference, Lviv 2018
•	Completed the training course “CSS - The Complete Guide (incl. Flexbox, Grid & Sass)”, Coursehunters 2018
•	Participant of QA Fest Testing Conference, Kyiv 2016
•	Completed the training course “Psychology of Stress and Ways to Overcome It”, Prometheus 2016
• Organized and coordinated team work to establish collaborations with LA Times and The San Diego Union-Tribune through SolidOpinion.
• Participated in design and requirements gathering for Moderation Tool.
• Recorded work progress using Google Sheets.
• Created and managed a 24/7 work schedule and shifts.
• Communicated issues to development and QA teams.
• Formulated and managed user support process using Trello.
• Suggested and implemented Grammarly in the company.
• Communicated with users to troubleshoot issues and create technical issue tickets using JIRA Service Desk.
• Gathered and outlined customer request specifics.
• Conducted employment candidate interviews.
• Mentored new employees.
"
466,"
 • Sales Manager and Salesperson
Outsource, Brokerage Company
Dnipro, Ukraine
2021-2022

Started as a salesperson for the European market, meeting milestones and goals through client trust and product presentations. Promoted to Sales Manager after eight months, leading a team of 15 salespersons, enhancing customer experience, and optimizing processes.

• Salesperson
Work.ua
Dnipro, Ukraine
2021

Developed communication and customer-oriented skills.

• Executive Director's Assistant
The Dance and Fitness Specialist, Moves Dance Studio
Beirut, Lebanon
2010-2020

Assisted Executive Director of 3 branches with over 800 students. Collaborated with sponsors, partners, local governments, and non-profit organizations. Organized meetings and workshops, directed daily rehearsals, and planned/executed dance events, fashion performances, festivals, and special occasions. Created and executed ideas and concepts.
"
467,"
 Outsourcing projects(Head of sales) 2021 — present
- Building and managing sales departments,
- Organization and selection of focus group participants for marketing research
LLC Univest Marketing(www.univest.ua) 2020 — 2020
Chief commercial officer (B2B packaging and disposable tableware)
Sales management 17 million euro / year
Duties:
- management of two sales departments and a marketing department,
- negotiations with VIP clients,
- conducting financial and economic activities of the company,
- market monitoring and competitor analysis,
- control of accounts receivable,
- budgeting.
Number of subordinates: 30.
Achievements:
- participation in updating internal policies and procedures,
- development of a new motivation system for the sales department,
- development of an annual commercial plan,
- reduction of the average level of overdue accounts receivable from 44% to 20%.
LLC Shungit(www.noviysvit.com.ua) 2019 — 2020
Sales Director (B2B plumbing and tiles)
Sales management 32 million euro / year
Duties:
- negotiations with VIP clients,
- conducting field assessment and training events with managers and supervisors,
- market monitoring and competitor analysis,
- control of accounts receivable,
- staffing and training of personnel.
Number of subordinates: 50.

Achievements:
- introduction of a system of short-term and long-term sales planning by branches,
- an increase in 2019 over 2018 in completed transactions (shipped + paid) 28%,
- implementation of a front & back office work system in sales,
- reduction of the average level of overdue accounts receivable from 37% to 18%.
"
468,"
 - Overseeing design projects from start to finish
- Managing and motivating designers, 3D modelers, and other team members
- Consulting with clients and executives about potential projects and 3D modeling orders
- Processing orders
- Time project management
- Accounting responsibilities
- Budget management
- Communication and client support
- Problem solving
- Delivering completed products to clients and monitoring regular payments
- Interacting with all company departments
- Work planning and process control
- Cost control and planning
- Data analysis
- Optimizing working processes
- Awareness and use of Agile, Scrum, and Kanban methodologies
- Experienced user of Bitrix, Jira, Trello, and Asana workspaces
- Knowledge of SDLC processes
- Managing project team and monitoring team performance
- Awareness of Google Analytics
- Record keeping and documentation
- Project planning
- Effective communication 
- Completed course ""Genious"" at genius.space in Project Management
- Currently pursuing Product Manager courses at ""Skillsetter"" skillsetter.io
- Not seeking sales positions
"
469,"
 - Reduced equipment rental costs by 85%
- Successfully coordinated technical resource procurement for international production projects
- Managed budgets effectively
- Skilled in project planning, team organization, process control, meeting deadlines, and budget optimization
- Experienced in risk management
- Proficient in Asana, Jira, and Confluence
- Extensive experience as a line producer in film production and media publishing
- Specialize in managing technical resources and teams for complex production cycles
- Strong focus on process optimization and innovative problem-solving
- Motivated, fast learner with excellent communication, time management, and analytical skills
- Seeking a role in a company with established processes and structure.
"
470,"
 - Head of Department with 4 years of experience managing teams of 10-25 employees in the cruise industry, responsible for driving financial and employee satisfaction results, adjusting marketing strategies, acclimatization of new staff members, creating and correcting work schedules, organizing team activities, and ensuring customer satisfaction in the Photo operation onboard Royal Caribbean and Celebrity Cruises ships
- 3 months of internship in an IT company specialized in Shopify web development
- Seeking a stable position in HR where I can contribute to the success of the company and have opportunities for career growth. Willing to start at an entry-level position with room for advancement.
"
471,"
 Experience:
- Project Manager at start-up focused on creating a smart weather station for paragliders
- Communicated with stakeholders, gathered information, analyzed the market, organized meetings, and created project documentation
- Member of AIESEC, organized events and projects, collaborated with people from different countries

Skills:
- Project management
- Coding
- Knowledge in various technologies

Objective:
Seeking a fulfilling opportunity for personal and professional growth in a challenging and engaging environment.
"
472,"
 - Over 4 years of design experience
- Graduated from KhNEU. S. Kuznets with a degree in graphic/web design
- Created and redesigned corporate identities
- Communicated with customers to draft briefs and technical specifications
- Managed projects from start to finish
- Participated in city competitions for logo design
- Experience as a Layout Maker at Kharkiv News, preparing layouts for printing, processing illustrative material, and placing content on newspaper pages
- Content Manager at COZI.UA, organizing and conducting photo shoots, creating photo/video content, and writing scripts for client communication
- Web and graphic designer at LOGOVO, developing corporate identities, design for printed products, preparation of files for printing, WordPress site development, and banner design for advertising
- Proficient in CSS/HTML for markup language
- Skilled in planning, communication, problem-solving, and understanding people through psychology studies
- Enjoys organizing processes, communicating with others, and helping people achieve results through design work
"
473,"
 Trainee/Junior Project Manager with 1 year of experience in end-to-end delivery of commercial projects using best Agile practices (Scrum and Lean).

Experienced interpreter with 2 years of experience in military, IT, and humanitarian work fields.

Successfully led a team of 6 translators and technical consultants to deliver maintenance documentation projects for equipment valued at over $3,000,000 per unit under tight deadlines and with limited reference materials.

Achieved a 2.5X lead time decrease and delivered over 10,000 highly technical words in Ukrainian within 8 days through ownership of a project on maintenance documentation.

Known for being result-driven, highly organized, and structured with exceptional critical thinking, analytical, prioritization, and decision-making skills in fast-paced and high-stress environments.

Acknowledged for strong communication skills with stakeholders at all levels.
"
474,"
 Trainee Project Manager(Pet Project)
IT School IAMPM Project Management Courses
March 2022 to August 2022 ( 6 months)
• Developed detailed project plan to track progress.
• Used appropriate verification techniques to manage changes in project scope, schedule, and costs.
• Performed risk management to minimize project risks.
• Created and maintained comprehensive project documentation.
• Experienced with tools: Miro, Product Plan, Jira, Confluence, Trello.

Private Entrepreneur/Senior Sales Manager
Women's clothing chain
August 2019 to February 2022 (2 years, 6 months) 
• Customized customer experiences to build brand loyalty.
• Supervised work of contracted employees to deliver work on schedule.
• Met schedule using excellent planning and coordination skills.
• Explored and created new ways to resolve problems with processes, technology, or team members to improve overall efficiency.

Head of Pharmacy
Pharmacy Chain ""Gamma-55""
July 2014 to August 2019 (5 years)
• Safely administered immunizations, travel medicine, medication therapy management, and other specialty programs.
• Regularly completed paperwork and entered prescription and insurance billing information into patient profiles.
• Collaborated with healthcare professionals to monitor and evaluate medicine therapy quality and effectiveness.
• Trained and supervised technicians and sales assistants for smooth pharmacy operations.
"
