,modified
10,"
 [Your Name]  
[Your Address]  
[City, State, Zip]  
[Your Phone Number]  
[Your Email Address]  
[Your LinkedIn Profile]  

**Objective**  
Dedicated graphic designer pursuing a degree in Publishing and Printing at Kharkiv National University of Radio Electronics. Passionate about design, with experience in commercial projects and a strong skill set in visual communication.

**Education**  
Kharkiv National University of Radio Electronics  
Bachelor's Degree in Publishing and Printing (In Progress)  
Department of Media Systems and Technologies  

**Courses**  
Genius.Space  
- Web Design  
- UX/UI Design  

**Skills**  

*Soft Skills:*  
- Teamwork  
- Empathy  
- Enjoyment of work  
- Punctuality and discipline  

*Graphic Editors:*  
- Figma  
- Adobe Illustrator  
- Adobe Photoshop  
- Blender  
- AutoCAD  

**Experience**  

*Graphic Designer*  
- Developed a set of business cards for a tattoo artist working abroad.  
- Designed websites, brochures, presentations, and logos for various projects.  
- Utilized attention to detail and information structuring to create clear action plans, enhancing project outcomes.  

**Portfolio**  
Available upon request.  

**References**  
Available upon request.  
"
11,"
 **[Your Name]**  
[Your Address]  
[City, State, Zip]  
[Your Phone Number]  
[Your Email]  
[LinkedIn Profile]  

---

**PROFESSIONAL SUMMARY**  
Dynamic designer with over 10 years of experience, skilled in UI/UX and graphic design. A proven track record of collaborating with clients from Europe and the USA on diverse projects, ranging from enterprise-level solutions to e-commerce and SaaS applications. Adept at leading creative teams, eliciting requirements, and delivering design solutions that align with business and user needs.

---

**EXPERIENCE**  

**[Your Job Title]**  
**[Your Company]**  
**[Location]**  
**[Month, Year] - Present**  
- Lead creative teams to deliver innovative design solutions while mentoring and facilitating the growth of team members.
- Manage project estimations, resource planning, and timelines to ensure successful completion of projects.
- Communicate directly with clients, presenting concepts and ideas to stakeholders from diverse backgrounds.
- Oversee the full product design lifecycle, ensuring adherence to Agile and Scrum methodologies.

**[Previous Job Title]**  
**[Previous Company]**  
**[Location]**  
**[Month, Year] - [Month, Year]**  
- Collaborated with an enterprise-sized company, part of the Big Four accounting firms, delivering design strategies for projects with global impact.
- Conducted user testing and employed information architecture to refine design processes.
- Developed full-stack design solutions, enhancing user experiences across mobile apps, SaaS, and web platforms.

---

**SKILLS**  
- Team Leadership  
- Project Management  
- Project Estimation  
- Resource Planning  
- Client Communication  
- Business English  
- Enterprise Size Companies  
- Agile and Scrum  
- Art Direction  
- Prototyping  
- UI/UX Design  
- Information Architecture  
- UML Diagrams  
- User Testing  
- Mobile App Design  
- SaaS Solutions  
- Web Design  
- Graphic Design  

---

**INTERESTS**  
Seeking opportunities in companies that provide challenging projects, a laid-back atmosphere, and a flexible schedule, with a focus on results. Passionate about engaging with clients and leading design teams to produce top-notch outputs that meet business and user objectives.
"
12,"
 [Your Name]  
[Your Address]  
[City, State, Zip]  
[Your Email]  
[Your Phone Number]  

**Professional Summary**  
Experienced product designer and design team lead with a strong focus on managing design team processes. Proven track record of successfully completing over 30 projects, managing a team of 17 designers, and leading design initiatives as a consultant in the sales process.

**Education**  
- Completed ""Design Management"" course  
- Completed ""People Management 3.0"" course  

**Professional Experience**  

**Design Team Lead**  
- Managed and coordinated design team activities, overseeing planning, delegation, and project reviews.  
- Responsible for user research projects, workshop facilitation, reporting, and conflict management.  
- Acted as a domain expert during the sales process and pitched and launched more than 20 design projects.  

**Notable Projects**  
- Product Design Manager for a human resources project.  
- Design Manager for a crypto product.  
- UI/UX Team Lead for a SaaS project.  
- Involved in various smaller projects across sectors including betting, healthcare, and delivery.  

**Skills**  
- Strong understanding of business goals with effective negotiation and presentation skills.  
- Fluent in English with proficiency in written communication in German.  
- Seeking to leverage management experience in design delivery roles or to assist in building robust design teams internally or for clients.  

**Availability**  
Open to opportunities in both outsourcing companies and product teams.
"
13,"
 **[Your Name]**  
[Your Address]  
[City, State, Zip]  
[Your Email]  
[Your Phone Number]  
[LinkedIn Profile]  

---

**Professional Summary**  
Dynamic and innovative designer with over 6 years of commercial experience across diverse industries, including startups, fintech, organization management, crypto, insurance, and healthcare. Proven track record of delivering exceptional design outcomes with a user-centered approach. Recognized with multiple design awards, including 8 Design Awards on Behance and an honorable mention at San Francisco Design Week.

---

**Professional Experience**  

**Digital Home Loan Product**  
Australia-based Startup  
*Designer*  
**[Month, Year] - Present**  
- Contributed to the development of a digital home loan product from concept to MVP over the past year.
- Collaborated in a team of 3 to establish a comprehensive design system from scratch.

**Key Responsibilities:**  
- Communicate effectively with stakeholders and product managers to align on design objectives.
- Conduct thorough research to gather insights and inform design decisions.
- Create functionality maps and process flows to enhance user experience.
- Develop low and high-fidelity wireframes to visualize design concepts.
- Perform UI research and design to ensure a cohesive visual identity.
- Lead and mentor a design team of 8, fostering a collaborative team environment.

---

**Collaboration and Teamwork**  
- Mentor and guide lower-level designers to enhance their skills and performance.
- Conduct 1-on-1 meetings to identify challenges and support personal development.
- Provide constructive feedback and assistance to teammates to promote growth and improvement.

---

**Awards and Recognition**  
- 8 Design Awards on Behance  
- Honorable Mention, San Francisco Design Week  
- Featured in Ukrainian Design: The Very Best Of  

---

**Skills**  
- Hypothesis generation  
- Wireframing and prototyping  
- Usability testing and analysis  
- Design system creation  
- Team leadership and management  
- Stakeholder communication  
- Research and analysis  

--- 

**Education**  
[Your Degree]  
[Your University]  
[Year of Graduation]  

--- 

**References**  
Available upon request.  
"
14,"
 **[Your Name]**  
[Your Address]  
[City, State, Zip]  
[Your Phone Number]  
[Your Email Address]  
[LinkedIn Profile or Personal Website, if applicable]  

---

**Objective**  
Dedicated designer with extensive experience in graphic and web design, seeking to focus on developing positive user experiences within innovative products. 

---

**Experience**  

**Lead and Creative Designer, E-commerce Company**  
[Company Name], [City, State]  
[Month, Year] – [Present]  
- Created and headed the design department in the largest e-commerce company in the country.  
- Automated design and development processes, resulting in a significant increase in productivity.  
- Developed and launched several successful brands of household appliances.  
- Managed a team of design specialists, providing education and training.  

**Senior Designer / Art Director**  
[Trading Company Name], [City, State]  
[Month, Year] – [Month, Year]  
- Led design initiatives for trading companies as a creative designer, enhancing brand visibility and market presence.  

**Graphic Designer**  
[Advertising Agency Name], [City, State]  
[Month, Year] – [Month, Year]  
- Created compelling visual content and advertising materials for diverse clients, contributing to the overall marketing strategy.  

**Lead Designer**  
[Publishing and Entertainment Company Name], [City, State]  
[Month, Year] – [Month, Year]  
- Designed engaging graphics and layouts for print and digital mediums, enhancing user experience across platforms.  

**Head of Design Bureau and Printing Studio**  
[Studio Name], [City, State]  
[Month, Year] – [Month, Year]  
- Established and directed operations of a design bureau and printing studio, overseeing all design processes and output.  

---

**Qualifications**  
- Professional skills in graphic and web design.  
- Extensive experience in brand identity creation and brand promotion.  
- Proficient in creating key visuals and supervising implementation across various channels.  
- Developed and executed digital advertising campaigns.  
- Effective management of design teams and design departments.  
- Expertise in leveraging customer and user experience analytics to solve business problems.  
- Skilled in animation, motion design, and video editing.  
- High proficiency in layout design and print preparation.  

---

**Soft Skills**  
- Strong problem-solving abilities for complex product challenges.  
- Critical thinking with solid analytical skills.  
- Excellent interpersonal skills with strong negotiation and stress resistance capabilities.  
- High emotional intelligence and empathy in team interactions.  
- Ability to draw conclusions and make informed decisions, employing design thinking and creativity.  
- Quick learner with a self-driven approach and a cross-functional mindset.  

---

**Goal**  
Eager to join a team of enthusiastic and ambitious professionals to fully dedicate efforts towards developing and enhancing products that aim to make a global impact.
"
15,"
 **[Your Name]**  
[Your Address]  
[City, State, Zip]  
[Your Email]  
[Your Phone Number]  
[LinkedIn Profile or Portfolio Link]  

---

**PROFESSIONAL SUMMARY**  
Dedicated Digital 2D Artist & UI/UX Designer with a strong portfolio, showcasing advanced skills in design tools and a solid understanding of design principles and technology trends. Committed to continuous learning and improvement, with effective communication and time management abilities.

---

**EXPERIENCE**  

**Freelance Web Designer**  
*Dec 2018 - Nov 2019*  
- Developed and designed engaging websites for various clients, ensuring user-friendly experiences.

**UI/UX Designer / Illustrator**  
*Nov 2019 - Aug 2021*  
- Created intuitive UI designs and illustrations, collaborating closely with clients to meet their design needs and enhance user engagement.

**Full Stack: UI/UX Designer / Illustrator / Graphic Designer**  
*Apr 2021 - Present*  
- Lead design projects from concept to completion, delivering high-quality graphic designs, UI frameworks, and illustrations to enhance brand identity.

---

**SKILLS**  
- English - Upper-Intermediate  
- UI/UX Design / Adaptive Design  
- Illustration (Raster/Vector)  
- Banner Design  
- Logo Design  

---

**TOOLS**  
- Adobe Photoshop  
- Adobe Illustrator  
- Procreate App  
- Figma  
- Midjourney  

---

**AWARDS**  
- RED DOT / Brands & Communication Design (Aug 2022)  

---

I am eager to contribute my skills to a dynamic company with a collaborative team, where I can continue to develop my expertise and make a meaningful impact.
"
16,"
 **Skills:**

- Color Sense, Color Theory, Composition  
- Branding, Advertising, Illustration  
- Web Ads, Social Media Ads, Digital Design, Digital Imagery, Digital Analytics, E-blast  
- UI/UX Design  
- HTML/CSS  
- Webflow  

**Soft Skills:**  

- Confidence to work independently and in a team  
- Creative  
- Interface directly with customers  

**Completed Courses:**  

- Dare IT - Product Design  
- Hillel (IT School) - Basic Web Design  
- Cases Media - Figma (90)  
- Cases Media - Graphic Design: Composition (91)  

**Profile:**  

I am a digital designer with extensive experience in marketing and a strong background in Photoshop, Illustrator, and Figma. I also work with Webflow, including animation and CMS. I am passionate about creating visually stunning designs that help brands grow.

I have experience as both a freelancer and an in-house manager, collaborating with over five companies from various countries. Additionally, I worked as a freelance designer for an American company.

I am eager to leverage my background and experience to help develop award-winning campaigns for your clients. I love collaborating with clients and colleagues and am excited to deliver designs that engage and grow target markets.

Looking for work that offers long-term partnership opportunities and the ability to grow, with a focus on product development where I can implement my knowledge and experience to enhance the customer experience.  

Feel free to contact me.
"
17,"
 Digital Graphic Designer (NDA)  
July 2021 – Present  

- Web content development  
- Creation of logos, posters, and graphics for events  
- Development of infographics  
- Design and development of landing pages  
- Creation of designs for small architectural forms for advertising campaigns of events  
- Design of presentations and training materials  
- Creation of vector illustrations and mascots  

Digital Graphic & UI/UX Designer (ReevArts)  
July 2020 – July 2021  

- Designed 500+ graphics for social media  
- Created 250+ designs for television  
- Delivered over a year of consistent UI/UX designs for two products  
- Conducted quality control of animators' work (designers review)  
- Developed storyboards and illustrations for showreels and promotional materials  

Technical Graphic Designer (Polygraphy)  
April 2019 – July 2020  

- Developed designs based on customer requirements and prepared for printing  
- Created special layouts for T-shirts and sweatshirts  
- Prepared layouts for stickers and created clipping paths  
- Supervised the work of in-house designers  
- Reviewed designs received from customers  
- Conducted quality control of print and cut results  
- Developed technological maps  

Graphic & Web (UI/UX) Designer (Freelance Design; Self-employed)  
April 2018 – March 2019  

- Created final art and files to be delivered to developers and animators  
- Collaborated closely with editors and project managers  
- Created final art for presentations and assisted in creative presentations  
- Designed websites and user interfaces  
- Engaged in prototyping and templating  

Assistant Manager (АМО1, ООО)  
October 2013 – June 2014  

- Searched for potential clients  
- Communicated with clients and addressed their objections  
- Researched tenders relevant to the company's activities  
- Analyzed the need to introduce new parts into production based on market demand  
- Worked with technical drawings  
- Assisted with personal tasks of the head  
- Analyzed competitors' market and monitored pricing  
- Maintained the company's website  
"
18,"
 **[Your Name]**  
[Your Address]  
[City, State, Zip]  
[Your Phone Number]  
[Your Email]  
[LinkedIn Profile URL]  

---

**Professional Summary**  
Dynamic junior UI/UX designer with a passion for creating seamless and visually captivating user experiences. Proficient in design software including Figma, Photoshop, and Illustrator, with a solid foundation in design principles and user-centered methodologies. Skilled in producing interactive prototypes, wireframes, and mockups to enhance user engagement and product usability. Collaborative team player dedicated to continuous learning and adapting design strategies to meet evolving user needs.

---

**Education**  
- Completed a 6-month UI/UX design course  
- Additionally studied HTML/CSS  

---

**Projects**  

**Real Estate Website Redesign**  
- Redesigned a website for a real estate company located in Destin, Florida, addressing issues such as outdated design and poor user-friendliness.  
- Conducted research and competitor analysis to inform the redesign, resulting in the development of three user personas and a customer journey map.

**Travel Website Creation**  
- Developed a web service helping users find and book excursions, tours, and entertainment worldwide.  
- Analyzed competitors and created key project deliverables, including User flow, Wireframes, and a UI-Kit for an adaptive design.  
- Implemented features allowing users to search and filter excursions, register via email or social accounts, and make online payments.

**Mobile Application for Table Booking**  
- Designed a mobile application aimed at booking tables in restaurants, focusing on optimizing the user experience.

---

**Skills**  
- UI/UX Design  
- Figma  
- Photoshop  
- Illustrator  
- Wireframing  
- Prototyping  
- User Research  
- Customer Journey Mapping  
- Usability Testing  
- HTML/CSS  

---

**Objective**  
Seeking a full-time position in a product company focused on creating digital products for everyday life and business. A quick learner who is responsible and ready to perform complex tasks.
"
19,"
 **[Your Name]**  
[Your Address]  
[City, State, Zip]  
[Your Phone Number]  
[Your Email]  

---

**Professional Summary**  
Passionate UX/UI designer with experience in creating user-centered digital experiences. Seeking roles that encourage creativity and collaboration in cross-functional teams, focusing on quality and user satisfaction.

---

**Relevant Experience**  

**F.Lover Mobile App**  
*Role: UX/UI Designer*  
Developed a mobile application for ordering and delivering bouquets and gifts online. Collaborated with a team to create an app that provides users with gift and flower recommendations, allowing ordering for specific dates, times, or special occasions.  

---

**Key Skills**  
- User Interface Redesign  
- Mobile App Optimization  
- Web Services Integration  
- Landing Page Development  

---

**Career Objective**  
Seeking UX/UI design positions that prioritize innovative design processes and user engagement, avoiding routine maintenance tasks, while allowing time for comprehensive user research, ideation, and testing.
"
20,"
 [Your Name]  
[Your Address]  
[City, State, Zip]  
[Your Phone Number]  
[Your Email Address]  
[Your LinkedIn Profile]  

**Objective**  
Ambitious designer seeking remote opportunities or freelance work. Eager to grow and develop skills in a collaborative environment, with interest in mentorship and contributing to user-centered products.

**Experience**  

*Flowers Delivery Mobile App*  
- Developed a user-friendly interface for an online flowers ordering service.  
- Conducted persona research to understand customer needs.  
- Designed an accessible app for global bouquet orders.  

*Pet Scout: Animal Pet Search Web Service*  
- Conducted UX research, including competitor analysis and user flow assessments.  
- Collaborated on web service architecture and applied design principles for enhanced user experience.  
- Created wireframes, mockups, and prototypes as part of a team project.  

*Barbershop Landing Page*  
- Designed a landing page providing information about barbershop services and appointment scheduling.  
- Conducted competitor analysis and developed user personas to inform design decisions.  
- Created desktop, tablet, and mobile versions of the landing page.  

*Tattoo Studio Website Redesign*  
- Redesigned a website for a tattoo salon, allowing users to select artists and view portfolios for consultations.  
- Analyzed competitors' demographics and statistical data prior to website development.  
- Designed a visually appealing and intuitive site based on research findings.  

**Skills**  
- User Experience (UX) Design  
- User Interface (UI) Design  
- Wireframing & Prototyping  
- Persona Research & Competitor Analysis  
- Team Collaboration & Leadership  
- Responsive Design  

**Education**  
[Your Degree]  
[Your University]  
[Year of Graduation]  

**Portfolio**  
[Link to Portfolio]  

**References**  
Available upon request.
"
21,"
 [Your Name]  
[Your Address]  
[City, State, Zip]  
[Your Email]  
[Your Phone Number]  
[Your LinkedIn Profile]  

---

**Professional Summary**  
UI/UX designer with a strong focus on creating user-centered designs for both web and mobile applications. Proven expertise in turning concepts into real solutions by addressing the challenges and optimizing the daily goals of the target audience. Dedicated to producing visually appealing designs that effectively solve user problems.

---

**Skills**  
- Figma  
- Illustrator  
- Protopie  
- Photoshop  
- Low and high-fidelity prototypes  
- Vector illustration  
- Components  
- Adaptive design  
- Logo creation  
- Landing page design  
- User interface and user experience improvement  

---

**Professional Experience**  

**Website Redesign**  
*Destin Tattoo Company*  
- Conducted competitor analysis, prototyping, text selection, color selection, logo development, wireframe creation, and component adaptation for tablet and mobile.  
- Completed the redesign independently.

---

**Web Service Project**  
*The Lost Pets* (Team Project)  
- Collaborated with a team to develop a service aimed at helping users find, return, or adopt animals.  
- Created user flows for individuals who found animals or took them in, along with designing a unique logo for the web service.

---

**Mobile App Design**  
*Suit Store*  
- Focused on delivering a user-friendly interface for a shopping application that simplifies the search and purchase process.  
- Developed an efficient user flow tailored for frequent male shoppers. Initially a team project, but completed all prototyping independently.

---

**Objectives**  
Seeking a full-time position within a creative and collaborative team to tackle challenging design problems and enhance user interfaces. Eager to contribute to innovative design solutions and pursue opportunities for creative growth.
"
22,"
 [Your Name]  
[Your Address]  
[City, State, Zip]  
[Your Email]  
[Your Phone Number]  

---

**PROFESSIONAL EXPERIENCE**  

**Team Leader**  
**BudgetStay Project**  
- Led a team of 2 designers in developing a web service interface aimed at providing users with options for work and leisure accommodations.
- Created a comprehensive Main User Flow outlining 2 account types (free and premium) and a secondary flow for 3 types of hosts.
- Designed layouts for desktop, tablet, and mobile, including a prototype for the desktop version.

**Project Leader**  
**Sensual Temple**  
- Oversaw the development of a landing page for a tantric massage salon that enhances the salon's online presence while promoting its services.
- Developed designs optimized for desktop, tablet, and mobile platforms.

**Designer**  
**FoodieFinder**  
- Designed a mobile application intended for restaurant searches and table reservations, facilitating a user-friendly experience based on individual preferences.
  
**Independent Designer**  
**India Cafe Redesign**  
- Updated the website for an Indian restaurant in Pennsylvania with a modern design to attract potential customers.
- Added additional pages with photos and a menu, including the functionality for making restaurant appointments.
- Created designs for desktop, tablet, and mobile, along with a prototype for the desktop version.

**Independent Work**  
**Citroen 4 Landing Page**  
- Developed a concept for the Citroen 4 landing page in Ukraine, focusing on the test drive ordering function.
- Designed the interface for desktop users.

**PERSONAL PROJECTS**  
- Developed two personal pet projects focused on enhancing user experience and interface design in various applications.

**PROFESSIONAL SUMMARY**  
As a UX/UI designer, I aim to join a dynamic team dedicated to executing innovative and modern projects that establish a strong connection between service providers and clients. I am committed to enthusiastically implementing projects while continuously improving my skills.  

---  

[Your LinkedIn Profile]  
[Your Portfolio Link]  
"
23,"
 [Your Name]  
[Your Address]  
[City, State, ZIP]  
[Your Phone Number]  
[Your Email Address]  

---

**Professional Summary**  
Dedicated graphic designer with extensive experience in web and mobile application design, complemented by a strong foundation in computer science education. Proficient in various design tools, I am committed to learning and applying new technologies to create user-friendly solutions. 

**Skills**  
- Adobe Photoshop  
- Adobe Illustrator  
- Corel Draw  
- ProtoPie  
- Canva  
- Figma  

**Experience**  

**Computer Science Teacher**  
[School Name] | [Location] | [Years Worked]  
- Taught topics including raster and vector graphics, 3D modeling, and programming languages to students.  
- Developed and implemented lesson plans that engaged students in graphic design and computer science.  

**Graphic Design Projects**  

**Website of Veterinary Clinic ""Aibolit""**  
- Led the site redesign project through the full design cycle.  
- Analyzed the problem, created a prototype of the interface, developed a visual style, and produced a final design that enhances user experience.  
- The aim was to create a modern and user-friendly design to attract potential customers.

**""Coffee Time"" Mobile Application**  
- Executed the mobile application project through the complete design cycle.  
- Analyzed the problem, created a prototype of the interface, developed a visual style, and produced a final design that simplifies the user experience.  
- Designed a mobile application that enables users to scan and pay for goods, reducing wait times at checkouts and attracting potential customers.

**Favorite Projects**  
- Website Redesign  
- Adaptive Design  
- Mobile Application  

**Education**  
[Your Degree]  
[Your Institution] | [Graduation Year]  

**Personal Statement**  
I am looking for a friendly, motivated team where I can contribute my skills and grow professionally while achieving collective goals.
"
