,Modified_gpt-4o-2024-08-06_of_Modified_gpt-3.5-turbo_of_CV_Modelgpt-3.5-turbo_Modelgpt-4o-2024-08-06
459,"
 **[Your Name]**  
[Your Address]  
[City, State, ZIP Code]  
[Phone Number]  
[Email Address]  

---

**Professional Experience**

**Freelance Copywriter, Editor, and Website Administrator**  
March 2009 – Present

- Develop unique and optimized content for various subjects, including selling and informational texts.
- Conduct requirement gathering and analysis of comparable cases to comprehend customer needs.
- Set and communicate project goals to contractors effectively.
- Create detailed product and service descriptions.
- Ensure all texts maintain high uniqueness and are thoroughly edited.
- Collaborate closely with SEO specialists and customers for optimal content output.

**Advertising Manager, Editor, and Proofreader**  
NTMT Informational and Publishing Company, Kharkov  
September 2010 – December 2013

- Managed standard office documentation, including contracts, reports, and accounting documents.
- Prepared and organized impactful advertising campaigns.
- Coordinated and executed exhibitions.
- Composed compelling texts for commercial offers and distribution letters.
- Collaborated with authors, customers, and contractors, including creating and maintaining a potential customer database.
- Conducted cold calls to prospective clients.

**Customer Support Specialist in IT Project**  
Welocal Network  
October 2015 – September 2018

- Facilitated effective communication with users and partners.
- Created technical tasks and planned project implementation for the advertising division, contractors, and developers.
- Monitored task progress, implemented changes, and confirmed task completion.
- Authored training and informational materials on blockchain technology and cryptocurrencies.
- Developed scripts for commercials and strategies for market promotion.
- Produced foundational presentations and materials for blockchain platform users.

---

**Skills**

- Content Creation and Optimization
- Project Planning and Implementation
- Technical Writing and Training Material Development
- Advertising Strategy and Campaign Management
- Effective Communication and Team Collaboration
- SEO Coordination and Goal Setting

**Education**

[List your educational background here if applicable]

**References**

Available upon request.
"
460,"
 **[Your Name]**  
[Your Address]  
[City, State, Zip]  
[Your Email]  
[Your Phone Number]  

---

**Professional Summary**  
Dedicated professional with 2.5 years of experience in retail and digital marketing projects, skilled in fostering effective collaboration and delivering high-quality services to partners and clients. Adept at managing complex processes, engaging with both internal and external stakeholders, and leading cross-functional teams.

---

**Experience**  

**Svit Soft LLC**  
Project Account Manager  
October 2021 – April 2022  
- Conducted negotiations and finalized contracts.
- Oversaw project planning, risk assessment, and budgeting.
- Managed a variety of documents, including contracts, agreements, specifications, acts, and invoices.
- Coordinated with teams on task setting, efficiency analysis, and issue resolution.
- Delivered customer support and prepared comprehensive reports.
- Established budgets and ensured material and technical support for the team.

**Silpo Food LLC (Lavka Tradytsii Project)**  
Project Specialist  
September 2019 – July 2021  
- Led negotiations and facilitated contract signings.
- Developed and executed project plans, assessing risks and managing budgets.
- Handled critical documentation including contracts, agreements, specifications, acts, and invoices.
- Worked with teams to set tasks, coordinate activities, and resolve problems.
- Supplied customer support and report generation.
- Created budgets and provided necessary material and technical support to enhance team productivity.

---

**Job Preferences**  
- Open to opportunities in project management or roles involving extensive interaction with people such as a Project Management Assistant.
- Aspiring to advance to the role of Project Manager, open to starting with an internship to build experience and effectively manage responsibilities.

---

**Skills**  
- Project Planning and Management
- Stakeholder Engagement
- Risk Assessment and Budgeting
- Contract Negotiation and Documentation Handling
- Cross-functional Team Coordination
- Customer Support and Reporting

---

**Education**  
[Your Degree] in [Your Field]  
[Your University], [Graduation Year]  

---

**References**  
Available upon request.  
"
461,"
 OFFICE MANAGER – TRADUX®

- Oversaw quality and performance control processes
- Prepared and analyzed reports for management
- Managed client queries and handled emails efficiently
- Modified documents using MS Word, PowerPoint, and Excel
- Managed office operations and workflows
- Coordinated with regional teams and branches regarding documentation and forms
- Escalated issues to team leader and project manager promptly
- Led initiatives for productivity and process improvement
- Handled mail reception, date stamping, and sorting for the Classification Department
- Answered and managed calls professionally, providing excellent customer service
- Engaged professionally with incoming customers, offering friendly and knowledgeable assistance
- Prepared and managed monthly financial reports
- Oversaw daily office activities

BACK OFFICE STAGE – ROZONA SERVICIO DE PREVENCIÓN

- Monitored and checked the status of contracts
- Managed data entry tasks, maintaining company databases and personal data
- Provided administrative support with data entry tasks, primarily using MS Excel on a daily basis
"
462,"
 **[Your Name]**

[Your Address]  
[City, State, Zip Code]  
[Your Phone Number]  
[Your Email Address]  
[LinkedIn Profile]  

---

**Professional Summary**

Detail-oriented and creative professional with a strong foundation in web development and communications. Experienced in Python coding for business websites, paired with expertise in copywriting, project management, and effective negotiation skills. Currently advancing my knowledge in Applied Linguistics and content creation. Adept at time management and working in dynamic environments. Exploring opportunities in IT recruitment, HR management, sales, account management, and project management.

---

**Experience**

**Web Developer Intern**  
InternetDevels  
[Year of Internship]  
- Developed and maintained website code for business clients.
- Collaborated with a team to enhance website functionality and user experience.

**Freelance Web Developer**  
[Year - Year]  
- Wrote and implemented Python code for various business websites.
- Managed multiple projects simultaneously, ensuring timely delivery and client satisfaction.

**Communications Host**  
[Year - Year]  
- Hosted English-language shows catered to foreigners in Bulgaria.
- Utilized strong communication skills to engage and interact with diverse audiences.

---

**Education**

**[Your University Name]**  
Bachelor's in Applied Linguistics  
[Expected Graduation Date]  

- Focus on content creation and social media post writing using tools like Canva.

---

**Skills**

- Proficient in Python programming
- Copywriting and content creation
- Strong communication and interpersonal skills
- Project planning and time management
- Negotiation and client engagement
- Skilled in content creation for social networks

---

**Career Interests**

- IT Recruitment
- HR Management
- Sales
- Account Management
- Project Management
"
463,"
 Optimistic and resilient professional with extensive experience in project management and coordination. My work in highly competitive and international settings has honed my ability to ensure effective collaboration and peak performance across diverse teams. Adaptability and rapid learning have been integral to my success in dynamic environments.

**Professional Experience**

**IT Project Manager/Business Analyst**  
Whiteport AB, Stockholm  
April 2019 - Present

- Manage and track tasks for multiple concurrent projects.
- Conduct project estimations and report to stakeholders.
- Specify and validate client business needs.
- Utilize Agile methodologies.
- Conduct client communications and negotiations.
- Innovate with product improvements and pitch ideas to clients.
- Develop Facebook Messenger bots.

*Achievements:*
- Enhanced client communication, boosting satisfaction among customers and team members by 25%.
- Achieved a 50% increase in product delivery speed.

**Project Manager**  
Kyiv Branch of Cryptocurrency Trading Company (NDA)  
May 2018 - April 2019

- Recruited and trained key employees for international client interactions.
- Conducted resource planning and budget control.
- Maintained high productivity levels.
- Managed operations and strategic initiatives.
- Estimated time and costs for implementing new changes.
- Conducted risk analysis and management.
- Engaged in strategic influencing and business partnering.

*Achievements:*
- Drove a 600% increase in revenue.
- Reduced operational costs by 5%.
- Established a fully functioning and self-sufficient working environment.

---

Seeking a company where I can dedicate myself and establish long-lasting, mutually beneficial relationships.

"
464,"
 **[Your Name]**  
[Your Address]  
[City, State, ZIP]  
[Your Phone Number]  
[Your Email Address]  

---

**Objective**  
Driven and detail-oriented professional seeking opportunities in project management, targeting roles such as Junior Specialist or Assistant Project Manager.

---

**Professional Experience**

- **Business Process Optimization**  
  - Implemented an automated accounting system for a network of retail outlets, enhancing efficiency.
  - Proficient in optimizing organizational document flow.

- **Contractor Relations and Expansion**  
  - Successfully expanded contractor base from 2 to 10, establishing a robust network.

- **Brand Development**  
  - Skilled in creating corporate style, brand book, and defining mission and goals.
  - Developed organization's standards and comprehensive brand book.

- **Event Organization**  
  - Experienced in organizing events, including trainings and conferences.

- **Project Management**  
  - Effective in project planning, implementation, monitoring, reporting, and results review.
  - Hands-on experience with projects such as tubing hill and amusement park.

- **Product and Supply Chain Management**  
  - Proficient in ensuring full cycle branded products.
  - Coordination of the end-to-end supply chain from customer request to delivery.

- **Communication and Coordination**  
  - Strong communication skills with contractors, managing payments and deliveries.
  - Able to prepare detailed project reports.

- **Proposal and Grant Writing**  
  - Expertise in preparing concept notes, developing commercial proposals, and participating in the grant application process.

---

**Skills**

- Project Planning and Implementation
- Contractor Management
- Brand Development
- Event Organization
- Supply Chain Coordination
- Strong Communication
- Report Preparation
- Proposal and Grant Writing

---

**Education**  
[Your Degree, e.g., Bachelor of Science in Business Administration]  
[Your University/College Name, City, State]  

---

**References**  
Available upon request.
"
465,"
 • Languages: Russian - Fluent, English - Upper-Intermediate  
• Conference Participation: 
  - LvivCSS Conference, Lviv 2018  
  - QA Fest Testing Conference, Kyiv 2016  
• Training Courses:  
  - ""CSS - The Complete Guide (incl. Flexbox, Grid & Sass)"", Coursehunters 2018  
  - ""Psychology of Stress and Ways to Overcome It"", Prometheus 2016  
• Professional Experience:  
  - Organized and coordinated team efforts to establish collaborations with LA Times and The San Diego Union-Tribune through SolidOpinion  
  - Led design and requirements gathering for a Moderation Tool  
  - Recorded work progress using Google Sheets  
  - Developed and managed a 24/7 work schedule and shifts  
  - Communicated issues to development and QA teams  
  - Developed and managed the user support process using Trello  
  - Proposed and implemented the use of Grammarly within the company  
  - Engaged with users to troubleshoot issues and create technical issue tickets using JIRA Service Desk  
  - Gathered and documented customer request specifics  
  - Conducted interviews with employment candidates  
  - Mentored and supported new employees  
"
466,"
 **[Your Name]**  
[Your Address]  
[City, Postal Code]  
[Your Phone Number]  
[Your Email Address]  
[LinkedIn Profile] (if applicable)  

---

**Professional Experience**

**Sales Manager and Salesperson**  
Outsource, Brokerage Company  
Dnipro, Ukraine  
2021-2022  

- Started as a salesperson for the European market, consistently meeting milestones and goals through building client trust and delivering effective product presentations.
- Promoted to Sales Manager after eight months, leading a team of 15 salespersons in enhancing customer experiences and optimizing sales processes.

**Salesperson**  
Work.ua  
Dnipro, Ukraine  
2021  

- Developed strong communication and customer-oriented skills while actively engaging with clients and understanding their needs.

**Executive Director's Assistant**  
The Dance and Fitness Specialist, Moves Dance Studio  
Beirut, Lebanon  
2010-2020  

- Assisted the Executive Director in managing three branches with a combined total of over 800 students.
- Collaborated with sponsors, partners, local governments, and non-profit organizations to support studio operations and events.
- Organized meetings and workshops, directed daily rehearsals, and planned/executed a variety of events, including dance performances, fashion shows, festivals, and special occasions.
- Developed and implemented creative ideas and concepts for studio expansion and student engagement.

---

**Education**  
[List your education if applicable]

**Skills**  
[List of relevant skills]

**Languages**  
[List languages spoken]  

**References**  
Available upon request.
"
467,"
 **[Your Name]**  
[Your Contact Information]  
[City, State, ZIP Code]  
[Phone Number]  
[Email Address]  
[LinkedIn Profile]  

---

**Professional Summary**  
Dynamic sales leader with proven success in managing high-performing sales teams and driving significant revenue growth in B2B markets. Expertise in strategic planning, team development, and operational excellence with strong capabilities in market analysis and client negotiation.

---

**Professional Experience**

**Outsourcing Projects**  
*Head of Sales*  
2021 — Present  

- Led the development and management of sales departments.
- Organized and selected focus groups for marketing research.

**LLC Univest Marketing** | [www.univest.ua](http://www.univest.ua)  
*Chief Commercial Officer (B2B Packaging and Disposable Tableware)*  
2020  

- Directed sales operations, achieving an annual turnover of €17 million.
- Managed two sales departments and a marketing department.
- Engaged in high-level negotiations with VIP clients.
- Conducted financial and economic activities for the company.
- Monitored the market and conducted competitor analysis.
- Managed accounts receivable and budgeting.
- Supervised a team of 30 employees.

**Achievements:**

- Participated in updating internal policies and procedures.
- Developed a new motivation system for the sales department.
- Crafted an annual commercial plan.
- Reduced the average level of overdue accounts receivable from 44% to 20%.

**LLC Shungit** | [www.noviysvit.com.ua](http://www.noviysvit.com.ua)  
*Sales Director (B2B Plumbing and Tiles)*  
2019 — 2020  

- Managed sales yielding €32 million annually.
- Conducted negotiations with VIP clients.
- Executed field assessments and training events with managers and supervisors.
- Performed market monitoring and competitor analysis.
- Controlled accounts receivable.
- Responsible for staffing and personnel training.
- Managed a workforce of 50 employees.

**Achievements:**

- Introduced a system for short-term and long-term sales planning by branch.
- Achieved a 28% increase in completed transactions in 2019 over 2018.
- Implemented a front & back office work system in sales.
- Reduced overdue accounts receivable from 37% to 18%.

---

**Education**  
[Your Degree]  
[Your University]  
[Year of Graduation]  

**Skills**

- Leadership and Team Management
- Strategic Sales Planning
- Market Analysis
- VIP Client Negotiation
- Financial Management
- Staff Training and Development

---

**References**  
Available upon request.
"
468,"
 **[Your Name]**  
[Your Address]  
[City, State, Zip Code]  
[Your Email Address]  
[Your Phone Number]  

---

**Professional Summary**  
Results-driven project management professional with extensive experience in overseeing design projects from inception to completion. Skilled in managing diverse teams, optimizing processes, and delivering high-quality results to clients. Demonstrates strong expertise in budgeting, communication, and problem-solving, with a focus on client satisfaction and strategic planning.

---

**Professional Experience**  

**Project Management and Leadership**  
- Oversaw design projects from start to finish, ensuring timely delivery and adherence to client requirements.
- Managed and motivated teams, including designers, 3D modelers, and other members, to achieve project goals.
- Consulted with clients and executives regarding potential projects and 3D modeling orders.

**Operational Management**  
- Processed orders and managed all aspects of project timelines and deliverables.
- Maintained accounting responsibilities and budget management, ensuring cost efficiency.
- Delivered completed products to clients and monitored regular payments.

**Cross-Departmental Interaction**  
- Worked effectively with all company departments to facilitate project coordination.
- Planned work processes and controlled project workflows.
- Conducted data analysis for the optimization of working processes.

**Methodologies and Tools**  
- Applied Agile, Scrum, and Kanban methodologies in project environments.
- Expert user of Bitrix, Jira, Trello, and Asana workspaces.
- Possessed knowledge of SDLC processes and Google Analytics.

**Documentation and Reporting**  
- Maintained accurate record keeping and documentation.
- Engaged in effective communication for project planning and client support.
- Skilled in problem-solving and project planning.

---

**Education and Professional Development**  

**Genius Space**  
Completed ""Genius"" course in Project Management

**Skillsetter**  
Currently pursuing Product Manager courses at Skillsetter.io

---

**Skills**  
- Project Management  
- Team Leadership  
- Budget and Cost Control  
- Agile, Scrum, and Kanban Methodologies  
- SDLC Processes  
- Client Communication and Support  
- Data Analysis  
- Time Management and Planning  
- Process Optimization  
- Effective Communication  

---

**Additional Information**  
- Not seeking sales positions.
"
469,"
 - Achieved an 85% reduction in equipment rental costs
- Coordinated technical resource procurement for international production projects with success
- Effectively managed project budgets
- Expertise in project planning, team organization, process control, meeting deadlines, and budget optimization
- Experienced in risk management
- Proficient in using Asana, Jira, and Confluence
- Extensive experience as a line producer in film production and media publishing
- Specialized in managing technical resources and teams for complex production cycles
- Strong focus on process optimization and innovative problem-solving
- Motivated, fast learner with excellent communication, time management, and analytical skills
- Seeking a role in a company with established processes and structure.
"
470,"
 Head of Department  
- Over 4 years of experience leading teams of 10-25 in the cruise industry  
- Expertise in driving financial performance and enhancing employee satisfaction  
- Skilled in adjusting marketing strategies and ensuring customer satisfaction  
- Proficient in acclimatizing new staff and managing work schedules  
- Experienced in organizing team activities for optimal operation  
- Successfully managed the Photo operation onboard Royal Caribbean and Celebrity Cruises ships  

IT Internship  
- 3 months of experience in an IT company specializing in Shopify web development  

Career Objective  
- Seeking a stable position in HR to contribute meaningfully to the company  
- Open to entry-level roles with opportunities for career advancement and growth  
"
471,"
 **[Your Name]**

[Your Contact Information]  
[Your LinkedIn Profile]  
[Your Address]  

---

**Objective**  
Dedicated project manager seeking a fulfilling opportunity for personal and professional growth in a challenging and engaging environment.

---

**Experience**  

**Project Manager**  
[Start-up Name], [Location]  
[Month, Year] – [Month, Year]  
- Led the development of a smart weather station tailored for paragliders, enhancing user safety and experience.
- Facilitated communication with stakeholders and gathered critical information for project success.
- Conducted market analysis to identify trends and opportunities.
- Organized productive meetings and meticulously created comprehensive project documentation.

**AIESEC Member**  
AIESEC  
[Month, Year] – [Month, Year]  
- Successfully organized events and projects, contributing to the organization's objectives.
- Collaborated with diverse teams from various countries, fostering effective cross-cultural communication.

---

**Skills**  
- Strong project management abilities
- Proficient in coding
- Extensive knowledge of various technologies

---

**Education**  
[Your Degree/Certificate]  
[Your University/College Name], [Location]  
[Year of Graduation/Completion]

---

**References**  
Available upon request
"
472,"
 [Your Name]  
[Your Address]  
[City, State, Zip]  
[Your Phone Number]  
[Your Email Address]  

**Professional Summary**  
Creative and driven design professional with over 4 years of experience in graphic and web design. Proven ability to develop and implement creative concepts for corporate identities. Skilled in project management from concept to completion while ensuring high quality design work. Excellent communication skills with a strong focus on understanding client needs and delivering results.

**Education**  
KhNEU. S. Kuznets  
Degree in Graphic/Web Design

**Experience**  

**Web and Graphic Designer**  
LOGOVO  
- Developed corporate identities and designs for printed products  
- Prepared files for printing and designed banners for advertising  
- Created and maintained WordPress sites  

**Content Manager**  
COZI.UA  
- Organized and conducted photo shoots for diverse projects  
- Developed photo and video content  
- Wrote scripts for effective client communication  

**Layout Maker**  
Kharkiv News  
- Prepared layouts for printing  
- Processed illustrative material and placed content on newspaper pages  

**Key Projects and Achievements**  
- Created and redesigned corporate identities  
- Participated in city competitions for logo design  

**Skills**  
- Proficient in CSS/HTML for website markup  
- Strong skills in planning, communication, and problem-solving  
- Insightful understanding of human behavior through psychology studies  
- Experienced in organizing processes to achieve client goals  

**Personal Attributes**  
- Passionate about organizing, communicating, and helping people achieve results through design work.
"
473,"
 Trainee/Junior Project Manager with 1 year of experience in managing the complete delivery process of commercial projects using best practices in Agile methodologies, including Scrum and Lean.

Interpreter with 2 years of experience in military, IT, and humanitarian sectors.

Led a team of 6 translators and technical consultants to complete maintenance documentation projects for equipment valued at over $3,000,000 per unit, consistently meeting tight deadlines with limited reference materials.

Reduced lead time by 2.5 times and delivered over 10,000 highly technical Ukrainian words in 8 days through effective project leadership on maintenance documentation.

Recognized for being results-driven, highly organized, and structured with strong critical thinking, analytical, prioritization, and decision-making skills in fast-paced and high-pressure environments.

Commended for excellent communication skills with stakeholders at all organizational levels.
"
474,"
 **[Your Name]**  
[Your Address]  
[City, State, ZIP Code]  
[Your Email Address]  
[Your Phone Number]

---

**Professional Summary**  
Results-driven professional with extensive experience in project management, sales, and pharmacy operations. Capable of delivering projects on time, fostering customer loyalty, and ensuring efficient pharmacy management. Proficient in using various project management tools and techniques to achieve strategic objectives and enhance team performance.

---

**Experience**

**Trainee Project Manager (Pet Project)**  
IT School IAMPM Project Management Courses  
March 2022 - August 2022  
- Developed and tracked comprehensive project plans to ensure progress and completion.
- Applied verification techniques to manage changes in scope, schedules, and project costs.
- Conducted risk management practices to mitigate project risks effectively.
- Created and maintained thorough project documentation.
- Proficient in tools such as Miro, Product Plan, Jira, Confluence, Trello.

**Private Entrepreneur/Senior Sales Manager**  
Women's Clothing Chain  
August 2019 - February 2022  
- Enhanced customer experience to build strong brand loyalty.
- Supervised and coordinated contracted employees to deliver projects within deadlines.
- Utilized exceptional planning and coordination skills to meet sales targets.
- Innovated solutions to improve efficiency in processes, technology, and teamwork.

**Head of Pharmacy**  
Pharmacy Chain ""Gamma-55""  
July 2014 - August 2019  
- Administered immunizations, medication therapy management, and specialty programs safely and effectively.
- Managed prescription and insurance billing information within patient profiles.
- Collaborated with healthcare professionals to assess the quality and effectiveness of medication therapies.
- Trained and supervised pharmacy technicians and sales assistants to ensure smooth operations.

---

**Skills**  
- Project Planning and Management  
- Risk Management  
- Customer Experience Enhancement  
- Staff Training and Supervision  
- Proficient in: Miro, Product Plan, Jira, Confluence, Trello

---

**Education**  
[Your Educational Background, if applicable, including degrees earned, institution names, and any relevant certifications]

---

**Certifications**  
[Include relevant certifications, such as project management or other qualifications, if applicable] 

---

**References**  
Available upon request.
"
475,"
 Education

- Radiotechnical Systems Engineer

Experience

TRENDO  
Account Manager  
July 2022 - Present  
- Communicate with foreign clients  
- Analyze advertising campaign performance  
- Generate reports for clients  
- Participate in sprint meetings with the project team  
- Distribute tasks and deadlines among the project team  
- Work according to Kanban methodology  
- Set up websites with GTM  
- Configure Universal and GA4 analytics  
- Customize conversions for Google Ads  
- Optimize Google Merchant rules  
- Enhance Shopify operations  

ZEZMAN  
Junior Project Manager/Junior Business Analyst  
September 2021 – April 2022  
Odessa, Ukraine  
- Develop schedules and compile documents to guide projects and outcomes  
- Liaise with stakeholders on scheduling, staffing, and technical requirements  
- Organize the work of the Business Analytics Unit  
- Plan large-scale projects focused on digitalization and electronic document management implementation  
- Support in business process implementation and optimization  

Government Projects  
Trainee Project Manager  
October 2019 - December 2019  
- Plan, manage, and oversee project execution  
- Deliver projects on-time and within the given budget  

Skills

- Business process management  
- Project management  
- Client and stakeholder communication  
- Analytics and reporting  
- Digitalization and electronic document management implementation  
"
476,"
 **[Your Name]**  
[Your Address]  
[City, State, ZIP Code]  
[Your Phone Number]  
[Your Email Address]  

---

**Education**  

Kyiv National Linguistic University (KNLU), Kyiv  
- Bachelor’s Degree in Philology, specialization in Translations (English), 2009-2013  
- Master’s Degree with Honors in Translation, specialization in English and Spanish languages, Master of Arts in Translation, 2013-2014  

**Additional Education and Certificates**  
- Course ""Deeply Practical Project Management"" by William Stewart PhD, PMP, 2019  
- Kyiv Advertising School Certificate in Event Management, 2015  
- ""The First State Courses of Foreign Languages"" Certificate (English)  
- ""Days of Reading of the Novel 'Don Quixote'"" participation certificate, signed by José Rodríguez Moyano, Ambassador of the Kingdom of Spain in Ukraine, 2012  
- 1st place in Translation of Poetry Competition during Days of the Spanish Language  
- Participation in the 1st Ukrainian Scientific and Practical Conference of Young Scientists  

**Experience**  

**Freelancer**  
- Project Management and Interpreter of English and Spanish  
- Collaborated with Luxe Cube brand company and Spanish private individuals  

**Translator**  
Translation Agency ""Antey""  
- 2012-2016  

**Customer Service Manager / Interpreter/Translator / Medical Coordinator / Operations Manager**  
NEOGENIA Ltd.  
- January 2016 - August 2017  

**Operations Manager / Manager of International Affairs / Interpreter/Translator / Customer Service Manager**  
""IVF-GROUP"" LLC, International Department of ""MOTHER AND CHILD"" Medical Center  
- September 2017 - Present  

**Skills**  
- Customer Operations Management, Conflict Management – over 4 years of experience  
- Project Management with a foundational understanding of web application development flow, control systems, project pre-sale, project estimations, costs, and task management  
- Familiarity with PM Methodologies including Scrum, Agile, and Kanban  
- Knowledge of PM Platforms such as Jira, Trello, and YouTrack  
- Proficient in G-Suite  
- Basic knowledge of ABBYY FineReader, Multitran, Lingvo, Adobe Photoshop, OpenOffice, Microsoft Office  

---
"
477,"
 **[Your Name]**  
[Your Address]  
[City, State, ZIP]  
[Your Phone Number]  
[Your Email Address]  

---

**Professional Summary**  
[Optional: Add a brief summary of your professional skills and experiences here.]

---

**Professional Experience**

**Ukrainian Corporate Governance Academy (UCGA)**  
*Project Manager & CEO Assistant*  
March 2022 - November 2022  

- Managed project progress tracking and scope & schedule planning.
- Organized and facilitated meetings for current and new initiatives.
- Assisted the team with ongoing tasks, ensuring efficient project execution.
- Documented resources and conducted research to achieve project objectives.
- Optimized and managed organizational spending for projects.
- Prepared and presented meeting follow-ups and reports to the board of directors.
- Conducted retrospectives with the team to improve processes.
- Contributed to building long-term goals for the company.

**Dattalion (Volunteering)**  
*Data Collection Team Lead & Operations Manager*  

- Developed and implemented operational policies and procedures.
- Created guidelines for data collection and onboarded new managers.
- Monitored compliance with regulations and oversaw data collection processes.
- Formulated strategic objectives and monitored KPIs and quality controls.
- Collaborated with partners, donors, co-founders, and managers in weekly meetings.
- Motivated and led the team to maintain a positive and productive environment.
- Identified and addressed project problems and opportunities.
- Managed budget usage reviews and reported cost plans to upper management.
- Reviewed and approved operational invoices for payment processing.

**HCM International Ltd.**  
*Researcher & Analyst*  
January 2019 - February 2022  

- [Here you can add the specific tasks and responsibilities you had at HCM International Ltd., if applicable]

---

**Education**  
[Your Degree] in [Your Field]  
[Your University], [Year]  

*Certifications*  
[List any relevant certifications]

---

**Skills**  

- Project Management  
- Strategic Planning  
- Data Analysis  
- Team Leadership  
- Budget Management  
- [Add any other relevant skills]

---

**Languages**  
[List any languages you speak if applicable]

---

**References**  
Available upon request.
"
478,"
 SCIENTIFIC CHRONICLE

Education:
- Bachelor’s Degree, State Flight Academy of Ukraine, June 2012
- Specialist Degree (equivalent to Master’s Degree), Kirovograd Flight Academy of the National Aviation University of Ukraine, July 2013
- Currently studying Navigation, Guides, and Control, Beihang University of Aeronautics and Astronautics, since September 2015

Certifications:
- ICAO English and Phraseology - 4th level, December 2012
- TOEFL iBT - Score: 86, July 2015

Research & Publications:
- Conducted research in Air Traffic Management focusing on “Patterns of activity of operators in the system of air navigations services in case of delays,” December 2012 - June 2013
- Co-authored conference paper with Zheng Shuai-Yong titled “An Initial Research on Ultra-Wideband and Inertial Measurement Unit Pose Estimation for Unmanned Aerial Vehicle,” May 2016
- Published “Introduction to Multicopter Design and Control” under the guidance of Professor Quan Quan, June 2017
- Invited to present a paper at an International Conference on “Altitude Control For Micro Small Drones Flying In The Low Altitudes Of The National Airspace,” October 2017

Awards & Honors:
- Scholarship prize for outstanding behavior and participation, Beihang University, December 2016

Professional Experience:
- Head of Education Department, Beihang University, January 2018
- Intern, TUS HOLDING Ltd., March 2018

Projects:
- Proposed concepts such as Micro drones flights inside cities in China and Offline Local Maps Creation for Commercial Use, January 2017
- Experimented on ‘Comparison of using 2D-scanning lasers to camera sensors for light UAVs obstacles detection and avoidance,’ November 2017

Languages:
- Ukrainian, Russian (Native)
- English (Advanced, TOEFL 96, ICAO 4)
- Chinese (HSK3)
- Spanish (Pre-Intermediate)

Skills:
- Operating Systems: iOS, Windows, Linux
- Software: MS Office, Mac Office
- Task Operational Programs: Mantis, Leader Task
- Graphic Editors: Photoshop, Corel
- 3D Printing Applications: 3D Max, Cura, Meshmixer
- Programming Languages: HTML, SQL, Mathlab, Python
- File Sharing and Cloud Systems
- Office Equipment Operation
- Social Media Platforms: Facebook, Twitter, Instagram, WeChat
"
479,"
 **[Your Name]**  
[Your Address]  
[City, State, Zip]  
[Your Phone Number]  
[Your Email Address]  
[LinkedIn Profile]  

---

**Objective**  
Seeking a position in a friendly and professional team that is passionate about new knowledge and technologies. Looking for a company that values hard work, learning, and provides opportunities for growth.

---

**Education**  
- Two high educations  
- Cambridge Certificate (English Proficiency at C1 Level)  

---

**Experience**  
- Rallying and motivating teams to achieve success  
- Co-founder of a startup mobile app  
- IT English Teacher  
- Key Clients Manager  
- Public Relations Manager  
- Content Writer, Copywriter, and Translator  

---

**Skills**  
- Understanding of Agile philosophy  
- Knowledge of modern methodologies in IT project management, including Scrum, Kanban, Scrumban, and Waterfall  
- Understanding of organizational effectiveness  
- Proficiency in JIRA, Trello, ROADMAP, and related tools  
- Understanding of the Software Development Life Cycle  
- Ability to create and execute project plans effectively  
- Experience in managing the day-to-day operations of projects  
- Proficient in maintaining documentation  
- Skilled in organizing people and projects  
- Experience in conducting training sessions  
- Negotiation skills  

---
"
480,"
 • Successfully managed multiple projects concurrently by assigning tasks to team members and monitoring their completion.
• Possess extensive experience in project management, development life cycle, and client communication.
• Expert in identifying client requirements, proposing optimal solutions, and ensuring high levels of customer satisfaction.
• Proficient in both written and verbal communication with clients, as well as project documentation and team coordination.
• Demonstrated ability to build and sustain long-lasting client relationships.
• Skilled in using Microsoft Office, WordPress, Trello, and Slack for various project management tasks.
• Strong communication, conflict resolution, and time management skills.
• Actively seeking a new opportunity as a Project Manager in the IT industry to enhance my skills and tackle challenging projects.
"
481,"
 Diploma of Junior Specialist, Technical Specialty  
- Acquired foundational knowledge in technical processes with a focus on practical tasks and projects.  
- Gained hands-on experience with both hardware and software.  
- Competed in student competitions, strengthening teamwork and problem-solving abilities.  

Professional Development  
- Committed to continuous learning and proactive in exploring new technologies.  
- Engaged in self-directed education through volunteer activities, self-study of programming and web design, and participation in online courses and webinars.  

Career Aspirations  
- Eager to develop skills and gain experience in the technical field.  
- Confident in the ability to quickly learn and adapt to new challenges through dedication and hard work.  

Objective  
- To contribute positively to your team by applying my proactive learning approach and commitment to skill development in the technical field.  
"
482,"
 Experienced project manager with a strong focus on team collaboration and delivering successful results. Successfully developed and presented the Kidsatschool project, achieving exceptional outcomes. Proficient in creating and managing essential project documents including mind maps, road maps, backlogs, and critical paths. Skilled in utilizing various techniques and technologies for efficient project layout management. Strong track record in risk assessment, client communication, and stakeholder engagement. Demonstrated capability in schedule tracking, event management, and budgeting. Proficient in test planning and project closure procedures.
"
