,Modified_gpt-4o-2024-08-06_of_modified_Modelgpt-4o-2024-08-06
419,"
 **[Your Name]**  
[Your Address]  
[City, State, Zip]  
[Your Phone Number]  
[Your Email]  
[LinkedIn Profile]  

---

**Objective**  
Results-driven project management professional with 5 years of experience in IT, eager to leverage expertise in a challenging new role.

---

**Professional Experience**

**Current Position**  
[Your Job Title]  
[Your Company Name]  
[Location]  
[Start Date] – Present  

- Supported CTO, CFO, and PM in daily operations, enhancing cross-department communication.
- Interfaced with clients via product owners and business analysts, managing change requests and updating project manager.
- Generated analytical client reports using Jira data, incorporating charts and tables.
- Conducted daily stand-up meetings for project alignment and progress monitoring.
- Documented project developments through protocols and status reports.
- Estimated tasks and tracked time to ensure project deadlines.
- Utilized Agile/Scrum methodologies in project management functions.
- Produced release notes to update stakeholders on changes.

**Previous Experience**  
[Previous Job Title]  
[Previous Company Name]  
[Location]  
[Start Date] – [End Date]  

- Played a key role in growing an IT team from 7 to 40 members over 2 years.
- Worked closely with management to refine company processes and culture.
- Gained deep insights into programming teams and project dynamics through hands-on involvement and mentorship.

---

**Skills**  
- Project Management  
- Agile/Scrum Methodologies  
- Client Communication  
- Analytical Reporting  
- Task Estimation  
- Time Tracking  
- Conflict Resolution  
- Problem Solving  
- Team Collaboration  

---

**Education**  
[Your Degree]  
[Your Field of Study]  
[Your University]  
[Graduation Year]  
"
420,"
 Luxoft  
**Project Manager Assistant**

As a Project Manager Assistant, I support an account with over 400 personnel, managing an average of 30 requests daily and maintaining a 96% customer satisfaction rate. I independently manage operations during night shifts, addressing issues across multiple global locations, including the USA, Japan, Europe, Canada, United Arab Emirates, Mexico, India, Singapore, Morocco, Georgia, Egypt, Kazakhstan, and the Russian Federation.

**Key Responsibilities:**

- Create and track Statements of Work (SOW).
- Collaborate with stakeholders including program and project managers, financial partners, and billing and collection specialists.
- Maintain project structure in corporate systems.
- Provide project-specific support and reporting.
- Develop ad hoc reports and provide administrative support.
- Gather and process data efficiently.
- Manage employee onboarding, transfers, and offboarding in customer and internal systems.
- Maintain employee data in internal tools.
- Validate and create timesheets.
- Allocate workforce regularly.
- Commit to professional growth and skill acquisition.
- Ensure timely payroll processing.
- Employed on a full-time basis.
"
421,"
 Luxoft Ukraine  
Sourcing Manager / Project Management Officer Lead for a FinTech Account  
July 2021 - Present, Kyiv  

- Executed general management across sourcing and hiring processes.  
- Served as the primary liaison between Client, Hiring Managers, Delivery management, recruitment department, and key employees to ensure smooth communication in hiring.  
- Established an Agile framework for gathering, analyzing, and distributing information from key stakeholders to meet client hiring needs.  
- Prepared periodic reports for clients in collaboration with key stakeholders.  
- Effectively mitigated potential hiring risks.  

Helpware  
Project Coordinator  
July 2020 - July 2021, Kyiv  

- Acted as the primary contact between Project Managers, Clients, and other key stakeholders for multiple projects (3-4 projects simultaneously).  
- Collected client requirements for task distribution to executives.  
- Planned and coordinated small-scale project execution, completing 50% of a machine learning project before the lockdown.  
- Provided precise support for ongoing KTLO projects.  

Helpware  
Executive Assistant  
July 2018 - July 2020, Kyiv  

- Delivered administrative support for an FMCG business.  
- Collected client requirements for effective planning and delegation.  
- Utilized Amazon Seller Central to fulfill customer requests.  
- Participated in 2-3 parallel small-scale projects as a project coordinator, including machine learning projects.  
- Conducted basic estimation of project execution.  

Objective: To continue developing as a Project Coordinator and gain further experience to transition into a Project Management role. Ultimately, aspire to obtain a position as a Risk Manager.
"
422,"
 **[Your Name]**  
[Your Address]  
[City, State, Zip]  
[Your Phone Number]  
[Your Email Address]  

---

**EDUCATION**  

Master's Degree in Translation (with honors)  
Ivan Franko Lviv National University  

Diploma in Business Economics  
Lviv Polytechnic National University  

---

**CERTIFICATIONS**  

Certified Accountant Professional (4 exams completed)  
Project Management Course  
N-iX (Training Center Open World)  

Front-end Development Course  
Logos IT Academy  

Java and HTML Courses  
SoloLearn  

---

**PROFESSIONAL EXPERIENCE**  

**Translator and Accountant**  
[Your Company Name], [City, State]  
[Start Date] – Present  

- Oversee accounting for private entrepreneurs and companies under the single taxation system (Group III).  
- Perform tasks including electronic tax services, salary and tax payments, and client-bank system operations.  
- Create staff documentation: orders, staff lists, timesheets, payroll regulations, job descriptions, and vacation schedules.  
- Offer consultation services to foreign and domestic clients.  
- Translate contracts, letters, technical documents; interpret in negotiations and manage communication with banks and notaries.  
- Organize office operations, client visits, and investor meetings.  
- Assist in legal tasks, drafting contracts, creating documents, and registering businesses.  

**Project Manager**  
Travel Blog Development  

- Developed project scope and managed team allocation.  
- Calculated project budget and maintained risk management log.  
- Estimated project using PERT and developed stakeholder matrix.  

--- 

**SKILLS**  

- Proficient in 1C Enterprise and FreeZvit accounting software  
- Strong translation and interpreting skills  
- Excellent organizational and management capabilities  
- Skilled in client relationship management  
- Knowledgeable in tax regulations and accounting practices  
"
423,"
 **[Your Name]**  
[Your Address]  
[City, State, ZIP Code]  
[Phone Number]  
[Email Address]  

---

**Objective**  
Experienced managerial and customer service professional seeking a remote position where my leadership, organizational, and communication skills can contribute to achieving business goals.

---

**Professional Experience**

**Manager**  
*Restaurant «Montecristo»*  
*Florence, Italy*  
*03/2015 – 09/2017*  

- Managed a team of 22 individuals, handling administrative and organizational decision-making.
- Effectively resolved conflicts and handled cashier duties, including shift management and transaction calculations.

**Waiter**  
*Restaurant «Montecristo»*  
*Florence, Italy*  
*11/2012 – 03/2015*  

- Welcomed guests and introduced them to the menu, ensuring a high level of customer service.
- Efficiently placed orders, maintaining proper sequence of drinks and snacks.

**Restaurant Manager**  
*Cafe Restaurant «Еліт клуб»*  
*Nikopol, Ukraine*  
*07/2010 – 01/2012*  

- Trained new staff and facilitated candidate searches and interviews.
- Managed a team of 18, planned operations, and conducted banquets while responding to guest feedback.

**Assistant Director**  
*Agency «Маямі»*  
*Nikopol, Ukraine*  
*12/2009 – 07/2010*  

- Held weekly team meetings, ensuring the effective functioning of agency departments.
- Prepared reports, collaborated with finance, and supported client engagements.

**Sales Manager**  
*Tourist Agency «Галопом по Европам»*  
*Zaporizhzhia, Ukraine*  
*02/2009 – 10/2009*  

- Advised clients on travel options and prepared travel documentation using extensive geographical and cultural knowledge.

**Office Manager**  
*Tourist Agency «Сто доріг»*  
*Zaporizhzhia, Ukraine*  
*07/2008 – 12/2008*  

- Organized departmental work, managed client travel documentation, and ensured smooth office operations.

---

**Skills**  

- Leadership and team management  
- Conflict resolution  
- Effective communication  
- Detailed documentation and reporting  
- Proficiency in travel arrangements and scheduling  

---

**Preferences**  

- Remote work opportunities preferred.
"
424,"
 [Your Name]  
[Your Address]  
[City, State, Zip]  
[Your Email]  
[Your Phone Number]  

**Professional Summary**  
Results-oriented project manager with extensive experience in overseeing all phases of project development from inception to release. Proven skills in task allocation, team coordination, and client communication.

**Experience**  

**Project Manager**  
[Your Company Name] - [City, State]  
[Start Date] - [End Date]  
- Led all stages of project management, achieving timely delivery and successful project completion.  
- Coordinated task allocation across multidisciplinary teams including back-end, front-end, iOS, Android, DevOps, SQL development, UI/UX, QA, and BA.  
- Conducted regular meetings to ensure task prioritization and effective planning.  
- Established streamlined task structures to enhance efficiency in project management.  
- Developed project timelines, managed budgets, and allocated resources effectively.  
- Conducted business analysis and documented project requirements comprehensively.  
- Engaged with customers to accurately capture requirements and maintain robust communication.  
- Supplied developers with detailed data and specifications to optimize performance and clarity.  
- Supported the deployment process with server installations and necessary configuration settings.  
- Partnered with design teams to improve application UI/UX.  
- Managed project risks proactively and facilitated conflict resolution within teams.  
- Delivered compelling product presentations to potential clients, emphasizing key features and benefits.  
- Demonstrated adaptive learning capabilities with a commitment to continuous professional growth.  
- Exhibited effective time management, successfully overseeing multiple concurrent projects.

**Responsibilities**  
- Orchestrated the creation and division of tasks into sprints, ensuring alignment with project objectives.  
- Maintained thorough managerial documentation and served as a key point of client communication.  
- Acted as a liaison between clients and development/design teams to ensure seamless collaboration.  
- Compiled task estimates with developers, evaluating potential risks and ensuring accuracy.  
- Conducted kick-off and planning meetings to establish project direction and goals.  
- Managed up to five projects simultaneously, including outstaffing and outsourcing endeavors.

**Technical Skills**  
- Proficient in JS (React, Node, React Native, Vue.JS), Flutter, iOS, Android, PHP (Laravel).  
- Experience in blockchain technologies (Symfony and Solidity).  

**Education**  
[Your Degree]  
[Your University] - [City, State]  
[Graduation Year]  

**Language Skills**  
- Advanced English language proficiency, both written and spoken.  
"
425,"
 March 2022 - May 2023  
**ESC Volunteer, European Solidarity Corps**  
NGO Keric  
- Developed and implemented non-formal English activities for children aged 6-15, working both independently and collaboratively with other volunteers.  
- Conducted English lessons at local schools under teacher supervision.  
- Co-organized children's summer camps with Keric in summer 2022.  

October 2021 - February 2022  
**Logistics Coordinator**  
- Liaised with U.S. brokers and carriers to coordinate interstate goods transportation.  
- Analyzed market trends to negotiate optimal transportation deals.  

September 2019 - December 2021  
**Translator (English-Ukrainian)**  
- Translated written documents and correspondence between English and Ukrainian.  
- Acquired experience in oral translation, with an emphasis on written work.  
"
426,"
 Marinetek  
Project Manager / Company Representative in Ukraine  
2012 - Present | Ukraine | marinetek.net  

Marinetek is an internationally recognized brand name for premium marinas and advanced floating solutions.  
- Conduct client search and develop client relationships.  
- Oversee comprehensive project and company management.  

Concord Group  
Project Manager  
2013 - 2017 | Ukraine | concordgroup.com.ua  

Concord Engineering is a global leader in engineering, supplying, constructing, repairing, and consulting services.  
- Enhanced communication among customers, general contractors, suppliers, and contractors.  
- Developed budgets, allocated resources, and scheduled work timelines.  
- Coordinated and supervised work processes.  
- Assembled teams and managed contractors, conducted pre-project preparation, and performed project feasibility analysis.  
- Organized tender participation, encompassing team building, contractor management, budgeting, deadline management, technology evaluation, and document submission.  
- Monitored tenders and undertook customer acquisition.  
- Directed project commissioning processes.
"
427,"
 **[Your Name]**  
[Your Address]  
[City, State, ZIP]  
[Your Email]  
[Your Phone Number]  

---

**PROFESSIONAL EXPERIENCE**

**Market Data Analyst**  
Procter & Gamble, Warsaw  
October 2020 - June 2021  

- Ensured seamless market delivery by managing product supply to designated regions.  
- Executed demand planning utilizing Business Intelligence tools and statistical analysis.
- Acted as the liaison among production, transportation, and sales teams.  
- Managed and resolved crises stemming from logistical disruptions, including shutdowns and transportation challenges.

**Technologies:** MS Office, Power BI, SAP, and diverse planning applications.

**Project Manager**  
Start Warsaw Student Business Organization  
2019 - 2020  

- Coordinated multiple business events with responsibility for event logistics.  
- Enhanced departmental communication and collaboration.
- Engaged with industry mentors and speakers to secure participation.
- Negotiated with partners and sponsors, and managed event booths.  
- Streamlined workflow and enhanced reporting efficiency.

**Technologies:** MS Office, Slack, Zoom, and additional messaging platforms.

**Owner**  
Automated Car Wash Station, Ukraine  
March 2022 - Present  

- Formulated business strategies and ensured compliance with legal standards.
- Led the construction and implementation phases, launching the business successfully.
- Oversaw operations covering recruitment, financial management, logistics, and overall business administration.

---

**Objective**  
To leverage my expertise in IT-focused Project Management, contributing effectively to a dynamic team while pursuing opportunities for professional growth.
"
428,"
 **[Your Name]**  
[Your Phone Number]  
[Your Email Address]  
[Your LinkedIn Profile URL]  
[Your Address]  

---

**Professional Experience**

**Maliukin**  
*Personal Assistant*  
May 2021 - Present  
- Manage documents and oversee financial accounting processes  
- Conduct in-depth information searches and plan weekend activities  
- Order office supplies and coordinate car services efficiently  

**Lagom.li**  
*Junior Project Manager*  
- Facilitate daily meetings, retrospectives, and detailed planning sessions  
- Monitor task implementation and progress within projects  
- Utilize Lean methodology to streamline workflows and identify inefficiencies  

**EVO (vector Prom +)**  
*Technical Support Specialist*  
May 2020 - March 2021  
- Provided expert consulting support to merchants via email and messaging platforms regarding technical inquiries  
- Drafted detailed tasks for developers based on merchant feedback and requirements  

**Poster POS**  
*Information Manager*  
October 2018 - February 2020  
- Successfully identified and addressed a wide range of client needs  
- Developed effective, tailored solutions to overcome client challenges  

**Red Bull**  
*Brand Manager (Wings Team)*  
July 2015 - April 2018  
- Engaged with diverse audiences to strengthen brand loyalty  
- Presented products and played a key role in organizing sports and city events  

---

**Education**  
[Your Degree]  
[Your University]  
[Month, Year] - [Month, Year]  

**Skills**  
- Document Management  
- Financial Accounting  
- Project Management  
- Technical Support  
- Client Relations  
- Event Organization  
- Lean Methodology  
"
429,"
 [Your Name]  
[Your Address]  
[City, State, Zip]  
[Your Phone Number]  
[Your Email]  
[LinkedIn Profile]  

**Objective**  
Seeking a position as an IT Project Manager, applying over 8 years of experience in project management within the civil sector and international projects.

**Professional Experience**  

**Ministry of Digital Transformation (Ukraine)**  
*Project Manager*  
[Month, Year] - Present  
- Led e-gov portal ""Diya. Digital Hromada"" development, aligning with 30+ stakeholders, including state and local authorities.  
- Coordinated a network of 30 remote lawyers; launched the first training program for community human rights defenders.  
- Managed creation of 10+ laws and legislative initiatives through stakeholder meetings and negotiations.  
- Documented customer requirements and expectations for functional and non-functional needs.  
- Conducted stakeholder needs assessments and negotiated with potential developers.  
- Prepared and managed project documentation, coordinating remote teammates effectively.

**Key Achievements:**  
- Successfully aligned portal requirements with over 30 stakeholders, including government entities.  
- Developed roadmap and Terms of Reference (ToR) for developers and executed procurement procedures.

**The Global Fund to Fight AIDS, Tuberculosis and Malaria**  
*Project Director*  
[Month, Year] - [Month, Year]  
- Managed various projects, ensuring timely delivery and adherence to organizational goals.

**NGO Donbas SOS (Ukraine)**  
*GR-Director*  
[Month, Year] - [Month, Year]  
- Directed grant-related activities, fostering partnerships to support project objectives.

**Convictus (Sweden)**  
*GR Adviser*  
[Month, Year] - [Month, Year]  
- Advised on grant-related strategies, contributing to effective program implementation.

**Civil Sector Projects**  
*Project Manager*  
[Month, Year] - [Month, Year]  
- Oversaw multiple civil sector projects, ensuring successful execution and stakeholder engagement.

**Skills**  
- Project Management  
- Stakeholder Engagement  
- Requirements Gathering  
- Team Coordination  
- Negotiation  
- Documentation  
- Strategic Planning  

**Education**  
[Your Degree]  
[Your University]  
[Year of Graduation]  

**Certifications**  
[List any relevant certifications]  

**Languages**  
[Language and proficiency level]  
"
430,"
 [Your Name]  
[Your Address]  
[Your City, State, Zip]  
[Your Email]  
[Your Phone Number]  

---

**Professional Summary**  
Dynamic and driven manager with over 13 years of experience in marketing and advertising. Expert in project management with a proven track record in creating and implementing successful projects. Equipped with a comprehensive skill set in research, organization, planning, teamwork, communication, and problem-solving.

---

**Experience**  

**Mobile Application ""GiftWizzard""**  
*Product Owner / Project Manager*  
*May 2023 - Present*  
- Spearhead the development of a smartphone app designed to aid users in gift searching and date reminders. 
- Construct user questionnaires to capture interests, facilitating tailored gift recommendations and product sourcing.
- Produce key project documents such as the Statement of Work, Stakeholder Register, Project Risks, RACI Matrix, Critical Path, Test Plan, Performance Tracking, Earned Value Management, General Budget, Estimate Template, and Project Closure Checklist.
- Direct the development phase of the Minimum Viable Product (MVP).

---

**Grape Advertising Agency**  
*SMM Moderator / Content Manager*  
*2011 - 2019*  
- Crafted and coordinated responses to social media comments, ensuring alignment with brand voice.
- Collected and analyzed monthly statistics on group activity and engagement.
- Oversaw competitions and tracked data on gift delivery and related activities.
- Designed and published content for commercial groups and developed engaging social media stories.

*Achievements*: Boosted engagement and audience loyalty with strategic communication.

---

**Anticafe Moloko**  
*Co-founder / Administrator / Event Manager / SMM Manager*  
*2013 - 2014*  
- Developed concepts, positioning, and business strategies for a new anti-café initiative. 
- Managed operational processes, including renovations, interior design, and furniture creation.
- Organized and executed events and marketing activities to boost brand visibility.
- Directed social media presence and marketing campaigns.

*Achievements*: Successfully launched and developed an anti-café project from the ground up.

---

**Education and Training**  
- Formal education and training in Project Management.  

---

**Skills**  
- Project Management  
- Marketing  
- Research  
- Organization  
- Planning  
- Teamwork  
- Communication  
- Problem-Solving  
"
431,"
 [Your Name]  
[Your Address]  
[City, State, Zip]  
[Your Phone Number]  
[Your Email Address]  
[LinkedIn Profile]  

**Professional Summary**  
Detail-oriented recruitment specialist with over 4 years of experience in sourcing and hiring across various roles from Junior to C-level within the IT industry. Demonstrated success in developing effective recruitment strategies and leading a team to achieve organizational goals. Proficient in building strong relationships with hiring managers to establish hiring criteria and search methods. Experienced in creating training programs for recruitment teams.

**Professional Experience**  

**Recruitment Manager**  
[Company Name] – [City, State]  
[Month, Year] – Present  
- Develop and implement recruitment strategies to enhance sourcing and hiring effectiveness.  
- Manage a team of 4 recruitment specialists, overseeing the sourcing and hiring processes.  
- Collaborate with hiring managers to define hiring needs and establish selection criteria.  
- Create and execute training programs for recruitment teams to improve skills and efficiency.  
- Successfully close IT vacancies from Junior to C-level, ensuring quality candidate selection.

**Key Skills**  
- Recruitment and Talent Acquisition  
- Team Leadership and Management  
- Communication and Interpersonal Skills  
- IT Industry Knowledge  
- Training and Development Programs  
- Project Management Fundamentals  
- Problem-solving and Adaptability  

**Education**  
[Your Degree]  
[University Name] – [City, State]  
[Month, Year]  

**Professional Development**  
Currently enrolled in an online Project Management course from Techmind. Engaged in continuous learning through literature on development management.

**Career Objective**  
Seeking a Project Manager position to utilize my skills in planning, coordination, communication, risk management, budget management, quality management, leadership, problem-solving, time management, and adaptability. Committed to pursuing opportunities for learning and development to enhance my abilities and contribute to project success.
"
432,"
 [Your Name]  
[Your Address]  
[City, State, Zip]  
[Your Phone Number]  
[Your Email]  
[LinkedIn Profile]  

**Professional Summary**  
Dynamic professional with over three years of experience in team leadership, project coordination, and talent management. Known for effectively organizing and implementing educational programs, managing diverse teams, and cultivating partnerships in international settings.

**Experience**  

**Team Leader & Talent Coordinator**  
[Company Name] - [Location]  
[Start Date] – [End Date]  
- Managed team functions and organized middle management efforts to streamline operations.
- Enhanced communication and collaboration among team members to meet organizational objectives.

**Private English Tutor**  
[Self-Employed/Company Name] - [Location]  
[Start Date] – [End Date]  
- Developed personalized lesson plans and executed them effectively for student improvement.
- Led speaking clubs aimed at improving language competencies.

**Team Leader & Project Coordinator**  
AIESEC - [Location]  
[Start Date] – [End Date]  
1. **Incoming Global Volunteer Product Manager**  
   - Evaluated potential exchange participants through CV assessments and interviews.  
   - Drafted contracts and managed risks for international volunteer participants.  
   - Engaged in follow-up activities using tracking systems and CRM tools (Podio, EXPA).  
   - Arranged communication with foreign partners to foster beneficial partnerships.  
   - Optimized team dynamics to achieve project objectives.  

2. **Talent Manager**  
   - Oversaw team performance and conducted individual meetings.  
   - Efficiently processed incoming applications to align talents with appropriate positions.  
   - Utilized Google Sheets for creating and presenting performance reports.  
   - Analyzed team data using Miro and Trello for effective dashboard management.  

**Skills**  
- Team Leadership  
- Project Coordination  
- Talent Management  
- Lesson Planning  
- Stakeholder Communication  
- Performance Reporting  
- CRM Systems (Podio, EXPA)  
- Google Sheets, Miro, Trello  

**Expectations**  
Looking for an opportunity in a collaborative and progressive team environment, where continuous learning and professional growth are prioritized, particularly with a focus on advancing the educational journey of students.
"
433,"
 [Your Name]  
[Your Address]  
[City, State, Zip]  
[Your Phone Number]  
[Your Email]  
[LinkedIn Profile or Personal Website]  

**Professional Summary**  
Results-oriented project manager with extensive experience guiding multidisciplinary teams and delivering high-quality projects. Proven expertise in team leadership, project documentation, financial management, and client engagement.

**Experience**  

**Project Manager**  
[Company Name], [Location]  
[Month, Year] – Present  
- Directed a team of 4 to design and construct exhibition stands for global events, ensuring timely completion and client satisfaction.  
- Managed entire project lifecycle for 3 standout exhibition stands, adeptly applying agile and waterfall methodologies along with in-house CRM tools.  
- Played an integral role in handling 7 projects featured on keepwine.com.ua.

**Personal Assistant**  
[Father's Business Name], [Location]  
[Month, Year] – [Month, Year]  
- Acquired broad skills in project management, documentation, financial planning, administrative support, and on-site furniture assembly.  
- Engineered a functional website and financial spreadsheets, devised document templates, and contributed to on-site furniture setup.  
- Actively engaged in the design of a heating system for a 400 sq.m. workshop and supported ongoing workshop management.

**Skills**  
- Project Management  
- Team Leadership  
- Documentation and Reporting  
- Financial Management  
- Communication and Negotiation  
- Technical and Creative Writing  
- Proficiency in English  

**Education**  
[Your Degree]  
[Your University], [Location]  
[Year of Graduation]  

**Interests**  
Passionate about innovative work settings that enhance creativity and adaptability.
"
434,"
 **[Your Name]**  
[Your Address]  
[City, State, Zip]  
[Your Phone Number]  
[Your Email Address]  
[LinkedIn Profile URL]  

---

**PROFESSIONAL SUMMARY**  
Dynamic Project Manager with a proven track record in managing complex projects in content production, influencer marketing, and advertising across platforms like Instagram, YouTube, and TikTok. Skilled at collaborating with international stakeholders to align projects with KPIs and quality standards.

---

**PROFESSIONAL EXPERIENCE**  

**Project Manager**  
AIR Media-Tech | Nov 2020 - Present  
- Oversaw multiple projects, ensuring requirements and KPIs were clearly defined.  
- Coordinated project planning and task management, delivering consistent updates to stakeholders.  
- Led regular client meetings, prepared reports on completed tasks, and presented project outcomes.  
- Managed project budgets, ensured quality, and adhered to timelines, advocating for both team and client interests.  
- Enhanced team communication through structured meetings and retrospectives.  

**Tools Used:**  
Confluence, CRM (Salesforce, Amo, Bitrix), Trello, Asana, Notion, Jira, Microsoft Office, Google tools, Familiar with Figma, Miro  

---

**Head of Client Service**  
Superludi Business School | Aug 2019 - Nov 2020  
- Cultivated key stakeholder relationships, focusing on engagement and service quality improvement.  
- Developed processes and communication strategies to bolster service delivery.  
- Monitored service quality and generated reports to drive continuous improvement.  

---

**Client Services Engineer (International Team)**  
SupportYourApp | Sep 2018 - Jan 2020  
- Collaborated with IT developers to secure customer satisfaction.  
- Became a product expert, participating in skill assessments and reviews.  
- Mentored and supported new team members during onboarding.  

---

**EDUCATION & TRAINING**  
IT Project Management Course (IAMPM)  
- Developed foundational project management skills.  

--- 

**SKILLS**  
- Project Management  
- Stakeholder Management  
- Communication  
- Problem Solving  
- Team Collaboration  
- Quality Control  

--- 

**LANGUAGES**  
[Add languages you speak, if applicable]  

--- 

**REFERENCES**  
Available upon request.
"
435,"
 [Your Name]  
[Your Address]  
[City, State, Zip]  
[Your Phone Number]  
[Your Email Address]  

**Objective**  
Motivated individual eager to contribute to an innovative IT company offering growth opportunities.

**Education**  
[Your Degree]  
[Your University]  
[Year of Graduation]

**Experience**  

**Project Experience: Mandruy**  
- Developed an app to compete with 'Tripadvisor,' focusing on travel and points of interest in Ukraine.
- Managed project complexity using Agile methodologies.
- Created Lean Canvas, Mind Map, Outline, and prototypes to define project scope and functionality.
- Utilized Jira Software's Kanban board for tracking and management.
- Generated Road Map and Gantt Chart for visualizing timelines and milestones.
- Presented project to mentors and received feedback for future improvements.

**Skills**  
- Proficient in Agile, Scrum, and Kanban software development methodologies.
- Experienced in Jira for project management, including writing user stories and defining acceptance criteria.
- Familiar with Miro for collaboration and board creation.
- Competent in using GanttPro for project planning and coordination.
- Strong problem-solving, critical thinking, and leadership skills demonstrated through team collaboration.

**Personal Attributes**  
- Committed to fostering a positive and trustworthy team environment.
- Eager to work with talented and creative professionals on challenging projects.
- Enthusiastic about achieving goals and contributing to company success.
"
436,"
 **[Your Name]**  
[Your Address]  
[City, State, Zip]  
[Your Phone Number]  
[Your Email Address]  
[LinkedIn Profile URL]

---

**Professional Summary**  
Results-driven project manager with expertise in project management, communication with developers, and people management. Skilled in analyzing product gaps, developing strategic business plans, and leading successful rebranding initiatives.

**Education**  
- Project Management: Experienced in project initiation, estimation, requirements development, budget management, timeline tracking, and release management.

**Core Competencies**  
- Project Management  
- Technical Requirements Development  
- Agile Frameworks  
- People Management  
- Performance Review  
- Conflict Mediation  

**Professional Experience**  

**[Job Title]**  
**[Company Name]**  
**[City, State]**  
**[Dates of Employment]**  

- Conducted product analysis to identify organizational gaps.  
- Collaborated with the CEO to formulate a business strategy, establish goals and milestones, and design a comprehensive work plan.  
- Led rebranding initiatives by developing new concepts and facilitating their introduction.  
- Built a complete website utilizing Tilda with integrated CRM capabilities.  
- Conducted marketing research, including target audience identification, competitive analysis, and tone of voice development.  
- Assisted in recruiting a targeting specialist.

**Skills**  
- Strong analytical and problem-solving skills  
- Excellent communication and interpersonal skills  
- Effective team collaboration and leadership abilities  
- Proficient in project management tools and methodologies  
- Experience in website development and marketing strategy  

**References**  
Available upon request.
"
437,"
 [Your Name]  
[Your Address]  
[City, State, Zip]  
[Your Phone Number]  
[Your Email]  
[LinkedIn Profile URL]  

**Professional Summary**  
Accomplished professional with extensive experience in Sales (B2C and B2B) and Business Development. Skilled in problem-solving, negotiation, and enhancing business processes and personal capabilities. Adept at working alongside Project Managers and Product Owners, with a strong drive for leading projects and motivating teams to achieve success.

**Professional Experience**  

**Business Developer**  
[Company Name] - [Location]  
[Start Date] - [End Date]  
- Supported Project Managers across a range of initiatives, contributing to successful project outcomes.  
- Utilized strong negotiation skills to mediate conflicts between company and clients, nurturing positive long-term relationships.  

**Sales Professional**  
[Company Name] - [Location]  
[Start Date] - [End Date]  
- Cultivated and strengthened customer relationships to promote sales growth in both B2C and B2B markets.  
- Focused on enhancing sales strategies and consistently meeting both personal and team performance targets.  

**Education**  
[Your Degree]  
[Your University] - [Location]  
[Graduation Date]  

**Courses**  
[PM Course Name]  
[Institution Name] - [Completion Date]  

**Skills**  
- Negotiation  
- Business Development  
- Project Collaboration  
- Problem Solving  
- Team Leadership  
- Goal Orientation
"
438,"
 Certificates

Project/Product Management:
- Foundations of Project Management, Google
- Agile with Atlassian Jira
- Product Management, Kyiv Academy of Media Arts

Web Design:
- Web Design: Beginning, Projector
- Front-End: Beginning, Projector

Experience

Project Management (1 year):
- Assisted in assembling project plans and setting tasks for multiple projects.
- Managed internal and external communications; organized and facilitated team meetings.
- Researched and implemented tools for efficient project performance using Agile frameworks.

Web/Graphic Design (5 years):
- Created wireframes, visual mockups, and prototypes for websites.
- Developed web design solutions based on research findings.
- Designed and executed websites using platforms like Tilda and Wix; created email templates.
- Conducted full-cycle branding for events, including logos, posters, banners, brochures, and social media visuals.

Eager to embrace new challenges and development opportunities to fully utilize my skills.
"
439,"
 [Your Name]  
[Your Address]  
[City, State, Zip]  
[Your Email]  
[Your Phone Number]  

**Objective**  
Dedicated Project Manager with deep experience in construction and a focus on transitioning to IT Project Management. Eager to utilize my organizational and communication skills in a Junior PM or Scrum Master role.

**Experience**  

**Project Manager**  
[Your Previous Company Name]  
[City, State]  
[Start Date] – [End Date]  
- Directed multiple construction projects from start to finish, ensuring they met timelines and budgets.  
- Created project schedules and tracked progress, with regular analysis for reporting and decision-making.  
- Communicated clearly with clients, team members, and stakeholders to align and meet project goals and expectations.  
- Managed team dynamics and resolved conflicts to promote a cooperative work environment.  
- Maintained detailed project documentation and prepared reports on project status.

**Education**  
- Completed online IT Project Management courses on Udemy; developed skills in Jira, Confluence, and Slack.  
- Built foundational knowledge in Agile methodologies (Scrum, Kanban) and Waterfall.

**Skills**  
- Strong skills in project administration, including reporting, progress analysis, scheduling, and budget management.  
- Excellent communication skills and ability to manage client relationships.  
- Proven time management and task prioritization skills.  
- Strong sense of responsibility and ownership of tasks.  
- Quick adaptation to new tools and methodologies in IT development.

**Additional Information**  
- Actively pursuing opportunities to apply my project management expertise in the IT sector.  
- Open to online interviews to discuss how I can contribute to your projects.  
"
