,Cleaned Twice GPT-4o Conversation-Improved CV
16,"ResumeName: Contact Information:Email:   Phone:   LinkedIn: ---Professional Summary:Passionate Digital Designer with extensive experience in Marketing, Photoshop, Illustrator, and Figma. Highly skilled in creating visually stunning designs that help brands grow. Experienced in both freelance and in-house roles, collaborating with multiple companies worldwide. Seeking long-term partnership opportunities to utilize my expertise in product design, enhancing customer experiences and engagement.---Skills:- Design Skills:  - Color Sense, Color Theory, Composition  - Branding, Advertising, Illustration  - Web Ads, Social Media Ads, Digital Design, Digital Imagery, Digital Analytics, E-Blast  - UI/UX Design  - HTML/CSS  - Webflow (Animation/CMS)- Soft Skills:  - Confidence to work independently and in a team  - Creativity  - Customer Interaction---Professional Experience:1. Freelance Digital Designer   - Collaborated with various international companies, including an American firm   - Designed websites, e-blasts, and other digital marketing materials   - Utilized Webflow for animations and CMS integration2. In-House Design Manager   - Led a team of designers to create marketing campaigns for multiple companies   - Worked closely with clients to understand their needs and deliver impactful designs   - Utilized Photoshop, Illustrator, and Figma to produce high-quality design work---Education:- Courses Completed:  - Dare IT - Product Design  - HILLEL (IT School) - Basic Web Design  - CASES MEDIA - Figma (90)  - CASES MEDIA - Graphic Design, Composition (91)---Additional Information:- Advanced user of Figma with a focus on developing engaging and user-friendly designs- Passionate about creating designs that drive customer engagement and market growth- Eager to join a product-focused team where I can use my skills to improve the customer experience---Feel free to contact me. Looking forward to discussing how I can contribute to your upcoming projects.---"
17,"Digital Graphic Designer (NDA)July 2021 – Present- Develop web content- Create logos, posters, and event graphics- Design infographics- Develop landing pages- Design small architectural forms for ad campaigns- Create presentations and training materials- Produce vector illustrations and mascotsDigital Graphic & UI/UX Designer (ReevArts)July 2020 – July 2021- Delivered 500+ social media designs- Produced 250+ TV designs- Consistently designed UI/UX for 2 products over a year- Conducted quality control of animators' work- Storyboarded and created illustrations for showreels and promosTechnical Graphic Designer (Polygraphy)April 2019 – July 2020- Designed based on customer requirements and prepped for printing- Created and printed layouts for T-shirts and sweatshirts- Prepared sticker layouts and clipping paths- Supervised in-house designers- Conducted quality control of customer-submitted designs- Ensured printing and cutting quality- Developed technological mapsGraphic & Web (UI/UX) Designer (Freelance Design)April 2018 – March 2019- Created final art and files for developers and animators- Collaborated with editors and project managers- Designed final art for presentations and assisted in creative presentations- Designed websites and interfaces- Conducted prototyping and templatingAssistant Manager (АМО1, ООО)October 2013 – June 2014- Searched for potential clients- Communicated with clients and handled objections- Searched for tenders in relevant areas- Analyzed need for new parts production and market demand- Worked with technical drawings- Executed personal orders from the head- Analyzed competitors' markets and monitored prices- Maintained the enterprise website"
18,"John DoeEmail: john.doe@example.com | Phone: (123) 456-7890 | LinkedIn: linkedin.com/in/johndoe--- Junior UI/UX DesignerEnthusiastic about crafting intuitive and visually appealing user experiences. Experienced with design tools such as Figma, Photoshop, and Illustrator. Strong grounding in design principles and user-centered design practices. Proficient in creating interactive prototypes, wireframes, and mockups to improve user engagement and usability. A collaborative team player committed to learning and evolving with design trends to meet user needs effectively.--- EducationUI/UX Design Course- Completed a 6-month intensive program on UI/UX design principles.HTML/CSS- Enhanced web development knowledge through additional studies in HTML and CSS.--- ProjectsReal Estate Site Redesign- Redesigned a website for a real estate company based in Destin, Florida.- Improved outdated design, upgraded photo quality, and introduced user-friendly features.- Conducted competitor analysis, developed user personas, and mapped customer journeys.- Delivered a modern, user-centric design to attract potential clients.Travel Web Service- Designed a comprehensive web service for booking excursions, tours, and entertainment globally.- Implemented features such as search and filter options, categorized views, multiple registration methods, online payments, and excursion announcement forms for guides.- Executed market analysis, created JTBD and CJM.- Developed detailed user flows, wireframes, UI-Kit, and adaptive design.--- Skills- UI/UX Design- Figma- Photoshop- Illustrator- HTML/CSS- Wireframes- Mockups- Interactive Prototypes- User-Centered Design- Team Collaboration--- Professional SummaryAiming for a full-time role in a company dedicated to developing digital products for daily and business use. A quick learner and responsible team member, prepared to address complex challenges with diligence and adaptability.---"
19,"              --- ObjectivePassionate and detail-oriented UX/UI designer with a keen interest in creating user-centered digital experiences. Seeking roles that foster creativity and collaboration within cross-functional teams, emphasizing quality, thoughtful design processes, and user satisfaction.--- Skills- UX/UI Design- User Research- Mobile App Optimization- Web Service Design- Landing Page Design- Cross-functional Team Collaboration- Creative Problem Solving--- Experience Indian Cafe Mobile App Optimization & Web Service- Redesigned user interface to enhance usability and aesthetics.- Developed an engaging landing page to improve user engagement and conversion rates. f.Lover Mobile App for Delivering Flowers- Led a team in creating a mobile app for ordering and delivering bouquets and gifts online.- Provided personalized gift and flower recommendations to users.- Enabled users to schedule orders for specific dates, times, or special occasions.--- Education      --- Professional Interests- UX/UI design roles focused on user-centered digital experiences- Positions providing opportunities for creativity and collaboration within cross-functional teams- Roles that prioritize thorough user research, thoughtful ideation, and extensive testing- Projects emphasizing quality and user satisfaction"
20,"           --- ObjectiveAspiring designer seeking a remote opportunity to grow and develop, while contributing to the creation of products that meet customer expectations. Open to positions in companies that offer mentoring.--- Professional SummaryMotivated and detail-oriented designer with hands-on experience in both individual and team projects. Demonstrated leadership skills and the ability to generate innovative ideas. Proficient in performing competitor analysis, developing personas, and creating user-friendly interfaces.--- ProjectsFlowers Delivery Mobile App- Developed a user-friendly and intuitive interface for an online flower ordering service.- Conducted persona research to better understand customer demand.- Created a comfortable and easy-to-use app enabling customers to order a bouquet from anywhere in the world.Pet Scout - Animal Pet Search Web Service- Conducted UX research, including competitor analysis and user flow.- Worked on the architecture of the web service.- Applied design principles to create a compelling user experience.- Created wireframes, mockups, prototypes, and showcased work on Behance as part of a team.Barbershop Landing Page- Designed a landing page to inform visitors about barbershop services and facilitate appointments with chosen barbers.- Performed competitor analysis and developed personas using various research methods.- Developed desktop, tablet, and mobile versions of the site.Tattoo Studio Website Redesign- Redesigned a tattoo salon website to enable visitors to choose tattoo or piercing artists, view portfolios, and easily sign up for consultations.- Conducted competitor analysis based on demographics and statistical data.- Created a visually pleasing and intuitive website.--- Skills- UX Research- Interface Design- Competitor Analysis- Persona Development- Wireframing & Prototyping- Responsive Design (Desktop, Tablet, Mobile)--- EducationSuccessfully completed comprehensive training in design, acquiring both technical knowledge and theoretical understanding.--- Career GoalsSeeking remote opportunities in a dynamic company or as a freelancer. Committed to continuous growth and development as a designer, ideally in an environment with mentoring support."
21,"          --- SummaryUI/UX Designer with extensive expertise in transforming concepts into real solutions for both web and mobile applications. Adept at creating visually appealing designs that also solve challenges and optimize user goals. Proficient in aesthetics and problem-solving to enhance user interfaces and experiences.--- Skills- Design Tools: Figma, Illustrator, ProtoPie, Photoshop- Design Techniques: Low and high fidelity prototypes, Vector illustration, Components, Adaptive design- Specializations: Logo creation, Landing page design, User interface and user experience improvement--- Professional Experience Destin Tattoo Company Website Redesign- Project: Redesign of ""Destin Tattoo Company"" website- Responsibilities:  - Conducted competitor analysis  - Developed prototypes and wireframes  - Selected text and colors  - Created logo  - Adapted components for tablet and mobile The Lost Pets Web Service Project- Project: ""The Lost Pets"" (team-based initiative)- Responsibilities:  - Designed user flow for people finding or picking up animals  - Created an individual logo for the service Suit Store Mobile App- Project: ""Suit Store""- Responsibilities:  - Created a convenient user flow for frequent shoppers  - Managed the project from prototyping to final stage independently after initial teamwork--- Career ObjectiveSeeking a full-time position in a creative and friendly team where I can find solutions to challenging problems, improve user interfaces, and have opportunities for creative promotion in design tasks."
22,"          --- Professional SummaryAccomplished UX/UI Designer with extensive experience leading projects and crafting user-centered designs across diverse platforms. Demonstrated success in developing intuitive, efficient, and visually captivating digital experiences. Passionate about joining a visionary team to work on pioneering and engaging projects.--- Experience Team Leader – BudgetStay Project- Directed a team of designers to create a web service interface for BudgetStay, assisting users in finding free or affordable accommodation.- Engineered the primary user flow with 2 account types (free and premium) and 3 host categories.- Produced designs and prototypes tailored for desktop, tablet, and mobile platforms. Team Leader – Sensual Temple Project- Orchestrated the development of a landing page for the ""Tantric Massage Salon Sensual.""- Established a compelling and informative online presence to draw in potential clients.- Designed responsive layouts adaptable to desktop, tablet, and mobile devices. Independent UX/UI Designer – India Cafe- Reengineered the website for an Indian restaurant in Pennsylvania, USA.- Improved user experience by introducing new pages with photos and a comprehensive menu.- Integrated a reservation feature for user convenience.- Designed responsive layouts and prototypes for multiple devices, including desktop, tablet, and mobile. Independent UX/UI Designer – Citroen 4- Conceptualized a landing page in Ukraine dedicated to booking test drives.- Crafted an engaging and contemporary layout optimized for desktop use. Pet Projects- FoodieFinder: Designed a mobile application for restaurant searches and table reservations, aimed at ensuring a seamless user experience.- Sensual Temple: Developed a landing page for a tantric massage salon, enhancing online presence and client attraction through engaging design.--- Skills- UX/UI Design- Prototyping and Wireframing- Responsive Design- Project Management- Team Leadership- User Research and Flow Design--- ObjectiveTo secure a position as a UX/UI Designer within a progressive team, contributing to the creation of innovative projects that improve client and user interactions. Committed to implementing dynamic solutions and continually advancing personal expertise.---Education---Certifications---Technical Proficiencies---Portfolio---ReferencesAvailable upon request."
23,"           Professional SummaryExperienced graphic design specialist with a strong background in both teaching and hands-on project work. Highly proficient with leading design software and skilled in managing end-to-end design processes. Eager to contribute to a collaborative team environment where I can leverage my skills and continue to grow. Key Skills- Adobe Photoshop- Adobe Illustrator- Corel Draw- ProtoPie- Figma- Canva- Raster and Vector Graphics- 3D Modeling- Programming Languages Professional Experience Computer Science Teacher,   - Delivered lessons on raster and vector graphics, 3D modeling, and programming languages.- Integrated software like Figma, Adobe Photoshop, Adobe Illustrator, Canva, and ProtoPie into classroom activities.- Committed to ongoing professional development and technology integration. Notable Projects Veterinary Clinic ""Aibolit"" Website Redesign- Directed the entire design process, from problem analysis to prototyping and visual style creation.- Developed a modern, user-centric design aimed at increasing customer engagement. ""Coffee Time"" Mobile Application- Led the project from initial problem analysis to final design implementation.- Designed a user-friendly mobile app to streamline scanning and payment for goods, improving customer experience and reducing checkout times. Additional Contributions- Created various design assets such as moodboards, landing pages, and user personas.- Conducted user research and optimized user flows for numerous projects. Education- - , -  ObjectiveTo join a dynamic and motivated team where I can contribute my expertise, develop my skills further, and help achieve shared objectives."
24,"NameContact Information      --- EducationH.S. Skovoroda Kharkiv National Pedagogical University  Faculty of Art and Graphics  Ad DesignerSource IT  HTML Layout (Feb 2015 - Apr 2015)CURSOR Education  UI/UX Designer (Feb 2021 - Jul 2021)Mobios School  UX/UI Web-design + Mobile Design (Sep 2021 - Dec 2021)--- Professional ExperienceFreelance Layout Designer  Various Publishing Houses (Over 10 years)  - Developed layouts for books, magazines, and posters.- Designed pages; searched for and processed vector illustrations; created illustrations when necessary.- Searched for and processed bitmap images.- Compiled collages.- Executed the layout of books and magazines.- Prepared products for printing.--- Skills- HTML Layout- UI/UX Design- Graphic Design- Page Design- Vector Illustration- Bitmap Image Processing- Collage Compilation- Product Preparation for Printing- Communication- UX Research- Wireframing- UI and Web Design- Mobile App Design--- ProjectsUI/UX Design Course Projects  - Conducted client interviews.- Performed competitor and SWOT analyses.- Created UX Personas and Customer Journey Maps.- Developed information architecture, wireframes, and designs.--- ObjectiveSeeking to join a dynamic and collaborative team that values continuous learning and growth, where I can make meaningful contributions and receive valuable feedback."
25,"          ---Objective:  Dedicated UI/UX Designer with six months of freelance experience, eager to leverage skills in user research, design, and prototyping to create impactful and user-friendly design solutions within a dynamic team.---Education:  UI/UX Design Courses  - Comprehensive training in design principles, user research methodologies, wireframing, prototyping, and interaction design.- Recognized for attention to detail, creativity, and effectively integrating user feedback into design iterations.---Professional Experience:Freelance UI/UX Designer  6 months  - Developed unique user interfaces for diverse clients.- Analyzed client requirements, conducted user research, created information architecture, and tested user experiences.- Designed prototypes and collaborated with developers to ensure high-quality end products.- Improved clients’ user experience and conversion rates through distinctive and appealing designs.---Key Achievements:  - UI/UX Design Courses: Gained solid foundation in design principles and methodologies.- Project Collaboration: Worked closely with designers, developers, and stakeholders to deliver engaging user experiences.- Positive Feedback: Received commendations for creativity, attention to detail, and effective incorporation of user feedback.- Continuous Learning: Engaged in self-study, webinars, and design communities to stay current with industry trends and tools.---Core Competencies:  - User Research  - Wireframing & Prototyping  - Interaction Design  - Information Architecture  - User Experience Testing  - Design Principles  - Client Communication  - Project Management---Professional Aspirations:  - User-Centric Design: Committed to understanding and prioritizing user needs to deliver positive user experiences.- Growth Opportunities: Seeking development and advancement opportunities within a forward-thinking company.- Collaboration & Communication: Excel at team collaboration, maintaining productive relationships, and ensuring clear communication with stakeholders.---References:  Available upon request"
