,Modified_openai/gpt-4o_of_resume_Modelopenai/gpt-4o
179,"Досвідчений тім лід відділу підтримки клієнтів з кількарічним стажем роботи в українській компанії Govitall та ізраїльській компанії WIX, де виконував завдання з customer care. Після цього перейшов до управління проектами з веб-розробки в міжнародній маркетинговій компанії Haymarket Media Group. Відзначаюся розумінням, терпінням та здатністю надавати конструктивний фідбек роботодавцю та колегам."
180,"Junior Project Manager

Досягнення:

1. Успішне впровадження проекту: Керував впровадженням проекту з розробки нового веб-додатку, завершеного вчасно, згідно з бюджетом та вимогами замовника завдяки організаційній ефективності та комунікаційним навичкам.

2. Ефективне управління ресурсами: Розробив та виконав план управління ресурсами, що включав людські, матеріальні та фінансові ресурси, оптимізував робочі процеси, знизив витрати та підвищив продуктивність.

3. Ефективне керівництво командою: Керував крос-функціональною командою, забезпечуючи спільне бачення проекту, розподіл завдань та координацію робіт, що привело до високих результатів та мотивації команди.

4. Вдосконалення процесів: Виявив неефективність у робочих процесах, запропонував вдосконалення, що зменшили час виконання проектів та покращили якість результату.

5. Систематичне звітність: Регулярно звітував про прогрес проекту, залучав стейкхолдерів до активного спілкування, ввів систему звітності для своєчасного прийняття рішень.

Досвід:

Project Manager у проекті розробки десктопного застосунку на основі React для української проп-трейдингової компанії. Керував командою розробників, забезпечував комунікацію між стейкхолдерами, використовував методологію Scrum для своєчасного виконання завдань, контролю якості та відповідності вимогам замовника.

Готовий внести свій внесок як Junior Project Manager у вашу компанію та розширити навички управління проектами."
181,"Досвід роботи з політичними персонами та партіями в Україні протягом майже 3 років. 

Розробка та пропозиція медіа планів для кампаній. Самостійне ведення сторінок соціальних мереж клієнтів (Facebook, Instagram, TikTok, Twitter, LinkedIn, Telegram).

Створення, налаштування та оптимізація рекламних кампаній у Facebook та Instagram.

Теоретичні знання запуску Google реклами.

Розміщення інформаційних статей та новин на сторінках популярних українських ЗМІ.

Відповідальність за комунікацію з клієнтами та партнерами агенції.

Укладання угод про співпрацю з блогерами на Facebook та Instagram.

Інтерес до сфери запуску реклами та ведення проєктів."
182,"Junior Project Manager

Досвід роботи:
- Співпраця з клієнтами з різних країн над 10-15 сервісами з фіксованою ціною, включаючи фіксовані послуги та додаткові налаштування.
- Використання CRM-систем (Hubspot) для управління проектами.
- Досягнення та встановлення чітких цілей проекту.
- Збір та передача технічних завдань команді розробників з урахуванням специфіки проекту.
- Підготовка звітів для клієнтів після завершення проектів.
- Контроль бюджету проектів та пошук альтернативних рішень у разі перевищення.
- Спілкування з клієнтами через телефон, електронну пошту та чат.
- Встановлення та відстеження дедлайнів проектів.
- Моніторинг нової інформації про проекти.
- Підтримка відділу передпродажного обслуговування щодо складності проекту, ціни, часу доставки та надання рішень.
- Постійне спілкування з командою розробників щодо часових рамок та особливостей проекту.
- Виконання послуг з налаштування магазинів для онлайн веб-сайтів на платформах електронної комерції (Woocommerce, Prestashop, Shopify, Opencart, Magento), включаючи установку шаблонів, налаштування оплати, доставки, податків, валюти, створення та імпорт файлів продуктів CSV, додавання контенту на веб-сайт.
- Досвід додаткових продажів протягом проекту.
- Основні теоретичні знання методів Agile (Scrum, Kanban).
- Розуміння SDLC.

Спеціаліст технічної підтримки

Досвід роботи:
- Базові знання кодування шаблонів (HTML, CSS, Bootstrap).
- Досвід роботи з шаблонами для платформ: Shopify, WordPress, HTML, Joomla, Woocommerce, Prestashop, HTML (встановлення шаблонів на хостинговому сервері, усунення несправностей, редагування, налаштування).
- Спілкування англійською мовою з клієнтами (чат, тікети, телефонна підтримка).
- Робота з системою Jira (пошук/створення помилок).
- Досвід у додаткових продажах.
- Створення відео-туторіалів для клієнтів."
183,"Маркетолог  
КОМПАНІЯ «ЛК-ТРАНС» МЕРЕЖА МАРКЕТІВ ЛОТОК 07.2021 - 06.2022  
КИЇВ, УКРАЇНА  
• Запуск активностей та підготовка звітів за ключовими показниками.  
• Співпраця з дизайнером: складання технічних завдань, внесення правок.  
• Розробка, виробництво та забезпечення мережі рекламними матеріалами.  
• Контроль торгових точок віддалено за допомогою фотозвітів.  
• Запуск комунікацій (push, sms, viber).  
• Аналітика ефективності розсилок, регулярна звітність.  

Менеджер програми лояльності  
КОМПАНІЯ «ЛК-ТРАНС» МЕРЕЖА МАРКЕТІВ ЛОТОК 04.2021 - 06.2021  
КИЇВ, УКРАЇНА  
• Сегментування клієнтської бази та запуск спеціальних пропозицій на цільову аудиторію.  
• Запуск комунікацій (push, sms, viber).  
• Аналітика ефективності розсилок, регулярна звітність.  
• Складання технічних завдань для розробників та дизайнерів.  
• Впровадження та тестування нового функціоналу.  
• Обробка звернень користувачів.  

Менеджер по впровадженню CRM-системи  
КОМПАНІЯ «AI HELPS» 09.2020 - 03.2021  
КИЇВ, УКРАЇНА  
• Налаштування системи під конкретні завдання з урахуванням специфіки бізнесу клієнта.  
• Супровід клієнта на етапі адаптації.  
• Віддалене навчання персоналу клієнта по роботі з CRM-системою.  
• Виявлення помилок в роботі системи і постановка задач розробникам на усунення.  

Фахівець з управління проектами та програмами  
КОМПАНІЯ «ЕКО КРІЕЙТІВ» 08.2018 - 08.2020  
КИЇВ, УКРАЇНА  
• Контроль активностей по проектах.  
• Створення задач для дизайнерів та IT-співробітників в Jira.  
• Обробка запитів від служби підтримки клієнтів, підтримка продукту.  
• Спілкування із замовниками та підрядниками.  
• Укладання договорів.  
• Організація та контроль e-mail розсилок.  

Менеджер служби підтримки клієнтів програм лояльності (українська, російська, польська мови)  
КОМПАНІЯ «ЕКО КРІЕЙТІВ», 10.2017 - 08.2018  
КИЇВ, УКРАЇНА  
• Прийом та обробка вхідних дзвінків (українська, російська, польська мови).  
• Надання відповідей на письмові запити клієнтів.  
• Фіксування нестандартних запитань та передача інформації в інші відділи.  
• Обробка запитів в CRM системі.  "
184,"Project Manager з 16-річним досвідом роботи на металургійному підприємстві. За цей час розробив понад 100 проектів різної складності. Вирішував спірні та складні питання між командою та замовниками на користь своєї команди. Останні досягнення включають участь у діджиталізації технологічних процесів, переведення різноманітної інформації у цифровий формат."
185,"Організовувала та проводила святкові, розважальні та освітні заходи для громадян України та іноземців у Шанхаї, зокрема перший український різдвяний ярмарок у 2019 році. 

Маю багаторічний досвід роботи вчителем англійської мови в Китаї. 

Маю досвід роботи в продажах. 

Organized and conducted festive, entertainment, and educational events for citizens of Ukraine and foreigners in Shanghai, including the first Ukrainian Christmas fair in 2019.

I have many years of experience as an English teacher in China.

I have experience in sales."
186,"[Ваше ім'я]

[Контактна інформація]

ПРОФЕСІЙНИЙ ДОСВІД

Міжнародні освітні проекти та управління персоналом
- Реалізував освітню програму для українських підприємців-експортерів у співпраці з Інститутом Маркетингу Естонії та Міністерством Економіки України. Залучено понад 1500 учасників, з яких більше 70% успішно завершили програму та почали експортувати.
- Організував поїздку найкращих учнів на Tallinn Marketing Week для встановлення нових бізнес-контактів.
- Управляв командами до 30 осіб, проводив конференції, курси, семінари онлайн та офлайн.

Ключові перемовини та бюджетування
- Брав участь у ключових перемовинах щодо запуску проектів, чек-поінтів та бюджетування.

Презентації та комунікація
- Вільно виступаю перед великою аудиторією, презентуючи проекти.
- Ефективно комунікую для досягнення взаєморозуміння між усіма сторонами, застосовуючи принцип win-win.

Планування та контроль
- Відзначаюся в плануванні покрокових завдань та контролі їх виконання.

ОСВІТА

[Ваша освіта]

НАВИЧКИ

- Управління проектами
- Комунікація та презентація
- Планування та організація
- Міжнародна співпраця

МЕТА

Бажаю розвиватися в сфері IT, набуваючи нові знання та знайомства."
187,"Розвиток клієнтської бази та підвищення лояльності клієнтів, розвиток команди, розробка індивідуальних рішень та концепцій рекламних кампаній. 

Маю значний досвід у проектній діяльності рекламного бізнесу. Основні задачі, які виконувала на попередніх позиціях, включають комунікацію з клієнтом, допомогу у формуванні задачі та пошук рішення. Відповідала за постановку задач команді від старту проекту до відвантаження. Стадії типового проекту: підготовка необхідної документації, розробка та погодження дизайну, підготовка та передача у виробництво, контроль виконання замовлення, контроль відвантаження, контроль оплати. 

Основні навички: комунікація та контроль на всіх етапах реалізації проекту.

Наразі розглядаю пропозиції для старту кар'єри в проектному управлінні в сфері ІТ. Хоча у мене немає технічного бекграунду, я володію необхідними soft-skills та прагненням до розвитку і навчання в цій сфері."
188,"Засновник компанії з продажу нерухомості

Досвід:
- Засновник компанії з нерухомості у Харкові.
- Широкий досвід управління.
- Глибоке розуміння сфери нерухомості.
- Досвід у продажах та мерчендайзингу.

Інтереси:
- Зацікавленість у сфері IT, готовність працювати з невеликою зарплатою та проходити навчання.
- Цікавить позиція Project Manager, вивчаю онлайн-курси та матеріали з цієї теми.

Особисті якості:
- Активний спосіб життя, займаюся пауерліфтингом та бразильським джиу-джитсу, брав участь у змаганнях у Харкові.
- Швидко навчаюся та адаптуюся до нових умов.
- Мотивований до навчання та професійного розвитку."
189,"Досягнення на попередній роботі:
- Впровадження системи контролю якості
- Впровадження пріоритезації
- Впровадження менторства і адаптації для нових членів команди
- Залучення до співпраці спеціалістів вищого рівня

Досвід:
- Управління проектами в сфері перекладу та локалізації понад 5 років

Освіта:
- Курси Project Manager IT

Навички:
- Базові знання методологій: Scrum, Kanban, Waterfall
- Гарні навички комунікації
- Вміння домовлятися із замовником та знаходити спільну мову з командою
- Управління проектом
- Управління персоналом
- Тайм-менеджмент
- Управління ризиками
- Проектна документація
- Прийняття рішень
- Переговори
- Комунікація
- Лідерство
- Розвиток команди
- Знання MS Word, PowerPoint, Excel, CRM

Особисті якості:
- Організаторські здібності
- Аналітичний склад розуму
- Позитивне ставлення до життя

Мета:
- Велике бажання працювати менеджером проектів в IT"
190,"[Ваше ім'я]

[Контактна інформація]

Професійний досвід

Керівник офіційного автосервісу
- 9 років досвіду в автомобільній сфері, включаючи керуючі позиції
- Основні обов'язки: комунікація з клієнтами, передача та розподіл роботи між співробітниками, підбір команди та організація їх роботи

Освіта та навчання

- Навчання з напрямку Java-розробки
- Навчання з Project Management

Мета

Бажаю змінити сферу діяльності на IT. Хочу працювати у динамічній команді однодумців, навчатися та ставати кращим щодня."
191,"Автоматизація процесу ведення проєктів, вирішення складних конфліктних ситуацій з клієнтами, володіння прийомами ефективної взаємодії між членами команди.

Досвід у веденні мультимедійних проєктів. Обов'язки включали:
- Перемовини з партнерами
- Підготовка презентацій та презентування проєкту
- Планування проєкту (таймінг)
- Координування робіт текстової та відео-команди
- Планування та ведення кошторису проєкту
- Постановка та контроль задач у CRM
- Планування публікацій
- Затвердження матеріалів з партнерами
- Підготовка звітності по проєкту

Бажання отримати новий досвід у сфері ІТ або дизайну, працювати з іноземними клієнтами."
192,"Досвідчений Product Manager з досвідом керування командою розробки в SendPulse.com, де поєднувала ролі продакта, проджекта та маркетолога з грудня 2017 по лютий 2021. 

Маю намір розвиватися в напрямку проджект менеджменту, шукаю можливості для професійного зростання в цій сфері. Відкрита до нових викликів, готова почати з позиції Junior PM."
193,"На попередній роботі пройшла кар'єрний шлях від простого працівника до начальника відділу. Неодноразово нагороджена грамотами. Самостійно формувала відділ і проводила навчання персоналу. Я є амбітною і цілеспрямованою людиною, орієнтованою на досягнення результату.

Маю досвід керування командою, співпрацювала з командою IT-фахівців при створенні сайту компанії та чат-бота у Viber. Маю досвід ведення переговорів та управління часом. У зв'язку зі зміною місця проживання вирішила змінити кваліфікацію. Закінчила курси IT Project Management, де практикувалися Jira, Kanban, діаграма Ганта, Scrum. Зараз шукаю стажування в IT-компанії для здобуття досвіду Project Manager."
194,"Мета: Розвиватися професійно в сфері керування проектами, застосовуючи отримані знання та навички.

Освіта:
- Досвід керування проектами, отриманий в університеті.

Навички:
- Розробка стратегії виконання проектів.
- Оптимізація процесів для досягнення результатів у визначені терміни з обмеженими ресурсами.

Досягнення:
- Успішна розробка стратегії для великого проекту в університеті.

Особисті якості:
- Висока мотивація до професійного розвитку.
- Здатність працювати в команді та ефективно керувати ресурсами."
195,"[Ваше ім'я]

Контактна інформація:
[Ваш номер телефону]
[Ваш email]
[Ваш LinkedIn профіль]

Мета:
Швидко навчаюся та готова до нових викликів. Шукаю позицію РМ в сфері IT або можливості для подальшого розвитку в рекрутингу.

Досвід роботи:

Information Technology Recruiter
[Назва компанії], [Місто], [Дати роботи]
- Рекрутинг у сфері Blockchain та IT
- Обробка вакансій
- Пошук кандидатів
- Первинний відбір
- Створення та перевірка резюме
- Підготовка кейсів для групових інтерв'ю

Навички:
- IT рекрутинг
- Управління вакансіями
- Пошук та відбір кандидатів
- Створення та перевірка резюме
- Підготовка до інтерв'ю

Освіта:
[Ваш навчальний заклад], [Ступінь], [Роки навчання]

Додаткова інформація:
- Швидко вчусь
- Готова до нових викликів та розвитку разом з вашою компанією

[Дата]"
196,"Англійська мова на рівні B2, з постійним прогресом у поглибленні знань  
Глибоке розуміння побудови Scrum у команді  
Навички: HTML, CSS, Python  
Досвід роботи на посаді джуніор Проджект менеджера (3 місяці)  
Основні інструменти: Jira, MS Office, Confluence  
Досвід роботи в компанії, орієнтованій на agile методології, зокрема Scrum та Kanban, з проектами, побудованими на основі гнучких методологій."
197,"Досвід роботи в продажах у соціальних мережах.  
Участь в організації студентських конференцій.  
Волонтерський досвід у проведенні виставок у Мистецькому Арсеналі.  
Участь в освітньому проекті «Кращі з Укртелекомом».  
Досвід роботи менеджером з розвитку та просування бренду.  "
198,"Досвід роботи:

Банківська сфера:
- Керівництво відділом, контроль роботи працівників, планування роботи підрозділу.
- Проведення економічного аналізу для клієнтів банку, розрахунок можливостей залучення ресурсів.

Сфера торгівлі:
- Комунікація та взаємодія з клієнтами, постачальниками, працівниками компанії.
- Проведення презентацій, навчання та оцінка персоналу."
199,"Education:
Bachelor of System Analysis, NTUU ""Igor Sikorsky Kyiv Polytechnic Institute""

Additional Education:
- Hillel IT School, PM course
- Coursera, HR course
- Coursera, Agile with Atlassian Jira course

Work Experience:
Coordinator, Training Center, Public Union ""Osvitoria""
- Організація та координація освітніх заходів
- Робота з Google та Microsoft додатками (Docs, Sheets, Zoom та ін.)
- Використання Asana, Slack
- Участь у розробці віжуалів
- Наповнення веб-ресурсів
- Комунікація з експертами та учасниками

Technical Skills:
- Знання SDLC
- Базові знання: C, C++, Python, HTML, JavaScript
- Досвід створення баз даних в MySQL
- Використання Jira, Trello
- Практичні знання зі створення WBS"
200,"Володію двома іноземними мовами: англійською та французькою на рівні B2. Навчалась на мовних курсах в Канаді. Постійно навчаюсь та вдосконалююсь, що позитивно відображається на моїй роботі. Амбітні цілі мене захоплюють, а високі комунікативні якості допомагають вирішувати складні задачі.

Маю досвід роботи із французьким ринком на посаді фахівця відділу transaction support (issue resolution) для французьких заводів Нестле в NBS у місті Львів. Працювала в системі SAP, комунікувала з ринком французькою та англійською мовами.

Ця сфера діяльності для мене нова, але маю досвід роботи в аутсорсингу. Шукаю роботу в команді, подобається робота з клієнтами та замовниками."
201,"[Ваше ім'я]

Контактна інформація:
[Ваш номер телефону]
[Ваша електронна адреса]
[Ваше місто]

Професійний профіль:
Проактивна зоозахисниця з досвідом організації заходів та побудови волонтерських систем. Маю досвід роботи в SMM та таргетингу, а також у діджитал маркетингу на позиції Junior Project Manager. Володію навичками управління проектами та роботи в команді.

Досвід роботи:

Junior Project Manager
Агенція діджитал маркетингу
Лютий 2023 - теперішній час
- Управління проектами в сфері діджитал маркетингу
- Координація роботи команди
- Використання CRM-систем для оптимізації процесів

Лідер команди SMM та таргетингу
[Назва компанії/організації]
[Дати роботи]
- Керівництво командою, що займалась SMM та таргетингом
- Розробка та реалізація стратегій просування

Організатор маршу на захист тварин
[Назва організації/ініціативи]
[Дати роботи]
- Організація та проведення маршу на захист тварин
- Побудова системи для волонтерів (соцмережі, схема роботи, надходження коштів)

Навички:
- Управління проектами
- SMM та таргетинг
- Робота з CRM-системами: Asana, Trello, Worksection, Bitrix
- Лідерство та командна робота

Освіта:
[Ваш навчальний заклад]
[Ступінь/спеціальність]
[Роки навчання]

Додаткова інформація:
- Проактивна зоозахисна позиція
- Бажання працювати за новими правилами в маркетингу

[Дата складання резюме]"
202,"Автоматизувала процеси та оптимізувала внутрішню взаємодію між відділами. Керувала командою, розвиваючи навички лідерства. Вмію приймати самостійні рішення та ефективно працювати в умовах багатозадачності. 

Маю досвід у веденні проектної документації та організації роботи команди. Тісно співпрацювала з відділом продажів, готуючи презентації для клієнтів та первинні документи для розрахунків."
203,"Досвідчений у управлінні напрямом, включаючи організацію, планування та контроль роботи; визначення пріоритетів, оцінку та розподіл задач; складання стратегічних планів; мотивацію та навчання персоналу. Закінчив курси QA (2015) та Project Manager (2022). Планую адаптувати та розвивати свій досвід у сфері IT. Сильні сторони: орієнтованість на результат, постійний розвиток, ефективна комунікація, відповідальність. Розглядаю junior позиції та стажування з перспективою росту."
204,"Досвідчений фахівець з управління проектами в межах ВМГО ""AIESEC в Україні"", з успішним досвідом роботи на різних рівнях організації. Займалася залученням нових спонсорів і грантів, співпрацюючи з такими партнерами, як PwC, KPMG, Galicia, London School of English та іншими. Координувала ефективні маркетингові кампанії, проводила коучинг для команд, організовувала молодіжні заходи та конференції з відвідуваністю понад 350 осіб. Володію навичками структурування та упорядкування інформації, а також роботи з різними інструментами. Шукаю можливості для застосування своїх навичок в управлінні проектами для досягнення найкращих результатів."
205,"Я пишаюся тим, що швидко освоїла продукт і влилася в робочий процес на сервісі. Пройшла стажування та розвиваю свої навички. 

Маю досвід роботи у продажах: працювала 1,5 роки в сервісному центрі Mercedes-Benz, проходила стажування у Neatpeek, де наразі і працюю. Маю велике бажання вчитися та розвиватися в цій галузі.

Хочу працювати в великій компанії, створювати та вдосконалювати продукт."
206,"[Ваше ім'я]

Контактна інформація:
[Ваш номер телефону]
[Ваш email]
[Ваш LinkedIn профіль або інший професійний сайт]

Професійний профіль:
Креативний дизайнер з досвідом у створенні іконок та роботи з анімацією. Захоплююсь веб-дизайном та маю практичний досвід у розробці e-commerce проектів та landing pages. Володію англійською мовою на рівні, достатньому для професійного спілкування.

Освіта:
- Курс з веб-дизайну, Projector

Досвід роботи:
- Розробка іконок та анімацій у Figma
- Виконання курсових робіт з e-commerce та landing pages
- Робота з платформами Tilda та Readymag

Навички:
- Впевнене володіння Figma
- Створення іконок
- Робота зі Smart Animate
- Основи веб-дизайну
- Англійська мова

Додаткова інформація:
- Півтора роки вивчення англійської мови

[Дата]"
207,"Навички:

- Управління каналами та чатами у Telegram, аккаунтами у Facebook, Instagram, Вконтакті
- Досконале володіння офісними програмами (Word, PowerPoint, Excel, Access)

Особисті якості:

- Товариськість
- Здатність долати труднощі
- Оптимізм
- Цілеспрямованість
- Уважність до деталей
- Постійне вдосконалення знань
- Відповідальність"
208,"Диплом бакалавра зі спеціальності «Інформаційні системи і технології», спеціалізація «Інформаційні технології в бізнесі»

Досвід роботи:

- Оператор кол-центру (CRM) (жовтень 2018 - січень 2019)
- Помічник бухгалтера (1C) (травень 2020 - жовтень 2020)
- Менеджер інтернет-магазину “Jolly Cups” (робота з Wordpress, Photoshop) (жовтень 2020 - серпень 2021)"
209,"[Ім'я Прізвище]

[Контактна інформація]

Мета:
Опанувати професію Project Manager, використовуючи наявний досвід та знання, а також здобути нові навички та досвід у цій сфері.

Досвід роботи:
Project-, Event-Manager
Мережа приватних навчальних англомовних закладів дошкільної та початкової освіти
- Організація благодійної дитячої вистави та ярмарку в театрі, зібрані кошти з якої були передані діткам з особливими потребами.

Офіс-менеджер та адміністративні посади
- Набутий досвід роботи на адміністративних посадах, що може стати якісним фундаментом для подальшої роботи в управлінні проектами.

Освіта:
- Проходження курсу з Project Management (навчаюсь)

Навички:
- Організація заходів
- Адміністративні навички
- Здатність до швидкого навчання та адаптації в нових сферах

Особисті якості:
- Люблю виклики та нові сфери діяльності
- Відкритість до нових знань та досвіду

Очікування:
- Поглиблення в новий світ, нові виклики, опанування нових знань та досвіду, зустрічі з цікавими людьми."
210,"Досвідчений фахівець у сфері Supply Chain з успішним досвідом роботи в компанії Carlsberg Ukraine. Відповідав за оперативне планування виробництва продукції для задоволення попиту клієнтів, що включало комунікацію з контрагентами, організацію ланцюгів постачання та роботу з рекламаціями. Мотивований до розвитку та прагну освоїти нову сферу діяльності в напрямку ІТ."
211,"Досвідчена у роботі над проектами та керівництві групами, завдяки участі в організації різноманітних фестивалів та масових заходів. Пройшла тренінги, які забезпечили практичну та теоретичну базу для реалізації проектів і тімбілдингу. Освіта журналіста надала навички комунікації, а також грамотну письмову та усну мову (українська, російська, англійська). Прагну займатися справою, яка відповідає моїм навичкам, з готовністю освоювати нове завдяки активності та бажанню навчатися."
212,"Створення та успішний запуск 2 курсів. Підвищення ефективності власної команди на 20%.

Менеджер з навчання і розвитку:
- Організація та ведення навчального процесу для команди з 65 людей.
- Організація та створення курсів з командою з 10 людей.
- Проведення one-to-one зустрічей (коуч сесій).
- Робота з LMS платформою та її наповнення.

Робота в прогресивному та дружньому колективі з орієнтацією на результат."
213,"[Ваше ім'я]

Контактна інформація:
[Ваш телефон]
[Ваш email]
[Ваш LinkedIn профіль]

Мета:
Шукаю можливість приєднатися до команди, де зможу розвивати свій професійний профіль та успішно керувати проєктною командою. Очікую на можливість повного використання свого потенціалу. Відкритий до пропозицій у стартапах, а також на позиції джуніора або трейні.

Досвід роботи:

Менеджер відділу з операційних поліпшень
11.2019 — по теперішній час
- Реалізація відходів виробництва та всіх видів НВВ.
- Пошук клієнтів для продажу всіх видів відходів комбінату.
- Комунікації з можливими партнерами щодо аудитів підприємства та встановлення/випробування обладнання.
- Обговорення можливості отримання винагороди за економічний ефект від новацій.
- Пошук можливих партнерів.

Провідний фахівець відділу з продажів
08.2017 — 12.2018
- Розвиток продажів і послуг заводу з нуля через тендерну роботу на спеціалізованих майданчиках.
- Супровід угод на стадії виробництва і контроль відвантажень у строк.
- Робота з 1С.
- Участь у переробці сайту та розміщенні новин заводу.
- Найбільша угода понад 8 млн грн.

Менеджер з продажу
10.2015 — 05.2017
- Розвиток з нуля продажів алюмінієвого листа і прутка для промисловості.
- Активні продажі.
- Робота в 1С.
- Зростання обсягу складу з 7000 $ до 60000 $ за рік.

Волонтерський досвід:
- Проєктний менеджер на волонтерських засадах з метою покращення життя міста.
- Якісний донор, що спонукає до дій (до 15 осіб підштовхнув до донорства крові).

Освіта та сертифікація:
- Сертифікат грантового проєктного менеджера, 2020
- Навчання на курсі ПМ ІТ від європейського фонду GIZ

Навички:
- Проєктний менеджмент
- Продажі та розвиток бізнесу
- Комунікації та переговори
- Робота з 1С
- Тендерна робота

Особисті якості:
- Відповідальність
- Ініціативність
- Орієнтація на результат
- Готовність до навчання та розвитку

Готовий розглянути пропозиції на термін щонайменше 2-3 роки."
