,Modified_openai/gpt-4o_of_Modified_openai/gpt-4o_of_resume_Modelopenai/gpt-4o_Modelopenai/gpt-4o
203,"Trainee UI/UX Designer з 04.2022 по нині

Досвід:
- Дизайн веб-сайтів, додатків, ігор: створення нових та робота з існуючими проєктами
- Створення email-банерів для рекламних розсилок
- Прототипування та адаптивний дизайн
- Робота з растровою та векторною графікою

Навички:
- Робота у Figma: компоненти, стилі, варіанти тощо."
204,"UI/UX дизайнер з Києва, Україна. Займаюсь дослідженням, розробкою, створенням та підтримкою дизайн проєктів для різних галузей, а також створенням маркетингової продукції, що супроводжує проєкт.

Технічні навички:
- Проєктування і розробка
- Wireframing і прототипування
- Адаптивний веб-дизайн
- GUI Android і iOS
- Методології UX і CX
- Аналітика досліджень
- Просування та оптимізація
- Композиція, колір, типографія

Особисті якості:
- Естетичний художній смак
- Креативне мислення
- Самостійність
- Адаптованість та гнучкість
- Презентація продукту
- Комунікабельність
- Жага знань

Досвід роботи:

UI/UX Designer, ""UAZMI""
- Провела аналіз конкурентів та цільової аудиторії
- Розробила архітектурну структуру сайту та зручну навігацію
- Створила ескіз та розробила прототип
- Розробила чистий мінімалістичний дизайн
- Розробила logo book

UI/UX Designer, ""Barbaricum""
- Розробила архітектурну структуру сайту та зручну навігацію
- Створила ескіз та розробила прототип
- Розробила чистий мінімалістичний дизайн
- Розробила logo book

UI/UX Designer, Freelancer
- Розробляю дизайн логотипів, посадкових сторінок, сайтів, брендбуки, логобуки, дизайн для соцмереж, рекламну продукцію, друковану продукцію та інше
- Проводжу аналіз конкурентів та цільової аудиторії
- Створюю концепт-дизайн та розробляю прототип
- Розробляю адаптивний дизайн
- Співпрацюю із розробниками."
205,"UI/UX Designer, Web Designer  
Arifmetica, Marketing agency  
Aug 2017 - Jan 2022 - 5 years, Ukraine  

- Проводила маркетингові дослідження та порівняння конкурентів клієнта на базі зібраних даних.  
- Аналізувала вхідні дані від клієнта.  
- Розуміння користувача та його цілей через інтерв'ю з клієнтами.  
- Аналізувала юзера, створювала User flow.  
- Працювала з Google Analytics та мапою дотику юзера.  
- Проектувала дизайн на основі зібраних даних та функціоналу.  
- Створювала мудборд.  
- Проводила аудит продуктів та оптимізувала існуючі інтерфейси.  
- Проводила інтерв'ю з юзерами для оцінки продукту та вдосконалення.  
- Співпрацювала із замовником, захист проектів та презентація.  
- Співпрацювала з розробниками, тестувала готовий продукт.  
- Створювала технічну документацію.  
- Працювала в команді дизайнерів, мала досвід в постанові завдань для команди.  
- Співпрацювала з розробниками та SEO-фахівцями.  
- Розробляла концепти для майбутніх проектів та підбирала референси.  
- Виявляла «проблемного простору» для покращення процесів.  
- Збір вимог, розробка альтернатив, прототипування та оцінка.  
- Розробка брендбуку.  
- Створювала айдентику та веб-банери.  
- Розробка пакування для продукту медичного призначення.  
- Робота з SMM відділом, створення концепцій дизайну.  

Digital Marketing  
GAF, Київ (Телекомунікації)  
Aug 2015 - Aug 2017 (2 роки)  

- Аналітика даних компанії.  
- Аналітика маркетингових кампаній та комунікацій.  
- Аналітика конкурентів та їх представлення в інтернет-просторі.  
- Створення звіту та плану по покращенню лідів.  
- Створення відділу першої лінії продажу.  
- Написання скриптів для відділу продажу.  
- Розробка стратегії просування у соціальних мережах, форумах.  
- Розробка, тестування рекламної стратегії.  
- Підготовка матеріалів для реклами.  
- Звіти про продаж, планування.  
- Робота з відділом дизайну.  
- Робота над апдейтом сайту, збір даних про поведінку користувачів.  
- Розробка візуальної концепції для соціальних мереж.  

Web Designer, Freelance  
Aug 2015 - Aug 2017 (2 роки)  

- Створювала дизайн."
206,"Mobios School - жовт 2021 - бер 2021  
UI/UX Design & Mob  

IT Labs - вер 2020 - лист 2020  
Web Design  

Відкритість та бажання освоїти нові знання, комунікабельність, здатність до самоаналізу, вміння вислухати та сприйняти конструктивну критику, швидконавчання  

UI/UX Designer - серп 2021 - по теперішній час  
Мережа Ланет  
Обов’язки:  
- UX: аналіз конкурентів, розробка wireframe, розробка навігаційних карт, створення прототипів.  
- UI: створення UI kit, дизайн мобільних додатків, дизайн landing page, дизайн інтернет магазинів, дизайн корпоративних сайтів.  

Freelancer - січ 2021 - серп 2021  
Обов’язки:  
- UX: аналіз конкурентів, часткова аналітика GA, розробка wireframe, розробка навігаційних карт, створення прототипів.  
- UI: створення UI kit, дизайн мобільних додатків, дизайн landing page, дизайн інтернет магазинів, дизайн корпоративних сайтів.  

UI/UX Дизайнер (Проектна робота) - трав 2021 - лип 2021  
Aventus Group  
Робота над новим проектом у сфері онлайн кредитування  
Обов’язки:  
- UX: аналіз конкурентів, часткова аналітика GA, створення прототипу  
- UI: створення UI kit, дизайн мобільного додатку, дизайн онлайн карти, участь у створенні дизайну фізичної карти  

UI/UX Дизайнер - квіт 2015 - квіт 2016  
Qwert-Media  
Обов’язки:  
- UX: аналіз конкурентів, створення wireframe, часткове проектування вже існуючих сайтів  
- UI: створення UI kit, дизайн web сайтів, дизайн адаптивних версій, дизайн та підтримка вже існуючих проектів  

Аналіз та проектування, створення сучасного дизайну як для Web, так і для мобільних додатків, підтримка вже існуючих проектів.  
Співпраця із командою як дизайнерів, так і розробників.  
Підготовка макету до верстки."
207,"UI/UX Designer

- Розробка творчих ідей, концепцій та задумів для веб-сайтів, лендінгів, мобільних додатків.
- Створення веб-сайтів на платформі Tilda.
- Побудова інформаційної архітектури, користувацьких потоків, вайрфреймів, CJM.
- Проектування екранів інтерфейсу та прототипів.

Графічний дизайнер (фріланс)

- Створення логотипів, банерів, ілюстрацій для різних компаній та студій.

Інструменти: Figma, Adobe Photoshop, Adobe Illustrator, Sketch, Miro, InVision

Маю бажання приєднатися до команди, де зможу застосовувати свої навички та максимально розвиватися."
208,"UI/UX Designer | Фрілансові проекти:  
- Розробка дизайну лендінгів та інтернет-магазинів  
- Виконання редизайну та адаптивного дизайну  
- Створення кастомних сторінок, екранів та графічних елементів  

UI/UX Designer | ITSC.CO:  
- Проведення аналізу поведінки користувачів і товару клієнта  
- Створення макетів і прототипів  
- Розробка сайтів, графічних елементів та стилів  
- Робота зі шрифтами, кольорами та розмірами  "
209,"Шукаю можливості для професійного зростання, прагну виконувати цікаві завдання у компанії з людьми, які поділяють мої цінності.

Спеціалізуюсь на UI/UX дизайні, веб-дизайні та адаптивному дизайні. Маю досвід співпраці з міжнародними компаніями та працював у різних напрямках, не обмежуючись лише дизайном."
210,"Розробник інтерфейсів та вебдизайнер

Досвід роботи:
- Розробка інтерфейсу каси самообслуговування
- Побудова системи сервісу з найму приватних тренерів на дому в Америці
- Створення вебсайтів та айдентики

Навички:
- UI (User Interface)
- UX (User Experience)
- IA (Information Architecture)
- Вебдизайн"
211,"Участь у розробці e-commerce сервісу для Близького Сходу в Дубаї, ОАЕ. Досвід управління командою дизайнерів як засновник регіональної дизайн-студії. Співпраця з замовниками зі Швеції, Англії, Швейцарії, Дубаї, Франції. Володіння навичками в UI, UX, мобільному дизайні для Android та iOS додатків. Досвід у графічному, моушн-дизайні, ілюстрації, фотографії. Шукаю можливості для професійного зростання, цікаві проекти, комфортні умови."
212,"Курси:

- Курси англійської мови Green Forest (1.5 роки)
- Марафон по UX/UI дизайну від GoIT (1 тиждень)
- Курс UI/UX Design (by Taras Shypka) (6 місяців)
- Курс ""Веб-дизайнер: взрывной старт"" по UI/UX дизайну від WayUP (1 тиждень)
- Демокурс по UX/UI дизайну від GoIT (1 тиждень)

Досвід роботи:

UI/UX-дизайнер
- Fiverr, Дистанційно (09.2020 - 12.2022, 2 роки 3 місяці)
- Розробка користувацьких інтерфейсів, макетів вебсайтів та додатків для телефонів, прев'ю для YouTube відео, логотипів, лендінгів.

Навички:

- UI/UX дизайн
- Вебдизайн
- Дослідження та збір даних
- Типографіка
- Розуміння принципів дизайну
- Робота над кількома проєктами одночасно
- Базове розуміння HTML та фреймворків
- Знання Adobe Photoshop, Figma, Illustrator
- Знання технологій друку
- Досвід роботи з фотографією та студійним обладнанням

Особисті якості:

- Увага до деталей
- Відповідальність
- Уважність
- Стресостійкість та вміння правильно сприймати критику
- Пунктуальність
- Сумлінність
- Готовність до навчання та самовдосконалення
- Комунікабельність та вміння працювати в команді
- Прагнення до досконалості в роботі
- Розвинена уява та просторове мислення
- Почуття смаку та креативність

Хобі та інтереси:

- Рок-музика
- Волейбол
- Настільний теніс
- Відпочинок"
213,"UI/UX дизайнер

Досвід роботи:
- Проектування та розробка мобільних інтерфейсів
- Проектування та розробка Web інтерфейсів
- Проведення досліджень та інтерв’ю на внутрішніх проектах
- Співпраця в продуктовій команді
- Переробка дизайну мобільного додатку
- Збільшення кількості користувачів на українському ринку

Навички:
- Управління продуктовою командою з розробки мобільного додатку (PO)
- Управління персоналом
- Робота за методологією Scrum
- Збір вимог до задач та аналіз ринку
- Розробка web-інтерфейсів (інтернет-магазини, корпоративні сайти)
- Створення та розробка POS-матеріалів

Інструменти:
- Figma
- Adobe Photoshop
- Illustrator
- CorelDRAW"
214,"UI дизайнер  
Листопад 2018 - Лютий 2022 (3 роки 2 місяці)  
Група компаній ""РемонтЕкспресс"", дистанційно  
- Розробка адаптивних макетів веб-сторінок відповідно до існуючої дизайн-системи  
- Підтримка існуючих сторінок компанії  
- Створення банерів  
- Оформлення Instagram  
- Створення логотипів, бренд-буків, каталогів продукції, фірмової документації, буклетів  

UI дизайнер  
Вересень 2015 - Листопад 2018 (3 роки 2 місяці)  
ФОП ""Скай"", дистанційно (салони краси, аптеки)  
- Створення сторінок для салону краси, гриль-бару, бюро нерухомості та ін.  
- Розробка міні-порталу Prokurs (про актуальні курси валюти, вартість палива, форум)  
- Розробка з нуля веб-додатку для салонів краси ""SalonProf""  

Помічник веб-дизайнера  
Квітень 2015 - Вересень 2015 (5 місяців)  
Damira Dovlatova, Кривий Ріг (створення веб-сайтів)  
- Створення внутрішніх сторінок сайту на основі домашньої сторінки  

Дизайнер  
Листопад 2006 - Листопад 2011 (5 років)  
Aries (поліграфія)  
- Розробка макетів різної складності (від візиток до каталогів) та їх підготовка до друку  

Освіта  
Вища освіта, спеціалізація ""Графічний дизайн""  "
215,"Unilime (з січня 2023)
Веб-дизайнер, UI/UX дизайнер, бренд-дизайнер

POZITIFF (жовтень 2019 – січень 2022)
Графічний дизайнер, веб-дизайнер
- Оформлення рекламних матеріалів
- Створення графіки для сайтів
- Розробка концепцій візуальної айдентики
- Створення ілюстрацій

IDEST agency (квітень 2019 – жовтень 2019)
Графічний дизайнер
- Розробка концепцій візуальної айдентики
- Оформлення соцмереж
- Робота з поліграфією
- Створення рекламних матеріалів

WSwallpaper (грудень 2017 – березень 2019)
Графічний дизайнер
- Розробка дизайну шпалер
- Верстка каталогів
- Створення рекламних матеріалів
- Проведення курсу ""Основи Photoshop"" для менеджерів
- Створення методичного посібника для оптимізації роботи у графічних редакторах."
216,"[Ваше ім'я]

Контактна інформація:
[Ваш телефон]
[Ваш email]
[Ваш LinkedIn профіль]

Професійний досвід:

UX/UI Designer, Web/Mobile Design
- Розробка освітнього додатку для школярів ""Нова Школа"".
- Створення онлайн журналу Cultural Magazine.
- Дизайн сайтів на конструкторах Tilda та Wordpress.
- Усі проекти схвалені роботодавцями.

СЕО-спеціаліст
- Робота з Google Search Console, Adwords, Analytics, Serpstat.
- Створення та кластеризація семантичного ядра.
- Закупівля посилань на релевантних сайтах.

Навички:
- Adobe Photoshop, Adobe Illustrator, Adobe Premier, Figma, Word/Pages/Documents, Excel.
- Досвід роботи з Wordpress та Tilda.

Особисті якості:
- Творча особистість, захоплення дизайном сайтів та мобільних додатків."
217,"Пройшла «бойове хрещення» пікселем та коментарями від кота директора під час виконання держзамовлення (візуалізація з метою пояснення ковідних обмежень та креативи для популяризації Громадського бюджету в Києві)

UX/UI дизайнер в Selzy (Unisender.UA) by Ecomz
(з 27.09.2021 по теперiшнiй час)

• Розробка дизайну та архiтектури нових сторiнок сайту;
• Редизайн iснуючих сторiнок та доповнення їх новими блоками;
• Дизайн промо-сторінок, що вирішують маркетинговi задачi, на Tilda.

Викладач курсу Web & UI/UX дизайн в Prog.kiev.ua
(31.05.2021 по теперiшнiй час)

• Пiдготовка навчального матерiалу в рамках програми курсу та проведення онлайн/офлайн лекцiй для студентiв;
• Проведення практичних занять з роботи у програмах Figma, Sketch, Photoshop, Illustrator;
• Менторська допомога студентам у виконаннi домашнiх завдань протягом двух мiсяцiв курсу.

Фахiвець з дизайну відділу промоцiї та iнформування в КП «Центр публiчної комунiкації та iнформацiї» (Державний сектор)
(2019 — 2021)

• Розробка дизайну для друкованої продукцiї (банери, брошури, флаєри) та пiдготовка макетiв для друку;
• Створення iнфографiк для публiкацiй на офiцiйних сторiнках у соцмережах;
• Пiдготовка презентацiй, вiдповiдно до рекомендацiй брендбуку;
• Редагування звiтiв вiдповiдно до основних принципiв сучасної типогафiки.

Iнтерн-дизайнер в OneDome (IT)
(2019 — 2020)

• Дизайн iконок, банерiв;
• Проведення UX дослiджень (аналiз конкурентiв, створення персон, CJM, User Flow);
• Пiдготовка макетiв для брендованої продукцiї;
• Ребрендiнг сайту та додаткiв компанiї.

UI/UX Designer (Фріланс)
(2018 — 2022)

• Створення дизайнiв сайтiв та їхнiх адаптивних версiй, вiдповiдно до результатiв проведених дослiджень (створення портрету користувача, аналiз конкурентiв та iн.);
• Редизайн сайтiв, з урахуванням вже iснуючого брендового стилю та покращення user-experience;
• Розробка айдентики для нових бiзнесiв (логотипи, фiрмовий стиль);
• Створення сайтiв за допомогою Tilda."
218,"Ux/Ui дизайнер з 2-річним досвідом. Відповідальна за співпрацю з розробниками, продуктовими менеджерами та тестувальниками, а також аналіз даних. Створювала інтерфейси для мобільних додатків та веб-сайтів, орієнтуючись на користувацькі потреби. Володію навичками проектування, прототипування та тестування інтерфейсів, забезпечуючи зручність та ефективність користувацького досвіду."
219,"Досвід проектування Web і Mobile інтерфейсів

• Проведення UX-досліджень  
• Розробка User Flow  
• Створення wireframes та прототипів  
• Інструменти: Figma, Adobe XD, Photoshop, Illustrator, Miro, Axure  
• Базові знання HTML, CSS  

Web Designer  
Компанія iPromo  

• Розробка банерів та email-розсилок  
• Підготовка презентацій  
• Створення сайтів (landing page) на платформі Tilda  
• Розробка рекламних оголошень для Facebook та Instagram  
• Створення айдентики та фірмового стилю  "
220,"Web Designer

Profile:
I am a dedicated web designer who began my journey through the IT Generation project, where I enhanced my knowledge and skills. I am committed to continuous improvement and am currently working on several projects, including developing a CRM system, creating a website for a photographer, and initiating a website for a service station. Additionally, I am expanding my expertise in UX Design through the Coursera platform.

Experience:
- Developed creative websites for art galleries and museums as practice projects, enhancing my style and taste.
- Successfully secured and nearly completed an order for a photographer's website.
- Initiated a CRM system project for a Case Study, significantly expanding my knowledge and experience in CRM development.
- Recently received an order to redesign a website for a service station.

Skills:
- Web Design
- UX Design
- CRM Development

Education:
- IT Generation Project
- Coursera (UX Design)

I am open to new opportunities and eager to explore working more closely with mobile applications."
221,"Адміністратор онлайн занять - IMT-Academy (2017-2020)  
- Адміністрування онлайн занять  
- Підтримка онлайн та офлайн студентів  
- Створення відео контенту для внутрішньої системи академії (LMS)  

Motion designer - Фріланс (2020-2023)  
- Анімування елементів інтерфейсу сайтів та мобільних додатків  
- Створення відеоматеріалів для рекламних кампаній контекстної реклами та для таргетованої реклами в соціальних мережах  
- Створення відеоматеріалів для офлайн реклами  

UI/UX designer - Фріланс (2022-2023)  
- Аналіз цільової аудиторії та ніші, дослідження референсів  
- Розробка портретів користувачів, сценаріїв використання і логіки роботи проектів  
- Розробка прототипів дизайну сайтів  
- Розробка UI дизайнів сайтів  
- Проведення UX аудиту та оптимізація існуючих інтерфейсів  
- Розробка UX дизайнів сайтів  
- Розробка адаптивних дизайнів для мобільних пристроїв  
- Співпраця та комунікація з замовниками, front-end розробниками та SEO спеціалістами  
- Створення іконок, ілюстрацій, логотипів, банерів та інших графічних елементів  

Додатково:  
- Створення 3D моделей елементів дизайну сайту та високополігональних моделей."
222,"[Ваше ім'я]

[Контактна інформація]

Мета
Оптимізувати умови праці, застосовуючи досвід у керуванні персоналом, рекрутингу та організації процесів.

Досвід роботи

Адміністратор у ресторані
- Ведення фінансової звітності
- Управління персоналом
- Взаємодія з клієнтами
- Вирішення конфліктів

Рекрутер
- Підбір персоналу
- Пошук відповідних вакансій для кандидатів

Помічник PMa
- Організація товарообігу

Навички
- Ефективне управління персоналом
- Високі комунікативні здібності
- Вирішення конфліктних ситуацій
- Досвід у фінансовій звітності та організації процесів

Освіта
[Ваша освіта, якщо є]

Додаткова інформація
Старанність у виконанні завдань та прагнення досягати високих результатів."
223,"Адміністрування серверів на ОС Windows Server  
Адміністрування мережевого обладнання  
Ремонт і налаштування комп'ютерного парку (близько 40 ПК) і периферії  
Проведення профілактичних робіт та участь у закупівлі нового обладнання  
Створення резервних копій даних та відновлення даних  
Навчання користувачів  
Адміністрування доменних служб Active Directory  
Адміністрування сайту закладу  
Вивчаю UI/UX дизайн, прагну розвиватися в цій професії, маю багато ідей та енергії  "
224,"Андрій, 22 роки

Досвід роботи:
- Розробка веб-сайтів: співпраця зі студіями та фріланс.
- Графічний дизайн та поліграфія.

Навички:
- Володіння Figma, Illustrator, Photoshop, Blender.
- Англійська мова: усне та письмове спілкування.

Особисті якості:
- Відповідальний, працьовитий, комунікабельний.

Додатково:
- Обладнання для віддаленої роботи (Mac і монітор)."
225,"[Ваше ім'я]

Контактна інформація:
[Ваш номер телефону]
[Ваш email]

Мета:
Розвиватися у сфері цифрового маркетингу та дизайну, застосовуючи навички створення контенту та аналітики.

Навички:
- Робота з Figma на базовому рівні
- Базовий таргетинг у Facebook
- Використання системи чату GPT для навчання, аналітики та пошуку інформації
- Редагування та створення відеороликів

Освіта:
[Ваш навчальний заклад]
[Спеціальність]
[Роки навчання]

Додаткова інформація:
- Швидке освоєння нових технологій
- Вміння працювати в команді та самостійно

[Дата]."
226,"Фриланс-дизайнер

Досвід:
- Успішне виконання фриланс-проектів з позитивними відгуками, що сприяє поверненню клієнтів для оновлення дизайну та створення нових ідей.
- Досвід у внесенні правок у готові проекти.
- Розробка макетів лендінгів для портфоліо.
- Створення візиток та банерів для приватних осіб.

Мета:
- Прагну знайти цікаву роботу в колективі.
- Відкритий до навчання новому та вдосконалення наявних навичок.
- Бажаю отримати досвід у проектах різного плану та масштабу."
227,"Досвідчений дизайнер з понад 10-річним стажем у сфері дизайну. Двічі отримував підвищення до арт-директора в різних компаніях. Спеціалізуюсь на UI/UX та веб-дизайні, також маю досвід у графічному, motion дизайні та 3D моделюванні (Blender). Постійно вдосконалюю свої навички та шукаю свіжі ідеї для реалізації в проєктах. Мої роботи доступні на сайті, вказаному в контактах."
228,"Вільно розмовляю англійською. Постійно навчаюся та здобуваю нові навички. Моя головна суперсила — вміння навчатись та знаходити будь-яку потрібну інформацію. Люблю працювати у команді та знаходити вирішення будь-яких поставлених задач.

Маю понад 7 років досвіду роботи у сфері E-commerce на західних майданчиках на посаді CEO. Займаюся глибинним аналізом ринку та конкурентів, дослідженням користувачів продуктів. Відповідаю за пошук нових продуктів та комунікацію з замовниками і користувачами продуктів."
229,"[Ваше ім'я]

Контактна інформація:
[Ваш телефон]
[Ваш email]
[Ваш LinkedIn профіль]

Освіта:
- Закінчив курси з дизайну від Genius, Creative Practice, Udemy і Dotli.

Досвід роботи:

UI/UX Дизайнер
[Назва компанії], [Місто] [Дати роботи]
- Розробив дизайн для понад 20 додатків на різну тематику за півтора роки.
- Співпрацював із замовниками з Америки, Європи та України.
- Понад 10 моїх дизайнів додатків доступні в AppStore та Play Market.
- Займаюсь створенням дизайнів для мобільних застосунків для компанії та зовнішніх замовників.
- Досвід у створенні Lottie анімацій для мобільних додатків, портфоліо доступне при особистому спілкуванні.

Куратор курсу UI/UX Дизайну
[Назва онлайн школи], [Дати роботи]
- Куратор для близько 150 студентів разом з досвідченою колегою.
- Перевірка домашніх завдань, допомога у їх виконанні, відповіді на питання щодо дизайну.

Навички:
- UI/UX дизайн
- Створення Lottie анімацій
- Робота з мобільними додатками
- Комунікація та наставництво

Особисті якості:
- Прагнення до професійного розвитку та навчання новому.
- Вміння працювати в команді, дружелюбність, чуйність.
- Відкритість до нових знань у різних сферах.

Цілі:
- Професійний розвиток та робота над цікавими проектами з цікавими людьми."
230,"Веб-дизайнер, UI/UX

- Володіння програмами: Figma, Adobe Photoshop, Adobe Illustrator
- Постійне вдосконалення дизайнерських навичок через нові завдання
- Творчий підхід, здатність ефективно працювати з великими обсягами інформації
- Розвинене почуття стилю
- Висока організованість та відповідальність
- Відмінні комунікативні навички."
231,"Вивчав UI/UX дизайн у Beetroot Academy з лютого по липень 2023 року. Виконав курсову роботу з повного редизайну сайту консалтингових послуг, UI/UX частини якого були невдалими та застарілими. Проводив дослідження: визначення та опитування цільової аудиторії, аналіз конкурентів, аналіз трендів. Під час навчання створював дизайн лендінгу для Dating-ресурсу, low-fidelity wireframes для магазину солодощів. Працював над User persona, Empathy map, User flow, Customer journey map, Information architecture. Наразі працюю з ментором для покращення навичок і отримання досвіду реального бізнесу."
232,"Веб-дизайнер-початківець

Досвід:
- Розробка постів для Instagram.
- Створення референсів дизайнів сайтів.

Навички:
- Володіння Figma та Adobe Photoshop.
- Постійне вдосконалення навичок у цих програмах.

Освіта:
- Вивчення веб-дизайну протягом 1-2 місяців.

Проекти:
- Розробка власного портфоліо."
233,"Вивчаю графічний та веб-дизайн протягом 3 років. Виконував замовлення як фрілансер. Прагну знайти постійну роботу в цій сфері, щоденно отримувати практичний досвід та вдосконалювати навички. Бажаю працювати в молодому колективі дизайнерів, націлених на створення сучасних продуктів, які вирішують реальні задачі бізнесу.

Понад 3 роки працюю куратором в телеграм-чаті на онлайн-курсі графічного дизайну в спільноті CREO. Комунікую зі студентами, допомагаю освоїти графічні програми від Adobe.

Маю досвід роботи оператором цифрового та широкоформатного друку в типографії. Добре знайомий з усіма процесами: додрукарською підготовкою, друком та постдруковими роботами."
234,"Веб-дизайнер

Досвід:
- Виконання 3 некомерційних та 1 комерційного проекту для портфоліо.
- 6 місяців досвіду роботи на фрілансі у сфері веб-дизайну.

Навички:
- Розробка та реалізація веб-дизайнів для різних проектів.
- Здатність працювати над проектами різної складності.

Мета:
- Прагнення до професійного розвитку у сфері веб-дизайну.

Портфоліо доступне за запитом."
235,"Виконував редизайн старого сайту, використовуючи Figma та плагіни. До редизайну виконав адаптацію, створив UI kit та завантажив кейс на Behance. Завершую роботу над лендінгом та сервісом. Працював над лендінгом, редизайном сайту, займаюсь сервісом, планую розробку мобільного додатку. Використовую Figma, плагіни, Adobe Photoshop, Adobe Illustrator, Canva."
236,"Освіта:
- Закінчила курси в онлайн школі SCVOT з відзнакою, отримала диплом.

Досвід роботи:
- Фрілансер, спеціалізація: робота в Figma.
  - Виконала 2 замовлення, включаючи великий проект тривалістю 2 місяці, успішно завершений. Замовник зацікавлений у подальшій співпраці."
237,"Досвід роботи:

- Створення сайтів портфоліо (для майстра тату, студії танців)
- Розробка онлайн магазину текстилю
- Дизайн мобільного застосунку з рецептами
- Редизайн персональної сторінки аккаунту студента зі статистикою
- Креативний геміфікований лендінг на тему ресайклінгу

Основний напрямок: UI дизайн та дослідження потреб кінцевих користувачів.

Інструменти: Figma, Photoshop, Illustrator (використовую рідше як допоміжні).

Формат роботи: Фріланс, віддалена робота. Відкрита до роботи з постійною командою.

Очікування: Більше цікавих веб-проєктів. Не зацікавлена в роботі з друкованими матеріалами та банерною рекламою, за винятком невеликих частин проєктів."
238,"- Розробка дизайну інтерфейсів
- Дизайн рекламної продукції: буклети, листівки, візитки, стікери
- Оформлення графічної документації: прайс-листи, презентації, каталоги
- Створення контенту для соцмереж: банери, фото, монтаж відео, анімація
- Відеозйомка дитячих виступів, монтаж відеороликів
- Розробка фірмового стилю компанії
- Візуальний дизайн: розуміння місця та призначення елементів інтерфейсу та його анімації"
239,"Використовувала в роботі: Figma, Adobe Photoshop, Adobe After Effects, Adobe Illustrator, Tilda. Вивчала основи програмування. Реалізовувала проекти з поліграфії, дизайну лендингів, інтернет-магазинів та сайтів-портфоліо."
240,Курси та самоосвіта допомогли мені поєднати різні сфери. Мої навички конструктора дозволяють створювати конкурентоспроможні дизайни. Маю досвід роботи від інженера-конструктора в сфері машинобудування до Junior UI/UX дизайнера. Поєдную точність та творчість у своїй роботі. Володію Figma та Adobe Illustrator. З кожним новим проектом удосконалюю свої навички у напрямку UI/UX.
241,"Курси самопідготовки: Артем Русова QA, Тарас Шипка UI-UX design, Піжамна Академія.

Навички:
- Відмінні комунікативні здібності
- Розв'язування задач
- Сервіс і підтримка
- Стресостійкість
- Командна орієнтація
- Творчий підхід
- Впевнений користувач ПК
- Багатозадачність
- Figma, Microsoft Word, Excel

Досвід:
Відповідальна за розробку інтерфейсу для основних екранів додатку та вебсторінок, враховуючи принципи UX/UI дизайну та забезпечуючи зручність взаємодії користувачів з продуктом. Використовувала Figma для дизайну та прототипування.

Плани на майбутнє:
Поглиблене вивчення інструментів та методів UX дослідження для кращого розуміння потреб користувачів. Бажання вдосконалюватися у розробці анімацій та інтерактивності для створення привабливих та функціональних продуктів.

Інтереси:
Веб-дизайн."
