,Modified_claude-opus-4-5_of_CV_Modelclaude-opus-4-5
12528,"**HCM Configuration Specialist** | Aug 2019 – May 2021
- Initialized and managed customer data configurations
- Provided support and troubleshooting for customer issues
- Customized system functionality according to client requirements
- Authored specifications and collaborated with development team to ensure deliverables met requirements
- Conducted testing and managed requirements throughout all development stages

**Configuration Manager** | Feb 2013 – July 2019
- Configured and managed software build release processes
- Established test and production environments for company software products
- Prepared technical design documentation
- Supported projects and maintained customer databases

**Software Implementation Specialist** | May 2010 – Feb 2013
- Drafted user instructions and documentation
- Documented manufacturing processes
- Imported data into Oracle
- Configured products to customer requirements and developed additional reports
- Administered system operations
- Authored automated QA tests
- Trained users on system functionality
- Provided customer support

**Software Implementation Specialist** | May 2008 – Apr 2010
- Maintained accounting software
- Prepared test environments
- Configured products to customer requirements and developed additional reports
- Trained users on system functionality
- Provided customer support
- Developed solutions using HTML, CSS, PHP, and Visual Basic

**Areas of Interest:** Finance, Big Data, AI, Blockchain"
12529,"**PROFESSIONAL SUMMARY**

Dual-role Business Analyst and Project Manager combining strategic analysis with delivery excellence. Dedicated to product success through data-driven decision-making, customer-focused problem solving, and collaborative product strategy. Committed to process optimization that maximizes value delivery while eliminating inefficiencies.

---

**KEY ACHIEVEMENTS**

- Delivered project MVP with Agile team in 4 months
- Introduced Scrum practices, resulting in improved planning and work organization
- Strengthened stakeholder relationships, achieving higher levels of trust and collaboration
- Developed team members, contributing to their professional growth

---

**CURRENT RESPONSIBILITIES**

**Project Management**
- Driving projects to completion on time and within budget while meeting client objectives
- Managing project teams, stakeholders, risks, and changes
- Leading project planning, prioritization, and budgeting
- Overseeing quality management and reporting

**Business Analysis**
- Leading analysis and documentation of requirements for new systems
- Collaborating with development teams to ensure systems meet business needs
- Ensuring successful implementation and adoption
- Identifying improvement opportunities and developing solutions
- Facilitating communication between stakeholders and technical teams

---

**CORE COMPETENCIES**

Project Planning | Requirements Gathering & Analysis | Team Management | Budgeting | Risk Management | Quality Management | Change Management | Solution Development | Documentation | Stakeholder Communication | Process Improvement

---

**CAREER INTERESTS**

Seeking a role focused on product development and success, with active involvement in product strategy, customer problem-solving, and data-driven decision-making to deliver meaningful user value."
12530,"**PROFESSIONAL EXPERIENCE**

**Amdocs Israel**
Program Manager
2020 – Present

---

**Pasha Bank Georgia**
IT Section Manager
June 2018 – December 2019

Led and coordinated department activities across three critical units:
- IT Operations
- Software Development
- Business Analysis and Service Quality

---

**Geocell – TeliaCompany – Telecommunications**
Technology Division, Services – Products and IT Section Manager
February 2015 – June 2018

Led and coordinated department activities across five units:
- Billing and Charging
- Product and Services
- Software Development
- Enterprise IT
- Business Support and Reporting

---

**Geocell – TeliaCompany – Telecommunications**
ICT Division, Service Network Department Manager
January 2006 – February 2015

Managed systems including:
- Prepaid Charging System
- Ericsson Billing Gateway Platform
- VAS Platforms (SMSC, CRBT, WAP GW, Voice Mail)

Key responsibilities:
- Technical helpdesk (1st and 2nd line support)
- Systems administration and maintenance
- Implementation and deployment of new products

---

**Geocell LLC – Telecommunications**
Service and Product Operations Team Coordinator, Technical Department
March 2004 – January 2006

Managed systems including:
- Prepaid Charging System
- Ericsson BGW (EMM) Platform
- Value Added Systems (SMSC, CRBT, WAP GW, Voice Mail)

Key responsibilities:
- Technical helpdesk with 24x7 support for internal customers (1st and 2nd line)

---

**Geocell LLC – Telecommunications**
Prepaid Charging System Engineer, Technical Department
March 2000 – March 2004

- Administered and maintained Ericsson (PPL) Prepaid Charging System
- Provided 24/7 technical helpdesk support (1st and 2nd line)
- Configured and implemented new products and tariff plans

---

**New Net Georgia LLC**
Digital PSTN Switching Center Technical Manager
February 1997 – March 2000

- Administered and maintained PSTN switching center
- Managed shift staff planning and scheduling
- Provided 24/7 technical helpdesk support (1st and 2nd line)

---

**KEY PROJECTS**

**Retail Bank Launch (Cash-Loan and TopCard)**
Pasha Bank Georgia | August 2018 – August 2019

Complex multi-workstream initiative encompassing:
- Processing Center swap and Core Banking integration with client migration
- Core Banking system release upgrade
- CRM and Sales Force deployment (Terrasoft BPM platform)
- Internet Banking and Mobile Banking implementation
- Contact Center PBX system swap
- Integration with Terminal Payment system (TBC Pay)

---

**Prepaid Billing System Swap**
Geocell | August 2017 – December 2017

Migrated Prepaid Billing System from Amdocs/Comverse One to Peter-Service BSS with online credit and balance control.

---

**Post-paid Billing and Interconnect Systems Swap**
Geocell | May 2016 – December 2016

Migrated Post-paid and Interconnect Billing System from CBOSS to Peter-Service BSS with online credit and balance control.

---

**Deep Packet Inspection, Policy and Charging Rules Function Platform Swap**
Geocell | January 2017 – December 2017

Led PCRF/PCEF swap tender and implementation.

---

**Prepaid Billing System Swap**
Geocell | January 2014 – September 2014

Migrated Prepaid Billing System from Orga OPSC Classic to Comverse ONE BSS."
12531,"# PROFESSIONAL SUMMARY

Results-driven professional with over 10 years of experience in Project Management and B2B Sales within the agribusiness sector. Certified in IT Project Management and IT Business Analysis, with solid understanding of software development lifecycle, development methodologies, risk management, and project planning. Recognized for strong analytical, planning, organizational, and communication abilities. Seeking a long-term position in the IT industry to leverage transferable skills and contribute to impactful projects while pursuing continuous professional growth.

---

# EDUCATION & CERTIFICATIONS

**IT Project Management Certificate**  
IT Education Academy (ITEA)

**IT Business Analysis Program**  
BA Space School

---

# CORE COMPETENCIES

- Project Management
- B2B Sales
- Software Development Lifecycle
- Software Development Methodologies
- Risk Management
- Project Planning
- Analytical & Strategic Thinking
- Organizational Planning
- Written & Verbal Communication
- Document & Presentation Development

---

# PROFESSIONAL EXPERIENCE

**Project Management & B2B Sales**  
Agribusiness Sector | 10+ Years

- Delivered project management and B2B sales initiatives within the agribusiness industry
- Created well-structured, clear documentation and professional presentations
- Applied planning, analytical, and organizational skills to drive business outcomes"
12532,"# RESUME

## SUMMARY
Experienced Project Manager and Business Analyst with expertise in SAP ERP implementation, stakeholder communication, and team leadership. Proven track record of successful system rollouts, meeting project deadlines, and bridging communication between IT and business stakeholders. Seeking a Business Analyst or Project Manager role in a fast-paced organization.

---

## PROFESSIONAL EXPERIENCE

**Head of SAP Project Team / Project Lead**
*Metinvest-SMC | Metallurgical Company*

- Led SAP ERP implementation project, progressing from Project Manager to Head of SAP Project Team
- Delivered successful rollout of system refinements and solutions within project deadlines
- Managed cross-functional responsibilities: Project Management, Business Analysis, Quality Assurance, and Customer Support
- Improved communication between IT and business stakeholders, project team members, and developers by defining project scope and establishing streamlined communication processes
- Mentored team members in professional development; one advanced to Senior BA at a leading Ukrainian IT company, another progressed to leading implementation projects
- Recommended to Staff Roster (prospective employees) based on staff assessment results (2015-2017)
- Defined business requirements for Sales, Marketing, Finance, and Procurement departments
- Prioritized and managed Product Backlog
- Led migration from 1C: Enterprise 8.2 to SAP ERP
- Conducted system testing for solutions, refinements, improvements, and bug fixes
- Provided first-line user support
- Developed training materials and conducted user training

**OSCE SMM Ukraine**
- Contract extended based on high-performance evaluation
- Performed administrative duties, contract management, and Human Resources functions (1.5 years)

**Business Analyst**
*Beauty Industry (1+ year)*
- Customized YClients software (now Altegio)
- Organized and optimized business processes

**Sales and Marketing Experience** (1+ year)

---

## SKILLS

**Methodologies:** SDLC, Agile, Scrum

**Tools:** JIRA, Confluence, Miro, Basilique, MS Office (Word, Excel, Project, Outlook, Skype for Business), SAP ERP Test Systems

**Techniques:** User Stories, Use Cases, Scenarios, BPMN, RACI Matrix, Product Vision Board, Story Mapping, Diagrams, Prototypes, Backlog Management, Project Documentation"
12533,"**PROFESSIONAL SUMMARY**

Experienced project manager specializing in web platform development and solutions for the Telecom industry. Proven track record of delivering high-quality projects on time and within budget. Currently serving as Scrum Master with expertise in Agile frameworks and development methodologies.

**CORE COMPETENCIES**

- Project Management
- Scrum Master
- Agile Frameworks
- Web Platform Development
- Telecom Solutions
- Stakeholder Communication
- Budget & Timeline Management
- Project Management Software

**PROFESSIONAL EXPERIENCE**

**Scrum Master & Project Manager**
*Current Company*

- Lead projects utilizing Agile frameworks and development methodologies
- Manage budgets and timelines to ensure on-time, on-budget delivery
- Facilitate communication among diverse stakeholders
- Apply project management software to optimize workflow and tracking

**Project Manager**
*NFT Project (Self-Initiated)*

- Founded and managed NFT project from concept through execution
- Oversaw project deadlines and budget allocation
- Maintained detailed project oversight and quality standards

**ADDITIONAL STRENGTHS**

- Strong business-oriented mindset
- Effective problem-solving abilities
- Excellent listening and communication skills
- Time-efficient and collaborative team player
- Committed to continuous learning and technology trends"
12565,"# PROFESSIONAL RESUME

## SUMMARY

Business Analyst and Scrum Master with 4 years of business analytics experience and 5 years of sales experience. Proven track record in launching projects from scratch, working in startup environments, and managing outsourcing projects. Strong client communication skills with USA and EU stakeholders. Sales background provides strong foundation in relationship building, problem-solving, and client communication.

## PROFESSIONAL EXPERIENCE

**Business Analyst / Scrum Master**

- Led cross-functional team of 15 members (2 iOS Developers, 2 Android Developers, 4 Frontend Developers, 5 Backend Developers, 2 QA Engineers)
- Managed team of 9 members (2 Mobile Developers, 2 Frontend Developers, 3 Backend Developers, 2 QA Engineers)
- Successfully implemented 5+ integrations and released MVP on second project
- Facilitated Scrum events including sprint planning, grooming, estimations, retrospectives, and backlog management
- Conducted requirements identification, gathering, and analysis with business stakeholders and Product Owners
- Created and maintained detailed documentation in Confluence including user stories, use cases, and wireframes
- Produced technical requirements including UML diagrams, Use Cases, Functional and Non-Functional Specifications, and Sequence diagrams
- Managed project timelines, sprint planning, and Gantt chart development
- Delivered regular progress reports to Product Owners and stakeholders
- Managed budgeting, project estimations, and risk management
- Analyzed change requests and maintained changelog documentation

**Project Experience:**
- 2 Healthcare projects
- 1 Cryptocurrency and crowdfunding project
- Previous projects ranging from fitness applications to finance systems

**Sales Manager**

- Managed and coordinated sales department of 8 sales managers and pre-sales managers
- Established and implemented Affiliate Program
- Developed and executed Sales Strategy

## EDUCATION & CERTIFICATIONS

- IT Project Management Course (April 2019)
- Quantitative and Qualitative Market Research Course (November 2019)
- Technical Training: MS SQL, MySQL, HTML, CSS, PHP (March 2020 – July 2020)

## TECHNICAL SKILLS

- Tools: Confluence, Gantt charts, UML
- Databases: MS SQL, MySQL
- Web Technologies: HTML, CSS, PHP
- Methodologies: Scrum, Agile"
12656,"**BUSINESS ANALYST / WEB ANALYST / PROJECT MANAGER**

---

**SUMMARY**

Business Analyst, Web Analyst, and Project Manager with experience in IT and a current position at a major national retail company. Seeking a promising opportunity for effective collaboration with a quality employer and a team of professionals.

---

**PROFESSIONAL EXPERIENCE**

**Web Analyst / Business Analyst**
*National Retail Company* | Current

---

**Business Analyst / Web Analyst**
*2021–2022*

- Restructured company reporting into a dynamic format across approximately 10 projects
- Automated daily reporting and developed a universal algorithm for implementation
- Streamlined interdepartmental interaction and accelerated internal process workflows
- Increased the number of new projects for analysis by 2.5 times

---

**Lecturer (Part-Time)**
*Ukrainian University* | 2020–2023

- Authored more than 10 scientific and expert publications indexed in Scopus, Web of Science, and other scientometric databases
- Developed and implemented the concept for an educational YouTube channel

---

**Chief Executive Officer**
*Own Online IT Project* | 2017–2021

- Developed and implemented a proprietary business model
- Achieved average monthly profitability of approximately 90%
- Fully automated technical, managerial, and business processes within 14 months
- Transitioned project operations to content manager support

---

**Project Manager (Remote)**
*2016–2021*

- Grew monthly site traffic from 1.5 million to 7 million users over 4 years
- Tripled the total number of advertising partners
- Transitioned project to freelance developer support"
12674,"# PROFESSIONAL SUMMARY

Results-driven IT professional with over 10 years of experience specializing in business analysis, project management, and Agile methodologies. Proven expertise in gathering, understanding, and automating software selling and support processes across global organizations. Skilled at building high-performing Scrum teams and driving product development from concept to delivery.

---

# CORE COMPETENCIES

- Business Process Analysis & Automation
- Scrum Master & Proxy Product Owner
- Agile, Scrum & Kanban Methodologies
- Waterfall Development Process
- Requirements Engineering & Validation
- Change Management
- Project Documentation
- Software Testing Fundamentals
- Training & Facilitation
- Mobile & Desktop Application Projects

---

# PROFESSIONAL EXPERIENCE

**Senior Analyst / Proxy Product Owner / Project Manager**

- Led software selling and support process automation initiatives across approximately 15 global offices
- Established Scrum team processes from inception while serving as Scrum Master
- Created comprehensive project documentation and software requirements including use case diagrams (Visio, Star UML), use cases, user stories, and cascaded requirements
- Managed requirements validation and change management processes
- Served as Proxy Product Owner across multiple projects
- Delivered mobile and desktop application development projects

---

# EXPERIENCE SUMMARY

- **IT Industry:** 10+ years
- **Business Analysis & Proxy Product Owner:** 8+ years
- **Project Management:** 4+ years

---

# TRAINING & DEVELOPMENT

- Software Testing Training
- Professional Coach Training (facilitation, brainstorming, training delivery, meeting management)

---

# WORK STYLE

- Thrives in focused, product-oriented team environments
- Excels under pressure while managing multiple priorities"
12687,"# ANDRII
## Visionary Engineer | Top Rated Plus Upwork Freelancer

---

## PROFESSIONAL SUMMARY

Automation specialist since 2010 with deep expertise in modern IT technologies. Master of analyzing and optimizing business processes, finding effective approaches, asking the right questions, and delivering strategic recommendations. Proven track record with 100% Job Success Rate, 50+ successful long-term projects, and 2,500+ clients across US, Canada, UK, and Australia.

---

## CORE COMPETENCIES

**Process Automation & Optimization**
- Business process analysis, optimization, and automation
- Workflow design unifying digital environments
- Data processing, transformation, and external API integration
- Automated reporting and complex dataset management

**Technical Development**
- Microsoft Excel & Google Sheets (Advanced VBA / Google Apps Script)
- Dashboard creation, data visualization, and software architecture
- Custom calculations, scripts, and full automation solutions
- Low-Code/No-Code development

**Business & Communication**
- Professional negotiation and public speaking
- Documentation development (flowcharts, business cases, project charters, SLAs, technical requirements)
- IT project management

---

## EDUCATION

**MA with Honors – Financial Management**
Erasmus+ Program | Krakow, Poland

**BA – Corporate Finance**

**BA – English Translation**

---

## LANGUAGES

- English – Fluent (IELTS C1)
- Ukrainian – Native
- Russian – Native

---

## PROFESSIONAL EXPERIENCE

**IT Project Manager | ThinkWider App**
Managed application for submitting and processing factory worker improvement ideas—from review and discussion through staging, implementation, and rewarding.

**Manager & Developer | IShare Educational Platform**
Developed digital educational platform featuring training materials and live online training delivery.

**Freelance Automation Specialist | Upwork**
Top Rated Plus status. Delivered 50+ long-term projects for clients across finance, marketing, sales, insurance, manufacturing, construction, real estate, government, healthcare, education, agriculture, and media industries. Collaborated with crypto traders, investors, stockbrokers, CEOs, CFOs, senior management, and startups.

---

## TECHNICAL SKILLS

**Primary:**
Microsoft Excel | Google Sheets | VBA | Google Apps Script | Data Analysis | Financial Modeling | Dashboard Design | Data Visualization | Pivot Tables | Automated Reporting | Database Management | GUI Development

**Platforms & Integration:**
Power Query | Power Pivot | Power BI | Google Data Studio | Databox | Airtable

**Automation Tools:**
Microsoft Flow | Power Automate | Zapier | IFTTT | Integromat | Automate.io | Power Apps | AppSheet | FileMaker Pro

**Development:**
JavaScript | HTML | CSS | PHP | SQL | Python | Java | WordPress | Bubble.io | Webflow | Telegram Bots

**Collaboration:**
Trello | Jira | Confluence | ServiceNow | Microsoft To-Do

**Design:**
Canva | Diagrams.net | Photoshop | Paint.net | DaVinci Resolve | Sony Vegas

---

## CLIENT TESTIMONIALS

> ""Exceptional Work! His strategic thinking and problem-solving skills undeniably far outreaches anyone in business/IT logic.""

> ""Andrii has exceptional knowledge in business and technology. Our solution now works flawlessly!""

> ""He can see the big picture of what needs to be done, work through the details rigorously, and his interpersonal style and skills make the process go smoothly.""

> ""Professional, skilled, a great communicator and able to meet deadlines. He even improved our vision."""
12736,"**PROFESSIONAL SUMMARY**

Entrepreneurial professional with proven success in launching and scaling businesses internationally, achieving $20,000 turnover in the first year of operations. Skilled in team leadership, strategic partnerships, and end-to-end project management.

---

**EXPERIENCE**

**Co-Founder & Business Manager**
Whales of Design | Design Agency

- Lead cross-functional project teams ranging from 4 to 12 members
- Develop and execute business management strategies to drive agency growth
- Cultivate strategic partnerships through targeted networking at industry conferences
- Establish and manage relationships with external contractors and freelance designers
- Oversee complete project lifecycle from client acquisition through final delivery
- Navigate and resolve client conflicts to ensure satisfaction and project success

**Recruiter & Manager**

- Execute full-cycle recruitment processes and talent acquisition
- Implement quality control measures to ensure optimal work performance
- Contribute to event coordination for major productions including Ocean Elzy, Atlas Weekend, and Imagine Dragons concerts

---

**CAREER OBJECTIVE**

Seeking opportunities within a large organization that offers intellectual challenge and professional development."
13078,"# YELYZAVETA
**Business Development Manager | Project Manager**

---

## PROFESSIONAL SUMMARY

IT professional with expertise in project management, business development, and financial analysis. Combines technical knowledge of project development with strong client relationship management and financial acumen.

---

## CORE COMPETENCIES

- Project Management
- Business Development
- Financial Analysis & Margin Calculation
- Client Relations
- Technical Issue Resolution
- Resource Cost Planning
- Process Optimization

---

## PROFESSIONAL EXPERIENCE

**Business Development Manager | Project Manager**

**Issue Resolution & Technical Support**
- Resolve complex technical issues throughout the project lifecycle, providing solutions beyond sales department capabilities

**Financial Management & Client Relations**
- Manage company-client financial interactions, including invoicing and time tracking inquiries
- Identify and deliver additional services and supplementary solutions to clients

**Process Optimization & Collaboration**
- Partner with Delivery Managers to configure and streamline client-side project management processes
- Coordinate documentation and data exchange to ensure successful project delivery

**Financial Analysis**
- Calculate specialized resource costs per project to maintain profitability
- Analyze and calculate overall company project margins to inform strategic decision-making

---

## CAREER OBJECTIVE

Seeking opportunities to grow as a specialist while contributing to team and company success through continuous learning and results-driven performance."
13080,"**PROFESSIONAL SUMMARY**

Results-driven IT professional with 7 years of experience spanning business development and business analysis. Proven expertise in full-cycle sales execution, client relationship management, and requirements engineering. Skilled at bridging technical and business stakeholders to drive successful project outcomes.

---

**PROFESSIONAL EXPERIENCE**

**Business Development Manager**

- Executed full-cycle sales processes including lead generation, prospect qualification, opportunity development, and deal closure
- Prepared comprehensive contract documentation including Estimates, Proposals, Master Service Agreements, and Statements of Work
- Leveraged CRM platforms (Salesforce, Zoho, Dynamics, Act!) and email marketing tools (SendGrid, Reply, Outreach) to optimize sales workflows
- Utilized project tracking systems (Jira, Trello) to monitor deliverables and timelines
- Collaborated cross-functionally with recruiters, project managers, and executives during pre-sale stages
- Conducted requirements elicitation during client discovery calls
- Served as key liaison between project managers and clients to ensure seamless project delivery
- Managed prospect relationships throughout pre-sale cycle, including technical interview coordination, feedback gathering, and objection handling
- Designed and executed end-to-end email marketing campaigns
- Developed marketing collateral including case studies, press releases, and website content
- Participated in screening and interviewing candidates for Sales and Marketing department
- Mentored and trained junior team members across domestic and international offices in Ukraine

**Business Analyst**

- Conducted client requirements elicitation and evaluation
- Authored Software Requirements Specifications
- Maintained and updated project documentation
- Facilitated communication between customer representatives and development teams
- Developed user guides and training documentation
- Designed UI wireframes"
13146,"**PROFESSIONAL PROFILE**

Results-driven management professional with 7 years of international experience across Ukraine, Qatar, UAE, and Lebanon. Proven track record of progression from Assistant Project Manager to Director of Business Development & Production. Demonstrated loyalty through 5+ year tenure with previous employer.

---

**EDUCATION & CERTIFICATIONS**

Dean's Honor List for Outstanding Academic Achievement — American University in Dubai

ISO 22000 Certified Internal Auditor

---

**CORE COMPETENCIES**

- Team Leadership: Direct supervision of up to 15 professionals (engineers, designers, sales managers) plus coordination of 10+ third-party service providers
- Project Management: Skilled at deconstructing complex initiatives into clear, actionable components
- Management Methodology: Proficient application of planning, organizing, leading, and controlling principles
- Tools: Trello, Google Workspace, and additional platforms as required
- Documentation: International contracts, supply agreements, logistics coordination, and NDA-protected materials
- Languages: Fluent English — capable of complex reporting, product presentations, and business communications

---

**ADDITIONAL EXPERIENCE**

Successful personal ventures in eCommerce and online news publications

---

**AVAILABILITY**

Available to discuss qualifications and motivation in detail."
13147,"**PROFESSIONAL SUMMARY**

Versatile professional with 3+ years of project management experience and approximately 2 years of business development experience in the IT industry. Strong communicator with a proven track record in partnership development and team leadership. Eager to contribute to a collaborative team while continuing professional growth.

**EXPERIENCE**

**Partnership Manager**
Outsourcing/Outstaffing Agency

- Developed a partnership network with 150+ IT companies across Ukraine, Poland, Bulgaria, and other markets
- Successfully managed 10+ projects and numerous support tasks
- Led client and supplier meetings to facilitate task clarity and mutual growth
- Oversaw client communication and onboarding processes
- Managed cross-functional teams of developers and designers

**SKILLS**

Project Management | Business Development | Partnership Development | Client Relations | Team Management | Onboarding | Stakeholder Communication

**TOOLS & TECHNOLOGIES**

Trello | Notion | Slack | Jira | CRM | ActiveCampaign | Agile Methodology"
13148,"# PROFESSIONAL SUMMARY

Business Development Manager and Fundraiser with 5 years of experience driving growth, building stakeholder relationships, and leading teams. Successfully raised $30,000 in one week through strategic stakeholder engagement.

---

# PROFESSIONAL EXPERIENCE

## Business Development Manager & Fundraiser

**Startup Company**

- Established and maintained relationships with stakeholders to secure investment funding
- Raised $30,000 in capital within one week
- Set goals for the business development team and developed strategies to achieve them
- Met with stakeholders to advance business objectives
- Trained business development staff
- Researched prospective accounts in target markets

## Business Development Manager

- Communicated new product developments to prospective clients
- Contacted potential clients to establish rapport and arrange meetings
- Identified new business opportunities
- Attended conferences, meetings, and industry events
- Developed goals for the development team and business growth, ensuring targets were met
- Researched organizations and individuals to identify new opportunities

## Project Manager

**State Enterprise**

- Determined and defined project scope and objectives
- Tracked project costs to meet budget requirements
- Monitored progress and made adjustments as needed
- Measured project performance to identify areas for improvement

---

# CORE COMPETENCIES

- Stakeholder Relationship Management
- Fundraising & Investment Acquisition
- Team Leadership & Training
- Strategic Planning & Goal Setting
- Project Management
- Business Development"
13149,"# PROFESSIONAL SUMMARY

Results-driven project manager with 2 years of experience in international partnership development and 1.5 years specializing in telecommunications. Proven track record in B2B and B2C relationship management across Europe, Asia, America, CIS, and Africa. Passionate about communication, helping people, and working in multilingual environments.

# PROFESSIONAL EXPERIENCE

**Partnership & Interconnections Manager** | Telecommunications Industry | 1.5 years

- Initiated 48 new interconnections with companies across Europe, CIS, America, and Asia within 6 months
- Identified and flagged 5 fraudulent companies through due diligence processes
- Managed end-to-end interconnection processes including partner sourcing, negotiations, business case calculations, fraud verification, and agreement execution
- Coordinated commercial, technical, and legal aspects of partnerships
- Served as liaison between new partners and internal departments
- Engaged stakeholders via telephone, email, Skype, LinkedIn, and cold/warm calling

**Project Manager** | International Partnerships | 2 years

- Managed projects with international partners across global markets
- Developed and maintained B2B and B2C client relationships

# TECHNICAL PROFICIENCIES

Pipedrive CRM | Odoo | Confluence | Jira | Mattermost

# SKILLS

- Excellent communication and collaboration abilities
- Structured analytical thinking
- Stress-resistant with strong multitasking capabilities
- Self-motivated and efficient
- Problem-solving orientation
- Customer-focused approach"
13150,"# BUSINESS DEVELOPMENT MANAGER | SALES | PROJECT MANAGEMENT

Accomplished Enterprise Sales Professional with 9 years of experience in B2B and B2C environments, consistently exceeding goals, building profitable partnerships, and maximizing customer lifetime value. Proven expertise in sales strategy, project management, account management, and business process development with deep knowledge of Cloud Computing solutions (SaaS, API, Cloud Services). Strong track record of implementing agile and waterfall methodologies, expanding market share, and driving revenue growth across Renewable Energy, Enterprise Tech, and AgTech industries.

---

## KEY ACHIEVEMENTS

- Managed portfolio of 10 active customers and 40+ prospects with total ARR of $1M across FMCG, Agro, and Manufacturing sectors
- Closed 15 deals in 1.5 years with consistent overachievement of targets
- Generated annual sales turnover of €300,000 through acquisition of 10+ clients per year
- Built and managed partner network delivering €220,000 annual sales turnover with 5+ new partners yearly
- Developed account strategy for top FMCG clients, resulting in higher sales conversion

---

## CORE COMPETENCIES

**Product Development & Strategy**
- Created business concept, Terms of Reference, roadmap, and UX/UI for CRM product
- Developed commercial and marketing strategies to create value propositions for new clients
- Designed brand promotion, loyalty programs, and lead generation initiatives

**Project Management**
- Implemented PM and BA standards and methodologies into strategic corporate sales
- Led humanitarian project including IT solutions implementation, CRM, website, and fundraising
- Managed digital transformation initiatives and high-value solution selling

**Business Development**
- Created and managed strategic partner relationships
- Delivered IT solutions and value creation for customers in Agro sector
- Built strong relationships with colleagues, partners, and C-level executives"
13196,"**PROFESSIONAL SUMMARY**

Results-driven Operations Manager with progressive career growth from SDR to Team Lead to Operations Manager since 2019. Proven expertise in B2B business development, cold outreach across multiple channels, and team leadership. Consistently recognized for exceptional performance, with a strong passion for client-facing roles and day-to-day client communication.

**PROFESSIONAL EXPERIENCE**

**Operations Manager** | 2022 – Present
- Manage a cross-functional team of 4 Team Leads and 42 SDRs across Mexico and Ukraine locations
- Recognized as Best Manager within the company every month

**Team Lead** | 2021 – 2022
- Maintained personalized responses for 10 active clients simultaneously
- Participated in testing and implementation of internal company tools

**Sales Development Representative** | 2019 – 2021
- Delivered business development services to 3-4 concurrent clients
- Executed cold outreach campaigns via email, LinkedIn, and calls for diverse B2B clients

**SKILLS**

- Team Leadership & Management
- B2B Business Development
- Multi-channel Cold Outreach (Email, LinkedIn, Calls)
- Client Relationship Management
- Cross-functional Team Coordination
- Personalized Client Communication

**CAREER INTERESTS**

Seeking opportunities in Project Management to leverage client-facing expertise and communication skills."
13382,"# [Name]
[Contact Information]

## Professional Summary

Highly motivated Business Process Architect and Project Manager with 10+ years of experience delivering projects within scope, budget, and timelines. Strong communication, stakeholder management, and problem-solving skills. Adept in Agile, Waterfall, and hybrid methodologies to ensure project success and customer satisfaction. PMI chapter member currently pursuing PMP certification. Seeking complex and challenging projects with a modern technology stack.

## Professional Experience

**ERP System Implementation**
- Led successful ERP implementation on time and within budget amid rapidly changing business requirements
- Consolidated 13 databases to 3, reducing data exchange time from 40 minutes to 2 minutes
- Decreased full processing cycle from 3 hours to 15 minutes
- Scaled system capacity to support 2,500 concurrent users in a single database
- Developed comprehensive productivity metrics with automated threshold alerts
- Centralized store balance data into a single accessible database

**CRM Implementation**
- Implemented Microsoft Dynamics CRM within 6-month timeline

**Service Desk Implementation**
- Deployed ManageEngine ServiceDesk Plus for Level I and II support operations and project management

## Skills & Certifications

**Certifications:** BPMN 2.0 | Microsoft Project | Confluence | Waterfall

**Methodologies:** Agile | Scrum | Waterfall | SDLC

**Tools:** Jira | Confluence | Microsoft Office Suite | Power BI | Visio | Access | WordPress | WooCommerce

**Systems:** ERP | CRM

**In Progress:** PMP Certification"
13461,"# PROFESSIONAL RESUME

## SENIOR BANKING TECHNOLOGY LEADER

---

### PROFESSIONAL EXPERIENCE

**Chief Accountant & Director**
*Banking Sector*

**Leadership & Management**
- Led and managed development teams of up to 10 professionals
- Over 10 years of experience in leadership and management roles
- Specialized in implementation of complex projects

**Software Implementation & Development**
- Spearheaded treasury software implementation
- Directed processing software implementation
- Executed agency sales software solutions
- Created and maintained banking automation products from inception to deployment

**Project & Stakeholder Management**
- Managed end-to-end project lifecycle including requirements gathering, task assignment, development oversight, testing, and client deployment
- Collaborated directly with customers on requirements definition and solution delivery

---

### CAREER OBJECTIVES

- Pursuing advancement through new projects and strategic initiatives
- Seeking opportunities to gain experience within an international organization

---

### CORE COMPETENCIES

- Banking Operations & Automation
- Software Implementation & Development
- Team Leadership & Management
- Project Lifecycle Management
- Stakeholder Relations
- Treasury & Processing Systems"
