,Modified_gemini-3-flash-preview_of_CV_Modelgemini-3-flash-preview
12453,"**SUMMARY**
Business Analyst and Project Manager with over 7 years of experience across fintech, health and beauty, gambling, tourism, manufacturing, and consulting. Proven track record of delivering high-quality projects on time and within budget while maintaining high customer satisfaction. Seeking a Business Analyst or hybrid PM/BA role to develop impactful products and grow technical expertise.

**PROFESSIONAL EXPERIENCE**

**Business Analyst | Fintech (Crypto)**
*Current Role (9 months)*
*   Perform comprehensive analysis and requirements gathering for crypto-focused products.
*   Liaise between the IT department, designers, and stakeholders to ensure project alignment.
*   Responsible for the writing and actualization of technical specifications.

**Project Manager / Business Analyst | Various Industries**
*Total Experience: 7+ years*
*   Managed full project lifecycles from initiation to completion and provided ongoing support for live projects.
*   **Arbitration Team:** Built internal processes resulting in monthly profits ranging from $90,000 to $160,000+.
*   **Sales Doubler:** Executed urgent development of landing pages and promotional materials for the ""Financial Storm 3.0"" contest (3,000,000 UAH budget) within a strict two-week deadline.
*   **Vintage:** Managed timely releases and provided customer support for major clients including Oshadbank and Totis.
*   **Zhansaya Sanatorium (Kazakhstan):**
    *   Generated 412 applications and calls within 22 business days.
    *   Achieved a 4% visitor-to-lead conversion rate with a $0.30 cost per potential client.
    *   Successfully implemented a CRM system to streamline operations.

**SKILLS**

*   **BA/PM Core:** Requirements gathering, stakeholder communication, pre-design studies, UX prototyping, and creating project documentation/specifications.
*   **Methodologies:** Agile philosophy, Scrum, and implementation of Kanban and Scrum elements in workflow processes.
*   **Design:** UX/UI understanding and prototyping.
*   **Management:** Multi-project management, team organization, process optimization, and decision-making.
*   **Soft Skills:** Client-oriented approach, flexible communication, and high level of self-organization.

**TOOLS**

*   **Project Management:** JIRA, Confluence, Trello, YouTrack, Monday, Bitrix, Redmine.
*   **Design & Wireframing:** Figma, Balsamiq, Moqups, Draw.io."
12454,"[NAME]
[CONTACT INFORMATION]

**PROFESSIONAL SUMMARY**
Analytical professional with experience in project management, commercial intelligence, and market analysis. Proven track record of managing Scrum teams, conducting deep-dive OSINT research, and improving organizational performance. Skilled in data analysis, risk management, and stakeholder communication.

**EXPERIENCE**

**Project Manager | ArtHome, Dnipro/Ukraine**
*June 2019 – January 2020*
*   Managed a Scrum team and utilized Gantt diagrams for project planning, monitoring, and time management.
*   Developed and maintained detailed project plans, stage plans, and resource allocation strategies.
*   Identified and managed project risks, including the development of contingency plans.
*   Estimated costs and developed project budgets.
*   Built and populated the company website using Tilda.
*   Established and maintained relationships with partners, Ukrainian artists, and interior designers.
*   Conducted project evaluation reviews to assess management effectiveness and provided follow-on recommendations.
*   Represented company interests and managed social networking initiatives.

**Researcher (Commercial Intelligence) | Noosphere, Dnipro/Ukraine**
*April 2019 – July 2019*
*   Performed vertical research and niche reviews for customer product releases.
*   Utilized Open Source Intelligence (OSINT) to uncover hidden links between individuals and businesses.
*   Analyzed venture capital deals to identify vertical trends and country-specific features.
*   Conducted comprehensive company audits to identify weaknesses, including court cases, staff changes, and business model shifts.
*   Monitored corporate compliance regarding public statements, plagiarism, and relations with sanctioned countries.
*   Analyzed corporate financing structures, including takeovers, credits, and investments.
*   Compiled detailed profiles on individuals, covering business connections, social circles, public statements, and background history.

**Auditor | Bartolomeo Resort**
*   Directed the audit of the complex.
*   Improved staff training performance results from 52% to 93% during the project period.

**Global Fertilizer Market Analyst**
*   Communicated with global market players to facilitate information exchange.
*   Prepared detailed analytical reports on market trends and player activity.

**EDUCATION**
**BA Courses (Completed)**

**SKILLS**
*   **Project Management:** Scrum, Gantt Diagrams, Risk Management, Budgeting, Resource Monitoring.
*   **Analysis:** Commercial Intelligence, OSINT, Vertical Analysis, Market Research, Data Analysis.
*   **Technical:** Tilda (Website Building), Content Management.
*   **Communication:** Stakeholder Relations, Partner Management, Professional Networking."
12455,"[NAME]
[CONTACT INFORMATION]

**SUMMARY**
Project Manager with over 5 years of experience across the FinTech and Logistics domains. Proven track record in technical client onboarding, process automation, and cross-functional coordination between stakeholders and development teams. Expert in managing backlogs, defining technical requirements, and optimizing operational profitability.

**EXPERIENCE**

**Lead Account Project Manager / Account Project Manager | FinTech**
Oct 2019 – Present (3+ Years)
*   Lead the onboarding and integration of new clients to the platform, including launch planning, product demonstrations, and API documentation consulting.
*   Analyzed customer needs and provided technical consultation during the sales stage to ensure alignment with platform capabilities.
*   Managed client task backlogs, encompassing analysis, description, scheduling, implementation oversight, testing, and delivery.
*   Evaluated API documentation against client requirements and verified requests using Postman.
*   Identified customer feature requests and translated them into comprehensive business and technical requirements for the development team.
*   Utilized Jira for task management and BPMN/Confluence for process description and documentation.

**Project Manager | UVK Ukraine (Transport & Logistics)**
Jun 2017 – Oct 2019
*   Increased profitability from container turnover from an average of 0% to 40%.
*   Automated accounting processes and achieved a measurable reduction in operational losses.
*   Managed client service introductions and conducted container reconciliations for a portfolio of approximately 40 clients.
*   Coordinated and executed reconciliations with regional offices across 23 regions.
*   Authored technical specifications for developers, monitored implementation timelines, and conducted final testing.
*   Developed regulatory documents and standardized work instructions to streamline operations.
*   Consistently met and fulfilled established KPI indicators.

**SKILLS**
*   **Tools:** Jira, Confluence, Postman.
*   **Technical:** API Analysis, BPMN, Technical Specification Writing, Requirement Gathering (Business & Technical), Process Mapping.
*   **Domain Expertise:** FinTech, Transport & Logistics, Account Management, Platform Integration."
12456,"[NAME]
[Contact Information]

**PROFESSIONAL SUMMARY**
Dedicated Project Manager committed to transparency, ethical behavior, and delivering value through clear communication and structured task management. Experienced in overseeing the full project lifecycle, from budget planning to team leadership. Proven track record in leveraging IT solutions to solve internal operational challenges and successfully launching complex systems. Seeking to apply project management expertise within the NGO sector.

**CORE COMPETENCIES**
*   Project & Product Management (Time, Scope, Risk)
*   CRM & ERP Implementation
*   Data Analysis, Evaluation, and Strategic Planning
*   Budget Planning & Financial Analysis
*   Stakeholder Management & Reporting
*   Backlog Prioritization & User Story Creation

**PROFESSIONAL EXPERIENCE**

**Project Manager / Product Owner**
*   Led the development and realization of a custom CRM and ERP system for a logistics company.
*   Managed and supported a portfolio of existing projects to ensure continuous operational improvement.
*   Served as the primary decision-maker regarding product features and strategic direction.
*   Identified and resolved internal organizational problems through the implementation of targeted IT solutions.
*   Collaborated closely with business stakeholders to gather requirements, understand technical challenges, and identify solutions.
*   Translated business needs into user stories and communicated backlog priorities to the development team.
*   Contributed to the increase of company sales plans through effective project execution and planning.
*   Oversaw project teams, ensuring clear task assignment and fostering a culture of transparency regarding progress and challenges.
*   Controlled project risks and managed time and scope constraints to ensure successful delivery.
*   Conducted data analysis and evaluation to support budget planning and strategic decision-making.
*   Submitted comprehensive progress and financial reports to department heads and executive management.

**VALUES & OBJECTIVES**
*   **Transparency:** Committed to full transparency in project management, budgeting, and issue reporting.
*   **Team Alignment:** Ensuring teams are consistently informed about project progress, challenges, and changes.
*   **Ethics & Value:** Dedicated to ethical behavior and delivering measurable value in every project.
*   **Social Impact:** Actively seeking opportunities to work on projects for NGOs."
12457,"**PROFESSIONAL SUMMARY**
Business Analyst with approximately 10 years of experience building solutions across various sizes, complexities, and purposes. Expertise spans the full Software Development Life Cycle (SDLC), project management, and pre-sales engagement. Proven ability to identify client and market needs to deliver strategic solutions aligned with architectural drivers.

**CORE COMPETENCIES**
* Business Analysis & Scope Analysis
* Project Management & Planning
* SDLC Methodology
* Pre-sale Strategy & Proposal Development
* Product Concept Development
* System Deployment & User Training
* Process Construction & Optimization
* Sales Process Management

**PROFESSIONAL EXPERIENCE**

**Engagement Manager (Pre-sale)**
* Prepared initial proposals and conducted comprehensive full-scope analyses.
* Operated as a versatile lead across multiple functions to bridge client requirements with technical solutions.

**Business Owner / Entrepreneur**
* Founded and managed an independent business, gaining hands-on experience in constructing organizational processes.
* Developed a deep understanding of the sales process and operational management.

**Business Analyst / Project Manager (1 Year)**
* Successfully combined the roles of BA and Project Manager.
* Led the development of product concepts and collaborated with technical experts on architecture planning.
* Facilitated user training and oversaw system deployment.

**QA Engineer (4 Years)**
* Managed quality assurance within the SDLC framework.
* Identified client and market needs to offer optimal solutions integrated with architecture drivers.

**TECHNICAL SKILLS & EXPERTISE**
* **Analysis:** Full scope analysis, market need identification, architecture drivers.
* **Management:** Project planning, process construction, product concept development.
* **Deployment:** System deployment, user training, SDLC.
* **Sales:** Pre-sale proposals, sales process development."
12458,"- Gathered requirements from stakeholders.
- Defined and authored user stories and use cases.
- Developed roadmaps and user flows for a SaaS platform.
- Designed and implemented a permission structure from the ground up.
- Collaborated closely with designers to enhance the UX.
- Managed Product and Sprint Backlogs.
- Facilitated daily stand-ups, grooming sessions, and retrospective meetings.
- Decomposed user stories into actionable tasks and prioritized them.
- Defined specifications for data delivery between the data science department and the backend.
- Maintained and supported comprehensive product documentation."
12459,"Alex
Project Manager

Summary
Project Manager at Marrix Power with experience overseeing the full project development lifecycle, from initial ideation to final execution. Seeking to transition into Business Analysis, leveraging a background in requirement elicitation, feasibility analysis, and project planning.

Professional Experience
Marrix Power
Project Manager

*   Managed 16 distinct projects, leading teams of 3–5 members from initial concept through development.
*   Elicited and documented requirements for all projects to ensure technical and business alignment.
*   Responsible for the end-to-end project development process, beginning with initial idea generation.
*   Analyzed and shaped project ideas into feasible concepts ready for design and further planning.
*   Maintained constant communication with all clients throughout the duration of every project.
*   Oversaw comprehensive project planning and development phases to move projects from concept to completion.

Core Competencies
*   Requirement Elicitation and Documentation
*   Project Lifecycle Management
*   Feasibility Analysis
*   Project Planning and Development
*   Stakeholder Communication
*   Team Leadership (3–5 members)"
12460,"[Full Name]
[Phone Number] | [Email Address] | [LinkedIn Profile]

PROFESSIONAL SUMMARY
Versatile professional with 4 years of experience across Project Management, Business Analysis, and Sales Management. Proven expertise in managing cross-functional development teams, engaging stakeholders, and nurturing client relationships. Skilled in requirements elicitation, technical documentation, and business process modeling, with a focus on delivering value through strategic up-selling and interactive prototyping.

CORE COMPETENCIES
*   Project Management: Team Leadership, Stakeholder Management, Client Engagement
*   Business Analysis: Requirements Elicitation & Definition, User Stories, Use Cases
*   Process Modeling: BPMN (draw.io, Camunda)
*   Design & Prototyping: Wireframing, Interactive Prototyping (Figma, MockingBot)
*   Sales: Client Nurturing, Account Management, Up-selling
*   Documentation: Technical Documentation Development & Validation

PROFESSIONAL EXPERIENCE

Project Manager / Business Analyst / Sales Manager
[Company Name] | [Dates of Employment]

*   Managed end-to-end development team workflows and stakeholder communications to ensure project alignment.
*   Nurtured and managed client relationships, identifying opportunities for up-selling and increased engagement.
*   Led requirements elicitation and definition processes to translate business needs into actionable project scopes.
*   Developed comprehensive user stories, use cases, and technical documentation.
*   Created high-fidelity wireframes and interactive prototypes using MockingBot and Figma.
*   Utilized draw.io and Camunda for BPMN mapping to optimize business processes.
*   Validated technical documentation to ensure accuracy and adherence to project standards.
*   Successfully navigated complex challenges and new processes to meet evolving organizational goals.

EDUCATION
[Degree Name]
[University Name]"
12461,"**Project Manager / Business Analyst**

Responsible for full-cycle project implementation, ensuring client requirements are met within agreed timelines and budgets.

*   Elicited and documented business and functional requirements through user stories, main/alternative flow diagrams, Visio block diagrams, and wireframes.
*   Collaborated with Developers, Engineers, and QA teams to define solution architecture, estimations, and acceptance criteria to ensure technical alignment with client needs.
*   Prototyped and presented solutions to clients and internal development teams.
*   Managed client requirements and change requests in Confluence, securing formal approvals for project scope and estimations.
*   Facilitated sprint planning and task prioritization in Jira; participated in retrospectives to ensure adherence to priorities and deadlines.
*   Monitored and reported project progress to stakeholders.
*   Developed use cases and test scenarios; performed pre-deployment testing of custom solutions and reviewed results with the QA team.
*   Presented final solutions to clients and facilitated User Acceptance Testing (UAT) to ensure customer satisfaction and formal acceptance."
12462,"**SYSTEM ANALYST**

**Professional Summary**
Results-driven System Analyst with a proven track record of optimizing technical workflows and delivering high-efficiency solutions. Expert in bridging the gap between technical requirements and business objectives, reducing project timelines by up to 90%, and streamlining documentation processes. Experienced in full-lifecycle application development, database design, and quality assurance.

**Core Competencies**
*   **Documentation:** BRD, SRS, API Specifications, User Guides, Release Notes, Delivery Protocols.
*   **Technical Design:** Database Structure Design, API Integration, Front-End Library Management.
*   **Project Management:** Backlog Estimation, Agile Ceremonies (Retro, Demos), Team Leadership.
*   **Quality Assurance:** Manual, Automated, and API Testing; Smoke and Regression Scope Development.

**Professional Experience**

**System Analyst**
*   Designed and implemented technical solutions that reduced initial time estimates by up to 90%.
*   Served as a System Analyst for a foundational application template used for app creation, server management, and front-end (FE) libraries.
*   Facilitated seamless integration between applications through API development and feature utilization.
*   Successfully advocated for optimal technical strategies by presenting data-driven alternatives to senior management.
*   Minimized manual bureaucratic overhead by automating technical documentation workflows.
*   Assumed Team Lead responsibilities in the lead’s absence, ensuring project continuity and team alignment.
*   Managed the end-to-end documentation process, including the creation of BRDs, SRSs, API specifications, and User Guides.
*   Designed database structures and provided comprehensive estimations for backlog requests.
*   Led project milestone meetings, including work demonstrations (Demos) and retrospectives.
*   Authored Release Notes and Delivery Protocols to ensure high-quality deployment cycles.

**Technical Quality Assurance**
*   Executed API, manual, and automated testing to ensure system integrity.
*   Developed comprehensive testing documentation, including test cases, test scenarios, Smoke scopes, and Regression scopes."
12463,"[NAME]
[CONTACT INFORMATION]

**EXPERIENCE**

**novomind | Germany**
**Java Developer Intern** | [DATES]

*   Developed technical solutions for small-scale cases as part of a Java development team.
*   Collaborated within an Agile team environment to meet project milestones.
*   Maintained professional communication and documentation in English.

**ACADEMIC PROJECTS**

**Lviv Polytechnic National University (LPNU)**
**Business Analysis Course Projects**

*   **Problem Analysis and Solution Design:** Conducted problem definition and analysis, developed prototypes and user personas, and created use case diagrams for solution development.
*   **Business Process Modeling:** Performed AS-IS state analysis of a company and designed the corresponding TO-BE state.
*   **Requirements Engineering:** Applied various requirement elicitation techniques to define project scopes and objectives.
*   **Machine Learning:** Integrated machine learning components and methodologies within project frameworks.

**SKILLS**

*   **Business Analysis:** Requirement Elicitation, AS-IS/TO-BE Analysis, Use Case Diagrams, Prototyping, Persona Development.
*   **Technical:** Java Development, Machine Learning.
*   **Methodologies:** Agile.
*   **Languages:** English."
12464,"**SUMMARY**

Experienced professional with a background in project management, business analysis, and international entrepreneurship. Proven track record in the end-to-end creation of software, business models, and operational procedures for new ventures. Successfully established and managed a retail business within the U.S. market.

**PROFESSIONAL EXPERIENCE**

**Project Manager / Business Analyst** (1 Year)
*   Managed the full lifecycle of multiple concurrent projects from inception to completion.
*   Gathered and analyzed requirements through documentation reviews, interviews, workflow analysis, business modeling, and requirements review sessions.
*   Coordinated development processes as a Scrum Master, ensuring strict adherence to Agile methodologies.
*   Monitored progress, managed risks, and handled change requests using backlog grooming, velocity charts, Gantt charts, and retrospective meetings.
*   Transformed stakeholder requirements into detailed user stories, use cases, visual models, Functional Requirements Specifications (FRS), and System Requirements Specifications (SRS).
*   Facilitated communication and alignment between multiple stakeholder groups.
*   Composed technical standards to govern and streamline development processes.

**Business Owner** (5 Years)
*   Managed an international supply chain, producing goods in China for sale on the U.S. market.
*   Executed all day-to-day operations for an online retail shop, including customer support, procurement, promotions, and logistics.
*   Conducted negotiations with international suppliers and third-party contractors.
*   Maintained business growth through constant adaptation to the evolving market environment.

**Efficiency Manager** (1.5 Years)
*   Re-engineered business processes by evaluating scope, business rules, and existing practices to implement optimized alternatives.
*   Designed new functionality for the internal ERP system to improve organizational efficiency.
*   Designed and implemented a customized routing system for Sales Departments.
*   Drafted technical tasks and specifications for the development team.
*   Facilitated employee training and support during the change integration process.

**OBJECTIVE**

To grow and develop professionally within a dynamic organization."
12465,"**[NAME]**
[Phone Number] | [Email Address] | [LinkedIn Profile]

**PROFESSIONAL SUMMARY**
Proactive and skilled Business Analyst / Project Manager with 6+ years of commercial experience across multiple domains. A highly motivated and disciplined professional with strong technical proficiency and excellent communication and organizational skills. Result-oriented and consistently focused on achieving the goals and objectives of the company.

**CORE COMPETENCIES**
*   Business Analysis & Project Management
*   ERP & CRM Systems
*   IT Outsourcing
*   Retail Industry Expertise
*   Healthcare Domain Knowledge
*   Sales & Marketing Strategy
*   Technical & Organizational Leadership

**PROFESSIONAL EXPERIENCE OVERVIEW**
*   **Retail:** 6 Years
*   **ERP/CRM Systems:** 5 Years
*   **IT Outsourcing:** 2+ Years
*   **Project Management:** 2 Years
*   **Healthcare:** 2 Years
*   **Sales and Marketing:** 2 Years"
12466,"[NAME]
[PHONE NUMBER] | [EMAIL] | [LINKEDIN PROFILE]

**SKILLS**

*   **Analytical:** Strong analytical skills, complex problem solving, statistics, data analysis, trend and pattern identification.
*   **Business & Management:** Project management, business process optimization, business modeling, strategy development.
*   **Technical:** Advanced Excel, PowerPoint, QlikView, QlikSense, Open Contracting Data Standard (OCDS).
*   **Communication:** Negotiation, conflict resolution, public speaking, presentation, teaching, and mentoring.
*   **Languages:** Ukrainian (Native); English (Fluent); Russian (Fluent); German (Basic).

**PROFESSIONAL EXPERIENCE**

**Data Analysis & Business Intelligence**
*   Analyzed public procurement procedures using QlikView and QlikSense BI tools.
*   Identified, analyzed, and interpreted complex trends and patterns within large datasets.
*   Monitored the ProZorro e-procurement system (IT product) regarding compliance, reporting, and investigations.
*   Supported the development of an e-procurement risk indicator system.
*   Conducted functional and effectiveness analysis to produce comprehensive analytical reports for government institutions.

**Technical Project Management & Strategy**
*   Developed Terms of Reference (ToRs), technical requirements, and specifications for construction and equipment.
*   Participated in the development of technical tasks for e-procurement systems in alignment with the Open Contracting Data Standard (OCDS).
*   Managed the development and implementation of data processing, verification, and compilation workflows.
*   Researched international best practices of Central Purchasing Bodies (CPB) to develop strategy proposals for the CPB in Ukraine.
*   Described and optimized business processes to improve organizational efficiency.

**Stakeholder Engagement & Communication**
*   Managed communications with BI users, procurers, suppliers, government controllers, and other diverse clients.
*   Represented the organization at public events, conferences, and lectures as a speaker and BI expert.
*   Coordinated multiple engagements simultaneously, working effectively both independently and within team environments.
*   Gathered and processed information for catalogs and reporting purposes."
12467,"**[NAME]**
[Contact Information]

**PROFESSIONAL SUMMARY**
Agile Certified Professional with a background in FMCG marketing, bringing a client-oriented and business-driven approach to IT project delivery. Experienced in bridging the gap between pre-sales and execution, performing dual roles as a Business Analyst and Project Manager. Adept at managing complex backlogs and technical documentation within fast-paced, evolving environments.

**CORE COMPETENCIES**
*   **Business Analysis:** SRS (Use Cases, UML), Backlog Management (User Stories, Acceptance Criteria), UX.
*   **Project Management:** Agile Methodologies, Scrum, Pre-sales Support, Delivery Management.
*   **Technical Skills:** MySQL (Basic), HTML (Basic), CSS (Basic).
*   **Domain Expertise:** FMCG, Marketing Analysis, Business Strategy.

**PROFESSIONAL EXPERIENCE**

**IT Business Analyst / Project Manager**
*   Oversee both pre-sales and delivery phases of the project lifecycle.
*   Execute comprehensive Business Analyst functions, including the creation of SRS, UML diagrams, and Use Cases.
*   Manage product backlogs by defining clear User Stories and Acceptance Criteria.
*   Perform Project Manager functions to ensure streamlined delivery and project success.
*   Apply UX principles and a client-oriented approach to technical solutions.

**Marketing Analyst / Marketing Coordinator (FMCG)**
*   Managed marketing analysis and coordination within the FMCG sector.
*   Developed a deep understanding of business operations and client needs prior to transitioning into the IT industry.
*   Leveraged marketing insights to maintain a business-centric perspective on technical projects.

**CERTIFICATIONS**
*   Agile Certified Professional (IC Agile)
*   Scrum Certification"
12468,"**BUSINESS ANALYST & PROJECT MANAGER**

**Professional Profile**
Business Analyst and Project Manager with three years of experience specializing in the healthcare domain. Proficient in BI tools and skilled at rapidly mastering technical project details to achieve organizational goals. Proven ability to support project teams across all execution stages. Utilizing a background as a soft skills trainer to foster energized, collaborative environments and manage conflict resolution effectively.

**Core Competencies**
*   **Project Management & Business Analysis:** Three years of experience driving project goals and team support.
*   **Healthcare Domain Expertise:** Specialized knowledge in healthcare industry requirements and BI tool applications.
*   **Technical Immersion:** Rapid acquisition and application of technical project details.
*   **Team Leadership:** Experienced soft skills trainer adept at creating safe and productive team atmospheres.
*   **Conflict Resolution:** Strong interpersonal skills used to handle and resolve team conflicts."
12469,"[Name]
[Address] | [Phone Number] | [Email] | [LinkedIn Profile]

PROFESSIONAL EXPERIENCE

Translator & Proofreader
- Translate and proofread reports, presentations, and websites from and into English for major healthcare and pharmaceutical organizations, including Novo Nordisk, Bayer, Parexel, and EURORDIS.

English Language Instructor
- Deliver English language instruction to students using Zoom, Google tools, and various online educational resources.
- Develop individualized educational plans and conduct student assessments and evaluations."
12470,"[NAME]
[CONTACT INFORMATION]

**PROFESSIONAL SUMMARY**
Product professional with experience supporting startups and established products through product idea validation, user research, and strategic planning. Proven ability to manage design teams and execute product strategies. Dedicated to enhancing Business Analysis expertise within challenging multi-platform environments.

**CORE COMPETENCIES**
* Product Strategy & Validation
* User Research
* Design Team Management
* Business Analysis

**PROFESSIONAL EXPERIENCE**
**Product Specialist** | Various Startups and Existing Products
* Collaborated with founders to validate product ideas and conduct comprehensive user research.
* Developed and implemented product strategies to drive growth for new and existing products.
* Managed design teams to ensure project alignment with user needs and product goals.

**OBJECTIVE**
To join a company where I can contribute to challenging multi-platform projects and continually improve my Business Analysis skills."
12471,"**IT PROJECT MANAGER / BUSINESS ANALYST**

**PROFESSIONAL SUMMARY**
Goal-oriented and efficient IT Project Manager and Business Analyst with over 7 years of experience across startups (5–10 people) and large-scale enterprises (8,000+ employees). Proven track record of managing 3 to 10 concurrent projects in both in-house environments and digital agencies. Expert in B2B and B2C product launches within Ukrainian and international markets, including the USA, China, Great Britain, and Arab countries. Skilled in bridging the gap between business requirements and technical execution to deliver high-quality digital solutions.

**CORE COMPETENCIES**
*   **Project Management:** Agile, SCRUM, Kanban, Strategic Planning, Event Management.
*   **Business Analysis:** User Stories, BPMN, Commercial Offers, CRM/ERP Systems.
*   **Product & Design:** User Experience (UX), User Interface (UI), Usability Testing, Adobe Photoshop, Illustrator, InDesign.
*   **Digital Marketing:** SEO, Email Marketing, Google Analytics, Hotjar, VCC.
*   **Technical Basics:** HTML, CSS, Quality Assurance (QA) Guide, WordPress, Drupal.

**KEY ACHIEVEMENTS**
*   Successfully led the end-to-end creation of 9 new internet projects and the improvement of more than 22 existing projects.
*   Managed cross-functional teams of up to 15 members, including developers, designers, copywriters, and advertising specialists.
*   Optimized work processes and pipelines to eliminate overtime while meeting all client milestones.
*   Negotiated and resolved controversial budget and deadline issues with high-stakes clients.
*   Established and maintained a comfortable, productive working climate for both in-house and remote teams.

**PROFESSIONAL EXPERIENCE**
*   **Project & Team Leadership:** Directed the full project lifecycle from initial negotiation and business correspondence to final task acceptance and testing.
*   **Strategic Market Entry:** Facilitated product introductions into diverse global markets (Ukraine, Arab countries, China, Great Britain, USA).
*   **Cross-Functional Collaboration:** Coordinated work between developers, designers, and marketing teams; created designs for individual blocks and pages.
*   **Industry Expertise:** Delivered solutions across multiple sectors, including Fintech, E-commerce, Education, Medical Tourism, Sailing, and Showbiz.
*   **Data & Analytics:** Utilized Power BI and Google Analytics to drive decision-making and project tracking.

**TECHNICAL SKILLS**
*   **Tools:** Jira, Confluence, Asana, Power BI, Google Analytics, Hotjar.
*   **Design:** Adobe Creative Suite (Photoshop, Illustrator, InDesign).
*   **CMS:** WordPress, Drupal.
*   **Methodologies:** Agile, SCRUM, Kanban.

**EDUCATION & PROFESSIONAL ATTRIBUTES**
*   Strong Public Speaking and Customer Service skills.
*   Proficient in project development methodologies.
*   Experienced in both office-based and remote work environments."
12472,"**PROFESSIONAL SUMMARY**
Founder and Manager with 9 years of experience leading a web studio. Specialized in Project Management and Business Analysis with a background encompassing roles from Sales Manager to Developer. Proven track record of managing teams of 5 to 20 employees and delivering diverse digital products including online stores, B2B web applications, billing systems, and cryptocurrency exchanges.

**SKILLS**
*   **Management:** Project Management, Product Management, Product Roadmap, Scrum, Agile.
*   **Analysis & Design:** Business Analysis, User Stories, Mockups, UX/UI, Analytics.
*   **Technical:** HTML, MySQL, PHP, Manual Testing.
*   **Tools:** Jira, Trello.
*   **Business:** B2B, Marketing, Sales Management.

**EXPERIENCE**

**Founder / Manager | Web Studio**
*9 Years*
*   Directed overall studio operations and managed a staff of 5 to 20 employees.
*   Served as lead Project Manager and Business Analyst, overseeing the full project lifecycle.
*   Executed cross-functional responsibilities ranging from sales management to technical development.
*   Delivered a wide range of projects, including online stores, B2B web applications, billing systems, and cryptocurrency exchanges.

**OBJECTIVE**
Seeking a Business Analyst or Project Manager position in a large IT company."
12473,"**BUSINESS ANALYST & PROJECT MANAGER**

**Professional Summary**
Business Analyst and Project Manager with over 6 years of experience in non-IT sectors and IT startups. Proven track record of participating in more than 50 projects, managing teams of 2–7 people, and overseeing budgets up to $250,000. Expert in Scrum, Kanban, and Waterfall methodologies with additional experience as a Product Owner. Dedicated to business systematization and achieving goals through proactive leadership.

**Hard Skills**
*   **Methodologies:** Scrum, Kanban, Waterfall, Lean, BPMN
*   **Tools:** MS Visio, Jira, Asana, Trello, Excel, Google Docs
*   **Technical:** SQL (Basic), Java (Basic)
*   **Communication:** Zoom, MS Teams, Google Meet

**Soft Skills**
*   Leadership & People Management
*   Project Management
*   Analytical Thinking & Business Systematization
*   Goal-oriented & Proactive
*   Creative Problem Solving (""Outside the box"" thinking)

**Professional Experience**
*   **Project Management:** Successfully participated in 50+ projects across various non-IT industries.
*   **Team Leadership:** Managed and coordinated cross-functional teams ranging from 2 to 7 members.
*   **Financial Oversight:** Responsible for project budgets totaling up to $250,000.
*   **Product Ownership:** Served as Product Owner for an IT-startup, overseeing product development and strategy.
*   **Process Optimization:** Applied Lean and BPMN frameworks to improve business processes and systematization.

**Languages**
*   English: B1 (Upper-Intermediate)

**Objective**
Seeking an opportunity to implement professional potential and project management knowledge within a company whose values align with my own."
12474,"**Teacher | Quality Assurance Group**
*November 2019 – February 2020*

*   Instructed ""Software Testing"" courses covering Quality Assurance and Business Analysis fundamentals.

**Business Analyst | QArtrock**
*September 2019 – February 2020*

**Project: Corporate Website** (Official website for a Turkish international trading company)
**Project: Store Website** (E-commerce electronics store)
*   Managed project definition and requirements elicitation.
*   Developed concepts and performed system modeling.
*   Conducted requirements analysis and produced technical documentation.

**QA Trainee | Quality Assurance Group**
*May 2019 – August 2019*

**Project: Pharmacy Management System** (Web application for online pharmacy management)
*   Performed requirements analysis and test design.
*   Authored and executed test cases; documented bug reports.

**Project: Online Education Platform** (Survey-based course selection program)
*   Executed performance testing using JMeter.
*   Performed database testing with MySQL.
*   Conducted API testing using Postman.

**Project: Construction Online Store**
*   Analyzed requirements and authored the Test Plan.
*   Managed test design, execution of test cases, and bug reporting.
*   Produced Test Summary Reports.

**Scientific Consultant**
*October 2011 – April 2019*

*   Provided diagnostic, improvement, and analytical support for the development and implementation of scientific projects.
*   Focused on the implementation of innovative technologies in educational systems and the psychological maintenance of innovative activity."
