,Modified_claude-opus-4-5_of_Modified_claude-sonnet-4-5_of_CV_Modelclaude-sonnet-4-5_Modelclaude-opus-4-5
12528,"# PROFESSIONAL EXPERIENCE

**HCM Configuration Specialist** | Aug 2019 - May 2021
- Initialized and managed customer data to ensure accurate system setup
- Diagnosed and resolved customer issues through dedicated technical support
- Customized HCM systems to align with client-specific requirements
- Authored detailed specifications and collaborated with development teams to deliver solutions matching requirements
- Conducted testing and validated requirements throughout all development stages

**Configuration Manager** | Feb 2013 - July 2019
- Configured and managed end-to-end build release processes for software products
- Established and maintained test and production environments across multiple software products
- Developed comprehensive technical design documentation
- Supported project delivery and maintained customer database integrity

**Software Implementation Specialist** | May 2010 - Feb 2013
- Created user instructions and documented manufacturing processes
- Performed data imports in Oracle and administered system operations
- Configured products to customer specifications, developed custom reports, and prepared releases for revision
- Designed and wrote automated QA tests to ensure product quality
- Delivered user training and ongoing customer support

**Software Implementation Specialist** | May 2008 - Apr 2010
- Maintained and supported accounting software systems
- Prepared and managed test environments for product validation
- Configured products to customer requirements, developed custom reports, and coordinated product revisions
- Conducted user training and provided customer support
- Developed solutions using HTML, CSS, PHP, and VBasic

---

**Areas of Interest:** Finance | Big Data | AI | Blockchain"
12529,"# PROFESSIONAL SUMMARY

Dual-role Business Analyst and Project Manager with proven expertise in delivering successful project outcomes through Agile methodologies and stakeholder collaboration. Delivered project MVP with Agile team in 4 months while introducing Scrum practices that improved planning and work organization. Built stakeholder relationships that elevated trust and collaboration. Developed team members to advance their professional growth.

Currently leading requirements analysis and documentation for new systems, partnering with development teams to align solutions with business needs, and driving successful implementation and adoption.

## CORE COMPETENCIES

**Project Management:** Project Planning & Prioritization | Team Management & Development | Budget Management | Risk Management | Quality Management | Change Management | Reporting & Communication

**Business Analysis:** Requirements Gathering & Analysis | Solution Development | Documentation | Process Improvement & Optimization | Stakeholder Engagement | Value Delivery & Waste Elimination

## KEY RESPONSIBILITIES

**Project Management:** Drive projects to completion on time, within budget, and aligned with client objectives while managing teams, stakeholders, risks, and changes.

**Business Analysis:** Identify improvement opportunities, develop solutions, and bridge communication between stakeholders and technical teams to ensure projects meet business objectives and deliver organizational value.

**Stakeholder Communication:** Keep project stakeholders informed, engaged, and aligned with goals, progress, and results through consistent collaboration.

**Process Optimization:** Evaluate and improve processes and systems to increase efficiency, productivity, and profitability while eliminating waste to maximize project and product value.

## CAREER OBJECTIVES

Seeking a product-focused role with active involvement in product strategy, collaborating to ensure products meet business goals and customer needs through customer problem analysis, solution development, data-driven decision making, and value delivery."
12530,"**PROFESSIONAL EXPERIENCE**

**Amdocs Israel**
**Program Manager**
2020 – Present

**Pasha Bank Georgia**
**IT Section Manager**
June 2018 – December 2019
• Directed three operational units: IT Operations, Software Development, Business Analysis and Service Quality
• Orchestrated cross-functional department activities and strategic initiatives

**Geocell – TeliaCompany – Telecommunications**
**Technology Division, Services – Products and IT Section Manager**
February 2015 – June 2018
• Led five business units: Billing and Charging, Product and Services, Software Development, Enterprise IT, Business Support and Reporting
• Drove department coordination and operational alignment

**Geocell – TeliaCompany – Telecommunications**
**ICT Division, Service Network Department Manager**
January 2006 – February 2015
• Managed mission-critical systems including Prepaid Charging, Ericsson Billing Gateway platform, and VAS platforms (SMSC, CRBT, WAP GW, Voice Mail)
• Delivered technical helpdesk support (1st and 2nd line)
• Directed systems administration and maintenance operations
• Spearheaded implementation and deployment of new products

**Geocell LLC – Telecommunications**
**Service and Product Operations Team Coordinator, Technical Department**
March 2004 – January 2006
• Coordinated team managing Prepaid Charging system, Ericsson BGW (EMM) platform, and Value Added Systems (SMSC, CRBT, WAP GW, Voice Mail)
• Delivered 24x7 technical helpdesk support (1st and 2nd line) for internal customers

**Geocell LLC – Telecommunications**
**Prepaid Charging System Engineer, Technical Department**
March 2000 – March 2004
• Administered and maintained Ericsson (PPL) prepaid charging system
• Provided 24/7 technical helpdesk support (1st and 2nd line)
• Executed configuration and implementation of new products and tariff plans

**New Net Georgia LLC**
**Digital PSTN Switching Center Technical Manager**
February 1997 – March 2000
• Administered and maintained PSTN switching center operations
• Managed shift staff planning and scheduling
• Delivered 24/7 technical helpdesk support (1st and 2nd line)

---

**KEY PROJECTS**

**Retail Bank Launch (Cash-Loan and TopCard)**
August 2018 – August 2019
Led comprehensive banking transformation encompassing Processing Center swap and Core Banking integration with client migration, Core Banking system release upgrade, CRM and Sales Force deployment (BPM platform from Terrasoft), Internet Banking and Mobile Banking launch, Contact Center PBX system swap, and integration with Terminal Payment system (TBC Pay)

**Prepaid Billing System Swap – Amdocs/Comverse One to Peter-Service BSS**
August 2017 – December 2017
Executed migration from Amdocs/Comverse One Prepaid Billing System to Peter-Service BSS featuring on-line credit and balance control

**Post-paid Billing and Interconnect Systems Swap – CBOSS to Peter-Service BSS**
May 2016 – December 2016
Delivered Post-paid and Interconnect Billing System migration from CBOSS to Peter-Service BSS with on-line credit and balance control

**Deep Packet Inspection, Policy and Charging Rules Function Platform Swap**
January 2017 – December 2017
Managed PCRF/PCEF platform swap tender process

**Prepaid Billing System Swap – Orga OPSC Classic to Comverse ONE BSS**
January 2014 – September 2014
Completed Prepaid Billing System migration from Orga OPSC Classic to Comverse ONE BSS"
12531,"# PROFESSIONAL SUMMARY

Results-driven professional with 10+ years of experience in Project Management and B2B Sales within the agribusiness sector. Certified in IT Project Management and IT Business Analysis, seeking to leverage transferable skills and technical knowledge in the IT sphere. Strong analytical, planning, organizational, and communication capabilities with proven expertise in documentation and presentation development.

# CORE COMPETENCIES

**Project Management & Analysis**
- Project Planning & Risk Management
- Business Analysis
- Software Development Lifecycle
- Software Development Methodologies

**Business & Communication**
- B2B Sales
- Stakeholder Management
- Documentation & Presentation Development

**Professional Skills**
- Analytical & Problem-Solving
- Organizational & Planning
- Communication

# PROFESSIONAL EXPERIENCE

**Project Management & B2B Sales Professional**
Agribusiness Sector | 10+ Years

- Managed projects and drove B2B sales initiatives within the agribusiness industry
- Developed well-structured documentation and presentations for stakeholders
- Applied analytical, planning, and organizational skills to achieve business objectives

# EDUCATION & CERTIFICATIONS

**IT Project Management Certificate**
IT Education Academy (ITEA)

**IT Business Analysis Courses**
BA Space School

# CAREER OBJECTIVE

Seeking a long-term position in the IT industry to apply project management and business analysis skills while continuously developing through challenging and meaningful projects."
12532,"# PROFESSIONAL SUMMARY

Business Analyst and Project Manager with extensive SAP ERP implementation experience in the metallurgical industry. Demonstrated success leading cross-functional teams, bridging communication gaps between IT and business stakeholders, and delivering system solutions on time. Seeking a Business Analyst or Project Manager role in a fast-paced organization to leverage expertise and drive continued professional growth.

---

# PROFESSIONAL EXPERIENCE

## Head of SAP Project Team | Metallurgical Company
*SAP ERP Implementation Project*

**Key Achievements:**
- Promoted to Head of SAP Project Team based on performance
- Delivered all system refinements and solutions on schedule, meeting 100% of project deadlines
- Strengthened cross-functional communication between IT, business stakeholders, project team members, and developers, significantly reducing misunderstandings and scope ambiguity
- Mentored team members to career advancement: one progressed to Senior Business Analyst at a leading Ukrainian IT company; another advanced to lead an implementation project
- Recognized on Staff Roster multiple times at Metinvest-SMC based on staff assessment results (2015–2017)

**Responsibilities:**
- Led team coordination and stakeholder engagement across TOP management and technical managers to ensure business needs were met with quality and timeliness
- Managed and prioritized Product Backlog
- Elicited and documented business requirements for Sales, Marketing, Finance, and Procurement departments
- Executed testing of IT solutions, system improvements, refinements, and bug fixes
- Directed migration from 1C: Enterprise 8.2 to SAP ERP
- Delivered first-line user support
- Developed training materials, instructions, and conducted user training sessions

## Business Analyst | Beauty Sphere | 1+ year
- Configured and customized software solutions (YClients, now Altegio)
- Streamlined operational working processes

## Administrative Officer | OSCE SMM in Ukraine | 1.5 years
- Earned contract extension based on high-performance evaluation
- Executed administrative duties, contract management, and Human Resources functions

## Sales and Marketing Professional | 1+ year
- Developed foundational experience in sales and marketing operations

---

# SKILLS & COMPETENCIES

**Methodologies & Frameworks:**
SDLC, Agile, Scrum, BPMN, RACI Matrix, Product Vision Boards, Story Mapping

**Tools & Technologies:**
MS Office Suite (Word, Excel, Project, Outlook, Skype for Business) | JIRA | Confluence | Miro | Basilique | SAP ERP Test Systems

**Business Analysis:**
User Stories, Use Cases, Scenarios, Backlog Management, Project Documentation, Process Diagrams, Prototypes

---

# CAREER OBJECTIVE

Pursuing Business Analyst or Project Manager positions, including junior roles, within dynamic organizations offering opportunities for knowledge application and professional development."
12533,"# Professional Summary

Experienced project manager with expertise in web platform development and Telecom solutions. Proven track record of delivering high-quality projects on time and within budget through Agile frameworks and development methodologies.

# Core Competencies

Project Management | Scrum Master | Agile Frameworks | Web Platform Development | Telecom Solutions | Stakeholder Communication | Budget Management | Timeline Management | Team Leadership | Business Strategy

# Professional Experience

**Scrum Master**
Current Company

- Facilitate Agile development processes for cross-functional teams delivering web platforms and Telecom solutions
- Partner with multiple stakeholders to ensure project alignment, quality deliverables, and client satisfaction
- Drive on-time, on-budget delivery through proactive timeline and budget monitoring
- Implement and refine Agile frameworks and development philosophies to optimize team performance

**Project Manager**
NFT Project (Self-Managed)

- Led end-to-end project development and execution, maintaining detailed oversight of all deliverables
- Achieved deadline and budget targets through systematic project controls
- Applied Agile methodologies to streamline workflow and ensure quality outcomes

# Skills & Expertise

- Stakeholder management and relationship building
- Communication and active listening
- Problem-solving and analytical thinking
- Time management and efficiency optimization
- Technology trend awareness and application
- Business-oriented approach to project delivery"
12565,"**PROFESSIONAL SUMMARY**

Results-driven Business Analyst and Scrum Master with 4 years of business analytics experience and 5 years of sales background. Proven track record managing cross-functional development teams of up to 15 members, launching projects from inception, and delivering successful MVPs. Expertise in stakeholder communication across USA and EU markets, agile methodologies, and technical documentation. Combines strong analytical capabilities with interpersonal skills developed through extensive sales and business analysis experience.

**CORE COMPETENCIES**

Agile/Scrum Methodologies • Business Analysis • Cross-Functional Team Leadership • International Client Communication
Requirements Gathering & Analysis • Technical Documentation • Project Management • Budget Planning & Estimation
Risk Management • Sales Strategy Development • Stakeholder Management • Process Optimization

**PROFESSIONAL EXPERIENCE**

**Business Analyst / Scrum Master**

Led cross-functional development team of 15 members comprising iOS, Android, Frontend, and Backend developers alongside QA specialists. Directed second development team of 9 members across mobile, frontend, backend, and QA functions. Successfully implemented 5+ integrations and released MVP for second project. Currently managing portfolio of 3 projects spanning healthcare applications and cryptocurrency/crowdfunding platforms. Delivered projects across diverse domains including fitness applications and finance systems.

**Scrum & Agile Delivery**
- Facilitate all Scrum ceremonies including sprint planning, grooming, estimations, retrospectives, and backlog management
- Plan and schedule project timelines and sprints, ensuring on-time delivery of planned scope
- Maintain transparent backlog and dashboards accessible to team members and clients
- Monitor team performance and provide regular visibility to clients and stakeholders

**Business Analysis & Documentation**
- Collaborate with developers, QA engineers, UI/UX designers, and Business Owners throughout development lifecycle
- Create and maintain detailed technical documentation in Confluence including user stories, use cases, and wireframes
- Produce UML diagrams: Use Cases, Functional & Non-Functional Specifications, and Sequence diagrams
- Analyze change requests, prepare and update changelogs

**Stakeholder & Project Management**
- Present progress reports, identify problems, and propose solutions to Product Owners and stakeholders
- Manage project budgeting, estimations, and risk management
- Support development team throughout sprint cycles

**Sales Department Manager**

Managed and coordinated sales department of 8 sales managers and pre-sales managers. Established and implemented Affiliate Program. Developed and executed comprehensive Sales Strategy. Built strong client relationships through solutions-oriented problem solving.

**TECHNICAL SKILLS**

**Databases:** MS SQL, MySQL
**Web Technologies:** HTML, CSS, PHP
**Tools & Methodologies:** Confluence, UML, Gantt Charts

**EDUCATION & PROFESSIONAL DEVELOPMENT**

**Technical Training** – March 2020 - July 2020
MS SQL, MySQL, HTML, CSS, PHP

**Quantitative and Qualitative Market Research Course** – November 2019

**IT Project Management Course** – April 2019

**ADDITIONAL INFORMATION**

- Experienced in startup environments and outsourcing projects
- Proven ability to launch projects from inception through MVP delivery
- Strong communication and relationship-building skills developed through sales experience
- Committed to continuous learning and professional growth"
12656,"# PROFESSIONAL SUMMARY

Experienced IT professional with expertise in Business Analysis, Web Analytics, and Project Management. Proven track record of driving profitability, automating complex processes, and scaling digital projects. Seeking opportunities to leverage analytical skills and strategic thinking in a collaborative environment.

# PROFESSIONAL EXPERIENCE

**Web Analyst / Business Analyst**
Current Position | Large National Retail Company

**Business Analyst / Web Analyst**
2021–2022

- Restructured company reporting into dynamic formats across approximately 10 projects
- Automated daily reporting and developed universal algorithms for streamlined processes
- Established cross-departmental collaboration, accelerating internal process exchange
- Increased analytical project capacity by 2.5 times

**Chief Executive Officer**
2017–2021 | Online IT Project

- Developed and implemented comprehensive business model achieving approximately 90% average monthly profitability
- Fully automated technical, managerial, and business processes within 14 months
- Successfully transitioned project to content manager support

**Project Manager (Remote)**
2016–2021

- Grew website monthly traffic nearly 5 times over 4 years, from 1.5 million to 7 million users
- Expanded advertising partner network by 3 times
- Successfully transitioned project to freelance developer support

**Lecturer (Part-time)**
2020–2023 | Ukrainian University

- Authored more than 10 scientific and expert publications indexed in Scopus, Web of Science, and other scientometric databases
- Conceptualized and launched educational YouTube channel"
12674,"# PROFESSIONAL SUMMARY

Results-driven IT professional with over 10 years of experience in software development lifecycle management. Proven expertise in gathering, analyzing, and documenting business requirements while automating software selling and support processes across global operations spanning approximately 15 offices. Skilled in building and leading agile teams, serving as Scrum Master and Proxy Product Owner to deliver successful software solutions.

# CORE COMPETENCIES

**Agile & Leadership:** Scrum Master | Proxy Product Owner | Team Building & Facilitation | Agile Methodologies (Scrum, Kanban)

**Analysis & Delivery:** Business Process Analysis & Automation | Requirements Engineering | Change Management | Software Testing

**Project Execution:** Project Management (4+ years) | Business Analysis (8+ years) | Mobile & Desktop Application Development | Multitasking & Performance Under Pressure

# PROFESSIONAL EXPERIENCE

## Senior Business Analyst & Proxy Product Owner | 8+ Years

- Gathered, analyzed, and documented software selling and support processes for large-scale organization with approximately 15 global offices
- Bridged business stakeholders and development teams as Proxy Product Owner, ensuring alignment with organizational objectives
- Created comprehensive software requirements including use case diagrams (Visio, Star UML), use cases, user stories, and cascaded requirements
- Led requirements validation and change management across multiple development projects
- Developed complete project documentation ensuring compliance with organizational standards
- Applied formal software testing training to quality assurance processes
- Delivered mobile and desktop application development projects from conception through deployment

## Scrum Master

- Built scrum team process from the ground up, establishing frameworks and ceremonies for high-performing teams
- Facilitated daily standups, sprint planning, retrospectives, and reviews
- Removed impediments and fostered collaborative team environment
- Coached team members on agile principles and best practices

## Project Manager | 4+ Years

- Managed end-to-end project delivery using Waterfall, Agile (Scrum), and Kanban methodologies
- Coordinated cross-functional teams to meet project milestones and deadlines
- Conducted trainings, brainstorming sessions, and strategic meetings
- Delivered projects successfully while managing multiple priorities under pressure

# TECHNICAL SKILLS

Process Documentation & Automation | Requirements Management Tools | Visio | Star UML | Waterfall | Agile | Scrum | Kanban

# TRAINING

- Coach Training: Training Facilitation, Brainstorming, Meeting Management
- Software Testing

# CAREER OBJECTIVE

Seeking opportunity with a small, enthusiastic, product-oriented team focused on long-term project engagement."
12687,"# ANDRII [LAST NAME]
**Visionary Engineer | Top Rated Plus Upwork Freelancer**

## PROFESSIONAL SUMMARY

Automation engineer and low-code/no-code specialist with 14+ years of expertise analyzing, optimizing, and automating business processes across diverse industries. Develops custom workflows, automation tools, dashboards, and sophisticated calculations that unify digital environments. Maintained 100% Job Success Rate on Upwork serving 2,500+ clients across the US, Canada, UK, and Australia, with 50+ successful long-term projects.

## EDUCATION

**Master of Arts with Honors – Financial Management**
Erasmus+ MA Student | Krakow, Poland

**Bachelor of Arts – Corporate Finance**

**Bachelor of Arts – English Translation**

## CORE EXPERTISE

- Business Process Analysis, Optimization & Automation
- Workflow Development & Digital Environment Integration
- Data Processing, Transformation & API Integration
- Dashboard Creation & Data Visualization
- Software Architecture & Interface Development
- Automated Reporting & Financial Modeling
- IT Project Management

**Industries:** Finance | Marketing | Sales | Insurance | Manufacturing | Construction | Real Estate | Government | Healthcare | Education | Agriculture | Media

**Clients:** Crypto Traders | Investors | Stockbrokers | CEOs | CFOs | Senior Management | Startups

## PROFESSIONAL EXPERIENCE

**Top Rated Plus Freelancer | Upwork**
- Served 2,500+ clients across US, Canada, UK, and Australia
- Completed 50+ successful long-term projects
- Maintained 100% Job Success Rate
- Partnered with three international companies

**IT Project Manager | ThinkWider App**
Managed end-to-end development of an idea submission application for factory workers to improve manufacturing processes. Oversaw full lifecycle from review and discussion through staging, implementation, and reward distribution.

**Manager & Developer | IShare Educational Platform**
Built and managed a digital educational platform featuring training materials and live online training capabilities.

## TECHNICAL SKILLS

**Spreadsheet Development & Automation**
Microsoft Excel | Google Sheets | Advanced VBA | Google Apps Script (JavaScript) | Complex Calculations | Dynamic Conditional Formatting | Pivot Tables & Charts | Macros | User-Defined Functions | UI Forms | Data Scrapers | Web Connections | Automated Backups | Email Automation

**Data & Reporting**
Automated Reporting | Data Analysis | Complex Dataset Processing | Data Transformation | File Generation | Database Management | Data Visualization | Dashboards | KPIs | Financial Modeling | Analytics Planning | Forecasting

**Integration & Automation Platforms**
Microsoft Office Suite (Word, PowerPoint, Outlook, SharePoint, InfoPath, OneNote) | Google Workspace (Admin Console, Drive, Gmail, Docs, Slides, Calendar, Forms, Sites, Keep) | Zapier | Power Automate | Microsoft Flow | IFTTT | Integromat | Automate.io

**Development & Databases**
WinAPI | FileSystemObject | ADODB | MS Access | MS SQL | Web APIs | HTML | CSS | JavaScript | PHP | SQL | Python | Java

**Low-Code/No-Code Platforms**
Airtable | Power BI | Google Data Studio | Databox | Power Query | Power Pivot | FileMaker Pro | Power Apps | AppSheet | Bubble.io | Webflow | Telegram Bots

**Tools & Project Management**
WordPress | Trello | Jira | Confluence | ServiceNow | Microsoft To-Do | Canva | diagrams.net | Photoshop | Paint.net | Sony Vegas | DaVinci Resolve

**Documentation**
Flowcharts | Business Cases | Project Charters | SLAs | Test Scenarios | Technical Requirements

## LANGUAGES

**English:** Fluent (IELTS C1)
**Ukrainian:** Native"
12736,"# Professional Experience

**Co-founder and Business Manager**
Whales of Design

- Founded company and drove successful foreign market expansion, generating $20,000 in first-year revenue
- Led cross-functional project teams of 4–12 members from initial client consultation through final delivery
- Established and maintained strategic partnerships with external contractors and designers
- Directed business operations and represented company at industry conferences to cultivate new partnerships
- Negotiated client conflict resolution while ensuring seamless order management

**Recruiter and Manager**

- Managed full-cycle recruitment and staff onboarding
- Implemented quality control processes to monitor and improve team performance
- Contributed to production of major events including Ocean Elzy concert, Atlas Weekend, and Imagine Dragons concert

# Career Objective

Seeking a position within a large organization offering opportunities for intellectual challenge and professional advancement."
13078,"# Yelyzaveta

**Business Development Manager | Project Manager | IT Professional**

---

## Professional Summary

Accomplished IT professional combining project management expertise with business development acumen and financial operations proficiency. Demonstrated success in resolving complex technical challenges, cultivating client relationships, and driving project profitability through strategic resource allocation and margin analysis.

---

## Core Competencies

- Project Lifecycle Management
- Client Relationship Development
- Financial Analysis & Margin Optimization
- Technical Problem Resolution
- Cross-Functional Team Collaboration
- Resource Cost Calculation
- Process Configuration & Coordination
- Invoicing & Time Tracking

---

## Professional Experience

**Project Manager**

- Directed technical aspects of project development lifecycles from initiation through delivery
- Resolved complex technical issues escalated beyond sales department capabilities
- Coordinated cross-functional efforts to ensure successful project outcomes
- Managed documentation and optimized data exchange processes

**Business Development Manager**

- Oversaw financial interactions and maintained strong client communication channels
- Calculated specialized resource costs for individual projects to support accurate pricing
- Conducted company-wide project margin analysis to assess and optimize profitability
- Partnered with Delivery Managers to streamline client-side processes and configurations
- Identified opportunities to deliver additional services and supplementary solutions
- Managed invoicing and time tracking inquiries, ensuring accuracy and client satisfaction

---

## Professional Goals

Committed to continuous learning and professional growth. Seeking opportunities to contribute to organizational success while advancing expertise in IT project management and business development."
13080,"# PROFESSIONAL SUMMARY

IT professional with 7 years of comprehensive experience in Business Development Management and Business Analysis. Proven expertise in full-cycle sales, client relationship management, and requirements analysis with a track record of driving business growth through strategic lead generation, stakeholder collaboration, and cross-functional team coordination.

---

## PROFESSIONAL EXPERIENCE

### Business Development Manager

**Sales & Business Development**
- Executed full-cycle sales processes encompassing lead generation, prospect qualification, opportunity development, and deal closure
- Prepared comprehensive contract documentation including Estimates, Proposals, Master Service Agreements, and Statements of Work
- Managed end-to-end email marketing campaigns to drive business growth
- Served as primary point of contact for prospects during pre-sale stage, eliciting client requirements and ensuring seamless handoff to project execution
- Coordinated between Project Managers and clients to ensure smooth project delivery

**Technology Proficiency**
- CRM Systems: Salesforce, Zoho, Dynamics, Act!
- Email Marketing Platforms: SendGrid, Reply, Outreach
- Project Tracking Tools: Jira, Trello

**Stakeholder Engagement**
- Partnered with cross-functional teams including recruiters, Project Managers, and company executives throughout the pre-sale stage
- Facilitated technical interviews, gathered client feedback, and resolved objections to advance sales opportunities

**Marketing & Content Development**
- Developed marketing collateral including case studies, press releases, and website content

**Team Leadership**
- Screened and interviewed candidates for Sales & Marketing department positions
- Mentored junior team members across domestic and international offices, including remote teams in Ukraine

---

### Business Analyst

**Requirements Management**
- Elicited, evaluated, and documented client requirements
- Authored Software Requirements Specifications and User Guides
- Maintained and updated project documentation throughout development lifecycle

**Communication & Design**
- Liaised between customer representatives and development teams to ensure alignment
- Designed UI Wireframes to visualize and communicate product requirements"
13146,"# PROFESSIONAL SUMMARY

Management professional with 7 years of international experience across Ukraine, Qatar, UAE, and Lebanon. Career progression from Assistant to Project Manager to Director of Business Development & Production. Dean's Honor List recipient at American University in Dubai. ISO22000 Certified Internal Auditor.

# CORE COMPETENCIES

**Leadership & Team Management**
- Supervised up to 15 team members including engineers, designers, and sales managers
- Coordinated approximately 10 third-party service provider personnel
- Skilled at translating complex concepts into clear, actionable instructions

**Communication & Documentation**
- Fluent English for reports, presentations, and correspondence
- International contract experience including supply agreements, logistics, and outsourcing
- Confidential document management under NDA requirements

**Project & Operations Management**
- Strategic planning and organizational leadership
- Project management using Trello, Google Suite, and collaboration platforms
- Cross-departmental coordination

**Industry Knowledge**
- Business Development & Production Management
- Quality Management Systems (ISO22000)
- eCommerce operations
- Online news publications

# PROFESSIONAL EXPERIENCE

**Director of Business Development & Production**
International Companies — Ukraine, Qatar, UAE, Lebanon

- Advanced progressively from Assistant to Project Manager to Director
- Maintained 5+ year tenure at one organization
- Led teams of up to 15 internal staff and coordinated 10 external personnel
- Managed international contracts, supply agreements, and outsourcing arrangements

# CERTIFICATIONS & EDUCATION

**ISO22000 Certified Internal Auditor**

**American University in Dubai**
Dean's Honor List

# ADDITIONAL EXPERIENCE

Personal ventures in eCommerce and online news publications"
13147,"**PROFESSIONAL SUMMARY**

Results-driven professional combining 3+ years of project management expertise with 2 years of business development leadership in IT. Proven track record of building strategic partnerships and managing cross-functional teams in fast-paced outsourcing/outstaffing environments. Skilled communicator who thrives on new challenges and delivers measurable outcomes.

**KEY ACHIEVEMENTS**

• Built and cultivated a partnership network spanning 150+ IT companies across Ukraine, Poland, Bulgaria, and additional European markets
• Delivered 10+ projects to completion while simultaneously managing multiple concurrent support initiatives

**PROFESSIONAL EXPERIENCE**

**Partnership Manager | Outsourcing/Outstaffing Agency**

• Drove strategic client and supplier relationships through regular stakeholder meetings, aligning objectives to achieve mutual growth
• Streamlined client communication and onboarding workflows to enhance engagement and retention
• Directed cross-functional teams of developers and designers, ensuring project delivery and team alignment

**TECHNICAL SKILLS & TOOLS**

**Project Management:** Jira | Trello | Notion | Agile Methodologies
**Communication & CRM:** Slack | ActiveCampaign | CRM Systems

**CAREER OBJECTIVES**

Seeking a collaborative environment that values continuous learning, professional development, and opportunities to drive strategic partnerships."
13148,"**PROFESSIONAL OBJECTIVE**

Seeking a collaborative team environment where I can contribute to company and project success.

---

**PROFESSIONAL EXPERIENCE**

**Business Development Manager and Fundraiser** | 5 Years

Established and cultivated strategic stakeholder relationships to secure startup investment, raising $30,000 within one week.

**Key Responsibilities:**

- Identified and pursued new business opportunities through targeted market research
- Prospected and engaged potential clients to build rapport and schedule meetings
- Communicated product developments to prospective clients and stakeholders
- Set strategic goals for business development team and designed strategies to achieve them
- Trained and mentored business development staff
- Developed and monitored business growth objectives, ensuring targets were met
- Represented the company at conferences, industry events, and stakeholder meetings
- Researched organizations and individuals within target markets to identify prospects

---

**Project Manager** | State Enterprise

- Defined project scope, objectives, and deliverables
- Managed project budgets and tracked costs to maintain fiscal targets
- Monitored project progress and implemented adjustments to ensure timely delivery
- Evaluated project performance metrics to identify improvement opportunities"
13149,"# PROFESSIONAL SUMMARY

Results-driven professional with 2 years of international project management experience across B2B and B2C sectors spanning Europe, Asia, America, CIS, and Africa. Specialized in telecommunications with 1.5 years managing interconnection processes and expanding partnership networks. Demonstrated success establishing 48 new international interconnections and identifying 5 fraudulent entities within 6 months.

# PROFESSIONAL EXPERIENCE

**Telecommunications Company**
*Partnership Development & Project Manager*

- Secured 48 new interconnections with partner companies across Europe, CIS, America, and Asia within 6 months
- Identified and prevented 5 fraudulent company engagements, protecting organizational interests and resources
- Managed end-to-end interconnection processes from partner prospecting through negotiation to agreement execution
- Developed comprehensive business cases with financial analysis to evaluate partnership opportunities
- Coordinated commercial, technical, and legal workstreams across partnership projects
- Led cross-departmental collaboration ensuring seamless integration of new partners
- Cultivated international B2B and B2C client relationships across multiple regions
- Executed multi-channel outreach strategies via cold and warm calling, email, Skype, and LinkedIn
- Leveraged CRM and project management tools including Pipedrive, Odoo, Confluence, Jira, and Mattermost

# CORE COMPETENCIES

**Partnership & Relationship Management**
International Partnership Development | B2B & B2C Relationship Management | Contract Negotiation | Multilingual Communication

**Project Management & Analysis**
Project Management & Coordination | Business Case Development | Fraud Detection & Risk Assessment | Cross-functional Team Collaboration

**Technical Proficiency**
CRM Systems (Pipedrive, Odoo) | Project Management Tools (Confluence, Jira, Mattermost)

# PROFESSIONAL INTERESTS

Seeking challenging opportunities in international, multilingual environments emphasizing communication, customer service, and project management."
13150,"# PROFESSIONAL SUMMARY

Accomplished Enterprise Sales Professional, Project Manager, and Business Development Leader with 9 years of experience across Enterprise, B2B, and B2C environments in team lead and manager positions. Proven track record of exceeding targets, building profitable partnerships, and maximizing customer lifetime value in Renewable Energy, Enterprise Tech, and AgTech industries. Deep expertise in Sales Strategy, Project and Account Management, Business Process Development, and Cloud Computing Solutions (SaaS, API, Cloud Services). Demonstrated success driving digital transformation, executing high-value sales, and cultivating strong relationships with colleagues, partners, and C-level executives. Entrepreneurial mindset complemented by change management capabilities, persuasive communication and presentation skills, and a solution-oriented approach in fast-paced environments.

# KEY ACHIEVEMENTS

**Business Development, Sales & Project Management**

- Manage portfolio of 10 active customers and 40+ prospects representing $1M in total ARR across FMCG, Agro, and Manufacturing sectors
- Closed 15 deals within 1.5 years, consistently exceeding sales targets
- Drive annual engagement with 10+ clients generating €300,000 in sales turnover
- Developed strategic account plans for top FMCG clients, increasing sales conversion rates
- Built and managed partner ecosystem of 5+ partners annually, generating €220,000 in partner network revenue

**Product Development & Strategy**

- Spearheaded CRM product creation from concept through execution, including business case development, technical requirements, roadmap definition, UX/UI design, and resource allocation
- Developed commercial and marketing strategies across full product portfolio, crafting compelling value propositions to acquire new clients
- Contributed to comprehensive marketing strategy encompassing brand promotion, customer loyalty programs, lead generation, media relations, and social campaigns

**Project Management & Implementation**

- Directed end-to-end implementation of IT solutions for humanitarian initiative, including value proposition design, CRM deployment, website development, and fundraising infrastructure
- Institutionalized project management and business analysis standards within strategic corporate sales function
- Led cross-functional projects spanning sales strategy, product development, IT implementation, trade marketing, and business planning
- Applied Agile and Waterfall methodologies to consistently achieve project milestones and sales objectives

# CORE COMPETENCIES

Enterprise Sales | Business Development | Project Management | Account Management | Strategic Partnerships | CRM Development | Cloud Computing Solutions (SaaS, API, Cloud Services) | Sales Strategy | Marketing Strategy | Digital Transformation | Value Proposition Development | Client Relationship Management | Negotiation | Team Leadership | Change Management | Agile & Waterfall Methodologies"
