,Modified_gemini-2.0-flash-lite_of_CV_Modelgemini-2.0-flash-lite
12526,"**Summary**

Results-oriented professional with experience in project management, system development, and business process improvement. Proven ability to lead teams, manage project scope, and drive successful outcomes.

**Experience**

*   **Core System Development**
    *   Contributed to the development of a company's core system from inception.
*   **Internet Marketing and Sales**
    *   Experience in internet marketing and sales strategies.
*   **Supply Chain Management**
    *   Involved in supply chain operations.

**Responsibilities**

*   Managed project scope for three teams.
*   Managed sprint and quarterly planning.
*   Served as Scrum Master.
*   Gathered and translated requirements for development teams.
*   Developed solutions by preparing and evaluating alternative workflow solutions.
*   Controlled solutions by establishing specifications.
*   Collaborated with cross-functional teams to ensure business process integration.
*   Created documentation for new and modified features.

**Skills**

*   JIRA
*   Rally
*   MS Office
*   e-Commerce
*   CRM
*   SAP ERP

**Personal Attributes**

*   Initiative
*   Analytical
*   Responsible
*   Proactive
*   Creative
*   Accuracy-oriented
*   Sociable
*   Quick Learner
*   Ambitious
*   Hardworking
*   Eager to Learn
"
12527,"**Summary**

*   PSM 1
*   SAFe 5 Agilist
*   SAFe Scrum Master
*   SAFe Product Owner & Product Manager

**Experience**

**Senior Business Analyst** | EPAM | December 2020 – Present

*   Led discovery phase and solutioned project scope for the quarter.
*   Utilized UX prototyping tools for requirements validation and UX recommendations.
*   Developed organized Confluence space for project requirements.
*   Organized workshops with end-user focus groups for requirements elicitation and expectation alignment.
*   Conducted research on insurance products to enhance business value for the customer.

**Middle Business Analyst** | GlobalLogic | November 2019 – Present

*   Developed detailed and clear requirements in US format.
*   Organized and facilitated Scrum ceremonies: Daily meetings, Sprint planning, and Estimation sessions.
*   Performed UX prototyping of web interfaces using Wireframepro and Axure.
*   Managed requirements, including elicitation, clarification, documentation, and maintenance.
*   Facilitated and removed impediments to the Development Team's progress.

**Business Analyst** | Nix Solutions | May 2018 – November 2019

*   Translated stakeholder requirements into deliverables: requirements specifications, user stories with acceptance criteria, and workflow diagrams.
*   Supported Product Owners in prioritizing development work and managing the backlog.
*   Provided ongoing requirements support to the development team.
*   Supported sales and presales efforts by gathering initial requirements for project estimations.
*   Conducted UX research on competitors and UI prototyping for web and mobile interfaces using Axure.

**Sales Manager / Business Analyst** | Galaxy IT | December 2017 – May 2018

*   Conducted business development by identifying potential customers on Upwork, Freelancer.com, and LinkedIn.
*   Gathered business requirements and translated them into development tasks.
*   Managed projects and set up JIRA, applying Agile methodologies (SCRUM / Kanban).
*   Delivered demo sessions of sprint results to the customer.
*   Facilitated sprint planning sessions with the development team.
"
12528,"**Jane Doe**
(123) 456-7890 | jane.doe@email.com | LinkedIn Profile URL (Optional)

**Summary**

Highly motivated and experienced IT professional with a proven track record in software implementation, configuration, and customer support. Expertise in system customization, troubleshooting, and documentation. Eager to contribute to innovative projects in finance, big data, AI, and blockchain.

**Experience**

**HCM Configuration Specialist** | August 2019 – May 2021
*   Initialized customer data.
*   Provided support and troubleshooting for customer issues.
*   Customized systems to meet client requirements.
*   Wrote specifications and collaborated with the development team to ensure requirements were met.
*   Performed testing and worked with requirements throughout all development stages.

**Configuration Manager** | February 2013 – July 2019
*   Managed the build and release process for software.
*   Configured and maintained test and production environments for software products.
*   Prepared technical design documentation.
*   Supported projects and customer databases.

**Software Implementation Specialist** | May 2010 – February 2013
*   Developed user instructions.
*   Documented manufacturing processes.
*   Imported data into Oracle.
*   Configured products to meet customer requirements, developed additional reports, and prepared for product revisions.
*   Administered the system.
*   Wrote automated QA tests.
*   Trained users on system functionality.
*   Provided customer support.

**Software Implementation Specialist** | May 2008 – April 2010
*   Maintained accounting software.
*   Prepared the test environment.
*   Configured products to meet customer requirements, developed additional reports, and prepared for product revisions.
*   Trained users on system functionality.
*   Provided customer support.
*   Utilized HTML, CSS, PHP, and VBasic.

**Skills**

*   System Configuration
*   Customer Support
*   Troubleshooting
*   Documentation
*   Testing
*   Database Administration
*   Oracle
*   HTML
*   CSS
*   PHP
*   VBasic
"
12529,"**Summary**

Results-oriented professional with experience in both Business Analysis and Project Management, adept at driving projects to successful completion. Proven ability to improve processes, foster collaboration, and deliver value. Passionate about product strategy and development.

**Experience**

*   **Business Analyst / Project Manager** (Current Role)

    *   Drove project success by managing scope, schedule, budget, and stakeholder expectations.
    *   Led requirements gathering, analysis, and documentation for a new system, ensuring alignment with business needs.
    *   Developed and implemented Scrum practices, improving project planning and work organization.
    *   Strengthened stakeholder relationships, fostering trust and collaboration.
    *   Developed team members, contributing to their professional growth.
    *   Managed project planning, prioritization, team management, budgeting, risk management, quality management, and change management.
    *   Performed reporting and documentation.
    *   Facilitated solution development and ensured successful implementation and adoption.
    *   Communicated project goals, progress, and results to stakeholders.
    *   Continuously evaluated and improved processes and systems to enhance efficiency, productivity, and profitability.
    *   Focused on eliminating wasteful processes to maximize project and product value.

*   **Project Experience**

    *   Developed project MVP with one Agile team in 4 months.
"
12530,"**Amdocs Israel**
Program Manager
2020 – Present

**Pasha Bank Georgia**
IT Section Manager
June 2018 – December 2019
*   Coordinated Department activities in the following areas:
    *   Managed 3 units in section:
        *   IT Operations
        *   Software Development
        *   Business Analysis and Service Quality

**Geocell – TeliaCompany – Telecommunications**
Technology Division, Services – Products and IT Section Manager
February 2015 – June 2018
*   Coordinated Department activities in the following areas:
    *   Managed 5 units in section:
        *   Billing and Charging
        *   Product and Services
        *   Software Development
        *   Enterprise IT
        *   Business Support and Reporting

**Geocell – TeliaCompany – Telecommunications**
ICT Division, Service Network Department Manager
January 2006 – February 2015
*   Systems under team responsibility:
    *   Prepaid Charging System
    *   Ericsson Billing Gateway platform
    *   VAS platforms – SMSC, CRBT, WAP GW, Voice Mail
*   Main responsibilities:
    *   Technical helpdesk (1st and 2nd line support)
    *   Systems administration and maintenance
    *   Implementation and deployment of new products

**Geocell LLC - Telecommunications**
Service and Product Operations Team Coordinator (Technical Department)
March 2004 – January 2006
*   Systems under team responsibility:
    *   Prepaid Charging System
    *   Ericsson BGW(EMM) platform
    *   Value Added System – SMSC, CRBT, WAP GW, Voice Mail
*   Main responsibilities:
    *   Technical helpdesk (1st and 2nd line support) with 24x7 support of internal customers

**Geocell LLC - Telecommunications**
Prepaid Charging System Engineer (Technical Department)
March 2000 – March 2004
*   Administration and maintenance of Ericsson (PPL) prepaid charging system
*   Technical helpdesk, 24/7 1st and 2nd line support
*   Configuration and implementation of new products and tariff plans

**New Net Georgia LLC**
Digital PSTN Switching Center Technical Manager
February 1997 – March 2000
*   Administration and maintenance of PSTN switching center
*   Shift staff planning and management
*   Technical helpdesk, 24/7 1st and 2nd line support

**Projects**
*   **Retail Bank Launch (Cash-Loan and TopCard)**
    *   August 2018 – August 2019
    *   Project description: Project was complex and consisted of the following subprojects:
        *   Processing Center swap and Core Banking integration. Migration of clients to new PC.
        *   Existing Core Banking system release upgrade.
        *   Deployment CRM and Sales Force (BPM platform from Terrasfot).
        *   Internet Banking and Mobile Banking
        *   Contact Center PBX system swap.
        *   Integration with Terminal Payment system (TBC Pay).
*   **Prepaid Billing system swap from Amdocs/Comverse One to Peter-Service BSS**
    *   August 2017 – December 2017
    *   Project description: Amdocs/Comverse One Prepaid Billing System swapped to Peter-Service BSS with on-line credit and balance control.
*   **Post-paid Billing and Interconnect systems swap from CBOSS to Peter Service BSS**
    *   May 2016 – December 2016
    *   Project description: Post-paid and Interconnect Billing System was swapped from CBOSS to Peter-Service BSS with on-line credit and balance control.
*   **Geocell Deep Packet Inspection, Policy and Charging rules function platform swap**
    *   January 2017 – December 2017
    *   Project description: Geocell performed PCRF/PCEF swap tender.
*   **Prepaid Billing System swap**
    *   January 2014 – September 2014
    *   Project description: Prepaid Billing System swapped from Orga OPSC Classic to Comverse ONE BSS.
"
12531,"**[Your Name]**

**Summary**

Seeking an IT role where I can leverage and develop my skills. Possessing over 10 years of experience in project management and B2B sales within the agribusiness sector. Completed IT Project Management and IT Business Analysis courses.

**Skills**

*   Project Management
*   Business Analysis
*   Software Development Lifecycle Understanding
*   Basic Knowledge of Software Development Methodologies
*   Risk Management
*   Project Planning
*   Analytical Skills
*   Planning Skills
*   Organizational Skills
*   Communication Skills
*   Document Creation
*   Presentation Skills

**Experience**

*   Over 10 years of experience in Project Management and B2B Sales within the agribusiness sector.

**Education**

*   IT Project Management - Certificate, IT Education Academy (ITEA)
*   IT Business Analysis Courses, BA Space School
"
12532,"**Summary**

Results-oriented professional with experience in project management and business analysis, seeking a Business Analyst or Project Manager role. Proven ability to deliver successful project outcomes, facilitate stakeholder communication, and contribute to team development.

**Experience**

*   **SAP Project Lead/Project Manager** (Metallurgical Company)

    *   Led SAP ERP implementation project, fulfilling responsibilities of Project Manager, Business Analyst, QA, and Customer Support Manager.
    *   Organized and managed team work, communicated with stakeholders, including top management, to ensure business needs were met and solutions were implemented effectively.
    *   Prioritized the Product Backlog.
    *   Defined business needs and prepared requirements for Sales, Marketing, Finance, and Procurement departments.
    *   Tested IT solutions, refinements, system improvements, and bug fixes.
    *   Organized the migration process from 1C: Enterprise 8.2 to SAP ERP.
    *   Provided first-line user support.
    *   Prepared instructions, learning materials, and conducted training.
    *   Successfully rolled out system refinements and solutions, meeting project deadlines.
    *   Decreased misunderstandings between IT and business stakeholders, project team members, and developers by delivering the project scope and organizing better communication.
    *   Contributed to the professional growth of team members, including one who became a Senior BA at a major IT company and another who led an implementation project.
    *   Promoted to Head of the SAP Project team.

*   **Business Analyst** (Beauty Sphere)

    *   Customized software (YClients, now - Altegio) and organized working processes.

*   **OSCE SMM in Ukraine**

    *   Received a contract extension based on a high-performance evaluation.

*   **Metinvest-SMC**

    *   Recommended to the Staff Roster (prospective employees of the company) multiple times based on staff assessments (2015-2017).

*   **Civil International Experience** (1.5 years)

    *   Performed administrative duties, contract management, and Human Resources tasks.

*   **Sales and Marketing Experience** (Over 1 year)

**Skills**

*   **Project Management Methodologies:** SDLC, Agile, Scrum
*   **Tools & Technologies:** MS Office (Word, Excel, Project, Outlook, Skype for Business), User stories, use cases, scenarios, Backlog, other project documentation, Test systems of SAP ERP, JIRA, Confluence, Miro, Basilique, BPMN, RACI matrix, Product Vision Boards, Story Mapping, diagrams, prototypes.

**Additional Experience:**

*   1.  5 years of civil international working experience (administrative duties, contract management, Human Resources), as well as experience in sales and marketing (over 1 year).

**Professional Development**

*   Seeking a role as a Business Analyst or Project Manager (considering junior positions as well) in a fast-paced organization where I can employ my knowledge and grow professionally.
"
12533,"**Summary**

Highly experienced and passionate project manager with a proven track record of delivering successful web platform and solution projects, particularly within the Telecom industry. Possesses strong skills in Agile methodologies, stakeholder communication, and budget/deadline management. Adept at fostering collaboration and driving projects to completion, currently serving as a Scrum Master.

**Experience**

*   **Project Manager, NFT Project:** Managed an NFT project, demonstrating strong attention to detail and adherence to deadlines and budgets.
*   **Scrum Master:** Currently serving as a Scrum Master, further enhancing project management expertise.
*   **Project Management Experience:** Years of experience in project management, specifically in the development of web platforms and solutions for Telecom companies.

**Skills**

*   Project Management
*   Agile Frameworks
*   Stakeholder Communication
*   Budget Management
*   Deadline Management
*   Problem-Solving
*   Teamwork
*   Business-Oriented Mindset
*   Knowledge of Latest Technologies
*   Project Management Software Proficiency
"
12565,"**Summary**

Results-oriented professional with 4 years of experience in business analytics and 5 years in sales. Proven ability to manage teams, implement projects, and drive successful outcomes. Expertise in project management, client communication, and strategic planning. Eager to contribute to a collaborative and growth-focused environment.

**Experience**

*   **Business Analytics & Project Management**

    *   Managed and led two Scrum teams:
        *   Team 1: 15 members (2 iOS devs, 2 Android devs, 4 FE, 5 BE, 2 QA)
        *   Team 2: 9 members (2 mobile devs, 2 FE, 3 BE, 2 QA)
    *   Successfully implemented at least 5 integrations.
    *   Launched MVP in the second project.
    *   Managed development processes and fostered close collaboration with developers, QAs, UI/UX designers, and Business Owners.
    *   Facilitated Scrum events including sprint planning, grooming, estimations, retrospectives, and backlog fulfillment.
    *   Created detailed documentation in Confluence, including user stories, use cases, and wireframes.
    *   Planned and scheduled project timelines and sprints, ensuring on-time delivery.
    *   Maintained transparent and accessible backlogs and dashboards for team members and clients.
    *   Monitored and improved team performance, providing client visibility.
    *   Generated regular progress reports and presented them to POs and stakeholders, including problem-solving strategies.
    *   Managed and implemented necessary changes to meet project outputs.
    *   Produced technical requirements, including UML (Use Cases, Functional & Non-Functional Specifications, Sequence diagrams).
    *   Analyzed change requests and maintained changelogs.
    *   Proposed solutions and assisted clients in requirement creation.
    *   Managed project expenses, estimations, and risk management.
    *   Experience in launching projects from scratch, working in start-up environments, and managing outsourcing projects.
    *   Experience with projects ranging from fitness apps to finance systems.
    *   Experience with healthcare projects and cryptocurrencies/crowdfunding projects.
    *   Client communication with USA/EU clients.
    *   Experience in identification, gathering, and analysis with businesses and PO.
*   **Sales**

    *   Managed and coordinated the sales department (8 sales managers and pre-sales managers).
    *   Established and implemented an Affiliate Program and Sales Strategy.

**Skills**

*   Scrum Master
*   Project Management
*   Business Analytics
*   Client Communication
*   Team Leadership
*   Strategic Planning
*   Budgeting & Planning
*   Risk Management
*   UML
*   MS SQL, MySQL, HTML, CSS, PHP (basic knowledge)

**Education**

*   IT Project Management Course, April 2019
*   Quantitative and Quality Market Research Course, November 2019
*   Private Courses in MS SQL, MySQL, HTML, CSS, and PHP, March 2020 - July 2020

**Additional Information**

*   Dedicated to teamwork, company success, and achieving results.
*   Strong work ethic and a commitment to continuous learning and skill development.
*   Sales experience enhances relationship-building, problem-solving, and communication skills.
*   Flexible start time, open to starting work at 11 am.
"
12656,"**Summary**

Results-oriented professional with experience in business analysis, web analysis, and project management, currently working in a big national retail company. Proven ability to drive project success, optimize processes, and achieve significant growth. Seeking a challenging role that leverages expertise and fosters collaboration.

**Experience**

*   **Current: Web Analyst / Business Analyst**

*   **Position 1 (2021-2022): Business Analyst / Web Analyst**

    *   Restructured company reporting into a dynamic format for approximately 10 projects.
    *   Automated daily reporting and packaged it within a universal algorithm.
    *   Established interdepartmental interaction, accelerating internal process exchange.
    *   Increased the number of new projects available for analysis by 2.5 times.

*   **Position 2 (2020-2023): Lecturer (Ukrainian university) (part-time)**

    *   Authored over 10 scientific and expert publications, indexed in scientometric databases Scopus, Web of Science, and others.
    *   Implemented the concept of an educational YouTube channel.

*   **Position 3 (2017-2021): Chief Executive Officer (own online IT project)**

    *   Formed a business model.
    *   Achieved an average monthly profitability of approximately 90%.
    *   Fully automated the project for technical, managerial, and business processes after 14 months.
    *   Transferred project management to content manager support.

*   **Position 4 (2016-2021): Project Manager (remote)**

    *   Increased the website's monthly traffic almost 5 times (from 1.5 to 7 million users) over 4 years.
    *   Increased the total number of advertising partners by 3 times.
    *   Transferred the project to freelance developer support.

**Skills**

*   Business Analysis
*   Web Analysis
*   Project Management
*   Reporting
*   Process Automation
*   Data Analysis
*   Content Creation
*   Business Model Development
*   Project Automation
"
12674,"**Summary**

Results-driven IT professional with over 10 years of experience, specializing in software selling and support process improvement within a global organization. Proven ability to lead and facilitate Agile/Scrum methodologies, acting as both Scrum Master and Proxy Product Owner. Expertise in project documentation, requirements gathering, and validation. Passionate about contributing to product-oriented teams.

**Experience**

*   **Process Improvement & Agile Leadership**
    *   Gathered, understood, described, and automated software selling and support processes across a large company with approximately 15 global offices.
    *   Established Scrum team processes from inception, serving as Scrum Master.
*   **Project Management & Product Ownership**
    *   Over 8 years of experience as an Analyst and Proxy Product Owner across diverse projects.
    *   4+ years of experience as a Project Manager.
    *   Acted as a Proxy Product Owner, responsible for requirements and deliverables.
*   **Requirements & Documentation**
    *   Created comprehensive project documentation.
    *   Developed software requirements using use case diagrams (Visio, Star UML), use cases, user stories, and cascaded requirements.
    *   Managed requirements validation and change processes.
*   **Technical Skills**
    *   Proficient in Agile, Scrum, and Scrum Master roles.
    *   Knowledge of Waterfall, Agile (Scrum), and Kanban development processes.
    *   Completed software testing training and participated in testing activities.
*   **Training & Facilitation**
    *   Completed coach training, enabling the facilitation of training sessions, brainstorms, debates, and meetings.
*   **Projects**
    *   Experience with mobile and desktop application development projects.

**Skills**

*   Agile Methodologies
*   Scrum
*   Scrum Master
*   Project Management
*   Requirements Gathering & Analysis
*   Use Case Diagrams (Visio, Star UML)
*   User Stories
*   Documentation
*   Requirements Validation
*   Change Management
*   Waterfall, Agile (Scrum), Kanban
*   Software Testing
*   Training & Facilitation
*   Multitasking
*   Working Under Pressure
"
12687,"**Andrii**

**Summary**

*   Visionary Engineer
*   Top Rated Plus Upwork Freelancer
*   Automation Development since 2010
*   Deep engagement into modern IT tech
*   Low-Code/No-Code Enthusiast
*   Fast typing (top 1%, >100 WPM)
*   100% Googling skills
*   Professional Negotiator
*   Confident Public Speaker

**Skills**

*   **Primary Skills:**
    *   Professional Microsoft Excel & Google Sheets Development
    *   Formula Nativity | Advanced VBA / Google Apps Script (JavaScript)
    *   Full Automation | Workflow Optimization | Digital Integrations
    *   Complex Calculations, Dynamic Conditional Formatting, Pivot Tables & Pivot Charts
    *   Instant Actions, Macros, User-defined Functions, UI Forms, Data Scrappers, Web-connections, Data Backups, Emailing — any custom functionality
    *   Automated Reporting and Data Analysis, Processing of Complex Datasets, Data Transformation, File Generation, Database Management, External Controlling
    *   Data Summary & Data Visualization | Dashboards, Charts & Graphs, KPIs — professional, beautiful, clean & dynamic
    *   Financial Modeling, Data Analytics Planning, Forecasting
    *   Advanced Graphical User Interface (GUI) | Architecture Design | Elegant Workflows
    *   Intuitive Designs | Best UX | Effortless Maintenance | Instant Results
    *   Smart Decision-Making Tools, Solvers, Schedulers, Triggers, Alerts & Notifications
    *   Business Tools, Trackers, File Processors, Bar/QR Code Generators
    *   Custom Calculators of any type: Business, Financial, Insurance, Fitness, etc.
    *   Workflow & Data Integration between Microsoft Office Products – Word, PowerPoint, Outlook, SharePoint, InfoPath, OneNote
    *   Interaction with WinApi | FileSystemObject (FSO) | ADODB (MS Access, MS SQL) | Web APIs
    *   Workflow & Data Integration between Google Workspace (G Suite) Components – Admin Console, Drive, Gmail, Docs, Slides, Calendar, Forms, Sites, Keep
*   **Additional Digital Skills:**
    *   Airtable • Google Data Studio • Power BI • Databox
    *   Power Query • Power Pivot
    *   Microsoft Flow • Zapier • IFTTT • Integromat • Automate.io
    *   Power Automate • Automatic Mouse & Keyboard • FileMaker Pro
    *   Power Apps • App Sheet • bubble.io • Webflow • Telegram Bots
    *   WordPress • HTML • CSS • JavaScript • PHP • SQL • Hostings • Domains
    *   Trello • Jira • Confluence • Microsoft To-Do • ServiceNow
    *   Canva • diagrams.net (draw.io) • Paint.net • Photoshop • Sony Vegas • DaVinci Resolve
    *   Java • Python

**Experience**

*   **Upwork Freelancer**
    *   Top Rated Plus
    *   More than 50 successful long-term projects
    *   Over 2500 clients (US, Canada, UK, Australia)
    *   Worked with: Crypto Traders | Investors | Stockbrokers | CEOs | CFOs | Senior Management | Startups
    *   Worked with the majority of industries: Finance • Marketing • Sales • Insurance • Manufacturing • Construction • Real Estate • Government • Healthcare • Education • Agriculture • Media • ... • And many more

*   **IT Project Manager of ThinkWider App**
    *   Application for submitting ideas for factory workers to improve the manufacturing process. Ideas full processing from reviewing and discussing till staging, implementation and rewarding

*   **Manager and Developer of IShare Educational Platform**
    *   Digital educational platform with training materials and online live training

**Projects**

*   Analysis, optimization, and automation of business processes, creating workflows unifying digital environments
*   Data processing and transformation, interaction with external APIs, automatic reports
*   Creating dashboards, visualization, interfaces, software architecture, and user experience
*   Sophisticated calculations, clever mechanics, full automation with smart buttons and scripts
*   Creating custom automation tools and solutions since 2010.
*   Every sphere and activity of life has its separate Excel or Google Sheets projects.

**Education**

*   Erasmus+ MA Student (Krakow, Poland)
*   MA with Honors – Financial Management
*   BA – Corporate Finance
*   BA – English Translation

**Languages**

*   Fluent English | IELTS C1
*   Native Ukrainian & Russian

**Additional Information**

*   Created documentation, flowchart, business case, project charter, SLA, test scenarios, technical requirements, etc.
*   Deeply familiar with all aspects of WordPress and popular plugins, worked with PHP.
*   Good experience with JavaScript, CSS, HTML
*   Some experience with Java & Python

**Testimonials**

*   ""Andrii has exceptional knowledge in business and technology. We were able to successfully work towards our end goal. Our solution now works flawlessly!""
*   ""Exceptional Work! In my honest opinion, during my time working with Andrii, his strategic thinking and problem solving skills undeniably far outreaches anyone in business / IT logic""
*   ""Andrii has completed several projects for me and each one has been done with the type of care I would do if I had his skills. His attention to getting the project done right is a huge benefit. He can see the big picture of what needs to be done, work through the details rigorously, and his interpersonal style and skills make the process go smoothly. Thank you, Andrii!!""
*   ""Andrii was amazing. He really took the time to understand the scope of the project, asked great questions, took initiative and even improved our vision. We worked with him for two jobs already and will certainly be using him again. I highly recommend him. Professional, skilled, a great communicator and able to meet deadlines.""
"
12736,"**[Your Name]**

**Summary**

Successfully launched a new company and achieved entry into the foreign market, generating $20,000 in revenue during the first year.

**Experience**

*   **Co-founder and Business Manager, Whales of Design**

    *   Managed project teams of 4-12 people.
    *   Oversaw business operations and identified potential partners at industry-specific conferences.
    *   Cultivated relationships with external contractors and designers as needed.
    *   Managed client relations and order fulfillment from inception to completion.

*   **Recruiter and Manager**

    *   Conducted staff recruitment.
    *   Monitored work performance for quality assurance.
    *   Contributed to event organization, including events such as ""Ocean Elzy,"" ""Atlas Weekend,"" and ""Imagine Dragons.""

**Objective**

To secure a position within a large company that offers opportunities for intellectual and professional development.
"
13078,"Yelyzaveta

Summary

Accomplished and passionate IT professional with a diverse skill set and a strong track record of success in project management and financial expertise. Eager to contribute to a team and drive success.

Professional Experience

Project Manager

*   Resolved complex issues related to technical project development.
*   Managed interactions between the company and clients.
*   Offered additional special services and upselling supplementary solutions.
*   Addressed invoicing and time tracking inquiries.
*   Streamlined client-side project management processes.
*   Ensured smooth coordination, effective documentation, and seamless data exchange.
*   Calculated the cost of specialized resources for each project.
*   Analyzed and calculated complete project margins.

Skills

*   Project Management
*   Issue Resolution
*   Technical Expertise
*   Financial Management
*   Client Relations
*   Process Configuration
*   Project Resource Cost Calculation
*   Project Margins Calculation

Goal

To grow into a highly qualified specialist.
"
13080,"**Summary**

7 years of IT experience.

**Experience**

**Business Development Manager**

*   Managed full-cycle sales process, encompassing lead generation, prospect qualification, opportunity development, and deal closure.
*   Prepared contract documentation, including Estimates, Proposals, MSA, and SOW.
*   Utilized various CRM systems (Salesforce, Zoho, Dynamics, Act!) and email marketing tools (SendGrid, Reply, Outreach).
*   Leveraged tracking systems such as Jira and Trello.
*   Collaborated with cross-functional departments (recruiters, PMs, company executives) during the pre-sale stage.
*   Elicited and documented client requirements during sales interactions.
*   Served as a key contact, coordinating with Project Management and clients to ensure project success.
*   Acted as the primary point of contact for prospects during the pre-sale stage, including technical interviews, feedback gathering, and objection handling.
*   Managed full-cycle email campaigns.
*   Developed marketing materials, including case studies, press releases, and website content.
*   Participated in the screening and interviewing process for new Sales & Marketing team members.
*   Provided training and mentorship to junior team members, including those in remote locations.

**Business Analyst**

*   Elicited and evaluated client requirements.
*   Created Software Requirements Specifications.
*   Maintained and updated project documentation.
*   Facilitated communication between customer representatives and developers.
*   Prepared User Guides.
*   Created UI Wireframes.
"
13146,"**Dean's List** - American University in Dubai (for outstanding academic achievements)

**Certifications:** ISO22000 - Certified Internal Auditor

**Experience:**

*   Seven years of experience in managerial positions within international companies across Ukraine, Qatar, UAE, and Lebanon. Roles included Assistant, Project Manager, and Director of Business Development & Production.

**Skills:**

*   Fluent English proficiency, including the ability to articulate ideas, create reports, and deliver presentations.
*   Experience with international documentation, including supply contracts, logistics, and confidentiality agreements.
*   Managed teams of up to 15 direct reports (engineers, designers, and sales managers) and approximately 10 third-party service providers.
*   Utilizes the management principles of plan, organize, lead, and control.
*   Proficient in communication and collaboration tools such as Trello and Google Documents.
*   Demonstrated long-term commitment, with over five years of service at a previous company.
*   Experience with personal projects in eCommerce and online news publications.

**Additional Information:** Available to discuss motivation and CV in detail.
"
13147,"**[Your Name]**

**Summary**

Versatile professional with 3+ years of project management experience and approximately 2 years of experience as a business development manager within the IT sector. Proven ability to manage multiple projects and support tasks. Possesses strong communication skills, a proactive approach to challenges, and a commitment to continuous learning.

**Experience**

*   **Partnership Manager** | [Company Name] | [Dates of Employment]
    *   Developed and maintained a partnership network of over 150 IT companies across Ukraine, Poland, and Bulgaria.
    *   Facilitated client and supplier meetings to clarify project requirements and foster collaborative growth.
    *   Managed client onboarding and communication.
    *   Led and managed a team of developers and designers.

**Skills**

*   Project Management
*   Business Development
*   Communication
*   Client Onboarding
*   Team Leadership
*   Agile Methodologies
*   CRM
*   Trello
*   Notion
*   Slack
*   Jira
*   ActiveCampaign

**Additional Information**

*   Seeking opportunities for professional development and team collaboration.
"
13148,"**[Your Name]**

**Summary**

Business Development Manager and Fundraiser with 5 years of experience. Proven ability to build relationships with stakeholders and secure funding, successfully raising $30,000 in one week. Experienced in identifying business opportunities, developing strategies, and managing projects.

**Experience**

**Business Development Manager and Fundraiser** | [Startup Company Name] | [Dates of Employment]

*   Established and maintained relationships with stakeholders.
*   Successfully raised $30,000 in one week.

**Business Development Manager** | [Previous Companies/Projects - if applicable, otherwise repeat Startup Company Name] | [Dates of Employment]

*   Communicated new product developments to prospective clients.
*   Contacted potential clients to establish rapport and arrange meetings.
*   Identified new business opportunities.
*   Attended conferences, meetings, and industry events.
*   Developed goals for the development team and business growth, and ensured they were met.
*   Researched organizations and individuals to find new opportunities.
*   Set goals for the business development team and developed strategies to meet those goals.
*   Met with stakeholders.
*   Trained business development staff.
*   Researched prospective accounts in target markets.

**Project Manager** | [State Enterprise Name] | [Dates of Employment]

*   Determined and defined project scope and objectives.
*   Tracked project costs to meet budget.
*   Monitored progress and made adjustments as needed.
*   Measured project performance to identify areas for improvement.
"
13149,"**Summary**

Results-oriented professional with a proven track record of managing international projects and fostering global partnerships. Adept at driving business growth, mitigating risk, and navigating complex cross-functional initiatives within the telecommunications sector. Passionate about communication, collaboration, and delivering exceptional results in a dynamic environment.

**Experience**

*   **[Company Name]** | **[Job Title -  e.g., Partnership Manager, Interconnection Specialist]** | [Dates of Employment: 6 months]
    *   Spearheaded the establishment of 48 new interconnections with companies across Europe, CIS, America, and Asia.
    *   Identified and mitigated risk by uncovering 5 fraudulent entities.

*   **[Company Name]** | **[Job Title -  e.g., Project Manager, International Account Manager]** | [Dates of Employment: 2 years]
    *   Managed projects with international partners, engaging with both B2C clients and B2B companies globally (Europe, Asia, America, CIS, Africa).
    *   Specialized in telecommunications for the last 1.5 years, focusing on interconnection processes and expanding the partnership network.
    *   Responsibilities included:
        *   Proactive partner identification and outreach.
        *   Negotiation of agreements.
        *   Development of business cases.
        *   Fraud detection and prevention.
        *   Management of agreements.
        *   Communication with new partners on commercial, technical, and legal aspects.
        *   Facilitating seamless integration of new partners across all company departments.
    *   Proficient in utilizing Pipedrive CRM, Odoo, Confluence, Jira, and Mattermost.
    *   Managed direct customer interactions via phone, email, Skype, LinkedIn, and through both cold and warm calling strategies.

**Skills**

*   Expert Communication and Collaboration
*   Strategic Thinking
*   Multitasking & Time Management
*   Problem-Solving
*   Stress Management
*   Self-Motivation
*   Customer-Focused Approach

**Desired Workplace Environment**

*   Formal employment structure
*   Supportive and respectful management
*   Access to training programs and English language classes
*   Customer-centric culture
*   Role Breakdown: 70% communication, 30% technical tasks
*   Opportunities for learning new technologies, tools, and methodologies
*   Collaborative team of passionate professionals
"
