,Modified_claude-opus-4-5_of_CV_Modelclaude-opus-4-5
12484,"**Professional Experience**

Gathered requirements for project initiation across public health, M&E, and related sectors. Studied and analyzed business processes at Synergy International Systems and IDeA Foundation, delivering actionable recommendations for improvement.

Collaborated with IT specialists to develop two internal portals using MS SharePoint, both of which remain in active use across their respective organizations.

Prepared comprehensive project documentation, including project plans in MS Project, risk management plans, communication plans, and budgets for multiple projects.

Served as the primary focal point for project status reporting."
12485,"# PROFESSIONAL SUMMARY

Project Manager and Business Analyst with over 12 years of experience across project management, business analysis, marketing analysis, and business process analysis. Higher education in Management and Project Management (Graduated with Honors), supplemented by QA Manual certification. Seeking to leverage extensive IT experience in a Project Manager or Business Analyst role.

---

# SKILLS

**Project Management & Analysis**
- 7+ years of dedicated business analyst experience
- Project management with SMART goal methodology
- Technical project documentation and concept development
- Business requirements gathering and solution development
- Implementation of automated control systems
- Business process analysis and optimization
- Requirements change management

**Documentation & QA**
- Project documentation development (Use Cases, Business Rules, Functional & Non-Functional Specifications)
- Test plan and test case creation
- Test design and execution
- Bug report compilation

**Interpersonal**
- Communication and negotiation skills

---

# TECHNICAL SKILLS

- Jira
- SQL (Basic)
- HTML/CSS (Basic)
- 1C
- Microsoft Office (Word, Excel, Outlook, PowerPoint)

---

# EDUCATION

**Management and Project Management** — Graduated with Honors

**QA Manual Certification**"
12486,"**PROFESSIONAL SUMMARY**

Business Analyst and Project Manager with over 9 years of experience implementing IT and transformation projects across retail, mining engineering, energy, and government sectors, including auctions for the sale of state property as part of government reforms. Skilled in process modeling and analysis, stakeholder interviews, workshop facilitation, and requirements documentation using use cases and user stories. Strong leadership and influencing skills with the ability to engage professionally with stakeholders at all levels.

**CORE COMPETENCIES**

- Process Modeling & Analysis
- Requirements Documentation
- Use Cases & User Stories
- Stakeholder Engagement
- Workshop Facilitation
- IT & Transformation Projects
- Leadership & Influencing

**INDUSTRY EXPERIENCE**

- Retail
- Mining Engineering
- Energy Industry
- Government Reform Initiatives

**OBJECTIVE**

Seeking a Business Analyst or Project Manager position with an organization whose service or product provides meaningful benefit to people—whether through significant impact for a few or broad benefit for many."
12487,"# PROFESSIONAL SUMMARY

Business Analyst and Project Manager with experience in product company environments and 8 years of engineering background in spacecraft design. Proven track record managing development of an international online platform for satellite imagery analysis, combined with technical expertise from leading engineering teams on promising spacecraft projects.

# CORE COMPETENCIES

- Requirements elicitation, analysis, and detailed design
- Use case development, user story creation, and acceptance criteria definition
- Requirements management and SRS documentation
- Backlog tracking and story task description definition
- Product analysis and identification of strengths and weaknesses
- Market research and competitor analysis
- Product documentation management

# PROFESSIONAL EXPERIENCE

**Business Analyst / Project Manager**
*Product Company*

- Managed development of an online platform for satellite imagery analysis targeting the international market
- Conducted requirements elicitation, analysis, and detailed requirements design
- Created use cases, user stories, and acceptance criteria
- Performed product analysis, market research, and competitor analysis
- Maintained product documentation and managed requirements through SRS and backlog tracking

**Engineer / Head of Group**
*Spacecraft Design*
*8 Years*

- Led engineering group in spacecraft design
- Participated in development and promotion of promising projects

# CAREER OBJECTIVE

Seeking a Business Analyst position offering opportunities for professional and personal growth within a progressive, collaborative team environment."
12488,"**SENIOR BUSINESS ANALYST**

7+ years in B2C software development | 10+ years in IT

---

**SUMMARY**

Senior Business Analyst specializing in B2C software development for websites and iOS/Android applications. Proven track record of launching products from concept to completion, validating business ideas through user research, and optimizing internal processes to drive revenue growth. Proficient in requirements gathering methodologies.

---

**KEY ACCOMPLISHMENTS**

- Launched web application for IT Career planning from the ground up
- Validated dozens of ideas using interviews, saving millions of dollars for a FinTech startup
- Optimized internal processes of B2C company and created a new revenue stream

---

**LOCATION & AVAILABILITY**

Located in Texas, USA | Seeking remote position with USA or Canada clients | Available to travel to client offices as needed"
12489,"# Senior Business Consultant

**EY, Ukraine**

Hardworking and disciplined professional with 4 years of experience in business process optimization, financial analysis, and operational analysis.

---

## Key Areas of Expertise

**Business Process & Strategy**
- Business Process Modeling in EPC and BPMN notations (MS Visio, ARIS)
- IT Strategy Development
- Review and design of organizational structures and KPI frameworks
- Drafting methodologies and operational regulations

**Data & Analytics**
- Data analysis and modeling
- Advanced proficiency in MS Excel, MS Power Query, and MS Power BI
- Development of management reporting

**Leadership & Delivery**
- Project management
- Team leadership
- Presentation design (MS PowerPoint)"
12490,"**PROFESSIONAL EXPERIENCE**

**Process Implementation Lead** | Craft Brewery, Prague

- Led introduction of internal standards for global company compliance
- Implemented and established operational processes for new international organization
- Directed business requirements implementation across multiple departments

**CORE COMPETENCIES**

**Process & Quality Management**
- Internal quality control expertise
- Post-merger process integration for international companies
- Process documentation including as-is and to-be business process mapping
- Standards compliance and global policy implementation

**Business Analysis & Automation**
- Process automation and standardization, including reporting systems
- Business needs assessment, goal definition, and solution analysis
- Software development lifecycle methodology
- Business process modeling using UML and BPMN

**EDUCATION & PROFESSIONAL DEVELOPMENT**

- Business Analyst Certification, Hillel
- Project Management Training
- Public Speaking Training

**CAREER INTERESTS**

- Challenging project opportunities
- Long-term professional growth
- Collaborative and positive work environment
- Flexible arrangements with potential for business travel"
12491,"**PROFESSIONAL SUMMARY**

Business Analyst and Project Manager with 7+ years of experience spanning fintech, CRM/ERP, software development, data processing, reporting, and QA. Certified Scrum professional with proven success implementing Agile methodologies, including a multi-team Agile transformation at a Fortune 500 company. Recipient of 5 industry awards.

---

**RECENT PROJECTS**

- CRM/ERP Project Implementation
- Sales Application Development

---

**CORE COMPETENCIES**

- Business Analysis & Project Management
- Agile Methodologies (Scrum, LeSS, Iterative) & Waterfall
- Software Development Life Cycle (SDLC)
- Technology Evaluation, Assessment & Roadmap Development
- Data Manipulation, Processing & Reporting
- Quality Assurance & Software Testing Principles

---

**TOOLS & TECHNOLOGIES**

Jira, Confluence, Visio, Aha, Hygger

---

**CERTIFICATIONS**

Scrum Certified

---

**LANGUAGES**

English, Spanish

---

**CAREER INTERESTS**

Seeking opportunities offering professional growth, challenging projects, and a collaborative environment"
12492,"**PROFESSIONAL EXPERIENCE**

**Business Analyst/Project Manager**
WePlay Esports | Development
July 2020 – Present

**Associate Product Manager**
WePlay Esports | Development
July 2020 – January 2021

**Business Analyst Team Lead**
E-consulting | CRM Systems Development
April 2020 – June 2020

**Business Analyst**
E-consulting | CRM Systems Development
July 2019 – June 2020
- Documentation (terms of reference, manuals, test cases)
- BPMN
- UML
- User story
- ERD
- Testing of developed functionality
- Consultation of programmers during product development

**Advertising Manager**
Megogo | OTT/VOD Video Service
September 2017 – June 2019
- Setup and launch of advertising campaigns
- Control of advertising campaigns
- Forecasting volumes for future campaigns
- Analysis of advertising campaigns
- Preparation and submission of reports

**Office Manager**
Megogo | OTT/VOD Video Service
December 2016 – August 2017

**SMM Manager**
Social Media Marketing | Digital Agency
February 2016 – December 2016

**Tutor of Mathematics and Physics**
2011 – 2016"
12493,"# PROFESSIONAL SUMMARY

Results-driven business professional with expertise in business model development, process analytics, and requirements documentation. Skilled in people management, business development, marketing, and content management.

---

# CORE COMPETENCIES

- Business Model Development
- Business Process Analytics
- Business Development & Marketing
- People Management & Education
- Content Management

---

# TECHNICAL SKILLS

- SDLC Methodologies (Agile/Scrum/Kanban)
- Business Process Modelling (BPMN, UML)
- SRS Documentation
- Functional, Business & System Requirements Specifications
- Jira & Confluence

---

# KEY STRENGTHS

- Problem-Solving
- Analytical Thinking
- Strong Communication Skills"
12494,"# Professional Summary

IT professional with nearly three years of experience combining technical support expertise with business analysis capabilities. Demonstrated excellence in written and spoken English with strong communication and analytical skills. Proven ability to build departments and processes from the ground up, including documentation development and cross-departmental collaboration. Skilled in process analysis and optimization.

# Core Competencies

- Requirements Management
- User Stories & Use Cases Development
- SDLC Methodology
- Roadmap Development
- Vision & Scope Documentation
- Risk Management
- BPMN & UML Diagrams
- Cross-Departmental Communication
- Process Analysis & Improvement

# Professional Experience

Contributed to the establishment of a new department, leading the development of foundational processes and documentation. Facilitated communication channels between departments. Conducted analysis of existing processes and identified opportunities for improvement. Previously provided technical support to an international client base.

# Education & Training

Business Analysis Certification
- Software Development Life Cycle
- Requirements Management
- User Stories & Use Cases Creation
- Roadmaps and Vision & Scope Documents
- Risk Management
- BPMN and UML Diagrams

# Desired Work Environment

Collaborative, positive culture with open-minded colleagues and regular performance feedback based on achievements."
12495,"**PROFESSIONAL EXPERIENCE**

**Business Analyst / Project Manager**

**Electronic Prescriptions Mobile Application & Medical Information System Web Service**

- Elicited business requirements through interviews, document analysis, requirements workshops, surveys, site visits, business process descriptions, use cases, scenarios, and task and workflow analysis
- Facilitated brainstorming and elicitation sessions with clients, integrators, government stakeholders, healthcare providers, and patients
- Conducted market research, competitor analysis, and target audience segmentation; defined competitive advantages, design system concepts, user personas, and user flow diagrams
- Analyzed technical documentation of the eHealth IT system and translated requirements for design and development teams
- Created prototypes for mobile and web product versions
- Prepared work breakdown structures, risk assessments, and project schedules
- Managed contract drafting and invoice processing

**B2B Marketing Automation Website (beeway.com.ua) & Photo/Video Production Website (recartframe.com)**

- Gathered and analyzed requirements through stakeholder communication and market research
- Conducted competitor analysis and target audience research; developed user personas and defined competitive advantages
- Developed system design concepts and brand strategy
- Authored specifications for WordPress implementation; created mobile and web prototypes
- Managed contracts, invoices, project plans, timelines, and risk documentation

**Junior Business Analyst / Sales Manager**

**Medical Messenger Mobile/Web Application**

- Performed market and competitor research, target audience analysis, and hypothesis testing
- Built databases of healthcare providers and patients; conducted negotiations on product offerings and new module development
- Created sales scripts, product roadmaps, and promotional videos
- Led webinars and delivered presentations at clinical departments and the MedExpo 2020 exhibition
- Provided cross-functional support to design, development, QA, marketing, and support teams

**DOMAINS**

Pharmacy & Healthcare | E-Commerce | Marketing Automation | FMCG | Photography & Video Production | Social Networking | Sports Management"
12496,"**BUSINESS ANALYST**

Business analyst with project management and technical writing background. Experience spanning product and outsource companies across multiple domains: financial, healthcare, travel, services, and video streaming.

---

**CORE COMPETENCIES**

- Requirements Elicitation & Documentation
- Pre-Sale Activities & Research
- Project Planning & Prioritisation
- Stakeholder Communication
- Technical Writing
- Training & Presentations

---

**PROFESSIONAL EXPERIENCE**

**Business Analysis & Requirements Management**
- Performed pre-sale and research activities to support business development initiatives
- Gathered and documented requirements in Software Requirements Specifications (SRS)
- Created vision and scope documents, product descriptions, and acceptance test plans
- Developed documentation for end-users, customers, and developers from scratch

**Project Leadership**
- Handled projects end-to-end: pre-sale activities, requirements elicitation, planning, prioritisation, and supervision
- Bridged communication gaps between stakeholders through comprehensive documentation

**Training & Communication**
- Conducted trainings, presentations, and product demonstrations

---

**KEY ATTRIBUTES**

- Detail-oriented approach to documentation and analysis
- Dedicated project commitment
- Versatile experience across diverse industry domains"
12497,"# PROJECT MANAGER | BUSINESS ANALYST

Experienced professional with a progressive career spanning data analysis, business analysis, and project management. Skilled in end-to-end software development lifecycle management, requirements engineering, and Agile methodologies. Seeking an engaging opportunity with a product company to leverage comprehensive skills in developing exceptional software solutions.

---

## PROFESSIONAL EXPERIENCE

**Project Manager**
US Product Company | Lead Generation

- Create and maintain product roadmaps aligned with business objectives
- Manage backlog prioritization and stakeholder communication across team projects
- Plan and coordinate Business Analysis, Development, and QA phases at macro and micro levels
- Facilitate Agile ceremonies including daily stand-ups, grooming sessions, demos, and retrospectives
- Design and implement development processes to optimize team performance
- Oversee estimations, release management, risk management, and change request processes
- Conduct performance reviews, onboard new team members, and lead BA interviews
- Review BA documentation and provide ongoing support to developers, BAs, and QAs
- Continue contributing to BA activities: requirements elicitation, analysis, documentation, and gap analysis

**Business Analyst**
Online Travel Agency

- Analyze and verify business cases and needs from business and technical perspectives
- Elicit, organize, and trace business requirements; conduct impact and gap analysis
- Perform market competitor analysis to inform solution design
- Transform business requirements into actionable user stories and use cases
- Design solutions, logic flows, and wireframes based on business needs and market trends
- Manage backlog and document existing functionality
- Facilitate planning sessions, grooming, estimations, and demos
- Support UX, technical teams, UAT, and QA processes

**Data Analyst**
Media Agency

- Administer databases and create custom SQL queries and functions
- Prepare reports and dashboards for data-driven decision making
- Conduct data analysis and operate specialized media software

---

## PROFESSIONAL DEVELOPMENT

- Software Processes and Agile Practices | Coursera
- Agile Planning for Software Products | Coursera
- Client Needs and Software Requirements | Coursera
- Introduction to Software Product Management | Coursera
- Design Thinking for Innovation | Coursera
- How to Start a Startup | Stanford University (Prometheus)
- Google Analytics for Beginners | Google Analytics Academy
- Advanced English Course | Green Forest"
12498,"# PROFESSIONAL EXPERIENCE

**Business Analyst**
E-commerce Product Company | Present

Responsible for implementation of new functionality from concept through delivery to end customers.

**Trade Marketing Manager**
Distribution Company

Managed performance of 3 trademarks across Ukraine, overseeing both independent retail and TOP Ukrainian retail chains.

**Project Manager**
IT Outsourcing Company | 1 Year

Led a team of 5 developers, managing up to 5 projects simultaneously across diverse domains including CRM, e-commerce, and mobile applications.

**Commercial System Analyst**
1 Year

Supported field force systems across 3 markets serving more than 500 users. Received Recognition of Excellence Award.

**Application Administrator for Retail Partners**
1 Year

Promoted to Commercial System Analyst after one year.

---

# EDUCATION

**Master's Degree** in Management of International Business and English Translation

---

# PROFESSIONAL DEVELOPMENT

- Product Management Internship | Tonti Laguna Mobile
- Genesis IT School | 3-month IT Business Fundamentals Program
- Business Analysis Fundamentals | Web Academy
- Project Management Basics | Web Academy
- Marketing for Mobile Apps | Wikr Group
- Basic Web UI Development | Lviv IT School
- Basic Web Design | Projector Design School

---

# OBJECTIVE

To develop exceptional products for customers within reasonable budget and timeline constraints, ideally within a digital, product, or web agency environment."
12499,"# IT PROJECT MANAGER & BUSINESS ANALYST

Experienced IT Project Manager and Business Analyst with over 6 years of experience delivering project goals that drive company and client success. Combines analytical thinking with strategic planning and leadership to build strong relationships with business partners.

## CORE COMPETENCIES

- Client Needs Assessment & Technical Solution Development
- Business Process Research & Analysis
- Business Solution Design & Implementation
- Stakeholder Communication & Relationship Building
- Strategic Planning & Leadership

## PROFESSIONAL PROFILE

Skilled at working directly with clients to identify problems and needs, then delivering effective technical solutions. Demonstrates strong interpersonal skills with a focus on facilitating clear communication between employees and stakeholders. Proven ability to research and analyze business processes and procedures to design and implement impactful business solutions."
12500,"# PROFESSIONAL RESUME

## CREDENTIALS
- Attorney License
- Certificate in Project Management and Business Analysis, IT-Cluster Academy

## PROFESSIONAL SUMMARY
Forward-minded Junior Project Manager and Business Analyst with six years of experience in the construction industry. Proven ability to manage large volumes of information, perform data analysis, and maintain strict deadline control. Skilled in stakeholder communication and cross-functional collaboration.

## CORE COMPETENCIES
- Project Management & Prioritization
- Data Analysis & Decision Support
- Construction Industry Regulatory Knowledge
- Risk Anticipation & Mitigation
- Deadline Management
- Stakeholder Communication

## PROFESSIONAL EXPERIENCE

**Registrar | Construction Industry | 6 Years**
- Managed substantial volumes of information with meticulous attention to detail
- Maintained strict control over deadlines, ensuring timely project completion
- Applied comprehensive knowledge of regulatory requirements and construction processes
- Utilized analytical tools and techniques to derive insights and support decision-making
- Implemented proactive measures to anticipate challenges and mitigate risks

## PROFESSIONAL OBJECTIVE
Seeking opportunities to expand knowledge and contribute to innovative projects in project management and business analysis."
12501,"# HEAD OF DEPARTMENT

**KB ""Yuzhnoe""** | Dnipro
1995 – Present

## Professional Experience

Leading departmental operations at a premier aerospace organization responsible for the successful launch of dozens of satellites into Earth orbit.

## Core Competencies

**Project & Business Management**
- Economics project assessment and management
- Business management and strategic planning
- Project audit utilizing NPV and IRR methodologies

**Quality & Compliance**
- Quality assurance management (ISO 9001)
- Certification processes and standards

**Research & Development**
- Marketing research and analysis

**Leadership**
- Human resources management
- Departmental oversight and team leadership"
12502,"**PROFESSIONAL SUMMARY**

Experienced professional with expertise in project management, risk management, and project planning. Published author of 15+ scientific articles covering business analysis, project management, project communication, and team management. Proven track record working with start-ups in Business Analyst and Product Owner capacities.

**CORE COMPETENCIES**

- Project Management & Planning
- Risk Management
- Business Analysis
- Product Ownership
- Team Management
- Stakeholder Communication

**INDUSTRY EXPERIENCE**

- E-commerce Platforms
- Healthcare
- Finance

**PUBLICATIONS**

Author of 15+ scientific articles in peer-reviewed publications covering business analysis, project management, project communication, and team management

**PROFESSIONAL OBJECTIVE**

Seeking opportunities to leverage expertise in challenging projects and unique cases while expanding professional capabilities in communication and project leadership."
12503,"# BUSINESS ANALYST

## Professional Training

**Business Analysis in IT** — Certificate of Completion

## Core Competencies

**Stakeholder Management**
- Stakeholder analysis, mapping, and register development

**Business Modeling**
- Business Model Canvas application
- Competitor analysis
- MVP development

**Requirements Engineering**
- Requirements identification, presentation, and documentation
- Epics, User Stories, and Use Cases specification

**Technical Documentation**
- UML diagrams (Sequence and ERD)
- BPMN process diagrams"
12504,"**RESUME**

**PROFESSIONAL EXPERIENCE**

**Auditor / Business Analyst**
Roshen | 4 Years

- Conducted retail outlet audits to ensure product representation standards and equipment compliance
- Delivered customer presentations, established performance objectives, and facilitated strategic meetings
- Partnered with distributors to optimize product assortment and availability
- Performed competitive research and marketing analysis to inform business decisions
- Ensured adherence to company policies and operational standards
- Led and supervised a small team to achieve departmental goals
- Evaluated new premises for business opportunities and monitored existing locations
- Analyzed sales data and managed vendor relationships
- Developed and executed advertising initiatives
- Identified and acquired new customers to drive business growth

---

**CAREER OBJECTIVE**

Seeking a challenging position in the IT sector that offers professional development, collaborative team environment, exposure to modern technologies, and opportunities for advancement."
12505,"# PROFESSIONAL EXPERIENCE

**LIMS Specialist**
TerraLab IT, LTD | Khmelnytskyi, Ukraine
June 2014 – December 2021

## Project Implementation
- Gathered and analyzed user requirements to define project scope
- Contributed to designing LIMS implementation plans
- Configured and maintained database management systems
- Managed input of reference laboratory data
- Executed LIMS configurations and system settings
- Connected and configured laboratory equipment
- Designed reports using FastReport software
- Trained end users and developed user guides and manuals
- Provided ongoing laboratory support

## Project Support & Maintenance
- Maintained laboratory information management systems
- Performed system administration and software configuration
- Conducted software and database maintenance
- Performed initial diagnostics of user technical issues
- Resolved user questions and issues
- Assisted development team with software process improvement
- Designed printing forms and reports
- Delivered onsite client consulting

## Project Integration & Maintenance
- Developed integration solutions
- Implemented new and existing integration solutions
- Configured, customized, and developed new solutions
- Participated in technical integration planning and presales discussions
- Gathered requirements for new solutions
- Troubleshot code and configuration issues across managed environments
- Communicated effectively with team members and stakeholders across multiple channels"
12506,"# PROFESSIONAL SUMMARY

Experienced professional with 7 years in banking (specializing in SME lending and credit risk analysis) and 9+ years as owner of a trading platform. Seeking a Junior Business Analyst/Project Manager Assistant position to apply knowledge in banking products, process development, and project management within a collaborative team environment focused on banking automation.

---

# PROFESSIONAL EXPERIENCE

**Owner & Maintainer | Social Trading Platform**
*2015 – Present*

- Developed platform concept and monetization strategy
- Drove business growth initiatives
- Managed risk diversification
- Created feature requirements specifications and oversaw implementation
- Grew platform to 85,000+ users

**Head of Corporate Business Credit Operations Administration Department | Banking**
*2007 – 2013 (Final Position Held)*

- Led centralization project for credit administration functionality
- Managed requirements collection, alignment, and implementation
- Developed processes, logistics, budget planning, and responsibility allocation

**Head of SME Credit Risks Analysis Department**

- Coordinated department operations with 6 direct reports
- Analyzed document packages and financial statements for legal entities and entrepreneurs (annual turnover up to 30 million UAH)
- Provided lending recommendations including restructuring and modifications while minimizing risk exposure
- Prepared submissions for Head Office Credit Committee
- Contributed to development of products, processes, and methods for retail and SME credit operations

**Credit Expert, Small and Medium Business Services Department**

- Acquired new clients and provided loan consultancy
- Collected and analyzed documentation using IPC methodology
- Conducted borrower financial analysis
- Participated in credit committees
- Prepared deal documents and agreements"
12507,"**PROFESSIONAL SUMMARY**

Recent IT graduate with a solid foundation in overseeing and optimizing technology resources. Committed to staying current with the latest technological advances and eager to contribute fresh perspectives and innovative ideas. Demonstrated quick learning abilities and excellent problem-solving skills, prepared to tackle challenges and support seamless integration of IT strategies. Seeking an opportunity to apply knowledge and drive to create positive impact in IT Management."
12508,"# Professional Summary

Business Analyst and Project Manager with demonstrated expertise in driving projects from conception through production. Proven ability to coordinate diverse teams and stakeholders while building strong working relationships grounded in trust and collaboration.

# Core Competencies

- Business analysis and project management principles, techniques, and tools
- Stakeholder engagement and requirements gathering
- Cross-functional team coordination
- Communication with internal teams, external parties, and suppliers
- Project delivery within scope, budget, and timeline constraints

# Professional Experience

**Business Analyst / Project Manager**

- Partnered with business stakeholders to develop solutions aligned with organizational needs
- Translated business objectives into detailed requirements and actionable tasks
- Supported functionality development from initial concept through production deployment
- Managed development of clinical outcome assessments for use in clinical trials
- Led multiple concurrent projects, each with distinct objectives, stakeholders, timelines, and budgets
- Maintained high standards of quality while ensuring on-time, within-budget delivery"
12509,"**PROFESSIONAL SUMMARY**

Detail-oriented CRM professional with hands-on experience in system administration, implementation, and quality assurance. Skilled in cross-functional collaboration, business analysis, and international market expansion. Seeking opportunities to contribute to challenging projects within a collaborative team environment.

---

**TECHNICAL SKILLS**

- CRM System Administration & Configuration
- SQL (Basic)
- API Testing (Postman)
- Log Analysis & JSON Troubleshooting
- MS Visio (Prototyping)
- Microsoft Excel (Reporting)
- Manual Testing & Test Case Development

---

**WORK EXPERIENCE**

**CRM Specialist**

- Administered CRM system operations, including business processes, transactions, transactional mailings, and loyalty program rules
- Led international CRM implementation, including requirements gathering, business process configuration, and system testing
- Developed and executed test cases; performed manual testing and tracked bugs for contractor resolution
- Authored technical specifications for system improvements and new functionality
- Created business analysis documentation for projects from inception
- Designed feature prototypes using MS Visio
- Trained staff on CRM processes and system usage
- Managed data operations including customer uploads, discounts, bonuses, and coupon configurations
- Monitored product receipts and performed check revisions
- Produced weekly and monthly reports using Excel
- Analyzed system logs to identify and troubleshoot issues

---

**OBJECTIVE**

Seeking engaging projects and opportunities to develop new skills within an open-minded team and supportive management structure."
12510,"**PROFESSIONAL SUMMARY**

Business Analyst and Project Manager with over 5 years of experience delivering diverse projects across banking, healthcare, mobile applications, and web development domains.

---

**PROFESSIONAL EXPERIENCE**

**Business Analyst / Project Manager**
ValueTek
- Led business analysis and project management for Banking and Mobile Application initiatives

**Project Manager / Business Analyst**
Viseven
- Managed projects utilizing Event-Driven Architecture

**Business Analyst, Implementation**
ISD
- Delivered business analysis for Healthcare product implementation

**IT Analyst**
PrivatBank
- Supported Web Development projects

---

**SKILLS**

**Methodologies:** Scrum, Kanban

**Documentation & Modeling:** UML, Draw.io

**Collaboration & Design Tools:** Miro, Figma, Confluence, Jira

**Technical:** SQL

**Additional Tools:** Photoshop, Hibob"
12511,"# PROFESSIONAL EXPERIENCE

## Business Analyst | OVR360
**May 2020 – Present**

- Gathered and analyzed requirements for diverse applications including ""Schlep"" (real-estate photography platform), Healthcare Digital Wallet, and custom tailoring management system
- Developed comprehensive technical specifications to guide development teams

---

## Business Analyst | JV OptimaPharm LTD
**December 2019 – May 2020**

**High-Risk Employee Training System**
- Collected requirements and authored technical specifications using DA Directum
- Designed test cases and executed process testing for training organization and data integration workflows
- Created end-user documentation and instructions

**1C WMS Implementation**
- Led requirements gathering for warehouse management system utilizing 1C and DA Directum
- Developed test cases and conducted process testing for product management and data integration
- Produced user instructions and technical documentation

**Driver Weekend Standby System**
- Defined requirements for Logistics application integrated with DA Directum
- Authored technical specifications, test cases, and user documentation
- Performed comprehensive process testing for data management workflows

---

## Freelance Business Analyst
**March 2018 – December 2019**

**Polycard Application | CIT Global Consulting** *(Sep–Dec 2019)*
- Analyzed requirements for product management and data integration processes
- Developed test cases and conducted process testing across Polycard, Poster, and BP automation platforms

**SmartVillage** *(Aug–Dec 2019)*
- Gathered requirements and created technical specifications for smart home management solution
- Executed process testing for data integration workflows

**Children's Goods E-commerce Platform** *(Jul 2019)*
- Conducted requirements analysis for online retail web application

**Manual Therapy Practice Platform** *(Jun 2019)*
- Collected requirements and developed technical specifications for service-based web application

**Expert Order Management System** *(Mar–Sep 2018)*
- Authored technical specifications and performed process testing using BP automation tools"
12512,"# PROFESSIONAL RESUME

## LOCAL COORDINATOR
**Kyiv Branch, 15x4 Science Communication Project** | 15x4.org

---

## PROFESSIONAL SUMMARY

Versatile professional with two decades of experience spanning IT, filmmaking, and motorcycle industry sectors. Proven track record of combining deep professional expertise with genuine passion to deliver exceptional results across diverse business environments.

---

## PROFESSIONAL EXPERIENCE

### Film & Media Production
**Producer / Line Producer / Production Manager / Assistant Director**
Generator Productions | Kiev Design Works | Freelance
*2003–2006, 2019–Present*

### Business Development & Regional Management
**Regional Manager**
Infopulse Ukraine (TietoEVRY subsidiary)
*2016–2019*
- Reported directly to EVP Business Development
- Expanded company presence across Ukraine and the European Union

### Marketing & International Relations
**Regional Marketing and Customer Relations Agent**
World's End Motorcycles (UK)
*2012–Present*
- Territory: Ukraine, Russia, Belarus, Moldova, Kazakhstan, Kyrgyzstan
- Responsibilities include IT operations and business development

### IT Operations & Infrastructure
**IT Specialist**
Mindspeed Technologies UDC (now MACOM Technologies)
*2009–2014*
- IT asset management and procurement
- Infrastructure project management and supervision

---

## EARLIER EXPERIENCE

- **Motorbike Parts Dealership** | Sole Trader | 2007–2014
- **Kiev Design Works** | Founder | 2003–2014
- **Motomania Magazine** (ISSN 1993-8306) | Founder & Editor-in-Chief | 2007–2008
- **Freelance Web Developer** | PHP/JS/MySQL/Apache | 2003–2006
- **Project Manager** | Web Design Studios | 2000–2003

---

## EDUCATION

**Master of Science, Computer Sciences**
National Technical University of Ukraine
*1994–2000*

Specializations: Applied Mathematics, System Analysis, Mathematical Modelling, Statistics

---

## AVAILABILITY & COMPENSATION

- **Preference:** Part-time or flexible hours arrangements
- **Full-time:** $3,000–$4,000
- **Part-time:** Negotiable based on workload; open to adjusted rates for increased flexibility"
12513,"**PROJECT MANAGEMENT**

- Served as a member of the Project Management Office
- Analyzed project implementation processes to minimize delays and ensure delivery of key results
- Reviewed project manager reports for accuracy and completeness
- Prepared quarterly and annual project portfolio reports for NBU
- Tested Jira & Confluence configurations
- Developed and delivered 3 project management training courses on Jira & Confluence for diverse participant groups

**COMPLIANCE SPECIALIST**

- Serve as a member of the AML team
- Ensure Bank compliance with local and Group AML and Compliance legislation through development and maintenance of internal banking documents and procedures
- Prepare and submit statistical forms to the National Bank of Ukraine
- Initiate IT development projects to streamline processes and reduce manual work, including preparing business requests, collaborating with analysts on functional specifications, and participating in user testing
- Contribute to Credit Agricole Group initiatives and projects

**BUSINESS ANALYST**

- Gather, document, and consolidate requirements from stakeholders
- Work with FBL and Data Model
- Utilize management tools including Jira & Confluence
- Apply Python and SQL for data analysis
- Participate in user testing"
