,Modified_claude-sonnet-4-5_of_Modified_claude-sonnet-4-5_of_CV_Modelclaude-sonnet-4-5_Modelclaude-sonnet-4-5
12467,"**PROFESSIONAL SUMMARY**

Client-oriented Business Analyst with proven business acumen developed through progressive experience as Marketing Analyst and Marketing Coordinator in FMCG. Dual-function professional performing Business Analyst and Project Manager roles across pre-sales and delivery phases.

**CORE COMPETENCIES**

Requirements Analysis: SRS (Use Cases, UML), Backlog Management (User Stories, Acceptance Criteria)

Methodologies: Agile, Scrum

User Experience (UX)

Technical Skills: MySQL, HTML, CSS (Basic Level)

Certifications: Agile Certified Professional (IC Agile)

**PROFESSIONAL EXPERIENCE**

**Business Analyst**
• Drive business analysis and project management functions across pre-sales and delivery lifecycle
• Collaborate with stakeholders to gather, analyze, and document business requirements
• Manage project scope, timelines, and deliverables to ensure successful outcomes

**Marketing Analyst and Marketing Coordinator**
FMCG Industry
• Delivered marketing analysis and coordination functions in fast-paced consumer goods environment
• Developed client-oriented approach and business acumen through cross-functional collaboration

**CAREER OBJECTIVE**

Seeking Business Analyst opportunities with innovative projects in dynamic, fast-changing environments."
12468,"**BUSINESS ANALYST & PROJECT MANAGER**

Results-driven Business Analyst and Project Manager with three years of experience delivering healthcare projects. Proven ability to rapidly master technical details, apply professional expertise to achieve project objectives, and provide comprehensive team support throughout all execution phases.

**CORE COMPETENCIES**

• Business Analysis & Project Management
• Healthcare Domain Expertise
• Business Intelligence (BI) Tools
• Technical Requirements Analysis
• Stakeholder Management
• Team Leadership & Collaboration
• Conflict Resolution & Management
• Soft Skills Training & Development

**PROFESSIONAL EXPERIENCE**

**Business Analyst & Project Manager** | 3 Years

• Managed and analyzed healthcare domain projects, leveraging Business Intelligence tools to drive strategic business outcomes and inform decision-making

• Rapidly assessed and navigated complex technical project requirements to ensure on-time, successful project delivery

• Gathered and analyzed technical requirements, translating business needs into actionable project specifications

• Led cross-functional teams throughout all phases of project execution, fostering collaboration and maintaining alignment with project goals

• Facilitated stakeholder engagement and maintained productive relationships across organizational levels

• Applied soft skills training expertise to develop high-performing, collaborative team environments

• Proactively resolved team conflicts and managed interpersonal challenges to sustain team productivity and morale

**TECHNICAL SKILLS**

Business Intelligence (BI) Tools | Healthcare Systems

**PROFESSIONAL SKILLS**

Project Management | Business Analysis | Requirements Gathering | Stakeholder Management | Team Development | Conflict Management | Team Facilitation | Soft Skills Training"
12469,"**PROFESSIONAL EXPERIENCE**

**Translator & Proofreader**
Healthcare & Pharmaceutical Sector

Delivered professional translation and proofreading services for reports, presentations, and websites from/into English for leading healthcare and pharmaceutical organizations, including Novo Nordisk, Bayer, Parexel, and EURORDIS.

**English Language Instructor**
Remote Learning Environment

Provided English language instruction to students via Zoom platform, utilizing diverse online resources and Google tools. Developed individualized educational plans and conducted comprehensive student assessment and evaluation."
12470,"# Professional Summary

Product strategist and startup advisor with extensive experience in product validation, user research, and design team leadership. Proven track record of partnering with founders across various startups and established products to drive strategic product decisions and optimize user experiences.

# Professional Experience

**Product Consultant & Startup Advisor**

- Partnered with founders to validate product ideas and establish go-to-market strategies
- Conducted comprehensive user research to inform product development decisions
- Defined and implemented product strategy for multiple startups and existing products
- Led and managed design teams through product development cycles
- Provided strategic guidance across diverse product portfolios

# Core Competencies

- Product Strategy & Validation
- User Research & Analysis
- Design Team Leadership
- Go-to-Market Strategy
- Startup Advisory
- Cross-Functional Collaboration

# Career Objective

Seeking opportunities to leverage business analysis capabilities and drive impactful results through challenging multi-platform projects"
12471,"# PROFESSIONAL SUMMARY

Results-driven IT Project Manager and Business Analyst with over 7 years of experience delivering successful digital projects across diverse industries. Proven track record of leading cross-functional teams of up to 15 members, launching 9 new internet projects, and optimizing 22+ existing platforms. Expert in bridging client needs with technical execution while maintaining budget adherence and timeline commitments. Skilled in Agile methodologies, requirements gathering, stakeholder management, user experience optimization, and technical coordination across development, design, and marketing functions.

# CORE COMPETENCIES

**Project & Program Management:** Agile, SCRUM, Kanban, Strategic Planning, Process Optimization, Budget Management, Deadline Negotiation, Team Leadership, Quality Assurance

**Business Analysis:** Requirements Gathering, User Stories, BPMN, Usability Testing, CRM, ERP, Acceptance Testing

**Technical Proficiency:** Jira, Confluence, Asana, Power BI, Google Analytics, Hotjar, HTML/CSS, CMS (WordPress, Drupal)

**Design & Marketing:** Adobe Photoshop, Adobe Illustrator, Adobe InDesign, SEO, Email Marketing, VCC, User Interface Design

**Communication & Stakeholder Management:** Client Negotiations, Business Correspondence, Commercial Proposals, Public Speaking, Relationship Management

# PROFESSIONAL EXPERIENCE

**IT Project Manager & Business Analyst** | 7+ Years

**Project Delivery & Team Leadership**
- Led cross-functional teams of up to 15 members across in-house and remote environments, fostering collaborative workspaces that enhanced team productivity
- Delivered 9 new internet projects from conception to launch and enhanced 22+ existing projects across Education, Tourism, Entertainment, E-Commerce, and Fintech sectors
- Managed concurrent portfolios of 3-10 projects simultaneously in digital agency settings while consistently maintaining quality standards

**Process & Strategic Management**
- Developed and implemented customized project workflows aligned with client pipelines and requirements
- Orchestrated project execution to consistently meet deadlines without overtime
- Resolved complex budget and deadline disputes through effective negotiation and relationship management

**Client & Stakeholder Engagement**
- Conducted comprehensive negotiations and business correspondence, preparing commercial offers for B2C and B2B clients
- Coordinated projects for Ukrainian and international markets including Arab countries, China, Great Britain, and USA
- Bridged client requirements with technical teams to ensure cohesive solution delivery

**Technical Coordination & Quality Assurance**
- Collaborated with developers, designers, copywriters, and advertising specialists to deliver integrated digital solutions
- Performed acceptance testing, quality assurance, and usability testing on all deliverables
- Created designs for individual web blocks and pages to support project requirements

# INDUSTRY EXPERIENCE

Education | Educational Tourism | Medical Tourism | Sailing & Tourism | Entertainment & Showbiz | E-Commerce | Fintech

# ORGANIZATIONAL EXPERIENCE

- Start-ups with teams of 5-10 members
- Mid-sized companies in digital agency environments
- Enterprise organizations with 8,000+ employees (800+ in IT) and international headquarters

# PROFESSIONAL ATTRIBUTES

Goal-Oriented | Efficient | Open-Minded | Team Player | Results-Focused | Adaptable to Office and Remote Work Environments

# AVAILABILITY

Open to full-time and part-time opportunities"
12472,"# Professional Summary

Results-driven business professional with 9 years of experience as Founder and Manager of a web studio. Proven track record leading cross-functional teams of 5-20 employees while managing sales, development, and project delivery. Expertise in business analysis and project management for complex digital solutions including online stores, B2B web applications, billing systems, and cryptocurrency exchanges.

# Core Competencies

**Business & Product Management:** Product Management | Product Roadmap Development | Business Analysis | Project Management

**Methodologies & Tools:** Agile | Scrum | Jira | Trello | User Stories | Mockups

**Technical Skills:** HTML | PHP | MySQL | Manual Testing

**Additional Expertise:** B2B Solutions | UX/UI | Analytics | Marketing | Sales Management

# Professional Experience

**Founder & Manager** | Web Studio | 9 years

- Founded and scaled web studio operations, directing business development and project delivery across all organizational functions

- Built and led cross-functional teams of 5-20 employees, fostering collaboration across sales, development, and project management

- Drove multiple business-critical initiatives simultaneously as sales manager, developer, project manager, and business analyst

- Delivered end-to-end digital solutions including online stores, B2B web applications, billing systems, and cryptocurrency exchanges

- Managed complete project lifecycle from requirements gathering and analysis through implementation, testing, and delivery

# Career Objective

Seeking Business Analyst or Project Manager position with a large IT company to leverage extensive experience in project management, business analysis, and team leadership."
12473,"# BUSINESS ANALYST & PROJECT MANAGER

## PROFESSIONAL SUMMARY

Results-driven Business Analyst and Project Manager with 6+ years of non-IT experience, including Product Owner role at IT startup. Proven track record of delivering 50+ projects while leading cross-functional teams of 2-7 members with budgets up to $250,000. Expert in Agile and traditional project management methodologies with strong analytical and leadership capabilities.

## CORE COMPETENCIES

**Project Management & Methodologies**
• Scrum | Kanban | Waterfall | Lean | BPMN

**Tools & Platforms**
• Jira | Asana | Trello | MS Visio | Zoom | MS Teams | Google Meet | Google Docs | Excel

**Technical Skills**
• SQL (basic level) | Java (basic level)

**Professional Strengths**
• Leadership & People Management | Project Management & Delivery | Business Systematization & Process Optimization | Analytical Thinking & Problem Solving | Goal-Oriented & Proactive Approach | Strategic & Creative Thinking

## LANGUAGE PROFICIENCY

English - B1 (Upper-Intermediate)

## CAREER OBJECTIVE

Seeking opportunity to leverage comprehensive business analysis and project management expertise within a values-aligned organization focused on innovation and growth."
12474,"PROFESSIONAL EXPERIENCE

**Business Analyst** | QArtrock  
September 2019 - February 2020

Corporate Website (Turkish International Trading Company)
• Defined project scope and objectives
• Elicited and analyzed stakeholder requirements
• Created system concepts and models
• Documented requirements specifications

Store Website (Electronics Store with Online Trading)
• Defined project scope and objectives
• Elicited and analyzed stakeholder requirements
• Created system concepts and models
• Documented requirements specifications

**Teacher** | Quality Assurance Group  
November 2019 - February 2020

Software Testing Courses:
• Taught Quality Assurance fundamentals
• Taught Business Analysis fundamentals

**QA Trainee** | Quality Assurance Group  
May 2019 - August 2019

Pharmacy Management System (Web Application)
• Analyzed requirements and specifications
• Designed test strategies and scenarios
• Wrote and executed test cases
• Documented and reported software defects

Online Education Platform (Course Selection Program)
• Conducted performance testing using JMeter
• Performed database testing in MySQL
• Executed API testing in Postman

Construction Online Store
• Analyzed requirements and specifications
• Developed comprehensive test plans
• Designed test strategies and scenarios
• Wrote and executed test cases
• Documented and reported software defects
• Prepared test summary reports

**Scientific Consultant**  
October 2011 - April 2019

• Provided diagnostic, improvement, and analytical support for scientific project development and implementation
• Facilitated implementation of innovative technologies in educational systems
• Delivered psychological support for innovative activities"
12475,"PROFESSIONAL SUMMARY

Business Analyst and Project Manager with over 3 years of experience delivering projects in jewelry, eco-friendly paper packaging production, and beauty industries. Skilled in turnkey project implementation, building and managing teams of 5-7 people, coordinating remote teams, and maintaining client relationships. Expertise in task decomposition, project structure development, technical documentation, and stakeholder management.

PROFESSIONAL EXPERIENCE

Business Analyst
IWIS LLC
October 2020 – January 2021

Project Manager
LLC «Politara»
March 2019 – December 2019
• Delivered turnkey projects from inception to completion
• Built and managed teams of 5-7 people from scratch
• Coordinated workflow for remote teams and ensured efficient project delivery
• Developed technical tasks and maintained client communications
• Provided customer support after project implementation

Lead Analyst
ITek
2016 – 2018

Implementation Specialist & System Administrator
LLC «Sky»
2013 – 2015
• Implemented accounting systems for production and trading processes
• Administered computer systems and provided technical support

EDMS Analyst
SC «Zovnishtorhvydav»
2012 – 2013

System Administrator
PrJSC «UkrSRINDT»
2011 – 2012

System Administrator
LLC «PIPING INTEGRATION COMPANY»
2010 – 2011

CORE COMPETENCIES

Technical Expertise
• ERP implementation and configuration
• Technical documentation development, requirements gathering, user acceptance testing, and reporting
• Technical specification writing, task definition, and user manual creation
• Development and testing of accounting, production management, and process management systems using 1C 7.7, 8.2, 8.3 configurations
• UPP, UTP, UNF, retail, and production configurations
• MS Server 2008, 2012 and Unix system administration
• MS SQL database administration
• Virtual systems administration (VMware and VirtualBox)

Project & People Management
• User training and technical support
• Conflict management
• Adaptable project management methodologies

EDUCATION

Specialist, Department of Theoretical and Applied Mechanics
Taras Shevchenko National University of Kyiv
2006 – 2011

Master, Common Law
Institute of Postgraduate Education
2014 – 2017

CERTIFICATIONS

MindsetPM
• Big IT Project Management Program, July 2019 (Certificate №PM-EDU-20190728-03)
• Manipulations Practice and Defence, August 2019 (Certificate №PM-EDU-20190804-07)"
12476,"# PROFESSIONAL SUMMARY

Results-driven data professional with 8 years of experience in the ICT sector, spanning business intelligence, project management, and business analysis. Proven track record of leading data-driven projects, managing cross-functional teams, and delivering actionable insights to stakeholders. Strong technical foundation in Python, SQL, machine learning, and data visualization, with ongoing expertise development in R, deep learning, and NLP.

# PROFESSIONAL EXPERIENCE

**Business Intelligence Manager**
Helind Company

- Improved organizational decision-making processes through data analysis and visualization
- Supported renewable energy solutions development and alternative energy electronic device manufacturing initiatives

**Project Manager**
Business Insights International Research Group

- Led cross-functional team in evaluating individual and branch KPIs for insurance company workers
- Collaborated with stakeholders to define project needs and requirements
- Managed data collection, data entry, and data preprocessing teams
- Extracted insights and delivered comprehensive reports to insurance company stakeholders

**Business Analyst**
Sumaks Technologies

- Analyzed business needs and identified opportunities for improvement at hardware development startup
- Developed foundational expertise in ICT sector business analysis

# TECHNICAL SKILLS

**Programming Languages:** Python, SQL, R (in progress)

**Data Science & Analytics:** Machine learning, data preprocessing, data visualization, business intelligence, insight extraction, reporting

**Project Management:** Team leadership, stakeholder collaboration, KPI evaluation, cross-functional team coordination

# EDUCATION & PROFESSIONAL DEVELOPMENT

**Data Science with Python Course**
Python programming | Machine learning models | Data preprocessing methods

**SQL for Data Science**

**Ongoing Self-Study**
R programming | Deep learning algorithms | Natural Language Processing (NLP)

# INDUSTRIES OF INTEREST

Healthcare | Energy | Manufacturing | Marketing | Fintech | Retail

# WORK PREFERENCE

Remote positions only"
12477,"# PROFESSIONAL SUMMARY

Product Manager with expertise in product development, agile methodologies, and cross-functional team leadership. Skilled in requirement gathering, user research, and data analysis. Experienced with product management tools, API testing, database management, and e-commerce platforms.

---

# CORE COMPETENCIES

**Product Management & Strategy**
- Product Specification & RoadMap Development
- Feature Breakdown Structure & MVP Development
- User Stories & Change Request Management
- Sprint Release Planning & Risk Matrix
- SWOT Analysis & Product Management

**Agile & Project Management**
- Scrum, Kanban, Waterfall, LEAN, RAD
- Sprint Planning, Sprint Retrospective, Daily Standup
- Communication Planning

**User Experience & Design**
- Wireframing and Prototyping
- Android and iOS Guidelines
- UI Best Practices
- Axure, NinjaMock

**Technical Proficiencies**
- REST API, Postman
- Relational Databases, SQL (Basic Queries)
- Microsoft SQL Server Management Studio
- Python (Beginner Level)
- Magento, WordPress, OpenCart, BPMonline

**Analytics & Business Intelligence**
- Excel (Pivot Tables, Basic Statistical Calculations)
- Google Analytics (Basics)
- QlikView and QlikSense (Basics)
- Kibana (Basics)

**Tools & Platforms**
- Project Management: Jira, Asana, Redmine, Bitrix24, Trello
- Payment Systems: WayForPay, Bitcoin

**Research & Collaboration**
- User Interviews, Focus Groups, Brainstorming
- Teamwork Facilitation & Conflict Settlement
- Problem Solving & Public Speaking
- B2B Negotiations & Presentation Skills

---

# CAREER OBJECTIVES

Seeking Product Manager opportunities in organizations that value initiative, team development, and growth, with focus on:
- Big Data, AI, AR/VR, and Games (Priority Focus)
- Complex products leveraging emerging technologies
- People-oriented environments with challenging projects
- Competitive compensation: Minimum $2,200/month with annual salary reviews"
12478,"# Professional Summary

Results-driven project manager with proven success delivering complex technical projects, including Samsung mobile firmware deployments to manufacturing facilities. Demonstrated expertise in establishing enterprise-wide processes and workflows spanning development through sales management. Strong background in UX design and prototyping.

# Core Competencies

**Project Management:** Agile, Scrum, Kanban, Project Planning, Budget Planning

**Tools & Platforms:** Jira, Trello, Axure, MS Project

**UX & Product:** Wireframing, Requirements Analysis, Use Cases, Prototyping

# Key Achievements

- Successfully delivered Samsung mobile firmware to manufacturing facilities, ensuring seamless production integration
- Designed and implemented comprehensive internal processes and workflows across entire organization, from development through sales management
- Developed preliminary UX designs and prototypes utilizing industry-standard methodologies

# Career Objectives

Seeking challenging project management opportunities in international or enterprise environments. Eager to leverage comprehensive technical and process management experience to drive successful product launches and deliver exceptional results. Open to dynamic startup environments. Not interested in e-commerce projects utilizing Drupal, Magento, or similar platforms."
12479,"• Analyzed and documented business processes to identify improvement opportunities and drive operational efficiencies across the organization

• Elicited and translated customer needs into actionable requirements through strategic stakeholder engagement and in-depth analysis

• Developed comprehensive technical documentation including User Stories, Use Cases, and Software Requirements Specifications (SRS) to ensure project clarity and alignment

• Managed and maintained requirements traceability throughout the complete Software Development Life Cycle (SDLC), ensuring seamless delivery from inception to deployment

• Provided team leadership by delivering guidance, instruction, and mentoring while establishing robust processes to enhance team performance

• Coordinated cross-functional project management activities, team management initiatives, and continuous process improvement efforts to optimize project outcomes"
12480,"**Customer Success Project Manager & Business Analyst**  
Revenue Grid  
2023–Present

- Built, tested, and structured processes and tools for Partner Success Management team utilizing BPMN
- Established OKR/KPI base, goal setting, and real-time management across the organization utilizing Excel with dashboards
- Conducted audit of company's business processes

**Presale Business Analyst**  
Soft-Industry Alliance  
2022–2023

- Conducted elicitation and completed project documentation
- Collaborated with solutions architect to develop proposals, solutions overviews, and value propositions
- Gathered and documented functional and non-functional requirements

**Revenue Operations Analyst (PMBA)**  
OpenText Corporation, Waterloo, Canada  
2021–2022

- Managed development of CRM and ERP features, providing data-driven support for changes
- Defined project scope and gathered functional and non-functional requirements
- Wrote user stories utilizing Agile methodologies including Scrum, Waterfall, and Kanban
- Managed Salesforce releases on CI/CD basis
- Partnered with internal customers to troubleshoot and resolve user issues in Salesforce and SAP
- Conducted regression testing in ALM and developed comprehensive test cases
- Developed and maintained customer reports and dashboards for ELT

**Billing Coordinator (Operations Management)**  
OpenText Corporation, Waterloo, Canada  
2018–2021

- Supported sales team by reviewing legal, financial, product, and pricing aspects of deals submitted via Salesforce
- Ensured fulfillment of each deal in SAP ERP in collaboration with Fulfillment, Customer Support, and Renewals Representatives
- Set up, maintained, and audited Changepoint engagements and projects
- Delivered data reports and data sets to sales organization
- Participated in Streamline Process Committee to drive continuous improvement in team processes
- Served as SAP Tier 1 support for finance organization to resolve ERP challenges
- Assisted with finance reconciliation projects and participated in pricing calls
- Conducted testing activities in ALM and documented SOPs specific to each line of business
- Provided on-boarding to junior team members through buddy program and global training programs

**Customer Records & Entitlements Associate**  
Nuance Communications Inc. (Imaging), Waterloo, Canada  
2017

**Order Fulfillment Clerk**  
Canadian General Tower, Cambridge, Canada  
2016"
12481,"# Jane Gurovich

## Professional Summary
Results-driven Business Analyst with 13+ years of expertise in requirements analysis, product management, and cross-functional team coordination. Proven track record of bridging technical and business stakeholders, translating customer needs into actionable specifications, and delivering high-quality products through Agile methodologies. Skilled in the full product lifecycle from requirements gathering through implementation and support.

## Core Competencies
- Requirements Collection & Analysis
- Product Management & Stakeholder Negotiation
- Agile Methodologies (Scrum)
- Dev/QA Team Coordination
- Functional Testing & Quality Assurance
- Product Support & Documentation
- Customer Training & Presentations
- JIRA & Confluence
- SQL, HTML, CSS, XML
- UNIX-like Operating Systems
- First & Second Level Support

## Professional Experience

**Business Analyst**  
*January 2012 – Present*

- Collect, analyze, and formalize customer requirements into detailed specifications for development teams, ensuring alignment between business objectives and technical implementation
- Negotiate product delivery terms and conditions with stakeholders, balancing customer expectations with development capabilities
- Coordinate small to medium-sized Dev/QA teams using Agile methodologies (Scrum), facilitating sprint planning and daily standups
- Conduct comprehensive functional testing to ensure product quality and adherence to specifications prior to release
- Design and implement product support procedures, establishing efficient workflows for issue resolution
- Deliver product presentations and conduct training sessions to drive product awareness and user adoption
- Provide first and second level product support, troubleshooting customer issues and liaising with development teams
- Leverage JIRA and Confluence for project tracking, documentation, and team collaboration
- Apply working knowledge of SQL, HTML, CSS, XML, and UNIX-like operating systems to support technical analysis and troubleshooting"
12482,"# PROFESSIONAL SUMMARY

QC Engineer with 6 years of experience in quality assurance, business analysis, and team leadership. Specialized in employee management and timekeeping systems with expertise in requirements analysis, risk assessment, and stakeholder communication. Led QA team of 3-4 members for 1.5 years while managing multiple concurrent customizations of enterprise applications.

# CORE COMPETENCIES

- Quality Control & Quality Assurance
- Business Analysis
- Team Leadership & Management
- Requirements Analysis & Documentation
- Stakeholder Communication
- Risk Assessment
- User Guide Development
- Project Coordination

# PROFESSIONAL EXPERIENCE

**QA Leader & QC Engineer** | 6 years

**Leadership & Team Management:**
- Led QA team of 3-4 members for 1.5 years, coordinating testing activities and quality deliverables
- Managed 2-4 concurrent customizations daily in fast-paced environment
- Coordinated customization teams of 1-4 members across multiple projects

**Business Analysis & Requirements Management:**
- Analyzed functional requirements and clarified specifications through Skype, phone meetings, and email correspondence
- Prepared customer proposals based on stakeholder expectations and project requirements
- Identified and documented product and project risks
- Developed comprehensive user guides for system implementations

**Quality Assurance & Delivery:**
- Managed quality assurance for employee management and timekeeping system customizations
- Successfully delivered 40-45 customizations for large-scale application
- Oversaw customization projects ranging from 2 weeks to 4 months in duration
- Managed modules including scheduling, timekeeping, vacation management, payroll, personal data, and analytics

# CAREER OBJECTIVES

Seeking to advance expertise in Business Analysis or Project Management, building on proven experience in requirements analysis, stakeholder management, and team leadership."
12483,"# BUSINESS ANALYST

## PROFESSIONAL SUMMARY

Results-driven Business Analyst with 10+ years of IT experience spanning business analysis, project management, and software maintenance. Expert in requirements analysis, stakeholder engagement, and technical documentation with deep domain expertise in finance and banking (9 years), ecommerce, and logistics. Proven ability to translate complex business needs into actionable technical solutions using data-driven methodologies and industry-standard tools.

## CORE COMPETENCIES

**Business Analysis:** Requirements gathering & analysis • Competitive analysis • Business process modeling • Gap analysis • Stakeholder management • Product strategy

**Documentation:** PRD • SRS • Technical specifications • API specifications • User stories • Use cases • A/B testing specifications • Product metrics

**Technical Proficiencies:** SQL • MS SQL Server • Sybase SQL Anywhere • XML • JSON • Data analysis

**Tools & Platforms:** Atlassian Jira • Confluence • Visio • Balsamiq • Firebase • MS Office Suite

**Methodologies & Frameworks:** Agile/Scrum • Waterfall • SDLC • UML • BPMN

**Project Delivery:** System migrations & integrations • Incident & problem management • Project coordination • Sprint planning

## PROFESSIONAL EXPERIENCE

**Business Analyst** | Epicentr M  
Oct 2020 - Present

**Business Analyst** | Scallium  
Dec 2019 - Oct 2020

**Business Analyst** | NullGravity  
Sep 2018 - Dec 2019

**Business Analyst** | Coreteca  
Aug 2017 - Sep 2018

- Partnered with stakeholders to elicit, analyze, and validate business requirements across multiple projects
- Conducted competitive product analysis to identify market trends and drive product enhancement opportunities
- Designed business process models and technical diagrams using BPMN and UML methodologies
- Translated complex business requirements into detailed technical specifications for development teams
- Created comprehensive documentation suite including software specifications, API documentation, user stories, use cases, product metrics, A/B testing specifications, and operational guidelines
- Standardized documentation processes through development and implementation of specification templates
- Facilitated Agile ceremonies including daily scrums, sprint planning, and retrospectives
- Served as liaison between business stakeholders and technical teams to ensure project alignment and delivery

**Senior Software Analyst (Project Manager)** | OJS Company ""Universal Bank""  
Jun 2013 - Aug 2017

**Senior Engineer** | Intesa Sanpaolo Group Ukraine (Pravex Bank)  
Jul 2011 - May 2013

**System Administrator** | BMS SERVICE  
Feb 2011 - Jul 2011

**Lead Software Engineer** | Prominvestbank  
Sep 2007 - Dec 2010

**Engineer - Programmer** | Nikolaev Petroleum  
May 2007 - Aug 2007

**Engineer** | Information Technology Services & Solutions  
Nov 2006 - May 2007

## DOMAIN EXPERTISE

Finance & Banking (9 years) • Ecommerce • Logistics"
12484,"**Professional Experience**

**Business Analyst & Project Coordinator**

**Key Accomplishments:**

• Gathered and documented requirements for project initiation across public health, monitoring & evaluation (M&E), and cross-functional business areas

• Conducted comprehensive business process analysis for Synergy International Systems and IDeA Foundation, delivering actionable recommendations that drove operational improvements

• Led collaboration with IT Specialists to design and deploy two MS SharePoint internal portals, achieving high adoption rates and ongoing utilization across both organizations

• Developed comprehensive project plans utilizing MS Project, encompassing risk management strategies, stakeholder communication frameworks, and detailed budget allocations for multiple initiatives

• Served as central point of contact for project status reporting, ensuring transparent communication with stakeholders and leadership"
12485,"# PROFESSIONAL SUMMARY

Results-driven professional with 12+ years of progressive experience in Project Management, Business Analysis, Marketing Analysis, and Business Process Analysis. Proven expertise in project lifecycle management, requirements gathering and analysis, business process optimization, and stakeholder engagement. Holds advanced degrees in Management and Project Management (both graduated with honors) plus QA Manual Certification. Seeking to leverage comprehensive IT and analytical expertise in a Project Manager or Business Analyst role.

---

# CORE COMPETENCIES

**Project Management & Business Analysis**
- Project management with 7+ years specialization in Business Analysis
- SMART methodology for goal definition and task setting
- Business requirements gathering, analysis, and solution design
- Requirements change management and documentation
- Technical project documentation development and conceptualization
- Business process analysis, optimization, and automated control systems implementation
- Stakeholder management and customer requirements analysis

**Quality Assurance & Technical Documentation**
- Test plan and test case creation
- Test design and execution
- Bug report compilation
- Project documentation development including Use Cases, Business Rules, and Functional & Non-Functional Specifications

**Communication & Collaboration**
- Strong communication and negotiation abilities
- Cross-functional stakeholder engagement
- Customer-focused requirements analysis

---

# TECHNICAL SKILLS

**Project Management Tools:** Jira

**Database & Web Technologies:** SQL (basic), HTML/CSS (basic)

**Business Applications:** 1С, Microsoft Office Suite (Word, Excel, Outlook, PowerPoint)

---

# PROFESSIONAL EXPERIENCE

**12+ years of progressive professional experience including:**

**Project Manager**

**Business Analyst** (7+ years)

**Marketing Analyst**

**Business Process Analyst**

---

# EDUCATION

**Management** (Graduated with Honors)

**Project Management** (Graduated with Honors)

**QA Manual Certification**"
12486,"# PROFESSIONAL SUMMARY

Results-driven professional with more than 9 years of experience implementing IT and transformation projects across retail, mining engineering, energy industry, and government property auctions. Proven expertise in business process modeling and analysis, stakeholder engagement, requirements gathering and documentation, and workshop facilitation. Skilled in developing use cases and user stories while leveraging leadership and influencing abilities to drive project success and cross-functional collaboration.

## CORE COMPETENCIES

- IT & Transformation Project Implementation
- Business Process Modeling & Analysis
- Requirements Gathering & Documentation
- Use Cases & User Stories Development
- Stakeholder Engagement & Management
- Interviews & Workshop Facilitation
- Leadership & Influencing
- Cross-functional Collaboration

## INDUSTRY EXPERIENCE

- Retail
- Mining Engineering
- Energy Industry
- Government Reforms & State Property Auctions

## CAREER OBJECTIVE

Seeking a Business Analyst or Project Manager position with an organization whose service or product delivers meaningful benefits to people—whether significant impact for targeted audiences or valuable improvements for large user bases. Particularly interested in opportunities involving innovative problem-solving approaches and cutting-edge technologies."
12487,"# PROFESSIONAL SUMMARY

Results-driven Business Analyst and Project Manager with experience managing the development of an online platform for satellite imagery analysis in international markets. Complemented by 8 years of engineering leadership experience in spacecraft design, including development and promotion of innovative projects. Seeking a Business Analyst position to leverage analytical expertise and technical background in a progressive team environment.

# PROFESSIONAL EXPERIENCE

**Business Analyst & Project Manager**
Product Company

Requirements Management & Analysis
- Elicited, analyzed, and designed detailed requirements for complex technical products serving international markets
- Created use cases, user stories, and acceptance criteria to guide development teams
- Managed requirements through SRS documentation and backlog tracking
- Defined and tracked story tasks throughout development lifecycle

Product & Market Strategy
- Managed development of online platform for satellite imagery analysis
- Conducted comprehensive product analysis to identify strengths and weaknesses
- Performed market research and competitor analysis to inform product strategy
- Maintained and supported product documentation

**Head of Group / Engineer**
Spacecraft Design | 8 years

- Led engineering group in spacecraft design projects
- Participated in development and promotion of promising spacecraft projects
- Provided technical leadership and project oversight

# CORE COMPETENCIES

**Business Analysis:** Requirements Elicitation & Analysis • Use Case & User Story Development • Requirements Management & SRS Documentation • Backlog Tracking & Story Task Definition • Product Analysis

**Strategy & Research:** Market Research • Competitor Analysis • Product Documentation

**Leadership:** Project Management • Technical Leadership"
12488,"# SENIOR BUSINESS ANALYST

**Location:** Texas, USA | **Work Preference:** Remote with travel capability across USA and Canada

## PROFESSIONAL SUMMARY

Results-driven Senior Business Analyst with 10+ years of IT experience, including 7+ years specializing in B2C software development for web and mobile platforms (iOS/Android). Expertise in product lifecycle management from concept to launch, market validation through customer research, and process optimization that drives revenue growth. Strong proficiency in requirements gathering methodologies with proven impact in FinTech and consumer technology sectors.

## KEY ACHIEVEMENTS

• Launched web application for IT Career planning from concept to full market deployment

• Validated dozens of business ideas through structured customer interview programs

• Delivered strategic analysis initiatives that saved millions of dollars for FinTech startup

• Optimized internal operational processes for B2C company, improving efficiency and scalability

• Generated new revenue stream through targeted process optimization and strategic initiatives

## CORE COMPETENCIES

**Product & Development:** B2C Software Development • Web & Mobile Applications (iOS/Android) • Product Launch & Validation • Requirements Gathering

**Analysis & Strategy:** Customer Interviews & Research • Process Optimization • Strategic Analysis • Revenue Generation

**Industry Experience:** FinTech • Consumer Technology • B2C Markets"
