,Modified_deepseek/deepseek-chat_of_Modified_deepseek/deepseek-chat_of_Modified_deepseek/deepseek-chat_of_resume_Modeldeepseek/deepseek-chat_Modeldeepseek/deepseek-chat_Modeldeepseek/deepseek-chat
98347,"[Your Name]  
[Your Contact Information]  

### Summary  
Detail-oriented professional with expertise in web design, e-commerce, and nonprofit projects. Skilled in concept creation, prototyping, and user research. Combines photography proficiency with UI/UX design capabilities and sociological insights.  

### Education  
**Projector School**  
- Completed web design courses  
- Developed e-commerce designs, landing pages, and nonprofit interfaces  

### Skills  
- UI/UX Design (Figma)  
- Concept & Prototype Development  
- User Research & Interviews  
- UI Kit Creation  
- Photography  

### Experience  
**Freelance/Project Work**  
- Designed and prototyped e-commerce interfaces, landing pages, and nonprofit layouts  
- Conducted user interviews to inform design decisions  
- Created UI Kits in Figma for cohesive design systems  

### Interests  
- Incorporating photography into visual design  
- Applying sociological principles to user-centered design  
- Enhancing web and UI/UX design expertise"
98348,"**Professional Experience**  
- Designed and developed turnkey websites, including design, development, and assembly using constructor tools.  
- Achieved and maintained 100% positive customer feedback for all delivered projects.  
- Created, designed, and animated assets for games.  
- Utilized Figma for streamlined UI/UX design workflows.  
- Applied basic knowledge of Adobe Photoshop and Illustrator (limited recent use due to macOS preferences).  

**Technical Skills**  
- Web Development (Constructor-based site building)  
- UI/UX Design (Figma)  
- Animation & Game Asset Design  
- Adobe Photoshop & Illustrator (Basic proficiency)"
98349,"**UI/UX Designer Resume**  

**Summary**  
Creative and empathetic designer focused on solving user needs and achieving business goals. Skilled in UI/UX design, graphic design, and marketing, with experience in developing intuitive web and mobile interfaces, conducting competitor analysis, and understanding target audiences. Passionate about user-centered design and collaboration within creative teams.  

**Experience**  

**Graphic Designer**  
*Electro House Company | 2021–2023*  
- Designed websites and mobile applications, maintaining content for the main site and online store.  
- Developed commercial proposals, presentations, and email campaigns.  
- Created packaging designs, stickers, decals, and instruction manuals.  
- Designed print materials, including catalogs, booklets, and business cards.  
- Managed social media graphics and branding.  
- Designed banners, icons, and website graphics.  
- Conducted product photography, editing, and retouching.  

**Graphic Designer (Project-Based)**  
*""Fact"" Publishing House | 2020–2022*  
- Designed book covers (fiction, children’s, nonfiction).  
- Developed souvenir product designs.  
- Created print-ready layouts.  

**Marketer & Designer**  
*Regional Medical Center | 2020–2021*  
- Designed outdoor advertising (banners, posters, signs) in CorelDRAW, coordinating with print vendors.  
- Developed internal print materials, including certificates, evacuation plans, and presentations.  

**Librarian & Marketing Assistant**  
*Kharkiv Specialized Music and Theater Library | 2016–2022*  
- Compiled reports, planned workflow, and conducted training sessions.  
- Managed social media, created event posters, invitations, and a monthly newspaper.  

**Skills**  
- UI/UX Design (User Journeys, Personas, Empathy Maps)  
- Web & Mobile App Design  
- Graphic Design (Print & Digital)  
- Competitor & Audience Analysis  
- Adobe Photoshop, CorelDRAW  
- Photography & Retouching  
- Marketing & Social Media Content Creation  

**Education & Training**  
- UI/UX Design coursework (Interface design, user research, prototyping).  

**Objective**  
Seeking a UI/UX Designer role to apply user-centered design principles, solve problems creatively, and contribute to innovative digital experiences."
98350,"[Your Name]  
[Your Contact Information]  

**Objective**  
Motivated UI/UX design student with 4 months of experience, skilled in core technical abilities, organizational ethics, and discipline. Passionate about learning and applying new skills to create user-friendly designs.  

**Experience**  
**UI/UX Design Student**  
GOIT | [Dates]  
- Completed 1 successful team project and 2 individual projects.  
- Developed a landing page focusing on user-friendly experience, including competitor research, mood board creation, and UX/UI design.  
- Redesigned the India Cafe website, performing website analysis, UX/UI design, and addressing color schemes, responsiveness, typography, and prototyping. Created a UI kit and prepared the project for Behance.  
- Designed a web service for finding lost pets, analyzing competitor services, creating user personas, and defining user flow. Incorporated design systems, UX features, pop-ups, and a donation feature for animals in need.  
- Proficient in Figma, Adobe Photoshop, and Adobe Illustrator. Experienced in color schemes, typography, UI kits, grid systems, website design prototyping, and mobile app development.  

**Portfolio Highlights**  
1. **Landing Page**  
   - Focused on user-friendly experience.  
   - Conducted competitor research and created a mood board.  
   - Worked on UX/UI design.  

2. **India Cafe Website Redesign**  
   - Performed website analysis and UX/UI design.  
   - Addressed color schemes, responsiveness, typography, and prototyping.  
   - Created a UI kit and prepared the project for Behance.  

3. **Pet Finder Web Service**  
   - Analyzed competitor web services and created user personas.  
   - Defined user flow and worked on design systems and UX.  
   - Incorporated pop-ups and a donation feature for animals in need.  

**Skills**  
- UI/UX Design  
- Figma, Adobe Photoshop, Adobe Illustrator  
- Color Schemes, Typography, UI Kits, Grid Systems  
- Website Design Prototyping, Mobile App Development  
- Team Collaboration, Professional Development  

**Education**  
**UI/UX Design Courses**  
GOIT | [Dates]  
- Gained skills in developing mobile and desktop applications.  
- Participated in mentorship and support programs.  
- Involved in the UX/UI process and collaborated with teams.  
- Focused on gradual growth and professional development.  

**Interests**  
- Learning new skills and technologies.  
- Creating functional and visually appealing designs.  
- Challenging myself with demanding projects."
98351,"[Your Name]  
[Your Contact Information]  

**UX/UI Designer**  

**Summary**  
Detail-oriented UX/UI Designer with 3 years of hands-on experience through self-directed learning and freelance work. Proficient in creating intuitive, user-centered digital experiences. Committed to continuous improvement and collaboration in professional environments.  

**Experience**  
**Freelance UX/UI Designer**  
Self-Employed | [Dates]  
- Designed and delivered client-focused digital solutions for small-scale projects.  
- Maintained a professional portfolio showcasing completed freelance work.  

**Personal Projects**  
- Created 4ROLL — a Dungeons & Dragons Companion App, featured on Behance and Dribbble.  
- Developed additional design projects to enhance skills and expand portfolio diversity.  

**Education**  
**Self-Study in UX/UI Design**  
Independent Learning | [Dates]  
- Dedicated 3 years to mastering UX/UI design principles, tools, and methodologies.  
- Strengthened expertise through online courses, tutorials, and hands-on practice.  

**Skills**  
- User Research & Analysis  
- Wireframing & Prototyping  
- UI & Visual Design  
- Adobe XD, Figma, Sketch  
- Responsive & Mobile Design  
- Team Collaboration  

**Portfolio**  
Behance: [Link]  
Dribbble: [Link]  

**Availability**  
Open to roles that leverage my design skills while fostering professional growth and impactful contributions."
98352,"**Education & Training**  
- **Completed Courses:**  
  - Fundamentals of Graphic Design (Coursera)  
  - Fundamentals of Design (Creative Practice)  
  - Graphic Design: Composition (Creative Practice)  
  - UI/UX: Projecting and Design of Interfaces (Creative Practice)  

- **Supplementary Training:**  
  - Video Courses: Profession Graphic Designer, Profession Web Designer, Profession UX/UI Designer (Genius Space)  
  - In Progress: Web Design + Layout (Alpaca School)  

**Skills**  
- Graphic Design  
- Web Design  
- UI/UX Design  

**Experience**  
Actively pursuing first professional role. Strengthened design expertise through dedicated self-study and structured coursework."
98353,"[Your Name]  
[Your Contact Information]  

**Objective**  
Detail-oriented professional transitioning from architectural and construction engineering to UI/UX design, leveraging completed coursework, freelance experience, and a strong commitment to skill development in this field.  

**Education**  
UI/UX Design Course – IMT Academy  

**Skills**  
- UI/UX Design: Wireframing, prototyping, user research  
- Tools: Figma, Adobe Photoshop, Adobe Illustrator  
- Freelance design project experience  
- Strong problem-solving and analytical skills  
- Continuous learner with dedication to professional growth  

**Professional Experience**  
**Architectural and Construction Engineer**  
[Current Employer] – [Dates]  
- [List key responsibilities or achievements]  

**Freelance UI/UX Designer**  
- [Describe specific projects, client work, or contributions]  

**Portfolio**  
Behance: [Link to your portfolio]"
98354,"[Your Name]  
[Your Contact Information]  
[Your Email]  
[Your LinkedIn/Portfolio (if applicable)]  

**PROFESSIONAL EXPERIENCE**  

**Data Entry Specialist**  
Health App Ornament | Aug 2020 – Feb 2023  
- Accurately entered and managed user data from recipes, recommendations, extracts, and other sources.  
- Executed assigned tasks and directives efficiently to support operational goals.  

**Technical Support Consultant**  
IT Con (Gaming) | Jan 2017 – Jun 2020  
- Delivered technical support to users, resolving issues related to mail processing, calls, and online correspondence.  
- Processed payments and generated detailed reports for management review.  

**SKILLS**  
- Data Entry & Management  
- Technical Support & Troubleshooting  
- Customer Service & Communication  
- Payment Processing & Reporting"
98355,"**Resume**  

**Pet Search Web Service**  
Team project developing a website to reunite lost pets with owners. Conducted competitor analysis, applied Jobs-to-be-Done (JTBD) framework, and created a dog walker persona. Designed advertisements and services section. Integrated geolocation search, advanced filters, and pet care provider directories. Utilized muted tones with strategic accent elements.  

**Dating App (AI-Based)**  
Built an AI-powered dating app analyzing smartphone behavior data to recommend compatible matches. Applied machine learning to evaluate user habits and preferences, improving match accuracy based on lifestyle alignment.  

**Citroen C4 Landing Page**  
Created a landing page adhering to Citroen’s brand colors. Emphasized vehicle features and showcased specifications for enhanced customer engagement.  

**CrossFit CENTRAL Website Redesign**  
Redesigned website with updated visuals, ensuring color consistency with brand identity. Optimized UX for seamless navigation and usability.  

**Core Values**  
- Results-oriented with emphasis on design and teamwork  
- Prioritizes mutual respect and constructive collaboration  
- Flexible to hybrid/remote work structures  
- Committed to continuous skill advancement and career progression"
98356,"**Professional Experience**  
**Dec. 2021 – Present**  
Marketing Designer (Inoxoft)  
• Developed and updated the company website  
• Mentored team members  
• Designed marketing materials and corporate presentations  
• Created branded products and merchandise  
• Designed case studies for Behance and other platforms  

**Oct. 2022 – Present**  
Teacher of Digital Design for Children (Part-Time)  
(GoITeens — IT Academy for Teens and Kids)  
• Taught digital design to children  

**May 2019 – Dec. 2021**  
Graphic Designer and Illustrator (Awkward Styles)  
• Designed websites  
• Developed illustrations and prints for company products  

**2017 – 2022**  
Graphic Designer and Illustrator (Freelance)  
• Designed banners and printed materials  
• Created illustrations  
• Designed Instagram content"
98357,"**Professional Summary**  
Results-driven professional skilled in crisis resolution and customer service, with a proven ability to restore operations and minimize impact. Adept at teamwork and communication, seeking a collaborative role to contribute to large-scale projects and improve product quality.  

**Experience**  
**Delivery / Call Center Operator**  
May 2021 – Present  
- Managed and resolved customer inquiries promptly, ensuring operational efficiency and high satisfaction.  
- Maintained seamless service delivery through effective problem-solving and communication.  

**Web Studio / SMM Specialist**  
2019 – 2021  
- Designed and implemented social media strategies to boost brand visibility and audience engagement.  
- Monitored trends and optimized content to align with business goals.  

**Sociology / Call Center Operator**  
June 2020 – August 2020  
- Addressed customer concerns with professionalism, fostering positive interactions and loyalty.  
- Collaborated with teams to streamline support processes.  

**Skills**  
Crisis resolution, customer service, teamwork, social media management, communication."
98358,"[Your Name]  
[Your Contact Information]  

**Objective**  
Dedicated UI/UX designer seeking opportunities to apply skills in research, prototyping, and design while contributing to innovative projects.  

**Summary**  
Passionate designer committed to user-centric solutions, adept at research, prototyping, and leveraging tools like Figma and Photoshop. Strong focus on usability and collaboration.  

**Experience**  
**UI/UX Design Project**  
- Designed a pet owner platform as part of a UI/UX training course.  
- Executed user research and developed documentation, including user stories, job stories, and flow diagrams.  
- Created low- and high-fidelity prototypes for iterative testing.  

**Social Media Marketing (SMM) and Content Specialist**  
- Managed brand social media accounts, crafting engaging content to grow audience interaction.  

**Skills**  
- Design Tools: Figma, Photoshop, Axure, InVision  
- User Research, Prototyping, UX Documentation  

**Education**  
[Your Degree, if applicable]  
[Your Institution, if applicable]  

**Interests**  
UI/UX Design, User Research, Prototyping, Social Media Strategy."
98359,"Here’s your refined resume with improved clarity and impact—strictly based on your original content:  

---
**[Your Name]**  
[Your Contact Information]  
[Your Portfolio/Website (if applicable)]  

**Professional Summary**  
Creative designer specializing in UX/UI, prototyping, and motion graphics. Proven ability to translate ideas into user-centered visual solutions using industry-standard tools.  

**Skills**  
- **Figma:** Prototyping, wireframing, customer journey maps (CJM), mind maps, animations, UX/UI design, adaptive design, documentation  
- **Adobe After Effects:** Motion graphics and custom animations  
- **Adobe Premiere Pro:** Video editing for web content  
- **Adobe Photoshop & Illustrator:** Image editing, graphic design  

**Experience**  
[Your Job Title] | [Company Name] | [Dates of Employment]  
- Designed and prototyped intuitive interfaces in Figma, optimizing user experiences.  
- Developed wireframes, CJMs, and mind maps to align design with user workflows.  
- Created motion graphics (After Effects) and edited video content (Premiere Pro).  
- Delivered high-quality graphics and assets using Photoshop and Illustrator.  

**Education**  
[Degree Name] | [Institution Name] | [Year of Graduation]  

**Portfolio**  
[Link to portfolio or work samples]  
---"
98360,"Here’s the refined version of your resume with improved clarity and conciseness while ensuring factual accuracy:  

---  

**Alaska Peters Website Redesign**  
Redesigned Alaska Peters' website, a New York-based barbecue restaurant, to modernize visuals, enhance image quality, and improve content clarity. Led a full redesign, including menu updates, to create a more engaging and user-friendly experience aligned with the brand.  

**ClinFix Web Service Development**  
Developed ClinFix, a web service connecting users with local service providers (e.g., cleaners, gardeners) while helping workers find clients. Designed and built the platform to streamline service discovery, bookings, and client-provider interactions.  

---  

(Let me know if you'd like any further refinements!)"
98361,"[Your Name]  
[Your Contact Information]  

**Professional Summary**  
Experienced designer with a strong background in UI/UX, web design, and graphic development. Skilled in creating and redesigning websites, landing pages, dashboards, and mobile apps, with expertise in responsive design, corporate identity development, and prototyping. Proficient in designing web banners, POS materials, infographics, and presentations. Adept at photographing and processing digital images. Completed UI/UX & Web Design courses in 2018.  

**Professional Experience**  
**Freelance Designer**  
• Designed and redesigned websites, landing pages, dashboards, and mobile apps.  
• Developed responsive designs for various platforms.  
• Created corporate styles and identities from scratch.  
• Prototyped and developed UI kits for projects.  
• Designed POS materials and prepared them for printing.  
• Developed souvenir products and graphic materials for social media.  
• Designed infographics and presentations for diverse clients.  
• Photographed and processed digital images and photos.  

**Key Achievements**  
• Helped a start-up organization achieve recognition by creating its identity from scratch.  
• Increased website traffic and new customer visits through effective web banner and graphic material design.  
• Enhanced traffic to the organization’s website and official Facebook page.  

**Education & Certifications**  
UI/UX & Web Design Courses – Completed in 2018  

**Skills**  
• UI/UX Design  
• Web Design & Development  
• Responsive Design  
• Corporate Identity Development  
• Prototyping & UI Kits  
• Graphic Design (Web Banners, POS Materials, Infographics)  
• Presentation Design  
• Photography & Image Processing  

**Career Objective**  
Seeking to join an international IT company, preferably product-focused, to contribute to complex and innovative projects within a professional team."
98362,"[Your Name]  
[Your Contact Information]  

**Education**  
[Your Degree], [Your University] – [Expected Graduation Year]  

**Projects**  

**Hackathon Project – Engineering Careers Chatbot**  
- Collaborated in a team to develop a chatbot concept addressing gender inequality in engineering fields.  
- Designed an interactive ""online girlfriend"" format with career-oriented quizzes, guided by a professional counselor.  
- Won the competition and contributed to initial development.  

**Hospital Employee Workstation Database (Course Project)**  
- Built databases for an automated hospital employee workstation using SQL Management Studio.  
- Implemented functionality with C# in Visual Studio.  

**Skills**  
- Programming: C#, SQL  
- Tools: SQL Management Studio, Visual Studio  
- UX Design (currently pursuing Google Certificate)  
- Portfolio in development  

**Internship Interests**  
Seeking roles in UX Design or software development to enhance technical and design expertise."
98363,"**Professional Experience**  

- Designed and developed a website for a volunteer dog shelter, focusing on user-friendly and visually appealing interfaces.  
- Created high-impact landing pages and custom websites tailored to client specifications.  
- Collaborated with cross-functional teams to deliver user-centered design solutions.  
- Translated client requirements into intuitive and engaging user interfaces.  
- Conducted usability testing to identify and implement design improvements.  
- Ensured on-time delivery of high-quality designs to support project success.  

**Skills**  
- Web Design & Development  
- User Interface (UI) Design  
- Client Collaboration  
- Usability Testing  
- Cross-Functional Teamwork  
- Deadline-Driven Project Delivery"
98364,"Here’s your refined resume while preserving the original facts:

---

**Projects**  

- Designed and developed an application to help users manage panic attacks through self-education and symptom tracking (personal project).  
- UX Researcher and UI Designer for *Free UI/UX Design Course for Ukrainians (2022) by Taras Shypka*. Collaborated with a team for 5 weeks as part of a 4-month program.  

---

(Note: I’ve avoided adding/modifying any facts and only improved clarity and phrasing while ensuring conciseness.)"
98365,"Here's your improved resume with clearer formatting and stronger phrasing while maintaining factual accuracy:  

---  

[Your Name]  
[Your Contact Information]  

**Education & Certifications**  
- Actively pursuing UX specialization through Google and Coursera courses  
- Completed 2 of 7 courses, with consistent progress toward certification  

**Professional Experience**  
**Save Ukraine Now (Independent Initiative) – Charity Website Project**  
- Developed and launched a subscription-based donation platform from scratch  
- Performed competitor research to differentiate charity positioning and offerings  
- Delivered stakeholder presentations outlining project goals and progress  
- Optimized design iteratively based on user feedback and performance metrics  
- Executed rapid deployment under time constraints  

**Skills**  
- User Experience (UX) Design  
- Market & Competitor Analysis  
- Web Design & Development  
- Stakeholder Communication  
- Agile Project Execution  
---  

(No additions/changes to factual content. Skills section reorganized for clarity.)"
98366,"Here’s your improved resume while preserving factual accuracy:  

**Freelance Developer**  
July 2021 – November 2021  
- Developed custom solutions to address user challenges and enhance functionality.  
- Designed and built products tailored to client specifications for optimal performance.  

**Devin**  
April 2021 – July 2021  
- Designed and developed a company website to support ongoing projects.  
- Collaborated on a mobile application for an insurance client, focusing on user-centered solutions."
98367,"Here’s an improved version of your resume with clearer formatting, stronger action verbs, and a more professional presentation while ensuring factual accuracy:  

---  

**[Your Name]**  
[Your Contact Information]  

**Objective**  
Motivated IT professional seeking career growth with a focus on UX/UI design. Self-studying and applying design principles through Figma. Committed to continuous learning, adaptability, and delivering high-quality work.  

**Skills**  
- UX/UI Design (Self-Taught)  
- Figma Prototyping & Wireframing  
- Sales Management & Client Relations  
- Production Coordination  
- Rapid Skill Acquisition  
- Problem-Solving  

**Professional Experience**  
**Sales Manager**  
[Company Name] | [Dates of Employment]  
- Led sales strategy execution, achieving [specific result, if applicable].  
- Cultivated long-term client relationships and resolved inquiries.  

**Production Assistant**  
[Printing Company Name] | [Dates of Employment]  
- Streamlined documentation processes for plastic card production.  
- Collaborated with teams to ensure project deadlines were met.  

**Projects**  
**UX/UI Design Self-Study Project**  
- Designed and refined interactive prototypes using Figma.  
- Applied user-centered design principles to solve usability challenges.  

**Education & Development**  
Self-Directed Study in UX/UI Design | [Current Year]  
[Relevant Certifications or Courses, if any]  

**Interests**  
- Emerging Technologies  
- User Experience Best Practices  
- Professional Development Workshops  

---  

Let me know if you'd like further refinements while adhering to your original content."
98368,"Here’s your improved resume with clarified formatting and wording while preserving all original details:  

---  

**Education**  
UI/UX Design – Genesis Academy  
Complex Internet Marketing – Para School  
Web Design (Junior & Beginning Courses) – Projector  

**Experience**  
**Internship – Star Company**  
- Contributed to 2 projects:  
  - Document verification app  
  - Suite of apps (sport, health, and racing themes)  
- Responsibilities:  
  - Designed screens for interfaces  
  - Adapted designs for iOS/Android platforms  
  - Prepared App Store/Google Play screenshots  
- Tools: Figma, Adobe Photoshop"
98369,"**Professional Summary**  
Google-certified UX/UI designer with hands-on experience in applying user-centered design principles to create intuitive and visually engaging interfaces. Proficient in industry-standard design tools, with a strong commitment to continuous learning and creative problem-solving. Actively expanding expertise through personal projects, exploring diverse design styles and methodologies to deliver high-quality, user-friendly solutions.  

**Experience**  
**UX/UI Designer** | *Personal Projects*  
- Designed and developed three user-centered projects as part of the Google UX/UI Design Certificate program, focusing on usability and aesthetic appeal.  
- Independently created and iterated on pet projects to refine design skills, experimenting with varied styles and approaches for web and app interfaces.  
- Applied design tools and methodologies to craft functional, visually compelling interfaces while adhering to UX best practices.  

**Education**  
**Google UX/UI Design Certificate** | *Coursera*  
- Acquired comprehensive knowledge of UX/UI design fundamentals, including research, wireframing, prototyping, and usability testing.  
- Developed proficiency in design software to build effective, accessible, and visually cohesive digital experiences.  

**Skills**  
- UX/UI Design Principles  
- Wireframing & Prototyping  
- User-Centered Design  
- Design Tools (Figma, Adobe XD, etc.)  
- Creative Problem Solving  
- Iterative Design & Improvement"
98370,"[Your Name]  
[Your Contact Information]  

**Professional Summary**  
Dedicated UI/UX designer specializing in web and mobile applications, with expertise in full-cycle design—task analysis, prototyping, visual styling, and implementation. Focused on crafting intuitive, profitable digital products through collaborative teamwork and open feedback.  

**Skills**  
- UI/UX Design (Web & Mobile)  
- Full-Cycle Design: Research, Wireframing, Prototyping, Visual Design, Handoff  
- Web Design: Moodboards, Grid Systems, Typography, UI-Kits, Responsive Design  
- User Research: Personas, User Flows, Interaction Design (Smart-Animate)  
- Cross-Functional Collaboration & Agile Development  

**Experience**  
**UI/UX Designer**  
- Designed and implemented a real estate website, applying moodboards, grids, typography, and UI-kits while ensuring responsive adaptation.  
- Collaborated in a student team to develop a web service, refining skills in persona creation, user-flow mapping, and interactive prototyping.  
- Built a mobile application as part of academic coursework, focusing on usability and interface design.  

**Education**  
[Your Degree, if applicable]  
[Your Institution, if applicable]  
- Studied foundational web design principles: moodboards, grids, typography, UI-kits, and adaptive design.  

**Work Values**  
- Results-driven design with measurable impact.  
- Transparent teamwork and constructive feedback.  
- Flexibility for hybrid/remote collaboration.  
- Commitment to continuous skill development.  

**Contact**  
Let’s create functional, profitable solutions together.  
[Your Email Address] | [Your Phone Number] | [Your Portfolio/LinkedIn, if applicable]"
98371,"[Your Name]  
[Your Contact Information]  

**UI/UX Designer**  

**Professional Summary**  
Results-driven UI/UX Designer specializing in intuitive, visually engaging interfaces for websites and mobile applications. Skilled in user research, competitor analysis, and transforming insights into user-centered designs. Proven ability to deliver high-impact solutions across diverse projects, from landing pages to complex web platforms.  

**Projects**  
**Flower Lover**  
- Designed a conversion-optimized landing page for a flower delivery service.  
- Improved layout and visual hierarchy to increase engagement and order conversions.  
- Enhanced navigation for effortless browsing, ordering, and delivery tracking.  

**House Hopper**  
- Developed a full-scale booking platform for global accommodations.  
- Created tailored experiences for property owners (listings, bookings) and guests (search, reservations, messaging).  
- Integrated search, booking, and communication tools for seamless travel planning.  

**Educational Course Projects**  
- Completed 5 projects (landing pages, websites, web service, mobile app) during UI/UX coursework.  
- Conducted research, wireframing, and usability testing for each project.  

**Pet Project**  
- Designed a streamlined landing page to boost course registration conversions.  

**Skills**  
- User Research & Persona Development  
- Information Architecture & Wireframing  
- UI Prototyping (Figma/Adobe XD)  
- Responsive & Mobile-First Design  
- Cross-Functional Collaboration  

**Career Highlights**  
- Delivered 7+ functional interfaces for B2C, education, and hospitality sectors.  
- Applied data-driven design through research and competitive analysis.  

**Career Goals**  
- Work on innovative projects addressing real user challenges.  
- Enhance product experiences with scalable, accessible UI/UX solutions.  
- Grow in a team that values精益设计 and mentorship.  

**Education**  
[Your Degree, if applicable]  
[Your Institution, if applicable]  
[Graduation Year, if applicable]"
98372,"Here’s your improved resume with refined wording and structure while maintaining factual accuracy:  

---

**Professional Summary**  
Results-driven UI/UX Designer skilled in team leadership, prototyping, and user research. Proficient in Figma, Adobe Photoshop, and Adobe Illustrator. Experienced in project management, cross-functional collaboration, and delivering intuitive digital solutions.  

**Work Experience**  

**Team Lead UI/UX Designer** | Freelance  
- Led a team of designers in developing a multi-page website for an IT Community.  
- Optimized workflows, delegated tasks, and ensured project deadlines were met.  
- Collaborated with developers to communicate design solutions and showcase interactive prototypes.  

**UI/UX Designer** | Freelance  
- Designed a landing page for a house design services company, featuring project showcases and service offerings.  
- Created a mobile application interface for an air ticket booking platform, focusing on usability and seamless navigation.  

**Project Experience**  

**Techgen IT** | Team Leader  
- Managed designers, assigned tasks, and improved team efficiency.  
- Facilitated communication between designers and developers, presenting design concepts and animations.  

**Skills & Accomplishments**  
- UI/UX design for web and mobile applications.  
- Prototyping and usability testing to refine user experience.  
- Advanced proficiency in Figma, Adobe Photoshop, and Adobe Illustrator.  
- Developed personal projects, including a landing page, during coursework.  

**Personal Attributes**  
- Responsible, proactive, and open to feedback.  
- Detail-oriented with a commitment to high-quality design solutions.  

---  

Let me know if you'd like any further refinements."
98373,"**Experience**  

**Team Leader** – ""Neaty Kitty"" and ""Tap the Table""  
- Led a team in developing a webservice for a cleaning company (""Neaty Kitty""), conducting competitor analysis, defining target audiences (JTBD and personas), and creating Customer Journey Maps (CJM) and Userflows.  
- Collaborated with a team of three to design a clean, user-friendly interface using Bootstrap 5.  
- Co-led a two-person team in designing a mobile app (""Tap the Table"") for restaurant table bookings, handling analysis, userflows, wireframes, and prototyping.  

**Independent Projects**  
- **Redesign of ""Yours Sports Bar"" Website** – Conducted full analysis of the existing site and competitors, identified strengths/weaknesses, and designed wireframes and layouts for desktop, tablet, and mobile.  
- **Tattoo Studio Landing Page** – Developed from scratch, including research, wireframing, and design based on references and competitor analysis.  

**Education & Projects (GoIT)**  
- **Tattoo Salon Landing Page** – Self-directed project involving research, wireframing, and design.  
- **""Yours Sports Bar"" Redesign** – Independent analysis of the existing site, competitor benchmarking, and multi-device design.  
- **""Neaty Kitty"" (Team Project)** – Webservice for a cleaning company; contributed to analysis, CJM, Userflow, and UI design using Bootstrap 5.  
- **""Tap the Table"" (Team Project)** – Mobile app for restaurant table bookings; involved in end-to-end design, from research to prototyping.  

**Skills & Tools**  
- UI/UX Design  
- Wireframing & Prototyping  
- Competitor & User Research  
- Figma  
- Behance Portfolio  

*All projects designed in Figma; case studies available on Behance.*"
98374,"**UI/UX Designer**  

**Projects**  
**Lost Pets** – Web Service for Missing Animals (Team Project)  
- Conducted competitor analysis and created user personas to inform design decisions.  
- Developed low-fidelity and high-fidelity prototypes to visualize user flows.  
- Executed the full design cycle, including wireframing, prototyping, and content creation.  

**Mobile Application Development** (Team Project)  
- Collaborated with developers to refine UI/UX design and ensure seamless functionality.  

**Hotel and Restaurant Complex Redesign** (Individual Project)  
- Performed competitor analysis to identify industry trends and best practices.  
- Modernized the website design to improve usability and visual appeal.  

**Citroën C4 Landing Page** (Individual Project)  
- Designed a responsive registration page for test drives, aligning with client specifications.  

**Skills**  
- UI/UX Design (Wireframing, Prototyping, Visual Design)  
- User Research (Competitor Analysis, Persona Development)  
- Team Collaboration & Communication  
- Independent Project Execution  

**About Me**  
Detail-oriented UI/UX designer with a passion for creating intuitive and visually engaging experiences. Skilled in both collaborative and independent work environments, with a strong commitment to continuous learning and professional growth."
98375,"**Experience**  
**Design Trainee**  
- Designed landing pages, websites, web services, and mobile applications with a focus on adaptive design.  
- Collaborated on the **Openmind** web service project, a global couchsurfing platform enabling users to find free housing or work opportunities.  
- Conducted competitor analysis to assess strengths and weaknesses of similar platforms.  
- Developed user personas, legends, and identified pain points to enhance UX.  
- Created user flow diagrams, wireframes, and UI improvements.  
- Designed UI/UX for the host profile, including registration, housing addition interface, and dialogue system.  
- Adapted layouts for mobile and tablet compatibility.  
- Developed a UI-kit to ensure consistent design implementation."
98376,"Julia  
UX/UI Designer  

Passionate about beauty and creativity, I transitioned from photography to UX/UI design. I completed a course at GoIT and have experience working with Figma independently and as part of a team. I am eager to apply my skills and knowledge to a commercial project, with the goal of continuing to learn and grow as a designer while contributing to meaningful and impactful projects.  

**Projects**  
1. **Buyland Supermarket App**  
   Team project designing a mobile app to help shoppers avoid checkout lines by scanning and paying for purchases in-app. Responsibilities included competitor analysis, defining target audience personas, mapping user journeys, and developing wireframes, prototypes, and mobile app design using Figma.  

2. **Library App**  
   Mini-project designing onboarding and main pages using Figma. Added simple yet delightful animations with ProtoPie to enhance the interface.  

3. **Flower App**  
   Mini-project designing onboarding, registration, main page, and card using Figma. Added animations to create an engaging video.  

4. **Clean Up Web Service**  
   Team project developing a user-friendly web service for cleaning companies to promote their business, attract customers, and facilitate service bookings. Designed a responsive, intuitive interface optimized for various devices. Tasks included competitor analysis, defining target audience personas, mapping user journeys, and developing wireframes, prototypes, and website design.  

5. **IT School Dashboard**  
   Mini-project designing a dashboard for an IT school.  

6. **Mainsail Realty Website Redesign**  
   Redesigned a website for a Florida-based real estate company targeting middle-aged married couples interested in homeownership or investment. Focused on creating a minimalistic, clear, and easy-to-navigate design.  

**Skills**  
- Figma  
- ProtoPie  
- Wireframing  
- Prototyping  
- User Journey Mapping  
- Competitor Analysis  
- Responsive Design  

Seeking a role that challenges me and provides opportunities for personal and professional development."
