,Modified_openai/gpt-4o_of_Modified_openai/gpt-3.5-turbo_of_resume_Modelopenai/gpt-3.5-turbo_Modelopenai/gpt-4o
196,"Англійська мова на рівні B2 з прогресом у поглибленні знань. Експертиза у впровадженні Scrum у команді. Володіння HTML, CSS та Python. Досвід роботи джуніор Проджект менеджером (3 місяці). Основні інструменти: Jira, MS Office, Confluence. Досвід роботи в компанії, що орієнтується на agile методології, зокрема Scrum та Kanban, з акцентом на гнучке управління проектами."
197,Досвідчена у продажах через соціальні мережі. Активно брала участь в організації студентських конференцій. Волонтерський досвід у проведенні виставок у Мистецькому Арсеналі. Учасниця освітнього проекту «Кращі з Укртелекомом». Працювала менеджером з розвитку та просування бренду.
198,"Досвід роботи:

- Керівництво відділом у банківській сфері: контроль за роботою працівників, планування роботи підрозділу, проведення економічного аналізу для клієнтів банку.
- Досвід у сфері торгівлі: комунікація з клієнтами, постачальниками та працівниками компанії, проведення презентацій, навчання та оцінка персоналу."
199,"Coordinator of the Training Center, Public Union ""Osvitoria""

Expertise in Organizing and Coordinating Educational Events:
- Proficient in Google Workspace and Microsoft Office applications (Docs, Sheets, Zoom, etc.)
- Skilled in project management tools such as Asana and Slack
- Experience in visual development and website content management
- Effective communication with experts and participants

Technical Skills:
- Understanding of Software Development Life Cycle (SDLC)
- Basic proficiency in programming languages: C, C++, Python, HTML, JavaScript
- Experience in database creation using MySQL
- Proficient in project management tools like Jira and Trello
- Practical knowledge in creating Work Breakdown Structures (WBS)"
200,"- Володію англійською та французькою мовами на рівні B2
- Пройшла мовні курси в Канаді
- Постійно вдосконалюю свої навички, що позитивно впливає на мою професійну діяльність
- Маю амбітні цілі, які мене мотивують
- Високі комунікативні навички допомагають вирішувати складні завдання
- Досвід роботи з французьким ринком на посаді фахівця відділу підтримки транзакцій (вирішення питань) для французьких заводів Нестле в NBS у Львові
- Працювала в системі SAP, спілкувалася з ринком французькою та англійською мовами
- Хоча ця сфера діяльності для мене нова, маю досвід роботи в аутсорсингу
- Шукаю роботу в команді
- Подобається взаємодія з клієнтами та замовниками"
201,"Досвідчена у зоозахисті та організації заходів на захист тварин, включаючи організацію маршів та створення системи для волонтерів. Володію навичками роботи з соціальними мережами, таргетингом та SMM, маю досвід лідерства команди. З лютого 2023 року працюю в агенції діджитал маркетингу на позиції Junior Project Manager. Досвідчена у використанні CRM систем, таких як Asana, Trello, Worksection та Bitrix."
202,"Автоматизація процесів та оптимізація внутрішньої взаємодії між відділами. Управління командою та прийняття самостійних рішень в умовах багатозадачності. Досвід у веденні проектної документації та організації командної роботи. Співпраця з відділом продажів, підготовка клієнтських презентацій та первинних документів для розрахунків."
203,"Досвідчений у управлінні напрямом, зокрема в організації, плануванні, контролі роботи, визначенні пріоритетів, оцінці та розподілі задач, складанні стратегічних планів, мотивації та навчанні персоналу. Закінчив курси QA (2015) та Project Manager (2022). Маю намір адаптувати та розвивати свій досвід у сфері IT. Сильні сторони: орієнтованість на результат, постійний розвиток, ефективна комунікація та відповідальність. Шукаю junior позиції та стажування з перспективою професійного зростання."
204,"Досвідчений фахівець з управління проектами в межах ВМГО ""AIESEC в Україні"", з успішним досвідом роботи на різних рівнях та в різних відділах. Володію навичками залучення нових спонсорів і грантів, співпрацювала з такими організаціями, як PwC, KPMG, Galicia, London School of English та іншими. Ефективно координувала маркетингові кампанії, займалася коучингом команд, організовувала молодіжні заходи та конференції з відвідуваністю понад 350 осіб. Маю навички структурування та упорядкування інформації, а також роботи з різноманітними інструментами. Шукаю можливості для застосування своїх навичок в управлінні проектами для досягнення найкращих результатів."
205,"Досвідчена у сфері продажів, з 1,5-річним досвідом роботи в сервісному центрі Mercedes-Benz. Пройшла стажування в Neatpeek, де наразі продовжую працювати. Відзначаюся великим бажанням навчатися та розвиватися у цій галузі. Швидко освоїла продукт і успішно інтегрувала його в робочий процес. Прагну працювати у великій компанії, де зможу створювати та вдосконалювати продукти."
206,"Експерт у малюванні іконок та використанні Smart Animate в Figma  
Пройшла курс по веб-дизайну в Projector  
Досвід роботи з платформами Tilda і Readymag для створення e-commerce та landing pages  
Впевнений рівень англійської мови  
Досвід роботи з Figma  "
207,"Досвідчений користувач соціальних мереж та месенджерів, таких як Telegram, Facebook, Instagram, Вконтакті. Вмію ефективно вести канали та чати, забезпечуючи активну взаємодію з аудиторією.

Відзначаюсь товариськістю, здатністю долати труднощі, оптимізмом, цілеспрямованістю, уважністю до деталей та відповідальністю. Постійно прагну вдосконалювати свої знання.

Маю відмінні навички роботи з офісними програмами, такими як Word, PowerPoint, Excel, Access."
208,"Диплом бакалавра зі спеціальності «Інформаційні системи і технології», спеціалізація «Інформаційні технології в бізнесі»

Досвід роботи:

- Оператор кол-центру (CRM) (жовтень 2018 - січень 2019)

- Помічник бухгалтера (1C) (травень 2020 - жовтень 2020)

- Менеджер інтернет-магазину “Jolly Cups” (робота з Wordpress, Photoshop) (жовтень 2020 - серпень 2021)"
209,"Моє найбільше досягнення — організація благодійної дитячої вистави та ярмарку в театрі, зібрані кошти з якої були передані дітям з особливими потребами. Це було реалізовано на посаді project- та event-менеджера в мережі приватних навчальних англомовних закладів дошкільної та початкової освіти.

Маю намір опанувати професію Project manager, проходила курс та продовжую вчитися. Вважаю, що найкраще навчання — це досвід, тому активно шукаю можливості для його здобуття.

Маю досвід роботи офіс-менеджером та на подібних адміністративних посадах, що може стати якісним фундаментом для роботи і те, що я можу принести компанії. Отримавши цінний досвід та знання, я готова поринати в нову сферу, оскільки це завжди виклик.

Більш детальний досвід роботи можна побачити в прикріпленому резюме.

Очікую від роботи поглиблення в новий світ, нові виклики, опанування нових знань та досвіду, зустрічі з цікавими людьми."
210,"Досвідчений фахівець у сфері Supply Chain з досвідом роботи в Carlsberg Ukraine, спеціалізуюсь на оперативному плануванні виробництва для задоволення попиту клієнтів. Відповідав за комунікацію з контрагентами, організацію ланцюгів постачання та обробку рекламацій. Мотивований до розвитку в сфері ІТ та готовий до нових викликів."
211,"Досвідчена у роботі над проектами та організації масових заходів, включаючи фестивалі. Пройшла тренінги з тімбілдингу, що сприяли розвитку практичних та теоретичних навичок. Володію високим рівнем комунікаційних навичок, вільно спілкуюся українською, російською та англійською мовами. Мотивована до вивчення нового та готова застосовувати свої навички у відповідній сфері діяльності."
212,"1. Розробка та впровадження двох навчальних курсів.
2. Підвищення продуктивності команди на 20%.
3. Керівник з навчання та розвитку:
   - Організація та проведення навчальних заходів для команди з 65 співробітників.
   - Спільна розробка та впровадження курсів з командою з 10 осіб.
   - Проведення індивідуальних коуч-сесій.
   - Управління LMS платформою та наповнення її контентом.
4. Досвід роботи в дружньому та результативно орієнтованому колективі."
213,"Менеджер відділу з операційними поліпшеннями  
Листопад 2019 — по теперішній час  
- Провідний спеціаліст бюро продажів з жовтня 2020 року.  
- Реалізація відходів виробництва та всіх видів НВВ.  
- Пошук клієнтів для продажу всіх видів відходів комбінату.  
- Перехід до відділу операційних поліпшень (старший менеджер).  
- Взаємодія з потенційними партнерами щодо аудитів підприємства, встановлення та випробування обладнання.  
- Обговорення можливості отримання винагороди за економічний ефект від новацій.  
- Пошук потенційних партнерів.  

Провідний фахівець відділу з продажів  
Серпень 2017 — Грудень 2018  
- Розвиток продажів і послуг заводу з нуля через тендерну роботу на спеціалізованих майданчиках і платформах (МЕТІНВЕСТ ЄКЗ, Феррекспо, Інтерпайп, МХП тощо).  
- Супровід угод на стадії виробництва та контроль відвантажень у строк.  
- Робота з 1С.  
- Участь у переробці сайту та розміщенні новин заводу.  
- Найбільша угода понад 8 млн грн.  

Менеджер з продажу  
Жовтень 2015 — Травень 2017  
- Розвиток з нуля продажів алюмінієвого листа і прутка для промисловості всієї країни.  
- Активні продажі.  
- Робота в 1С.  
- Зростання обсягу складу з 7000 $ до 60000 $ за рік.  

Маю надію потрапити до команди, де є можливість всебічного розвитку мого профілю та успішного керування проєктною командою. Очікую, що зможу повністю використовувати свій потенціал. Шукаю місце роботи щонайменше на 2-3 роки. Дуже позитивно ставлюся до стартапів і готовий розглянути всі пропозиції, включаючи не лише позиції для джуніорів, а й трейні."
214,"[Резюме]

**Ім'я Прізвище**

**Контактна інформація:**
- Телефон: [Ваш номер телефону]
- Email: [Ваш email]
- LinkedIn: [Ваш профіль LinkedIn]

---

**Досвід роботи:**

**Проєкт-менеджер**
*Компанія Softinform LLC*  
Грудень 2021 - по сьогодні

- Пошук проєктів на впровадження програмного забезпечення.
- Організація зустрічей та презентацій з потенційними партнерами.
- Підготовка презентацій для демонстрації клієнтам прикладів впровадження технологій.
- Підготовка проєктної документації та контроль підписання.
- Організація групи проєкту та контроль дедлайнів.
- Звітність у формі проміжних презентацій замовнику.
- Ведення післяпроєктної роботи для подовження співпраці.

**Керівник відділу продажу**
*Компанія Softinform LLC*  
Вересень 2020 - Грудень 2021

- Формування команди менеджерів з продажу.
- Проведення співбесід та навчання співробітників.
- Пошук та формування баз для роботи менеджерів.
- Розробка розмовних модулів для різних груп клієнтів.
- Розрахунок та введення системи мотивації.
- Аналіз KPI та ведення звітності у внутрішній CRM.
- Написання технічних завдань з оптимізації та доробки CRM.

**Менеджер зі збуту**
*Техноцентр Маяк*  
Липень 2017 - Вересень 2020

- Створення та підтримка відділу продажу з розробкою системи мотивації для 9 осіб.
- Управління проєктом по впровадженню програмного продукту BAS ERP для девелоперської компанії з фокусом на управлінський облік.
- Адаптація та вдосконалення внутрішньої CRM системи для відділу продажу.

---

**Освіта:**

[Ваш навчальний заклад]  
[Ступінь, спеціальність]  
[Роки навчання]

---

**Навички:**

- Управління проєктами
- CRM системи
- Розробка та впровадження систем мотивації
- Аналіз KPI
- Підготовка та проведення презентацій
- Ведення проєктної документації

---

**Додаткова інформація:**

- [Сертифікати, курси, волонтерська діяльність тощо]"
215,"Консультування клієнтів у магазині, по телефону та онлайн. Наповнення та дизайн сайтів, SEO оптимізація. Організація роботи інтернет-магазину, проведення продажів та переговорів про партнерство. Ведення документації та управління соціальними мережами компанії. Реклама магазину.

Досягнення: спільно з партнером створення інтернет-магазину з продажу запчастин до побутової техніки ""з нуля"".

Соціальний педагог у школі: проведення профілактичної, діагностичної, консультативної та просвітницької роботи з дітьми, батьками та педагогами. Надання соціально-психологічної допомоги сім'ям, вирішення соціально-педагогічних проблем, організація культурно-дозвіллєвої діяльності та захист прав дітей.

Посади: менеджер з продажу, комплектувальник товарів, продавець-консультант, контент-менеджер, адміністратор інтернет-магазину, соціальний педагог."
216,"Менеджер проекту з досвідом управління командою в фармацевтичних і торгово-роздрібних проектах. Успішно зібрала та керувала 8 командами, більшість учасників яких працюють в проектах понад 5 років. Відповідальна за організацію роботи команди, проведення переговорів з партнерами, аналіз продажів, планування бюджету, а також організацію та проведення тренінгів.

Менеджер по персоналу з досвідом управління персоналом в компанії InterApteka. Проводила співбесіди, розробляла посадові інструкції, організовувала навчання персоналу та розробляла рішення для підвищення ефективності роботи команди. Мала можливість навчатись та рости в команді висококваліфікованих спеціалістів.

Досвід роботи:

Лютий 2016 - дотепер: Менеджер проекту, InterApteka  
Червень 2012 – Лютий 2016: Менеджер по персоналу, InterApteka"
217,"Ліза

Освіта:
- Київський національний університет, спеціалізація в маркетингу

Досвід роботи:
- Графічний дизайнер та SMM-спеціаліст (3 роки)
- Викладач дизайну для підлітків (зима 2023 - теперішній час)
  - Навчання підлітків віком 13-16 років основам дизайну
  - Допомога у здобутті професійних навичок та перших замовлень

Навички:
- Організація та мотивація команд
- Здатність знаходити спільну мову з різними людьми
- Проектний менеджмент (початковий рівень)"
218,"Олександр

Освіта:
Бакалавр зі спеціальності «Менеджмент»

Досвід роботи:
- Білінг менеджер у маркетинговій агенції (2 роки)
- Адміністративний офіс-менеджер в консалтинговій компанії

Обов'язки:
- Організація роботи офісу
- Участь у HR-процесах
- Допомога проектним командам

Мета:
Реалізуватись як проджект-менеджер

Навички:
- Софт-скіли
- Комунікаційні вміння
- Організація роботи в команді

Хобі:
- Створення нових ідей та планів
- Робота з командою для досягнення цілей

Готовий навчатись та розвиватись для покращення у своїй професії."
219,"Маю теоретичні знання у відповідній сфері, прослухав лекції та пройшов теоретичні курси. Швидко сприймаю нову інформацію та маю сильне бажання навчатися. Готовий проявити себе у відповідній галузі та отримати оферту."
220,"Співпраця з Міжнародною спортивною федерацією UCI (Азербайджан), логістичними компаніями України та ЄС (зокрема, ТОВ «ЗАММЛЕР УКРАЇНА», Proventus Trading OU (Естонія), Zammler Polska sp. z o.o. (Польща) та аграрними компаніями (зокрема, Lushbury Fertilizer Co. (США).

Останні роки працював в американській аграрній компанії Lushbury Fertilizer Co. як Project manager, відповідальний за розробку та супроводження проекту щодо впровадження нового продукту на ринок. Керував ефективною командою (10-25 членів), забезпечував комунікацію з клієнтами та інвесторами, контролював виконання завдань та використовував технічні інструменти для оптимізації роботи (Jira, Agile frameworks, SDLC).

Міжнародна аграрна компанія Lushbury Fertilizer Co. | 2019-2022
- Організація роботи відділів закупівель для аграрного сектору та формування логістичних ланцюжків.
- Координація та керування поставками.
- Відслідковування робочих процесів, трекінг виконаних робіт та звітність.
- Моделювання процесів для внесення змін у проект.
- Рекрутинг нових працівників та комунікація з клієнтами.

Маю цілі увійти до ІТ сфери для подальшого розвитку та повноцінної роботи. ІТ - це майбутнє!"
221,"Успішне здобуття військового звання полковника, що свідчить про високий рівень професіоналізму, лідерських здібностей та відданості службі.

Отримання почесного звання ветерана військової служби за видатну службу, яке підтверджує внесок у розвиток та зміцнення Збройних Сил України.

Сформована репутація ефективного співробітництва та партнерства з різними організаціями, включаючи місію ОБСЄ. Це вказує на високий рівень комунікаційних навичок та здатність працювати в умовах міжнародної співпраці.

Успішне керування та реалізація складних проектів у сфері інформаційного забезпечення, включаючи розробку стратегій протидії інформаційним загрозам. Це свідчить про глибокі знання у сфері інформаційної безпеки та здатність ефективно керувати проектами.

Ефективне створення сприятливого психологічного клімату у військовому колективі та поліпшення командної роботи, що підкреслює навички управління людьми та розв'язання конфліктних ситуацій.

Професійний досвід:

Збройні Сили України (липень 1999 - серпень 2017)
Посада: Заступник командира частини різних рівнів

- Управління та координація діяльності особового складу для підтримки високої продуктивності та дисципліни.
- Взаємодія та співпраця з різними командами та стейкхолдерами.
- Участь у проведенні Антитерористичної операції, планування та логістика.
- Спілкування з місією ОБСЄ та співпраця в рамках АТО.
- Підготовка звітів для старшого керівництва.
- Створення сприятливого психологічного клімату у колективі, розвиток командної роботи та розв'язання проблем, пов'язаних із взаємодією персоналу.

Відділ інформаційного забезпечення (серпень 2017 - березень 2020)
Посади: Офіцер відділу, Керівник відділу

- Керуванням командою, що відповідає за інформаційну сферу.
- Розробка та впровадження планів інформаційного забезпечення.
- Координація заходів, планування ресурсів та контроль термінів виконання.
- Розробка стратегій протидії інформаційним загрозам.
- Управління проектами, що стосуються інформаційних систем та веб-технологій, використовуючи методологію SCRUM.
- Розв’язання технічних та кадрових питань.

Поточні інтереси:

- Розвиток компетенцій у сфері проектного управління, зокрема в застосуванні Agile методологій.
- Поглиблення технічних навичок у сфері веб-технологій та розробки.
- Здобуття ролі керівника проектів або консультанта з управління проектами для застосування досвіду та компетенцій на благо організації та команди."
222,"Мій досвід в IT компанії Ispro розпочався з посади фахівця з впровадження програмного продукту. Я займався налаштуванням програм, аналізом потреб клієнтів, адаптацією програмного продукту та пошуком рішень для оптимізації бізнес-процесів замовників. Мої проекти охоплювали підприємства виробничого та невиробничого секторів, де я співпрацював з працівниками бухгалтерського та фінансового відділів. Мої обов'язки включали освоєння технічних задач, написання калькуляцій, автоматизацію бухгалтерської кореспонденції та роботу з запитами SQL.

Згодом я перейшов на посаду проджект менеджера, де мої обов'язки полягали в постановці задач, контролі виконання робіт, дотриманні термінів, організації зустрічей та переговорів, підготовці та веденні проектної документації, а також роботі з командою. Я використовував методи Scrum, Kanban та Waterfall для ефективного управління проектами.

У зв'язку з війною я змушений був припинити роботу, втративши проекти, які були на стадії успішного впровадження, але опинилися в окупації. Зараз я шукаю можливість розвиватися в сучасній міжнародній компанії, де зможу реалізувати та розвинути свої аналітичні здібності."
223,"Junior Project Manager with a strong background in customer service and client management. Proven ability to close deals with challenging clients and apply knowledge gained from professional courses. Currently serving as an L&D Specialist at a logistics company, where I design and deliver customer service training programs. Skilled in leading a team of dispatchers, overseeing call quality for script adherence, English proficiency, and customer interaction. Committed to delivering exceptional service and ensuring client satisfaction."
224,"Досвідчений фахівець з 12-річним досвідом у створенні, підтримці та адмініструванні інтернет-магазинів, B2B-порталів, інформаційних порталів, веб-сервісів та форумів. Володію навичками наповнення сайтів текстовою та графічною інформацією. 

Експерт у використанні адмін-панелей PrestaShop, WordPress, Joomla, Instant CMS, DataLife Engine та інших. Має значний досвід у розгортанні та роботі з різноманітними CRM-системами, включаючи Bitrix24, HubSpot, RedMine та інші. 

Володію навичками роботи з Flash, Photoshop, Corel, HTML, CSS, JS. Понад 12 років працюю на посаді проєкт-менеджера в інтернет-проєктах, організовуючи роботу команди фахівців для реалізації проектів різної складності. 

Відповідальний, мотивований, швидко навчаюсь, завжди на зв'язку. Здатний працювати за нестандартним графіком та у понаднормовий час. Володію дискретним мисленням та здатністю швидко опрацьовувати великі об’єми інформації. 

Прагну завершувати розпочаті справи та досягати найкращих результатів. Віддаю перевагу довгостроковій постійній співпраці. Відмінно володію російською та українською мовами. 

Одружений, маю дитину."
225,"Управляюча готелю та директор антікафе з прагненням до постійного вдосконалення та застосування нових знань. Досвідчена в управлінні персоналом, тайм-менеджменті та многозадачності. Ефективний менеджер з продажу, здатний знаходити спільну мову з людьми завдяки освіті в галузі психології. Ініціативна та активна особистість, генератор ідей, яка постійно шукає можливості для розвитку та самовдосконалення."
226,Менеджер з продажу та підтримки з досвідом у впровадженні нових навчальних предметів у шкільний розклад. Досягнення включають входження до переліку 15-ти кращих менеджерів компанії та успішне побудування довготривалих відносин з клієнтами. Наразі проходжу курси з Project Manager Essentials та маю досвід у використанні Atlassian Jira та QA Manual. Відкрита до постійного розвитку та співпраці з командою для досягнення спільної мети. Готова розглянути можливість переїзду.
227,"Аніматор-волонтер у ораторії Св. Доменіка Савіо, член Ради Ораторії, староста групи. Досвід роботи продавцем-консультантом у магазині. Активно шукаю роботу в сфері IT з метою розвитку як Project Manager/Team Leader. Відкрита до нових можливостей."
228,"Продовження роботи та збільшення рівня продажів навіть в умовах карантину та війни

Протягом останніх 3 років мої обов'язки включали контроль залишків на складах, закупку товарів, оптовий продаж, ціноутворення, контроль та організацію всіх процесів. Маю досвід управління командою, організації роботи та розробки власної продукції компанії.

Володію стресостійкістю, багатозадачністю та відповідальністю. Вважаю, що успіх на роботі залежить від власних зусиль, і я завжди ставлю це на перше місце.

Прагну розвиватися у сфері управління проектами та готовий зробити все можливе, щоб навчитися цій спеціальності та досягти успіху."
229,"Професійний досвід

Кредитний спеціаліст, банківська сфера
Тривалість: 1,5 роки

Обов'язки:
- Верифікація документів клієнтів
- Продаж банківських продуктів
- Формування документації по кожному клієнту

Мета:
Прагну розвиватися в сфері ІТ та працювати віддалено."
230,"Професійний досвід:

- Успішна розробка та впровадження власної бізнес-ідеї, що покращила існуючий проект. Самостійне виконання всіх завдань, включаючи пошук підрядників, комунікацію з постачальниками та клієнтами, а також розвиток товарів і послуг. Застосування методологій Waterfall та Agile.

- Створення та впровадження нової системи навчання, перегляд підходів до навчання, адаптація до змін у роботі та оцінка актуальності.

Поточна робота:

- Займаюся web development та досліджую перспективні можливості для професійного зростання.

Мета:

- Шукаю місце, де зможу комфортно працювати та повністю розвинути свої навички."
231,"Досвід у некомерційній сфері

- Глибоке розуміння основ управління ІТ-проектами, включаючи процеси, документацію, життєвий цикл проекту та ІТ-продукту
- Ефективне використання soft skills для формування, розвитку та керування командою проекту
- Компетентність у плануванні проектів, включаючи розробку графіків та бюджету відповідно до вимог проекту"
232,Бажаючий керувати проектами з командою та готовий взятися за тестування як QA.
233,"[Ваше ім'я]

Контактна інформація:
[Ваш номер телефону]
[Ваш email]

Мета:
Розвиватися в сфері проджект менеджменту, використовуючи наявний досвід та навички для ефективного управління проектами.

Освіта:
- Курси з проджект менеджменту, Genius.Space

Досвід роботи:
Асистент продюсера, анімаційна студія
- Управління командою
- Видача та контроль задач
- Оформлення документації
- Відстеження робочого часу аніматорів

Навички:
- Управління проектами
- Організація та контроль робочих процесів
- Швидке навчання новим навичкам

Особисті якості:
- Висока мотивація до розвитку
- Вміння швидко адаптуватися до нових умов

[Дата]"
234,"Обов’язки:
- Координація роботи персоналу проекту, включаючи відбір, організацію навчання, розробку плану навантаження співробітників, моніторинг виконання завдань команди та оптимізацію роботи персоналу в Харкові та Харківській області.
- Встановлення та підтримка співпраці з місцевими державними структурами та НДО відповідно до цілей проекту.
- Підготовка та подання програмної та фінансової звітності донору.
- Моніторинг виконання робочого плану та бюджету проекту."
235,"ООО “Либерти финанс”  
Финансовий консультант  
м. Дніпро, Україна - липень 2020 - по теперішній час  

- Збільшив щомісячний оборот переказів в межах України на 15,000,000 грн, міжнародні перекази на 800,000 доларів  
- Участь у конкурсі з продажу/купівлі криптовалюти та залучення нових клієнтів (вересень-жовтень 2020): друге місце з продажами на суму 1,115,633 доларів, третє місце за кількістю залучених нових клієнтів - 9 осіб  

Приватний підприємець Шевцов Ю.Г.  
Власник роздрібного магазину товарів для риболовлі та активного відпочинку  
м. Дніпро, Україна — квітень 2019—вересень 2020  

- Впровадження CRM системи, чітке ведення складу та фінансів магазину  
- Відстрочка платежу при купівлі товару на 2 місяці, що дозволило додатково придбати товар на 7,000 доларів  
- Зниження оренди приміщення на 40% під час пандемії, що зекономило 5,500 грн  

Досвід роботи можна переглянути у моєму портфоліо, посилання на яке закріплене в розділі ""Контакти та резюме""."
236,"Освіта:  
2007-2013 рр. — Сумський національний аграрний університет  
Магістр з «Технології виробництва та переробки продукції тваринництва», спеціалізація «Кінологія». Сертифікат з англійської мови.  

2013 р. — Курси з грумінгу. Працювала в даній сфері 2,5 роки.  
2016 р. — Курси: ""Базовий курс візажиста"", ""Курси бровіста"".  

Навички:  
- Володіння ПК (Microsoft Office Excel, Microsoft Office Word)  
- Вільне володіння українською та російською мовами  
- Базові знання англійської мови  
- Читання та переклад польською мовою  

Досвід роботи:  
2010 р. — Працювала в Польщі  
2010 р. — Продавець-консультант з товарів чаю та кави (6 місяців)  
2011-2012 рр. — Продавець-консультант в «Парфюм Бар»  
2012 р. — Студентка-практикантка в «ФОП Була»  
2013-2015 рр. — Майстер з грумінгу  
2016 р. — Менеджер зі збуту  
Кінець 2016 р. - 2018 р. — Майстер бровіст-візажист  "
