,Modified_claude-haiku-4-5_of_Modified_claude-haiku-4-5_of_CV_Modelclaude-haiku-4-5_Modelclaude-haiku-4-5
12451,"**Business Analyst / Project Manager** (12.2021 - Present)

Manage multiple concurrent projects including migration, application upgrades, and disaster recovery initiatives across various phases. Key accomplishments include:
- Track task performance and establish comprehensive project plans (high-level and detailed)
- Facilitate stakeholder communication at all organizational levels, including senior management, through status updates, meeting notes, and notifications
- Schedule and facilitate cross-functional meetings
- Collect and analyze project requirements, dependencies, and risks
- Generate reports and visual analytics on vulnerabilities, infrastructure status, and test results

**Associate Business Analyst / Project Manager** (06.2021 - 12.2021)

Supported project management activities for migration, application upgrades, and disaster recovery initiatives across multiple concurrent projects.

**Junior Software Engineer** (11.2020 - 06.2021)

Managed client communications across global markets and supported technical operations. Responsibilities included:
- Gathered and documented client requirements
- Resolved and managed support tickets related to relational databases and CRM systems
- Verified and routed tickets to appropriate resolver teams
- Tested CRM system updates"
12452,"# PROFESSIONAL EXPERIENCE

**Project Management & Leadership**
- Collected and discussed project requirements with customers
- Planned projects and managed timelines
- Drafted key documentation including commercial proposals, functional specifications, technical requirements, and business process descriptions
- Produced and distributed task assignments
- Monitored task implementation timelines
- Coordinated project work across multiple initiatives
- Facilitated scrum meetings
- Maintained regular customer communication
- Managed multiple simultaneous projects
- Delivered projects on schedule
- Oversaw project development

**Work Environment & Strengths**
- Thrived in complex, challenging project environments
- Operated effectively in informal, collaborative settings
- Demonstrated sound management practices
- Committed to professional growth and development"
12453,"# BUSINESS ANALYST & PROJECT MANAGER

## PROFESSIONAL SUMMARY

Results-driven Business Analyst and Project Manager with 7+ years of experience delivering high-quality projects on time and within budget across multiple industries. Proven track record of managing complex projects from inception to completion, with expertise in requirements gathering, stakeholder management, and process optimization.

## CURRENT POSITION

**Business Analyst** – Fintech/Crypto Company (9 months)
- Requirements gathering and analysis
- Liaison between IT department, designers, and stakeholders
- Technical specifications development and maintenance

## CORE COMPETENCIES

- Requirements gathering and analysis
- Stakeholder communication and management
- UX/UI understanding and pre-design studies
- UX prototyping and specification creation
- Project documentation
- Agile methodology (Scrum, Kanban)
- Multi-project management
- Process optimization and implementation
- Team organization and decision-making
- Client-focused approach

## PROFESSIONAL EXPERIENCE

**Vintage** – Project delivery with timely releases and customer support (Oshadbank, Totis)

**Arbitration Team** – Process building resulting in monthly profit of $90,000-$160,000+

**Sales Doubler** – Rapid development and execution of landing page and promotional materials for Financial Storm 3.0 contest
- Budget: 3,000,000 UAH
- Completed in 2 weeks

**Zhansaya Sanatorium Website** (Kazakhstan)
- 412 applications and calls generated in 22 business days
- 4% visitor-to-conversion rate
- $0.3 cost per potential client
- CRM system implementation

## INDUSTRIES

Fintech, Health & Beauty, Gambling, E-commerce, Tourism, Manufacturing, Consulting

## TOOLS & PLATFORMS

JIRA, Confluence, Trello, YouTrack, Monday, Bitrix, Redmine, Balsamiq, Moqups, Draw.io, Figma

## CAREER OBJECTIVE

Seeking BA or PM/BA hybrid role focused on developing meaningful products that deliver user value while advancing professional expertise."
12454,"# RESUME

## EDUCATION
Bachelor of Arts (BA) – Completed

## PROFESSIONAL SUMMARY
Analytical professional with strong research and project management capabilities. Experienced in data analysis, stakeholder communication, and process improvement. Proven ability to manage complex projects, analyze market information, and develop strategic recommendations. Seeking opportunities for career growth and professional development.

## CORE COMPETENCIES
- Project Management & Planning
- Data Analysis & Research
- Market Intelligence & Analysis
- Stakeholder Communication
- Budget Management & Cost Estimation
- Risk Management
- Team Leadership

## EMPLOYMENT HISTORY

**Project Manager** | ArtHome Startup, Dnipro/Ukraine | June 2019 – January 2020
- Managed scrum team and directed project planning activities
- Created, monitored, and optimized project timelines and resource allocation
- Developed comprehensive project plans with detailed stage planning
- Identified, managed, and mitigated project risks through contingency planning
- Facilitated stakeholder and business partner communications
- Conducted company and vertical market analysis
- Oversaw website development and content management initiatives
- Estimated project costs and developed strategic budgets
- Evaluated project performance and delivered actionable recommendations

**Researcher (Commercial Intelligence)** | Noosphere, Dnipro/Ukraine | April 2019 – July 2019
- Conducted in-depth vertical research and comprehensive market niche analysis
- Performed open source intelligence research on companies and entrepreneurs
- Analyzed venture capital deals, market trends, and competitive landscape
- Compiled detailed analytical reviews on individuals, companies, and market verticals
- Identified organizational weaknesses and opportunities through comprehensive analysis
- Performed country-specific market features analysis

**Audit Manager** | Bartolomeo Resort
- Managed complex facility audits and quality assurance processes
- Improved staff training effectiveness from 52% to 93%

**Market Analyst** | Global Fertilizer Market
- Engaged with market players and industry stakeholders to gather market intelligence
- Prepared comprehensive analytical reports and market intelligence documentation
- Collected, analyzed, and synthesized market data from multiple sources"
12455,"# RESUME

**Experienced in FinTech and Logistics Domains**

## EXPERIENCE

### FinTech - 3+ Years of Experience

**Lead Account Project Manager**
1.5 years

- Onboarded new clients to the platform, defining launch plans, conducting demos, and consulting on API documentation
- Analyzed customer needs and provided consultation during the sales stage
- Managed client task backlogs including analysis, description, timing, implementation control, testing, and delivery
- Analyzed API documentation, compared with client requirements, and tested requests using Postman
- Identified customer feature requests and created tasks for development team, defining business and technical requirements
- Managed tasks in Jira
- Documented processes using BPMN and Confluence

**Account Project Manager**
Oct 2019 - 2 years

- Onboarded new clients to the platform, defining launch plans, conducting demos, and consulting on API documentation
- Analyzed customer needs and provided consultation during the sales stage
- Managed client task backlogs including analysis, description, timing, implementation control, testing, and delivery
- Analyzed API documentation, compared with client requirements, and tested requests using Postman
- Identified customer feature requests and created tasks for development team, defining business and technical requirements
- Managed tasks in Jira
- Documented processes using BPMN and Confluence

### Project Manager
Jun 2017 - Oct 2019
UVK Ukraine | Transport & Logistics

- Increased profitability from container turnover (average improvement from 0 to 40%)
- Automated accounting processes
- Reduced operational losses
- Trained clients on services provided and conducted container reconciliations with approximately 40 clients
- Coordinated reconciliations with regional offices across 23 regions
- Wrote technical specifications for developers, monitored implementation timelines, and conducted testing
- Prepared regulatory documents and work instructions
- Achieved KPI indicators"
12456,"# PROFESSIONAL SUMMARY

Project management professional with expertise in CRM and ERP system implementation, budget planning, and data analysis. Proven ability to drive project success through stakeholder collaboration, risk management, and transparent communication.

# CORE COMPETENCIES

- Project Management & Oversight
- CRM and ERP System Implementation
- Data Analysis, Evaluation, and Planning
- Budget Planning and Analysis
- Risk Management and Time/Scope Management
- User Story Development and Backlog Prioritization
- Stakeholder Communication and Relationship Management
- Feature Prioritization and Product Decision-Making
- Report Preparation and Submission
- IT Solutions Implementation

# PROFESSIONAL EXPERIENCE

**Project Leadership**
- Supported existing projects and initiated new projects with team, including CRM and ERP system implementation for logistics company
- Increased sales plan for company through strategic project execution
- Identified and solved internal organizational problems through IT solutions
- Worked closely with business and key stakeholders to gather and understand technical problems and identify solutions
- Served as key decision-maker regarding product features
- Oversaw project team activities and performance
- Managed project risks, time, and scope requirements
- Submitted reports to relevant department heads and management

# VALUES

Committed to transparency in project management, budgeting, and issue resolution. Dedicated to keeping teams informed about project progress, challenges, and changes. Emphasize clear task assignment, ethical behavior, and value delivery. Open to project opportunities with NGOs."
12457,"**BUSINESS ANALYST & ENGAGEMENT PROFESSIONAL**

**PROFESSIONAL SUMMARY**
Results-driven business analyst with 10 years of experience designing and implementing solutions across diverse industries, complexities, and business objectives. Proven ability to identify client needs, analyze market opportunities, and deliver architectural solutions that drive measurable business value.

**CORE COMPETENCIES**
- Business Analysis & Requirements Gathering
- Solution Architecture & Design
- Software Development Life Cycle (SDLC)
- Project Management
- Pre-Sales & Engagement Management
- Process Development & Optimization
- User Training & System Deployment
- Sales Process Management

**PROFESSIONAL EXPERIENCE**

**Quality Assurance Engineer** | 4 years
- Developed expertise in software development life cycle (SDLC) and quality assurance processes
- Identified and communicated client needs and market requirements
- Contributed to solution development and testing across multiple projects

**Business Analyst & Project Manager** | 1 year
- Developed product concepts and strategic planning
- Collaborated with technical experts on solution architecture and planning
- Conducted user training and managed system deployment
- Managed dual responsibilities of business analysis and project oversight

**Engagement Manager (Pre-Sales)**
- Prepared comprehensive initial proposals and full-scope analyses
- Managed end-to-end client engagement and sales processes
- Supported multiple business functions and strategic initiatives

**Business Owner**
- Established and managed independent business operations
- Developed operational and sales processes from inception
- Built expertise in business development and growth management

**OBJECTIVE**
Seeking new challenges to leverage extensive business analysis, project management, and client engagement expertise to help organizations build and achieve strategic success."
12458,"# Product Manager

**Core Responsibilities**

- Gathered requirements from stakeholders and translated them into actionable product strategies
- Wrote and prioritized user stories and use cases to guide development efforts
- Created comprehensive roadmaps and user flows for SaaS platform; designed permission structure from inception
- Collaborated closely with design team to refine and improve UX implementation
- Managed Product and Sprint Backlogs, prioritizing delivery and team alignment
- Led daily standups, backlog grooming sessions, and retrospective meetings
- Decomposed user stories into granular tasks and established prioritization frameworks
- Defined data delivery specifications and protocols between data science and backend teams
- Maintained and updated product documentation to support team operations and stakeholder communication"
12459,"# Alex | Project Manager

**Professional Summary**
Results-driven Project Manager with expertise in requirements elicitation, project planning, and stakeholder communication. Proven ability to manage multiple concurrent projects and translate client needs into actionable development roadmaps.

**Core Competencies**
- Project Management & Planning
- Requirements Elicitation & Documentation
- Stakeholder Communication
- Team Leadership
- Project Development Lifecycle

**Professional Experience**

**Project Manager | Marrix Power**
- Managed 16 distinct projects with cross-functional teams of 3-5 members
- Elicited and documented comprehensive requirements across all projects
- Maintained ongoing communication with all clients throughout project lifecycles
- Oversaw all aspects of project development from initial concept through feasibility assessment and design planning

**Career Objective**
Seeking Business Analysis opportunities to leverage project management expertise and requirements elicitation and documentation skills in a dynamic organization."
12460,"# PROFESSIONAL RESUME

## PROFESSIONAL SUMMARY
Results-driven professional with 4 years of progressive experience in sales management, product management, and business analysis. Proven expertise in managing cross-functional teams and stakeholders while delivering client-focused solutions and driving revenue growth.

## CORE COMPETENCIES
- Client Management & Relationship Nurturing
- Team Leadership & Stakeholder Coordination
- Requirements Elicitation & Definition
- User Stories & Use Cases Development
- Interactive Prototyping & Wireframing (MockingBot, Figma)
- Business Process Mapping (BPMN, draw.io, Camunda)
- Technical Documentation Development & Validation
- Sales & Revenue Growth Through Upselling

## PROFESSIONAL EXPERIENCE

**Sales Manager | Product Manager | Business Analyst**
4 years of progressive experience

**Key Accomplishments:**
- Managed comprehensive client relationships including nurturing, engagement, and account management to drive business growth
- Led development teams and coordinated cross-functional stakeholder collaboration across multiple concurrent projects
- Designed and created interactive prototypes and wireframes using MockingBot and Figma to visualize solutions
- Developed and documented business processes using BPMN notation and industry-standard tools (draw.io, Camunda)
- Elicited, analyzed, and defined requirements for complex projects to ensure project success
- Prepared and delivered comprehensive user stories and use cases for development teams
- Drove significant revenue growth through targeted upselling initiatives
- Developed, validated, and maintained comprehensive technical documentation"
12461,"**PROJECT IMPLEMENTATION & REQUIREMENTS MANAGEMENT**

Drive successful project delivery by managing full lifecycle execution, ensuring customer requirements are met within agreed timelines and budget constraints.

**Core Competencies:**

• **Requirements Analysis & Documentation** – Elicit, elaborate, and document business and functional requirements through user stories, flow diagrams, block diagrams in Visio, and wireframes

• **Cross-functional Leadership** – Partner with Developers, Engineers, and QA to align on solution architecture, estimation, and acceptance criteria; develop and present prototypes to clients and stakeholders

• **Requirements & Change Management** – Manage client requirements and change requests in Confluence; secure client approvals on scope and estimations

• **Sprint Planning & Execution** – Define sprint scope in Jira by prioritizing tasks; lead sprint planning and retrospective sessions to maintain alignment with priorities and timelines

• **Progress Tracking & Reporting** – Monitor and communicate project status, milestones, and deliverables

• **Quality Assurance & Testing** – Develop use cases and test scenarios; review QA results; conduct pre-deployment testing of custom solutions

• **Client Engagement & User Acceptance Testing** – Present solutions and facilitate UAT with clients to ensure satisfaction and formal sign-off"
12462,"# RESUME

**Technical Solution Development**
Provided technical solutions that reduced estimated project time by up to 90%. Presented alternative solutions to senior management with effective advocacy for optimal approaches.

**Process Optimization**
Streamlined technical documentation processes, reducing manual bureaucratic work related to documentation creation and management.

**System Analysis**
Worked as System Analyst on template application for app creation, server management, and front-end libraries. Designed libraries to facilitate API integration with other applications and enable access to comprehensive features.

**Documentation & Specifications**
Authored Business Requirements Documents (BRD), System Requirements Specifications (SRS), API specifications, and User Guides. Designed database structures. Wrote Release Notes and Delivery Protocols.

**Project Management & Estimation**
Estimated Backlog Requests. Conducted demo and retrospective meetings for completed work. Fulfilled team lead responsibilities in absence of primary team lead.

**Quality Assurance & Testing**
Performed API testing, manual testing, and automated testing. Wrote smoke test scope, regression tests, test cases, and test scenarios."
12463,"# RESUME

**LPNU**

Completed 3 course BA projects demonstrating business analysis and software development capabilities:
- Conducted problem definition and analysis; designed solutions including prototyping and persona development; developed solutions using UML use case diagrams
- Performed current state (AS-IS) and future state (TO-BE) business process analysis
- Applied requirement elicitation techniques
- Implemented machine learning applications

**novomind (Germany)**
*Java Developer Intern (3 months)*
- Designed and developed solutions for small-scale projects
- Collaborated effectively in Agile team environment
- Communicated professionally in English"
12464,"**PROJECT MANAGER/BUSINESS ANALYST** (1 year)
- Managed lifecycle processes of multiple projects
- Gathered and analyzed requirements through documents, interviews, workflow analysis, business model review, and requirements review sessions
- Coordinated development processes using Scrum methodology in Scrum Master role
- Tracked progress, monitored risks, and managed changes using backlog grooming, velocity charts, Gantt charts, and retrospective meetings
- Transformed stakeholder requirements into user stories, use cases, visual models, FRS, and SRS documentation
- Facilitated communication between multiple stakeholders
- Composed technical standards for development processes
- Participated in creation of software, business model, and procedures for a new delivery service from scratch

**BUSINESS OWNER** (5 years)
- Sourced products from China and sold on US market
- Executed day-to-day operations of online shop including customer support, procurement, promotions, and logistics
- Negotiated with suppliers and contractors
- Adapted business strategy to changing market conditions

**EFFICIENCY MANAGER** (1.5 years)
- Re-engineered business processes using scope analysis, business rules, existing practices, and alternative approaches
- Designed new functionality for internal ERP system
- Designed and implemented routing system for Sales Department
- Wrote technical tasks for development team
- Trained employees during change integration process"
12465,"# RESUME

**PROFESSIONAL SUMMARY**

Results-driven Business Analyst and Project Manager with 6+ years of commercial experience across multiple domains including healthcare, retail, IT outsourcing, and sales and marketing. Proven expertise in ERP/CRM systems implementation and optimization, project management, and business analysis. Known for proactive problem-solving, strong technical acumen, and exceptional communication and organizational skills. Committed to delivering solutions aligned with company objectives and strategic goals.

**CORE COMPETENCIES**

Business Analysis | Project Management | ERP/CRM Systems | IT Outsourcing | Sales and Marketing | Healthcare Industry Knowledge | Retail Operations

**PROFESSIONAL EXPERIENCE**

**Business Analyst / Project Manager**

- 6+ years of commercial experience across diverse industries including healthcare, retail, IT outsourcing, and sales and marketing
- 5 years of ERP/CRM systems implementation and optimization
- 2+ years in IT outsourcing environments
- 2 years in project management
- 6 years in retail sector operations and strategy
- 2 years in healthcare industry
- 2 years in sales and marketing initiatives
- Proactive problem-solving with strong technical capabilities
- Excellent communication and advanced organizational abilities
- Goal and results-oriented approach to project delivery

**KEY ATTRIBUTES**

- Proactive and disciplined professional with results-driven mindset
- Strong technical capabilities in enterprise systems
- Excellent communication and stakeholder management skills
- Advanced organizational and project coordination abilities
- Goal and results-oriented approach to problem-solving"
12466,"**SKILLS**
- Strong analytical skills with ability to analyze complex problems
- Project management
- Statistics and data analysis
- Business process optimization and business modeling
- Excellent communication and presentation skills
- Ability to work independently and in teams while managing multiple engagements
- Negotiation and conflict resolution
- Learning and teaching
- Advanced proficiency in Excel and PowerPoint
- Fluent in English and Russian; Native Ukrainian speaker; Basic German

**EXPERIENCE**

**Development and Implementation**
- Developed Terms of Reference and technical requirements
- Developed and implemented data processing systems
- Verified and compiled data
- Developed specifications for construction and equipment

**Research and Analysis**
- Conducted research and analytics with creation of analytical reports
- Performed functional and effectiveness analysis
- Identified, analyzed and interpreted trends and patterns in data
- Described and optimized business processes
- Analyzed best practices and international experience of central purchasing bodies
- Developed proposals on strategy for Central Purchasing Bodies in Ukraine

**Public Procurement and Business Intelligence**
- Analyzed public procurement procedures in Ukraine using QlikView and QlikSense BI tools
- Monitored e-procurement system, ProZorro, including compliance, reporting, research and investigations
- Participated in development of Terms of Reference and technical tasks for e-procurement system according to Open Contracting Data Standard
- Searched, gathered and processed catalogues and information
- Communicated with BI users, procurers, suppliers, controllers and other clients
- Participated in public events, conferences and lectures as speaker, BI expert and participant
- Supported development of e-procurement risk indicators system
- Produced reporting and trend analysis of public procurement procedures for government institutions"
12467,"**Business Analyst & Project Coordinator**

**Core Competencies**
- Requirements Management: SRS, Use Cases, UML Diagrams
- Product Management: Backlog Management, User Stories, Acceptance Criteria
- User Experience (UX) Design
- Agile Methodologies: Scrum, Agile Certified Professional (IC Agile)
- Technical Skills: MySQL, HTML, CSS

**Professional Experience**
- Business Analyst with Project Management responsibilities
- Pre-sales process involvement and project delivery
- Client-oriented approach with strong business acumen developed through FMCG background

**Background**
- Marketing Analyst and Marketing Coordinator in FMCG sector
- Successfully transitioned to IT with established understanding of business requirements and client needs

**Career Interests**
Seeking dynamic opportunities in fast-paced environments with innovative and challenging projects."
12468,"# Business Analyst and Project Manager

**Professional Summary**

Results-driven Business Analyst and Project Manager with 3 years of professional experience in the healthcare domain. Proven ability to quickly master technical project details and contribute effectively across all project phases. Skilled at creating positive, energized team environments, facilitating effective communication, and managing conflicts constructively.

**Core Competencies**

Business Analysis | Project Management | Healthcare Industry Knowledge | Business Intelligence Tools | Technical Problem-Solving | Team Leadership | Conflict Resolution | Team Support and Collaboration | Soft Skills Training

**Key Strengths**

• Demonstrated strong technical acumen with capacity to rapidly assimilate complex project requirements and apply professional expertise to achieve organizational goals

• Proven ability to create positive, energized team environments and facilitate effective communication

• Experienced in managing conflicts constructively and supporting diverse teams throughout all project phases"
12469,"**Professional Experience**

**Medical & Pharmaceutical Translator and Proofreader**
Translated and proofread reports, presentations, and websites from and into English for leading healthcare and pharmacy organizations including Novo Nordisk, Bayer, Parexel, and EURORDIS. Ensured accuracy and clarity in medical and pharmaceutical documentation for international audiences.

**English Language Instructor**
Delivered comprehensive English language instruction to students via Zoom platform and online resources, utilizing Google tools. Developed individualized educational plans tailored to student needs and conducted thorough student assessment and evaluation to track progress and inform instructional strategies."
12470,"# Product Manager

**Core Competencies**
- Product validation and strategy
- User research and discovery
- Design team leadership
- Multi-platform product development

**Professional Experience**

**Product Manager**
- Validated product ideas with founders across multiple startups and established products
- Conducted user research to inform product direction
- Established and executed product strategy
- Led and managed design teams
- Collaborated on multi-platform initiatives

**Professional Goals**
Seeking a challenging role in multi-platform product development to deepen business analysis expertise and drive product success."
12471,"# EXPERIENCED BUSINESS ANALYST / PROJECT MANAGER

**Professional Summary**

Goal-oriented, efficient, and open-minded professional with more than 7 years of experience as an IT Project Manager and Business Analyst. Proven expertise in managing cross-functional teams, implementing process improvements, and delivering results across diverse industries. Strong program and project management professional skilled in customer service, strategic planning, user experience, and stakeholder management.

**Core Competencies**

Customer Service | Strategic Planning | User Experience | User Interface | SEO | Event Management | Public Speaking | Project Management | Business Analysis | Agile | SCRUM | Kanban

**Technical Skills**

Project Management & Collaboration: Jira, Confluence, Asana, CRM, ERP, BPMN

Analytics & Marketing: Google Analytics, Hotjar, Power BI, Email Marketing, SEO

Design & Development: Adobe Photoshop, Adobe Illustrator, Adobe InDesign, CMS WordPress, Drupal, HTML, CSS

**Professional Experience**

IT Project Manager & Business Analyst | Multiple Organizations (Start-ups to 8000+ Employee Companies)

- Managed teams up to 15 members while establishing a comfortable working climate
- Created 9 new internet projects and improved more than 22 existing projects
- Built processes tailored to client pipelines and requirements
- Organized workflows to avoid overtime and optimize resource allocation
- Resolved complex budget and deadline negotiations with clients
- Managed 3-10 concurrent projects simultaneously
- Conducted stakeholder negotiations, user story development, usability testing, and quality assurance
- Collaborated with developers, designers, copywriters, and advertising specialists
- Set up and managed both in-house and remote development teams
- Introduced products to Ukrainian and international markets including Arab countries, China, Great Britain, and USA
- Worked with B2C and B2B clients across education, medical tourism, e-commerce, fintech, and additional sectors

**Work Arrangement**

Available for full-time or part-time positions. Experienced working in office and remote environments."
12472,"# Professional Resume

**PROFESSIONAL SUMMARY**

Founder and Manager of web development studio with 9 years of experience in project management and business analysis. Proven expertise in overseeing cross-functional teams, delivering complex web solutions, and driving business growth across multiple industries.

**CORE COMPETENCIES**

Project Management | Business Analysis | Product Management | Agile & Scrum | User Stories | Product Roadmap | Project Planning | Sales Management | Web Development | UX/UI Design | Mockups | Manual Testing | Analytics | Marketing

**TECHNICAL SKILLS**

HTML | PHP | MySQL | Jira | Trello

**PROFESSIONAL EXPERIENCE**

**Web Studio Founder & Manager** | 9 Years
- Founded and managed web development studio from inception
- Oversaw project portfolio including online stores, B2B web applications, billing systems, and cryptocurrency exchanges
- Led cross-functional teams ranging from 5 to 20 employees
- Managed multiple functional areas including sales and development
- Directed all project management and business analysis activities

**OBJECTIVE**

Seeking a Business Analyst or Project Manager position with a large IT company."
12473,"# BUSINESS ANALYST & PROJECT MANAGER

**Professional Summary**
Results-driven Business Analyst and Project Manager with 6+ years of experience leading cross-functional initiatives and driving operational excellence. Proven track record managing 50+ projects with teams of 2-7 people and budgets up to $250,000. Expertise in agile methodologies, process optimization, and business systematization. Former Product Owner in IT startup environment with demonstrated success in translating business requirements into actionable solutions.

**Core Competencies**

*Project Management & Methodologies*
Scrum | Kanban | Waterfall | Lean | BPMN

*Tools & Software*
Jira | Asana | Trello | MS Visio | Google Docs | Excel | Zoom | MS Teams | Google Meet

*Technical Skills*
SQL | Java (basic level)

*Professional Strengths*
Leadership | Project Management | People Management | Analytical Thinking | Business Systematization | Goal-Oriented | Proactive | Creative Problem-Solving

**Languages**
English – B1 (Upper-Intermediate)

---

Seeking a challenging opportunity to leverage expertise and values-driven approach to deliver measurable impact within a forward-thinking organization."
12474,"# RESUME

**November 2019 - February 2020 | Teacher, ""Software Testing"" Courses | Quality Assurance Group**

Instructed courses covering Quality Assurance and Business Analysis fundamentals.

---

**September 2019 - February 2020 | Business Analyst | QArtrock**

**Corporate Website Project**
Official website for Turkish international trading company
• Performed project definition, requirements elicitation, and concept creation
• Conducted system modeling, requirements analysis, and documentation

**Store Website Project**
E-commerce website for electronics retailer
• Performed project definition, requirements elicitation, and concept creation
• Conducted system modeling, requirements analysis, and documentation

---

**May 2019 - August 2019 | QA Trainee | Quality Assurance Group**

**Pharmacy Management System**
Web application for online pharmacy management
• Conducted requirements analysis, test design, and test case writing and execution
• Documented bug reports

**Online Education Platform**
Course selection program based on user surveys
• Performed performance testing using JMeter
• Conducted database testing in MySQL and API testing in Postman

**Construction Online Store**
• Conducted requirements analysis, test plan development, and test design
• Performed test case writing and execution, bug report documentation, and test summary report writing

---

**October 2011 - April 2019 | Scientific Consultant**

Provided diagnostic, improvement, and analytical support for development and implementation of scientific projects, including implementation of innovative technologies in educational systems and psychological maintenance of innovative activity."
12475,"# RESUME

**PROFESSIONAL SUMMARY**

Results-driven professional with over 3 years of experience in project management and implementation across jewelry, eco-friendly packaging, and beauty industries. Proven expertise in managing turnkey projects, building and organizing remote teams, and delivering complex technical solutions. Strong ability to decompose tasks into actionable elements and manage projects independently or as part of a team.

**CORE COMPETENCIES**

- ERP Implementation
- Project Management and Team Leadership
- Technical Documentation and Requirements Gathering
- User Acceptance Testing and Reporting
- Conflict Management
- Technical Writing and Task Specification
- 1C System Configuration (7.7, 8.2, 8.3) - UPP, UTP, UNF, Retail, Production
- User Training and Technical Support
- Computer Systems Administration (MS Server 2008, 2012, Unix)
- MS SQL Database Administration
- Virtual Systems Administration (VM Ware, VirtualBox)
- Adaptability and Process Optimization

**PROFESSIONAL EXPERIENCE**

**Business Analyst** | IWIS LLC | October 2020 – January 2021

**Project Manager** | LLC «Politara» | March 2019 - December 2019

**Lead Analyst** | ITek | 2016 - 2018

**Implementation Specialist & System Administrator** | LLC «Sky» | 2013 - 2015
Accounting Systems, Production, and Trading Processes Implementation; System Administration

**EDMS Analyst** | SC «Zovnishtorhvydav» | 2012 - 2013

**System Administrator** | PrJSC «UkrSRINDT» | 2011 - 2012

**System Administrator** | LLC «PIPING INTEGRATION COMPANY» | 2010 - 2011

**EDUCATION**

**Master's Degree in Common Law** | Institute of Postgraduate Education | 2014 - 2017

**Specialist Degree in Theoretical and Applied Mechanics** | Taras Shevchenko National University of Kyiv | 2006 - 2011

**CERTIFICATIONS**

- Big IT Project Management Program | MindsetPM | July 2019 (Certificate №PM-EDU-20190728-03)
- Manipulations Practice and Defence | MindsetPM | August 2019 (Certificate №PM-EDU-20190804-07)"
12476,"# Professional Summary

Results-driven professional with eight years of experience in the ICT sector, specializing in business analysis, project management, and business intelligence. Proven expertise in data-driven decision-making, stakeholder management, and team leadership. Currently pursuing advanced skills in data science through formal coursework and self-directed learning.

## Professional Experience

**Business Intelligence Manager** | Helind Company
- Improved company decision-making through data analysis and visualization for renewable energy solutions and electronic device manufacturing
- Leveraged business intelligence expertise to enhance organizational performance

**Project Manager** | Business Insights International Research Group
- Led team evaluating individual and branch KPIs for workers in an insurance company
- Defined stakeholder needs and requirements
- Managed data collection, data entry, and data preprocessing groups
- Extracted and reported insights to insurance company stakeholders

**Business Analyst** | Sumaks Technologies
- Analyzed business needs and identified opportunities for improvement in a hardware development startup environment

## Technical Skills & Training

- Data Science with Python (completed coursework)
- Python programming language
- Machine learning models
- Data preprocessing methods
- SQL for data science
- Data-driven project management
- R language (self-study in progress)
- Deep learning algorithms (self-study in progress)
- Natural Language Processing (self-study in progress)

## Areas of Interest

Healthcare, energy, manufacturing, marketing, fintech, retail

## Work Preference

Remote positions only."
12477,"# PROFESSIONAL SKILLS & EXPERTISE

## Product Management & Strategy
- Product Management, MVP Development
- Specification, Feature Breakdown Structure, Roadmap, User Stories
- Change Requests Log, Risk Matrix, Sprint Release, SWOT Analysis
- Brainstorming, Focus Groups, User Interviews

## Agile & Project Management Methodologies
- Scrum, Kanban, Waterfall, LEAN, RAD
- Communication Planning, Standup Meetings, Sprint Planning, Sprint Retrospectives

## Design & Prototyping
- Android & iOS Guidelines, UI Best Practices
- Axure, NinjaMock

## Technical Skills
- REST API, Postman
- Python (Foundational)
- Relational Databases, SQL (Basic), Microsoft SQL Server Management Studio
- Magento, WordPress, OpenCart, BPMonline

## Data & Analytics
- Excel (Pivot Tables, Statistical Calculations)
- QlikView, QlikSense (Fundamentals)
- Google Analytics (Fundamentals), Kibana (Fundamentals)

## Project Management Tools
- Jira, Asana, Redmine, Bitrix24, Trello

## Payment & Financial Integration
- WayForPay, Bitcoin

## Leadership & Interpersonal Skills
- Teamwork Facilitation, Conflict Resolution, Problem Solving
- Public Speaking, B2B Negotiations, Presentation Skills

## Areas of Interest
- Big Data, AI, AR/VR, Gaming Technologies"
12478,"# PROFESSIONAL EXPERIENCE

**Firmware Delivery & Process Implementation**
- Delivered Samsung mobile firmware solutions to manufacturing facilities
- Designed and implemented company-wide internal processes and workflows spanning development through sales management

**UX & Product Development**
- Proficient in preliminary UX design and prototyping

# CORE COMPETENCIES

Agile, Scrum, Kanban, Project Management, Project Planning, Budget Planning, Wireframing, Requirements Analysis, Use Cases, Prototyping, Jira, Trello, Axure, MS Project

# CAREER INTERESTS

Seeking challenging projects where I can apply comprehensive experience to deliver meaningful results. Open to international projects and enterprise-scale initiatives. Startups welcome. Not interested in e-commerce platforms (Drupal, Magento, etc.)."
12479,"# PROFESSIONAL SKILLS

**Requirements & Analysis**
• Business process description and analysis
• Customer needs and requirements elicitation
• Requirements management throughout the software development lifecycle

**Documentation & Communication**
• Technical documentation creation including User Stories, Use Cases, and Software Requirements Specifications (SRS)
• Clear and effective communication across technical and non-technical stakeholders

**Leadership & Management**
• Team leadership with guidance, instruction, and mentoring capabilities
• Process creation and process improvement
• Project management and team management
• Project coordination
• Strategic planning and organizational development"
