Unnamed: 0,Modified_openai/gpt-4o-mini_of_resume_Modelopenai/gpt-4o-mini
143,"Досвід роботи у сфері IT Project Management - 1 рік. До початку повномасштабної війни мав досвід роботи з UI/UX проектами, переважно у Figma. Останнім часом працював також у аутсорс-проектах геймдеву, займаючись 3D моделюванням та 2D дизайном."
144,"На всіх робочих позиціях завжди проявляла себе як одна з кращих. Два рази йшла на підвищення. На курсі, у своїй підгрупі, також була лідером і одною з кращих. Швидко навчаюсь і можу розібратися майже з усіма темами. Також маю сильні особисті скілли.

Маю досвід роботи як аккаунт менеджер та менеджер з продажів. Цей досвід позитивно відобразиться на позиції проджект менеджера. Знання з проджект менеджменту (практичні та теоретичні) здобувала на курсі за даним напрямом.

Хочу отримати практичні скілли та розпочати свій шлях в ІТ."
145,"Амбіційна, енергійна, маю велике бажання розвитку у сфері Project Management. Закінчила з відзнакою курси у Hillel IT School. Дуже імпонує робота PM-а, швидко навчаюсь та відповідально ставлюсь до поставленої задачі. Відповідально ставлюсь до роботи, добре комунікую з новим колективом, енергійна та цілеспрямована."
146,"Розробка та проведення системи навчання та адаптації персоналу, на постійній основі проведення проектів з навчання персоналу та впровадження онлайн платформи для цих цілей. Достатньо обширний досвід, прописаний в резюме. Пройшла навчання в Genius Space у 2022 році і бажаю розвиватися в сфері Project Management. На попередній посаді проводила проектну діяльність у сфері розробки та впровадження системи навчання персоналу. Цікавить розвиток на посаді РМ."
147,"Пройшов курси від Hilel для початківця Project Manager. Має досвід роботи в колективі. Кілька місяців був стажером у сфері QA. Також є досвід спілкування з іноземцями, оскільки працював у Німеччині 6 місяців. Досвіду роботи у сфері Project Management немає, готовий працювати за досвід і практику."
148,"Побудував будівельну компанію з нуля.  
Працюю майже автономно.  
Є досвід роботи (6 років) в управлінні проектами в будівельній сфері: від проектування, побудови графіка робіт (діаграма Ганта), бюджету, постачання, ведення переговорів з клієнтом до здачі об'єкта.  
Цікавить робота, що дозволить розвиватися."
149,"життєзабезпечення офісу  
співпраця з постачальниками  
закупівля обладнання/витратних матеріалів  
ведення документації  
контроль справності офісного обладнання  
контроль якості роботи персоналу  
ведення фінансової звітності  
організація корпоративних заходів  
відкриття та запуск філіалу  
ведення графіку роботи спеціалістів  
ведення соціальних мереж компанії  
допомога в організації відряджень  
співпраця з громадськими організаціями  
організація виїзних заходів  "
150,"З 2017 року працюю в fashion e-commerce. Три останні роки займаюся напрямком Маркетплейс (B2C, dropshipping). Основні обов'язки включають операційну частину проєкту (аналітика, взаєморозрахунки з партнерами, участь у зустрічах з постачальниками та логістичними партнерами). Також супроводжую IT-проєкти, необхідні для розвитку Маркетплейс. Маю досвід у комунікації з IT та роботі в Jira та Confluence. Впевнений користувач Excel. Наразі прагну розвиватися в напрямку Project manager."
151,"Ім'я Прізвище  
Контактна інформація  
Електронна пошта | Телефон | LinkedIn  

Мета  
Змінити вектор кар'єри з технічного на проектний, використовуючи багаторічний досвід у технічній сфері для ефективного управління проектами та командною взаємодією.

Досвід роботи  

**Інженер інфраструктури**  
[Назва компанії], [Місто]  
2018 - до сьогодні  
- Реалізація проекту зі створення хмарної інфраструктури разом з командою.  
- Участь у переведенні компанії на віддалену роботу під час початку карантину.  
- Налаштування фізичного обладнання та створення внутрішньої мережі для компанії та замовників.  
- Написання скриптів для розмов з клієнтами та аналіз ринку конкурентів і потенційних партнерів.  
- Створення графіків роботи команди та розподіл задач у технічній структурі.  
- Адміністрування додаткових сервісів у мережі GSM.  

**Оператор диспетчерського центру**  
[Назва компанії], [Місто]  
[Роки роботи]  
- Вирішення конфліктних ситуацій з клієнтами та аналіз їхніх потреб.  

Освіта та курси  
- **DMINISTERING SYSTEM CENTER CONFIGURATION MANAGER**  
  Microsoft Official Course 20703-1  

- **ROUTING AND SWITCHING ESSENTIALS**  
  CCNA Routing and Switching  

- **JUNIOR PROJECT MANAGER**  
  Laba  

- **Product-менеджер**  
  Laba  "
152,"Досвід роботи:

Junior Project Manager у компанії ArchiCGI (червень - вересень 2023)
- Керування кількома мультизадачними проєктами одночасно
- Управління командою та розподіл людських ресурсів
- Розбиття проєкту на задачі та координація виконання

Стажування на позиції ERP-консультанта у компанії Innoware
- Вивчення принципів роботи з NAV Microsoft Dynamics
- Успішне завершення стажування

Освіта:

Магістратура, КНУ імені Тараса Шевченка, спеціальність ""Системний аналіз""
Бакалаврат, КНУ імені Тараса Шевченка, спеціальність ""Системний аналіз"""
153,"Здобув освіту в найстарішому та одному з найпрестижніших вишів німецькомовного простору (Віденський Університет) на німецькій мові. Займався організаційними питаннями в сфері гастрономії на підробітках під час здобуття вищої освіти у Віденському Університеті в Австрії. В навчанні регулярно брав на себе відповідальність за організацію наукових проектів в групах з колегами. Більше року цікавлюся та вивчаю веб-розробку.

Шукаю професійного розвитку і досвіду в IT, можливостей працювати над цікавими проектами та здобувати нові знання. Очікую підтримувати проекти від стадії зародження до досягнення запланованих результатів. Забезпечувати прозору комунікацію з замовниками та командою. Застосовувати навички, інструменти та методології для своєчасного завершення проекту в рамках запланованого бюджету."
154,"Я приймала участь у величезній кількості благодійних проектів, працювала, виконуючи кардинально різні завдання від організації заходу на 2000 людей, включаючи молодь з інвалідністю, до цікавих подорожей за кордон. Я вільно спілкуюсь англійською, французькою, українською та російською, а також вивчаю іспанську. Знання мов можу підтвердити наявністю сертифікатів міжнародного зразка. Моя спеціальність - це міжнародне право. Я також маю досвід юридичних консультацій Благодійного фонду та складання нормативно-правових документів. На даний момент навчаюсь в Київському Політехнічному Інституті на Журналіста. Маю досвід роботи фітнес-тренером та дієтологом, що зараз є частиною мого хобі.

- Займалась науковою діяльністю, досліджуючи кіберзлочинності в Україні та за її межами (аспект захисту прав людини).
- Займалась втіленням благочинного проекту ""Несемо віру"", що був створений для соціалізації дітей соціально вразливих категорій.
- Була організатором фестивалів-рекордів, серед яких: ""Казкові мрії"".
- Засновник ГО ""Школа волонтера"".

Маю багато креативних ідей, бажання працювати, творити, спілкуватися з пресою, ЗМІ. Від себе обіцяю швидке навчання та шалену відповідальність. Хотіла б роботу, де також могла б втілювати знання 2 мов (англійська, французька), лідерські якості та любов до створення нового, швидку адаптацію і комунікабельність."
155,"Займалася розробкою проєктної документації у програмі AutoCAD на зовнішнє електропостачання енергетичних об'єктів (Waterfall). Проводила розрахунки нормального режиму роботи Центральної енергетичної системи та звітувала про отримані результати. Займалася збором інформації щодо планування та проведення заходів з нагляду за роботою енергетичних об'єктів та споживання електричної енергії. Звітувала про отримані результати перед керівництвом. Впевнений користувач ПК та офісних програм. Хочу більшість часу працювати дистанційно. Шукаю можливість проявити себе, навчитися нового і вирости професійно."
156,"Займаю посаду Project Coordinator в IT компанії. Допомагаю внутрішнім командам із плануванням роботи, бізнес-листуванням англійською мовою, уточненням завдань; слідкую за ходом проєкту та допомагаю вирішувати питання, що виникають."
157,"Закінчила онлайн-інститут Projector за напрямком IT project management, маю 2 вищі освіти рівня магістр. Маю успішний досвід керівництва у великих командах (до 40 осіб). Реалізовувала масштабні проекти в державному секторі. Чудово вмію працювати з людьми, швидко вчусь всьому новому."
158,"Знаю англійську на високому рівні. Закінчила курси PM на першому місці серед групи. Наразі мої фахівці займають провідні місця в проєкті протягом останнього року, але я бажаю йти далі та розвивати свої навички. Закінчувала курси PM в Hillel school. Зробила зі старту проєкт вебсайту для ІТ компанії. Зробила всі підготовчі документи, розписала цикли та допоміжні документи, оформлювала етапи. Робила варфрейми, в кінці оформила все в презентацію. Наразі працюю на позиції супервайзера. В мої обов'язки входить постановка завдань, контроль за їх виконанням для співробітників контактного центру. В підпорядкуванні наразі знаходиться 20 фахівців. Також в мої обов'язки входить їх навчання та опрацювання помилок. Бажаю продовжувати розвиватися в сфері проєктного менеджменту або бізнес аналізу."
159,"- Замовлення поліграфічної та сувенірної продукції;
- Контроль термінів відвантаження та якості продукції;
- Організація зйомок: пошук моделей, візажиста, локації, письмові домовленості, організація інших додаткових елементів, контроль логістики одягу, робота безпосередньо на самій зйомці, як організатора та дотримання бюджетів;
- Робота з 1С;
- Виконання інших завдань від керівника;
- Планування зустрічей та ведення робочого календаря Директора, а також логістика;
- Ведення соц. мереж компанії (Facebook, Instagram, LinkedIn);
- Обробка великих масивів інформації;
- Підготовка презентацій, вакансій, офферів;
- Пошук підрядників та перевірка на надійність;
- Ведення та контроль документообігу;
- Ділова комунікація на онлайн та офлайн зустрічах;
- Службові доручення керівника;
- Офіс-менеджмент."
160,"За освітою - юрист. 8 років працюю в освітній сфері - кандидат юридичних наук, асистент кафедри адміністративного та інформаційного права. Проводжу лекції та практичні заняття для студентів бакалаврів та магістрів з адміністративного, транспортного та інформаційного права. Автор більше 15 наукових статей, опублікованих в українських та закордонних виданнях. Закінчила курс Project management в IT від Beetrtoot Academy, тривалістю 4 місяці, готова застосовувати отримані знання на практиці."
161,"**Резюме**

**Освіта:** Юрист  
**Загальний досвід роботи:** 5 років  
**Досвід роботи в компанії проектного типу:** 1,5 роки  
**Курси:** IT Project Management (WEB Academy)  

**Досвід роботи:**

Останні півтора роки працювала в юридичній компанії, де за кожним юристом був закріплений клієнт та проект. У компанії були присутні всі традиційні стадії проектного менеджменту: ініціація, планування, виконання, моніторинг та контроль, завершення.

**Функціонал за стадіями:**

**(0) Стадія пресейл:**
- Аналіз юридичного ринку та пошук потенційно нових проектів
- Підготовка пітчей
- Комунікація з потенційними клієнтами та роз'яснення
- Підготовка комерційної пропозиції

**1. Стадія ініціація:**
- Визначення дорожньої карти по проекту та строків виконання
- Визначення відповідальних осіб
- Планування роботи та узгодження з виконавцями

**2/3/4. Стадія виконання/моніторинг/контроль:**
- Розробка стратегії по проекту
- Постійна комунікація з клієнтами
- Уточнення деталей
- Внесення змін та пропозицій
- Виправлення помилок молодших юристів

**5. Стадія завершення:**
- Подача документу до відповідного органу
- Відповідь на запити
- Отримання встановленого результату

Після року роботи на посаді юриста була підвищена до позиції Старшого юриста, де, окрім проектної роботи та керування молодшими юристами, займалась іншою організаційною діяльністю компанії: написання прес-релізів для сайту, відвідування заходів, спілкування з партнерами тощо.

На сьогодні прагну розвиватись як проектний менеджер в традиційних та сталих умовах. Прийняла рішення залишити позицію Старшого юриста в юридичній компанії та знайти роботу, де зможу зосередитись на розвитку в цій професії.

Швидко навчаюсь, готова до будь-якого челленджу."
162,"Менеджер з управління проектами з 6-річним досвідом роботи в сфері логістики. Керівник команди сейлз менеджерів. Впровадження нових проектів на підприємстві, робота з СРМ системою MSD360. Швидко навчаюся новому, добре знаходжу спільну мову з різними людьми. Володію прикладними програмами MS Office, швидко вчусь роботі в інших програмах та добре адаптуюсь до змін робочого середовища. Маю досвід управління командою віддалено."
163,"Професійний профіль

Маю дипломи та знання в сфері маркетингу, а також прагну продемонструвати результати свого навчання. 

Освіта та курси

- Курси по телеграм-каналах
- Курси таргетованої реклами та SMM

Досвід

- Тестування реклами в Facebook Ads Manager
- Створення креативів
- Розробка стратегії просування акаунтів в Instagram

Особисті якості

Цікавлюсь творчими завданнями, прагну досягати цілей та реалізовувати нові ідеї. Не бажаю займатися рутинною роботою."
164,"Оптимізація робочого часу, налагодження ділових відносин з B2B клієнтами, успішно пройдене навчання на курсах PM. Зараз працюю в продажах, приймаю участь в державних закупівлях. На початку 2022 року закінчив курси PM в школі Hillel. Протягом всього курсу працював над своїм проєктом, ідея якого та реалізація з моєї сторони були схвалені викладачами. Бажаю кардинально змінити сферу роботи, в перспективі знайти роботу в gamedev."
165,"Категорійний менеджер  
- У форс-мажорних обставинах (початок війни) знайшов і забезпечив безперебійні поставки товарів.  

Проект-менеджер  
- Реалізація проекту інвентаризації торгового обладнання по всій території України через додаток.  
- Синхронізація баз додатка з базами 1С.  

Зараз працюю категорійним менеджером.  
В підпорядкуванні 2 менеджера по закупівлях.  
В лютому закінчив курси проект-менеджменту в Hillel.  "
166,"- Створення проєкту, який буде фінансуватися за рахунок коштів ДФРР у Харківській області.
- Створення і ведення Karazin Startup Week.
- Вивчення іноземних мов.

Зараз працюю проєктним менеджером у маркетинговій компанії, веду проєкти у сфері crypto, fintech, SEO, iGaming. В мої основні обов'язки входить: спілкування з клієнтами, донесення апдейтів, отримання та формування ТЗ, планування, розподіл часових і людських ресурсів, постійний моніторинг прогресу та донесення результатів, контент-менеджмент, формування спринтів, розвиток проєктів у лінкбілдингу та SEO.

Працювала 2 роки у ННІ ""Каразінська школа бізнесу"", де займалась створенням і веденням розвиваючих проєктів у сфері студентського підприємництва і стартапів, розвитком студентів, створенням і проведенням івентів.

Також працювала у customer support в Addsalesforce та доросла до ментора нашого відділу, займалась перевіркою якості роботи працівників та їх розвитком.

Очікую захопливих проєктів, особливо у сфері агробізнесу та поєднання агро та ІТ, оскільки ця сфера неймовірно мене драйвить і я бачу за цим своє майбутнє. Цікавлюсь також розвитком проєктів з емоційного інтелекту та селф-менеджменту. 

Також очікую від роботи work-life balance, оскільки лагом - це те, до чого я прагну і що мене мотивує. Не планую більше займатись проєктами у сфері iGaming."
167,"- Бездоганне володіння німецькою мовою.
- Стресостійкість.
- Збільшення клієнтської бази для замовника.
- Організація численних зустрічей між сейлс-менеджерами замовника та потенційними клієнтами.

З вересня 2020 року працюю Lead generation спеціалістом в DMP Development Group. 

До моїх обов'язків входять:
- Верифікація контактних даних
- Cold Calls
- Побудова контакту з потенційним клієнтом
- Підготовка перемовин
- Post-sales підтримка

Креативне вирішення різноманітних завдань, можливість застосування нестандартних рішень. Не люблю, коли потрібно дуже довгий час займатися одноманітною роботою."
168,"У робочому плані найбільше пишаюсь успішними результатами. Вдала продажа після тривалої розмови та взаємодії з клієнтом завжди мене мотивувала на нові звершення. Радий тому, що маю навички розташувати клієнта до себе, знайти спільну мову у короткий термін, чітко зрозуміти його очікування. Закінчив онлайн-курси спортивного коментаторства відомого журналіста, чим теж не можу не похизуватись.

З палким бажанням прагну отримати можливість проявити себе у провідній IT або маркетинговій компанії. Досвід роботи у цій сфері маю на рівні freelance: працював над разовими проектами, займався питанням пошуку виконавців, постановкою та розподілом задач, задоволенням потреб замовника у процесі безпосереднього діалогу. На попередньому місці роботи закріпив та вдосконалив власні комунікаційні навички. Процес продажу, пропозиції, реалізації продукту осмілюсь назвати відточеним.

В робочому процесі налаштований тільки на позитив, легко знаходжу спільну мову у новій команді, так як бачу у цьому невід’ємну запоруку успіху. Націлений потрапити у молоду і сучасну команду з чітко вираженими пріоритетами, орієнтацією на ефективність, спільними інтересами та цілями. Розраховую на взаємоосвіту між колегами, щоб максимально швидко поринути в робочий процес. Бажаю займатись пропозиціями та проектами як для вітчизняного, так і для закордонного ринку, які стануть у пригоді максимальній кількості користувачів."
169,"Із 2016 року працювала у сфері продажів та підтримки клієнтів, маючи справу із технікою Apple, аксесуарами до неї та гаджетами інших брендів, послугами налаштування розумного дому, а також із товарами харчової групи.

Останні півтора роки займаюся продажем послуг кількох спеціалістів на фріланс-сайтах, відправляю заявки, веду переговори із клієнтами та виконую роль посередника між замовником та виконавцем, виконуючи базові функції Project Manager`а.

Працювала із різноманітними СРМ, телефоніями та месенджерами, включно із Jivosite. На базовому рівні розумію HTML та CSS, а також Python та JavaScript. Готова швидко вивчати нові програми."
170,"Закінчила курс: IT Project Management  
Школа: Web Academy  
Тренер курсу: Stas Samko  
Тривалість курсу: 36 годин  
Сертифікат та рекомендації із задоволенням надам за запитом  

Успішний досвід роботи на керівній посаді 9 (до 10 осіб);  
Моя Англійська: Вивчаю кожен день, дається не просто, наполеглево продовжую поліпшення рівня в АЕС;  
Швидко та легко навчаюсь новій справі та допомагаю в цьому колегам;  
Посвідчення водія категорії В;  
Завжди доводжу розпочату справу до кінця;  
Дуже ціную свій час і час інших людей;  
Вмію працювати як у команді, так і самостійно;  
Впевнений користувач ПК (Jira, Microsoft Project, Microsoft PowerPoint, Microsoft Office, Excel, 1С, Бітрікс24);  
Захоплювалась бізнес літературою, люблю велоспорт, йогу, подорожувати та досягати бажаного).  

Керівник відділу продажу  
квітень 2016 - листопад 2019  
Nabaze, Solovero, Київ (Виробництво освітлення, меблів та декору з античної деревини, торгівля, інтернет торгівля)  

У компанії 2 напрямки:  
Виробництво: освітлення, меблів та декору з винтажного дерева  
Торгівля: предметами інтер'єру від українських дизайнерів та авторських майстерень  
Я займалася розвитком обох напрямків.  

Про проект Nabaze  
За 2 роки за допомогою команди мені вдалося:  
Створити інтернет магазин  
Створено понад 12 000 описів товарів  
Підібрано - 10 000 товарних позицій  
Існуючих постачальників понад 150  
Створити фізичний магазин заповнити 400 м² товарами під реалізацію  
Забезпечити потік потенційних клієнтів  
Підбір та навчання персоналу  
Контроль роботи інтернет-магазину.  

Про проект Solovero  
Виведення продукту на ринок України  
Формування дилерської мережі  
Організація участі у виставках  
Формування бази даних  
Роздрібна торгівля продукцією  
Контроль якості продукції  
Прийом та відвантаження продукції  
Договори, акти, рахунки, накладні, табелі, планування, звітність, формування бюджету  
Постановка та контроль виконання завдань (робота з колективом)  
Підбір та навчання персоналу  
Контроль роботи фізичного магазину  
Проведення презентацій, організація та проведення заходів для архітекторів та дизайнерів.  

Хочу змінити сферу діяльності та освоїти нову професію PM;  
Взаємодіяти з гарною командою і розвивати навички."
171,"- Спланував і успішно запустив благодійно-освітній проект, який збирає гроші для ЗСУ
- Керую командою з 8 людей більше ніж півроку
- Переміг у відборі на стипендію від Google та отримав сертифікації: Project Management і Digital Marketing
- Розробка проектного плану
- Ведення проектної документації та менеджмент завдань в Notion і Trello
- Обов'язки SMM-менеджера"
172,"Керування проектною групою розрахунків.  
Побудова архітектури проекту єдиної автоматизованої системи компанії (SAP) зі сторони Замовника.  
Формування вимог до розробників системи SAP.  
Налагодження комунікацій на всіх етапах проекту між Замовником компанії (з боку бізнесу) з залученням додаткових консультантів при необхідності, проектною командою IT департаменту та командою розробників зі сторони SAP.  "
173,"Керування: розробкою, впровадженням та супроводженням проектів (сайти різної складності та системи управління для підприємств). Не хочу займатися безкоштовною роботою."
174,"КЛЮЧОВІ НАВИЧКИ  
Ведення документації, офіційне листування;  
Проведення презентацій;  
Планування та організація навчального\робочого процесу;  
Управління командою;  
Контроль за виконанням задач та розпоряджень, посадових обов’язків;  
Проведення співбесід та відбір кандидатів;  
Підготовка нових кадрів;  
Формування лояльності клієнтів.  

Менеджер з продажів. компанія Школа сьогодні | 2019 - дотепер  
- Лідогенерація;  
- Холодні\гарячі дзвінки;  
- Проведення презентацій продукту;  
- Ведення переговорів про співпрацю;  
- Навчання та курування клієнтів.  

Заступник директора з навчальної роботи. ЛФКА ШАГ | 2017 - 2019  
- Проведення Дня відкритих дверей;  
- Організація роботи навчальної частини (постановка задач та контроль їх виконання);  
- Контроль та підтримка навчального процесу на всіх етапах;  
- Моніторинг рівня задоволеності клієнтів та формування лояльності студентів;  
- Координація роботи викладачів;  
- Формування груп та планування їх роботи на навчальний семестр;  
- Проведення мотиваційних зустрічей для студентів та викладачів;  
- Проведення співбесід кандидатів (адміністрація, викладачі);  
- Підготовка та курування нових співробітників, їх навчання.  

Старший лаборант кафедри. НаУ «Острозька академія»| 2009 - 2016  
- Формування та оформлення педагогічного навантаження викладачів;  
- Аналіз виконання викладачами індивідуальних планів роботи; підсумків сесій, проведення практик, захисту курсових і кваліфікаційних робіт;  
- Підготовка документів акредитаційних та ліцензійних справ спеціальності;  
- Ведення документації кафедри.  

Маю досвід керування командою. Люблю та вмію вести документацію, проводити презентації. Постійно займаюсь самоосвітою, читаю. Шукаю проект, де реалізую себе як помічник керівника з можливим кар'єрним ростом в компанії."
175,"**[Ваше ім'я]**  
[Ваша адреса]  
[Ваш телефон]  
[Ваш email]  

**Мета**  
Бажаю розвиватися у управлінні проектами.

**Освіта**  
Прослухала курс PMI (Інститут управління проектами), Сінгапур

**Досвід роботи**  
**Контролер прогресу проекту**  
QROI (телекомунікаційний проект MPT-KSGM JO), Янгон, М'янма  

- Розробка процесу закриття фази проекту та блок-схем, що охоплюють такі етапи проекту:
  - Процес перегляду та доробки PO / BOQ
  - Процес перегляду та доопрацювання змінного струму VO / BOQ / PO
  - Процес перегляду та доопрацювання CW VO / BOQ / PO
  - Процес перегляду та доопрацювання PFI
  - Процес доопрацювання відвантажених матеріалів 
- Координація між Замовником та Постачальником щодо виданих Замовлення на закупівлю / зміну / зміну та виставлених рахунків-фактур та їх статус щодо:
  - Журналу зворотних транзакції
  - Щоденної роботи над поточними операціями
  - Передачею компетентності
- Запис транзакцій у базі даних проєкту 
- Підтримка регіональної організації у всіх аспектах, пов'язаних із використанням бази даних проекту
- Забезпечення щоденного оновлення прогнозу та прогресу в базі даних з метою забезпечення належної видимості для оцінки ефективності, а також для планування попиту та продажів
- Щоденне забезпечення та моніторинг того, щоб усі дані були своєчасно обновлені та правильно відображені у базі даних
- Забезпечення оновлення бази даних: розповсюдження, подання та завантаження документів; перевірка чи процеси виконуються відповідно до процедур проекту

**Навички**  
Використовувала: Windows, MS Office, Outlook, UT-Tracker, SMART QC"
176,"Захоплення та інтереси  
ПК та ОС, встановлення програмного забезпечення, мови програмування Java, Jira, Python, музика та музичні студійні програми Logic, Ableton, FL Studio, програми обробки аудіо, фото та відео, програмування та встановлення приладів охорони та відеоспостереження, автомеханіка, рибалка.  

Контроль та організація роботи відділення, команди. Ведення результатів, щоденні наради, контроль та зріз результатів з фахівцями. Щотижневі селектора з керівниками регіону та зріз результатів роботи тижня, планування на новий період. Розвиток відділення. Підбір персоналу. Проведення співбесід для набору співробітників. Зустрічі з директорами підприємств і підприємцями. Підписання договорів та сертифікатів.  

Особисті якості  
Відповідальність, чесність, організованість, аналітичний склад розуму, вміння ефективно і якісно вести роботу, наполегливість, пунктуальність, цілеспрямованість, комунікабельність, вміння працювати в команді, самомотивація, порядність, доброзичливість."
