,Modified_openai/gpt-4o-mini_of_resume_Modelopenai/gpt-4o-mini
193,"Nikos-LTV

Курси WEB Дизайну (UI/UX)  
Ознайомлення із основними поняттями UX, UI, Product design, Web-design  
Ознайомлення з інструментами роботи Figma, Photoshop, Adobe XD, Illustrator  
Ознайомлення з основними етапами UX досліджень  
- User Research  
- Persona  
- Journey Map  
- Empathy Map  
- Information Architecture  
Основні види візуалізації прототипів  
- Створення клікабельного прототипу  
- Sketching  
- Prototyping  
- Wireframe  
- UX Testing  
Робота із основними програмами  
- Adobe Illustrator  
- Adobe Photoshop  
- Figma  
Дизайн концепт  
- Композиція  
- Ритм, акценти, зв’язки, контраст  
- Принципи управління сприйняттям  
- Правило «Зовнішнє-внутрішнє», негативний простір  
- Шрифти  
- Основи кольорознавства  
- Відступи  
Ознайомлення з основними формами в дизайні  
- Іконки, кнопки, форми реєстрації  
- Навігація  
Створення правильної дизайн-системи  
Розбір автослоїв  
Правильна схема компоновки файлів  
Ознайомлення з дизайном мобільних додатків  
CRM система, робота із системами  
Landing page - маркетингові сайти  
Material design  
Ознайомлення з основними методиками керування проектами  
Методи комунікації з командою  
Правильна робота із програмістами та менеджерами  
Розбір правил створення портфоліо  
- Резюме, базові правила створення  
- Behance, Dribble - портали для натхнення  
Ресурси для пошуку клієнтів та компаній  
Розбір основних правил комунікації  
- Як правильно спілкуватись з замовником  
- Як мінімізувати кількість правок  
Основні помилки в маркетингу  

CASES.Media Creative platform  
Робота з Photoshop  
Знайомство з інтерфейсом  
Верстка тексту  
Робота з кольором  
Засоби малювання  
Робота з шарами  
Робота з векторними формами  
Фільтри та ефекти  
Робота зі світлинами та основи ретуші  
Колажування в Photoshop  
Засоби пришвидшення роботи  

В активному пошуку першої роботи в сфері UI/UX дизайну. Основна мета - набратись комерційного досвіду на реальних проектах і розвиватись в даному напрямку."
194,"OO Dental  
- Збільшення на 30% записів  

Bizzy  
- Отримання 3 офферів до офіційного релізу сервісу від будівельних компаній з урізаним функціоналом  

Oblivion  
- Провели 5 івентів протягом 3 сезонів  
- Залучили 800+ відвідувачів  
- Зібрали додатково 2к$ для потреб військових  

OO Dental (Стоматологія)  
Illustrator  
- Розробка дизайну візитівок  
- Підготовка до друку  

Christina cosmetics (Онлайн магазин косметики)  
Figma  
- Створення макету майбутнього сайту  
- Створення UI відповідно до брендбуку компанії  
- Адаптація для різних web розширень екранів  

Eco Time (Онлайн продаж квитків)  
Figma, Illustrator  
- Лого проєкту  
- Аналіз конкурентів  
- Створення макету майбутнього сайту  
- Створення UX карти для макету  
- UI desktop/mobile версій сайту  
- Адаптація відповідно до актуальних розширень екранів  
- Співпраця з відділом розробки для відповідності дизайну до можливостей методу верстки  

Digiway media  
- Створення презентацій для продажу послуг студії  

Coinswap.io (Онлайн крипто обмінник)  
Figma, Illustrator  
- Векторизація ескізу лого  
- Побудова UX сайту  
- Створення UI сайту проєкту  
- Створення 3D моделей елементів сайту  
- Дизайн та верстка презентації проєкту  
- Співпраця з відділом розробки для відповідності дизайну до можливостей методу верстки  

Bizzy (Saas)  
Figma, Illustrator  
- Аналіз ринку  
- Сувмісна розробка майндмапи для деталізації розуміння потреб користувачів  
- Сувмісна розробка web/mobile прототипу з ідеологом проєкту  
- Розробка та створення лого/айдентики проєкту  
- Створення UI web/mobile версії проєкту  
- Використання гайдлайнів iOS для UI mobile app  
- Створення клікабельних та анімованих прототипів web/mobile app  
- Створення презентації проєкту для партнерів  

Oblivion (EBM/Disco івенти)  
Figma, Illustrator, Photoshop  
- Розробка лого та айдентики проєкту  
- Створення структури та графічних матеріалів для маркетингу (афіші, пости інстаграм)  
- Створення дизайну друкованої продукції (постери, стікери)  
- Підготовка до друку графічних матеріалів  

Foodistic (Мобільний додаток)  
Figma, Illustrator  
- Редизайн наявного додатку проєкту  
- Покращення UX додатку  
- Інтеграція та спрощення функцій додатку  "
195,"Роман Полищук

- 12 років у сфері створення вебсайтів (+ останні 7 років паралельно в UI/UX дизайні).
- Сотні створених лендінгів, вебсайтів, та прототипів мобільних додатків і веб-інтерфейсів.
- Тисячі створених рекламних банерів для соціальної, та таргетованої реклами.
- Сотні позитивних відгуків на фріланс біржах.
- Портфоліо: www.polishchuk.me

Привіт! Мене звати Роман. Я працюю в UI/UX дизайні більше 7 років. Спеціалізуюсь на створенні макетів для різних інтерфейсів, включаючи складні CRM системи, мобільні додатки, веб-додатки, вебсайти та інше. Також займаюся графічним дизайном, таким як створення логотипів, рекламних банерів, презентацій та постів для соціальних мереж.

Додатково: Окрім дизайну, я також займаюся кодуванням та розробкою вебсайтів (більше 12 років). Завжди намагаюся розвиватися в різних сферах ІТ, а також вивчати нові технологічні стеки, але дизайн завжди був моїм основним фокусом, і я приділяю йому найбільшу увагу.

У своїй роботі я завжди прагну зрозуміти потреби клієнта та повністю зануритися в кожен проект. У мене є значне портфоліо, де ви можете оцінити мою роботу.

Основні навички та технології:
UI/UX Дизайн та Графічний Дизайн: 
Figma, Photoshop, Illustrator, Axure, Sketch, Final Cut Pro, Grids, Icons, Wireframes & Prototyping, Дизайн мобільних додатків та веб-додатків.

Додаткові навички: 
Front-end / Back-end: HTML5 (високий рівень), CSS (високий рівень), Bootstrap (високий рівень), jQuery (середній рівень), PHP (середній рівень), MySQL (середній рівень), JS (базовий рівень), React.js (базовий рівень), Next.js (базовий рівень).

Операційні системи: 
Mac OS, Linux (Debian, Ubuntu, Cent OS), Microsoft Windows.

Також працюю з: 
Jira, Trello, GIT/GitLab/GitHub, CLI."
196,"Проведення курсів UX/UI. Досвід створення і розвитку медіа від 10 підписників до 400 000. Організація і проведення Behance Portfolio Review.  
Обов'язки: UX/UI Design  
Програмне забезпечення: Sketch, Proto.io, MockingBot, Principle, Invision  
Навички: Mobile Design, UI/UX, Prototyping, Web Design, Responsive Design, Apple HIG, Material Design, Web Design  
Курси: Netology - UX Design, Strategy And Prototyping.  
Адекватний менеджмент. Біла зарплата."
197,"Я шукаю можливість, яка дозволить мені розвиватися та покращувати свої навички в UI/UX та Web-дизайні. Маю досвід реалізації як індивідуальних, так і командних проєктів. Розгляну всі пропозиції роботи, в тому числі волонтерські.

**Restoplace**  
Mobile application for IOS, full cycle design  
Restoplace is a mobile application, that combines a convenient search for restaurants, the ability to quickly reserve tables and pre-order meals, which can be paid immediately in the application.

**MedOnline**  
Web application, full cycle design  
MedOnline is a web application for conducting online calls between a doctor and a patient, which allows not only to conduct online consultations, but also to automatically document the results of the meeting. Responsive versions for tablet and mobile have also been created.  
Adult content."
198,"Наставництво та надання рекомендацій молодшим дизайнерам, участь у критиці дизайну та внесок у загальну стратегію дизайну та бачення організації. Робота з клієнтами по всьому світу: США, Близький Схід, Європа. Безпосередньо або через посередників виконання замовлень для компаній: Pepsi Lays, Київстар, Агуша, Ocean Plaza, Чудо, Greenville.

Senior UX/UI designer  
з 04.2022 по теп. час  
Grivallure, Київ  
- створення дизайну для різних цифрових продуктів, включаючи веб-сайти, мобільні та веб додатки;  
- проведення досліджень користувачів та юзабіліті-тестування для збору інформації та прийняття рішень;  
- дизайн інтерфейсів;  
- розробка дизайну веб-сайтів;  
- розробка мобільних та веб додатків;  
- створення логотипів;  
- наставництво та надання рекомендацій молодшим дизайнерам, участь у критиці дизайну та внесок у загальну стратегію дизайну та бачення організації.  

UX/UI designer  
з 10.2021 по 04.2022  
Betasprint, Київ  
- створення дизайну для різних цифрових продуктів, включаючи веб-сайти, мобільні та веб додатки;  
- проведення досліджень користувачів та юзабіліті-тестування для збору інформації та прийняття рішень;  
- дизайн інтерфейсів;  
- розробка дизайну веб-сайтів;  
- розробка мобільних та веб додатків;  
- створення логотипів.  

UX/UI, Graphic designer  
з 02.2020 по 10.2021  
Brain Tank, Київ  
- дизайн інтерфейсів;  
- розробка дизайну веб-сайтів;  
- розробка мобільних додатків;  
- створення візуальних концепцій рекламних матеріалів;  
- створення логотипів, фірмового стилю;  
- додрукарська підготовка матеріалів.  "
199,"З 2020 — дизайнер Дії.  
З 2023 — лектор в Skvot.  

Швидко створюю високоякісні презентації та сайти. Гарантую стиль та швидкість. Можу навчити, як це робити."
200,"Skill-set  
— Build and Research;  
— Logo and Identify;  
— UX Sitemap and Wireframing;  
— Moodboard;  
— UI Design and UI Kit;  
— Full Adaptives (Tablet: 1000px, 768px; Mobile: 480px, 360px; or other);  
— Animation;  
— Knowledge of HTML5/CSS3  

Soft:  
— Figma (Вільно, використовую в даний час);  
— Adobe Photoshop (Просунутий, використовую в даний час);  
— Adobe Illustrator (Просунутий, використовую в даний час);  
— Adobe InDesign (Просунутий, використовую в даний час);  
— Adobe After Effects (Середній, використовую в даний час).  "
201,"Маю портфоліо, працювала на проектах.

**Startup**  
жовтень 2021 - січень 2022  
Будування Landing pages та редагування дизайну мобільного додатку E-commerce.

**Стажування в Softengi**  
липень 2022 - січень 2023  
Дизайни для деяких функціональностей згідно проектів.

**PGM**  
Лютий - квітень 2023  
Landings pages, частково e-commerce. Реклама даного сервісу.

Хочу отримати досвід, маю надії на отримання корпоративного досвіду для подальшої роботи. Можливе стажування."
202,"Довго знаходжуся в IT сфері (4 роки навчаюся на спеціальності ""Комп'ютерні науки""), через це маю гарну, як для початківця, надивленість.  
Створюю красивий UI, не забуваючи про зручність.  
Створюю і використовую UI-кіти.  
Пройшов міні-курс від WayUp і GoIT, та курс від Hillel IT School. Наразі працюю над створенням портфоліо. Планую працювати в компанії як Trainee/Junior."
203,"Trainee UI/UX designer з 04.2022 по нині.  
- Дизайн веб-сайтів, додатків, ігор (створення нових та робота з вже існуючими проєктами)  
- Створення email-банерів для рекламних розсилок  
- Робота у Figma (з компонентами, стилями, варіантами й т.д)  
- Прототипування  
- Адаптивний дизайн  
- Робота з растровою та векторною графікою  "
204,"Я - UI/UX дизайнер, з Києва, Україна. Займаюсь дослідженням, розробкою, створенням та підтримкою дизайн проєктів для різних галузей. А також створенням маркетингової продукції, що супроводжує проєкт.

Технічні навички:
- Проєктування і розробка
- Wireframing і прототипування
- Адаптивний веб-дизайн
- GUI Android і iOS
- Методології UX і CX
- Аналітика досліджень
- Просування та оптимізація
- Композиція, колір, типографія

Особисті якості:
- Естетичний художній смак
- Креативне мислення
- Самостійність
- Адаптованість та гнучкість
- Презентація продукту
- Комунікабельність
- Жага знань

UI/UX Designer ""UAZMI"" - це агрегатор новин на якому можна ознайомитися з актуальними подіями України та світу, на тему політики, шоу-бізнесу, культури, спорту, науки та інших сфер. Також тут розміщені блоги та відеоблоги.
- Провела аналіз конкурентів та ЦА
- Розробила архітектурну структуру сайту та зручну навігацію
- Створила ескіз та розробила прототип
- Розробила чистий мінімалістичний дизайн
- Розробила logo book.

UI/UX Designer ""Barbaricum"" - навчальна науково-дослідна лабораторія археологічних досліджень. Історичного факультету Національного педагогічного університету ім. М. П. Драгоманова.
- Розробила архітектурну структуру сайту та зручну навігацію
- Створила ескіз та розробила прототип
- Розробила чистий мінімалістичний дизайн
- Розробила logo book.

UI/UX Designer Freelancer
- Розробляю дизайн логотипів, посадових сторінок, сайтів, брендбуки, логобуки, дизайн для соц мереж, рекламну продукцію, друковану продукцію та інше…
- Проводжу аналіз конкурентів та ЦА
- Створюю концеп-дизайн та розробляю прототип
- Розробляю адаптивний дизайн
- Співпрацюю із розробниками."
205,"UI/UX Designer, Web Designer  
Arifmetica, Marketing agency  
Aug 2017 - Jan 2022 - 5 years, Ukraine  
- Проводила маркетингові дослідження та порівняння конкурентів клієнта на базі зібраних даних.  
- Аналізувала вхідні дані від клієнта.  
- Розуміння користувача та його цілей. Для цього проводилось інтерв'ю з клієнтами.  
- Аналізувала юзера, створювала User flow.  
- Працювала з гугл аналітикою, та мапою дотику юзера.  
- Проектувала дизайн на основі зібраних даних та функціонал.  
- Створювала мудборд.  
- Проводила аудит продуктів та оптимізувала існуючі інтерфейси.  
- Проводила інтерв'ю з юзерами, клієнтами для оцінки продукту та користі продукту для вдосконалення. По результатам оптимізували сайт, підвищили конверсію та час перебування юзерів на сайті. Спростили отримання інформації для оптових клієнтів.  
- Співпрацювала із замовником, захист проектів та презентація.  
- Співпрацювала з розробниками, та тестувала готовий продукт.  
- Створювала технічну документацію.  
- Працювала в команді дизайнерів, мала досвід в постанові завдань для всієї команди. Виступала як проджект проекту.  
- Співпрацювала з розробниками та SEO-фахівцями.  
- Розробляла концепти для майбутніх проектів та підбирала референси для замовника.  
- Виявляла «проблемного простору» — що заважає виконанню завдання, як можна покращити завдання чи процес.  
- Збір вимог, розробка альтернатив, прототипування та оцінка.  
- Розробка брендбуку.  
- Створювала айдентику та веб-банера.  
- Розробка пакування для продукту. Від начерку, візуалізації та друку/складання її для товару медичного призначення.  
- Робота з SMM відділом. Створення концепцій дизайну.  

Digital Marketing  
GAF, Київ (Телекомунікації)  
з 08.2015 по 08.2017 (2 роки)  
- Аналітика даних компанії.  
- Аналітика маркетингових компаній та комунікацій.  
- Аналітика конкурентів та представлення їх в інтернет-просторі.  
- Створення звіту та плану по покращенню та підвищенню лідів.  
- Створення відділу першої лінії продажу.  
- Написання скриптів для відділу продажу.  
- Розробка стратегії просування компанії у соціальних мережах, форумах. Захист стратегії перед керівництвом.  
- Розробка, тестування рекламної стратегії.  
- Підготовка матеріалів для реклами.  
- Звіти про продаж, планування.  
- Робота з відділом дизайну.  
- Робота над апдейтом сайту. Збір даних про поведінку користувачів на сайті. Виявлення сліпих зон.  
- Розробка візуальної концепції для соціальних мереж.  

Web designer, Freelance  
з 08.2015 по 08.2017 (2 роки)  
- Створювала дизайн для веб-сайтів, адаптуючи його під потреби клієнтів.  
- Розробляла макети та прототипи сайтів.  
- Співпрацювала з клієнтами для уточнення вимог та побажань.  
- Використовувала сучасні інструменти для дизайну та верстки.  
- Проводила тестування та оптимізацію сайтів для покращення юзабіліті.  "
206,"**Mobios School** - жовт 2021 - бер 2021  
UI/UX Design & Mob  

**IT Labs** - вер 2020 - лист 2020  
Web Design  

Відкритість та бажання освоїти нові знання, комунікабельність, здатність до самоаналізу, вміння вислухати та сприйняти конструктивну критику, швидконавчання  

**UI/UX Designer** - серп 2021 - по теперішній час  
**Мережа Ланет**  
Обов’язки:  
UX: аналіз конкурентів, розробка wireframe, розробка навігаційних карт, створення прототипів.  
UI: створення UI kit, дизайн мобільних додатків, дизайн landing page, дизайн інтернет магазинів, дизайн корпоративних сайтів.  

**Freelancer** - січ 2021 - серп 2021  
Обов’язки:  
UX: аналіз конкурентів, часткова аналітика GA, розробка wireframe, розробка навігаційних карт, створення прототипів.  
UI: створення UI kit, дизайн мобільних додатків, дизайн landing page, дизайн інтернет магазинів, дизайн корпоративних сайтів.  

**UI/UX Дизайнер (Проектна робота)** - трав 2021 - лип 2021  
**Aventus Group**  
Робота над новим проектом в сфері онлайн кредитування  
Обов’язки:  
UX: аналіз конкурентів, часткова аналітика GA, створення прототипу  
UI: створення UI kit, дизайн мобільного додатку, дизайн онлайн карти, участь у створенні дизайну фізичної карти  

**UI/UX Дизайнер** - квіт 2015 - квіт 2016  
**Qwert-Media**  
Обов’язки:  
UX: аналіз конкурентів, створення wireframe, часткове проектування вже існуючих сайтів  
UI: створення UI kit, дизайн web сайтів, дизайн адаптивних версій, дизайн та підтримка вже існуючих проектів  
Аналіз та проектування, створення сучасного дизайну як для Web, так і для мобільних додатків, підтримка вже існуючих проектів.  
Співпраця із командою як дизайнерів, так і розробників.  
Підготовка макету до верстки."
207,"UI/UX designer: Створення творчих ідей, концепцій та задумів для веб-сайтів, лендінгів, мобільних додатків. Створення веб-сайтів на Tilda. Побудова інформаційної архітектури, user flows, wireframes, CJM. Проектування екранів інтерфейсу та прототипів. 

Графічний дизайнер freelance: Створення логотипів, банерів, ілюстрацій для різних компаній та студій. 

Програми: Figma, Adobe Photoshop, Adobe Illustrator, Sketch, Miro, InVision. 

Маю бажання якнайшвидше потрапити у хорошу команду, де зможу застосовувати свої скіли і максимально розвиватись!"
208,"UI/UX Designer

Фрілансові проекти:
Дизайн лендінгів, інтернет-магазинів, редизайн, адаптивний дизайн, кастомні сторінки, екрани та графічні елементи.

ITSC.CO:
Аналіз поведінки користувачів і товару клієнта. Створення макетів і прототипів. Розробка сайтів, графічних елементів, стилів, робота зі шрифтами, кольорами та розмірами."
209,"- Очікую професійного росту: важливо виконувати цікаві завдання у компанії з людьми, які мають хороші цінності.
- UI/UX design, web, adaptive.
- Маю досвід роботи з міжнародними компаніями.
- Маю досвід у великій кількості напрямків, що не стосується лише дизайну."
210,"- Розробка інтерфейсу каси самообслуговування
- Побудова системи сервісу по найму приватних тренерів на дому в Америці
- Вебсайти, айдентика
- UI
- UX
- IA
- Webdesign"
211,"Приймав участь в розробці ecommerce сервісу для Близького Сходу в Дубаї, ОАЕ. Мав досвід управління командою дизайнерів як засновник регіональної дизайн-студії. Працював з замовниками з Швеції, Англії, Швейцарії, Дубаї, Франції. UI, UX, mobile design для Android та iOS додатків. Графічний, моушн-дизайн, ілюстрація, фотографія. Можливість росту, цікаві проекти, комфортні умови."
212,"Курси англійської мови Green Forest  
1.5 роки  

Марафон по UX/UI дизайну від GoIT  
1 тиждень  

Курс UI/UX Design (by Taras Shypka)  
6 місяців  

Курс ""Веб-дизайнер: взрывной старт"" по UI/UX дизайну від WayUP  
1 тиждень  

Демокурс по UX/UI дизайну від GoIT  
1 тиждень  

UI/UX-дизайнер  
з 09.2020 по 12.2022 (2 роки 3 місяці)  
Fiverr, Дистанційно (Дизайн)  

Розробка користувацьких інтерфейсів, макетів веб-сайтів та додатків для телефонів, прев'ю відео для YouTube, логотипів, лендінгів.  

Я є UI/UX дизайнером. Мої навички включають знання Adobe Photoshop, Figma, Illustrator, знання друкарських технологій. Досвід роботи з фотографією та студійним обладнанням. Крім того, я комунікабельна людина і легко вписуюсь у будь-яку команду.  
Також маю досвід у проектуванні веб-сайтів та мобільних додатків. Розумію, як і де можна застосовувати анімацію, а де це не доцільно, а також знаю, чим адаптивний дизайн відрізняється від респонсивного. Мій досвід включає проектування внутрішніх документів (форми, презентації), матеріалів для розміщення в Інтернеті (банери, креативи в соціальних мережах, відеоінфографіка, email-розсилки). Досвід у проектуванні та розробці користувацьких інтерфейсів і досвіду користувачів.  

Навички:  
- UI/UX дизайн;  
- веб-дизайн;  
- дослідження та збір даних;  
- типографіка;  
- розуміння принципів дизайну;  
- робота над кількома проектами одночасно;  
- базове розуміння HTML та фреймворків.  

Особисті якості:  
- увага до деталей;  
- відповідальність;  
- уважність;  
- стресостійкість та вміння правильно сприймати критику;  
- пунктуальність;  
- сумлінність;  
- готовність до навчання та самовдосконалення;  
- комунікабельність та вміння працювати в команді;  
- прагнення до досконалості в роботі;  
- розвинена уява та просторове мислення;  
- почуття смаку та креативність.  

Хобі та інтереси:  
- рок-музика;  
- волейбол;  
- настільний теніс;  
- відпочинок.  "
213,"UI/UX дизайнер

• Переробка дизайну мобільного додатку  
• Приріст користувачів на Українському ринку  
• Проектування та розробка мобільних інтерфейсів  
• Проектування та розробка Web інтерфейсів  
• Навички володіння Figma, Adobe Photoshop, Illustrator, CorelDRAW  
• Дослідження та інтерв’ю на внутрішніх проектах  
• Робота в продуктовій команді  

Навички  
• Управління продуктовою командою з розробки мобільного додатку (PO)  
• People management  
• Робота по Scrum  
• UI/UX дизайнер мобільного додатку  
• Збір вимог до задач, дослідження аналізу ринку  
• Розробка web-інтерфейсів (інтернет-магазини, корпоративні сайти)  
• Створення та розробка POS-матеріалів  "
214,"• UI дизайнер  
з 11.2018 по 02.2022 (3 роки 2 місяці)  
Група компаній ""РемонтЕкспресс"", дистанційно.  
– Розробка адаптивних макетів веб-сторінок відповідно до існуючої дизайн-системи.  
– Підтримка існуючих сторінок компанії.  
– Створення банерів.  
– Оформлення Instagram.  
– Розробка логотипу та бренд-буку компанії, каталогів продукції, фірмової документації, буклетів.  

• UI дизайнер  
з 09.2015 по 11.2018 (3 роки 2 місяці)  
ФОП ""Скай"", дистанційно (салони краси, аптеки)  
– Створення сторінок для салону краси, гриль-бару, бюро нерухомості та ін.  
– Розробка міні-порталу Prokurs (про актуальні курси валюти, вартість палива, форум).  
– Розробка з нуля веб-додатку для салонів краси ""SalonProf"".  

• Помічник веб-дизайнера  
з 04.2015 по 09.2015 (5 місяців)  
Damira Dovlatova, Кривий Ріг (створення веб-сайтів)  
– Дистанційна робота над створенням внутрішніх сторінок сайту на основі домашньої сторінки.  

• Дизайнер  
з 11.2006 по 11.2011 (5 років)  
Aries (поліграфія)  
– Успішна робота в типографії протягом 5 років.  
– Розробка макетів різної складності (від візиток до каталогів) та їх подальша підготовка до друку.  

• Вища освіта, спеціалізація ""Графічний дизайн""."
215,"Unilime (з січня 2023)  
Веб-дизайнер, UI/UX designer, бренд-дизайнер.

POZITIFF (жовтень 2019 – січень 2022)  
Графічний дизайнер, веб-дизайнер  
оформлення рекламних матеріалів, створення графіки для сайтів, створення концепцій візуальної айдентики, створення ілюстрацій.

IDEST agency (квітень 2019 – жовтень 2019)  
Графічний дизайнер  
створення концепцій візуальної айдентики, оформлення соцмереж, робота з поліграфією та створення рекламних матеріалів.

WSwallpaper (грудень 2017 – березень 2019)  
Графічний дизайнер  
розробка дизайну шпалер, верстка каталогів, створення рекламних матеріалів.

Під час роботи в компанії провела курс ""Основи Photoshop"" для менеджерів, створила методичний посібник для оптимізації роботи у графічних редакторах."
216,"Маю досвід розробки освітнього додатку для школярів ""Нова Школа"". Створив власний онлайн журнал Cultural Magazine. Усі сайти, якими я займався, одобрені роботодавцями.

Професійні навички: UX/UI Design, Web/Mobile design, створення сайтів під ключ на конструкторах Tilda та Wordpress.

Володію програмами: Adobe Photoshop, Adobe Illustrator, Adobe Premier, Figma, Word/Pages/Documents, Excel.

Маю великий досвід роботи з конструкторами Wordpress та Tilda.

Також маю досвід роботи в якості СЕО-спеціаліста. Володію навичками роботи з Google Search Console, Adwords, Analytics, Serpstat. Можу створити, розгрупувати та кластеризувати семантичне ядро, а також закупити посилання на релевантних сайтах по заданій тематиці.

Я творча особистість, дизайн сайтів — моя професія, від якої я отримую задоволення. Хотів би займатись дизайном сайтів та мобільних додатків."
217,"Пройшла «бойове хрещення» пікселем та коментарями від кота директора під час виконання держзамовлення (візуалізація з метою пояснення ковідних обмежень та креативи для популяризації Громадського бюджету в Києві)  
UX/UI дизайнер в Selzy (Unisender.UA) by Ecomz  
(з 27.09.2021 по теперiшнiй час)  

• Розробка дизайну та архiтектури нових сторiнок сайту;  
• Редизайн iснуючих сторiнок та доповнення їх новими блоками;  
• Дизайн промо-сторінок, що вирішують маркетинговi задачi, на Tilda.  

Викладач курсу Web & UI/UX дизайн в Prog.kiev.ua  
(31.05.2021 по теперiшнiй час)  

• Пiдготовка навчального матерiалу в рамках програми курсу та проведення онлайн/офлайн лекцiй для студентiв;  
• Проведення практичних занять з роботи у програмах Figma, Sketch, Photoshop, Illustrator;  
• Менторська допомога студентам у виконаннi домашнiх завдань протягом двох мiсяцiв курсу.  

Фахiвець з дизайну відділу промоцiї та iнформування в КП «Центр публiчної комунiкації та iнформацiї» (Державний сектор)  
(2019 — 2021)  

• Розробка дизайну для друкованої продукцi (банери, брошури, флаєри) та пiдготовка макетiв для друку;  
• Створення iнфографiк для публiкацiй на офiцiйних сторiнках у соцмережах;  
• Пiдготовка презентацiй, вiдповiдно до рекомендацiй брендбуку;  
• Редагування звiтiв вiдповiдно до основних принципiв сучасної типогафiки.  

Iнтерн-дизайнер в OneDome (IT)  
(2019 — 2020)  

• Дизайн iконок, банерiв;  
• Проведення UX дослiджень (аналiз конкурентiв, створення персон, CJM, User Flow);  
• Пiдготовка макетiв для брендованої продукцiї;  
• Ребрендiнг сайту та додаткiв компанiї.  

UI/UX Designer (Фріланс)  
(2018 — 2022)  

• Створення дизайнiв сайтiв та їхнiх адаптивних версiй, вiдповiдно до результатiв проведених дослiджень (створення портрету користувача, аналiз конкурентiв та iн.);  
• Редизайн сайтiв, з урахуванням вже iснуючого бредового стилю та покращення user-experience;  
• Розробка айдентики для нових бiзнесiв (логотипи, фiрмовий стиль);  
• Створення сайтiв за допомогою Tilda.  "
218,"Ux/Ui дизайнер з 2-річним досвідом. Співпраця з розробниками, продуктовими менеджерами та тестувальниками, аналіз даних. Створення інтерфейсів для мобільних додатків та веб-сайтів з урахуванням користувацьких потреб."
219,"• Досвід проектування веб- і мобільних інтерфейсів  
• Проведення UX-досліджень  
• Побудова User Flow  
• Створення wireframes та прототипів  
• Figma, Adobe XD, Photoshop, Illustrator, Miro, Axure  
• Основи HTML, CSS  

Web Designer  
Компанія iPromo.  

• Створення банерів, розсилок  
• Створення презентацій  
• Сайти (landing page) на Tilda  
• Рекламні оголошення (Facebook, Instagram)  
• Створення айдентики та фірмового стилю  "
220,"Отримала змогу вивчати веб-дизайн через проєкт IT Generation. Там підтягнула свої знання та навички. Але на цьому моменті я не зупиняюсь і продовжую вдосконалюватись далі. Тому, на даний момент працюю над створенням CRM системи, над сайтом для фотографки (майже готово, на етапі тестування та покращення) та почала працювати над сайтом для СТО (зараз на етапі досліджень). А ще з радістю вивчаю UX Design на платформі від Coursera.

Досвід роботи поки ще не великий. Спершу навчалась розвивати стиль та смак через творчі сайти (створювала для себе для арт галерей та музеїв), потім змогла отримати замовлення від фотографки (сайт майже готовий). А ще місяць назад отримала можливість попрацювати над створенням CRM-системи, і хоч це лише проєкт для Case Study, я вже чимало отримала знань та невеличкий досвід щодо їх розробки. І зовсім нещодавно отримала замовлення для редизайну сайту для СТО.

На даний момент я відкрита до нових можливостей. Дуже хочу спробувати попрацювати ближче з мобільними застосунками."
