,resume
202,"I've been in the IT field for a long time (I've been studying Computer Science for 4 years), which is why I have a good perspective for a beginner.
I create a beautiful UI without forgetting about convenience
I create and use UI kits
-------------------------------------
Довго знаходжуся в IT сфері (4 роки навчаюся на спеціальності ""Комп'ютерні науки""), через це маю гарну, як для початківця, надивленість.
Створюю красивий UI не забуваючи про зручність
Створюю і використовую UI-кіти
Took a mini-course from WayUp and GoIT, and a course from Hillel IT School. I am currently working on creating a portfolio. I plan to work in the company as a Trainee/Junior.
-------------------------------------
Пройшов міні-курс від WayUp і GoIT, та курс від Hillel IT School. Наразі працюю над створенням портфоліо. Планую працювати в компаніїї як Trainee/Junior.
"
203,"
Trainee UI/UX designer з 04.2022 по нині.
- дизайн веб-сайтів, додатків, ігор (створення нових та робота з вже існуючими проєктами)
- створення email-банерів для рекламних розсилок
- робота у Figma (з компонентами, стилями, варіантами й т.д)
- прототипування 
- адаптивний дизайн 
- робота з растровою та векторною графікою
"
204,"Я - UI/UX дизайнер, з Києва, Україна  Займаюсь дослідженням, розробкою, створенням та підтримкою дизайн проєктів для різних галузей. А також створенням маркетингової продукції, що супроводжує проєкт.

Технічні навички:
Проєктування і розробка
Wireframing і прототипування
Адаптивний веб-дизайн
GUI Android і iOS
Методології UX і CX
Аналітика досліджень
Просування та оптимізація
Композиція, колір, типографія

Особисті якості:
Естетичний художній смак
Креативне мислення
Самостійність
Адаптованість та гнучкість
Презентація продукту
Комунікабельність
Жага знань
UI/UX Designer ""UAZMI""- це агрегатор новин на якому можна ознайомитися з актуальними подіями України та світу, на тему політики, шоу-бізнесу, культури, спорту, науки та інших сфер. Також тут розміщєні блоги та відеоблоги.

Провела аналіз конкурентів та ЦА
Розробила архітектурну структуру сайту та зручну навігацію
Створила ескіз та розробила прототип
Розробила чистий мінімалістичний дизайн
Розробила  logo book.

UI/UX Designer ""Barbaricum""- навчальна науково-дослідна лабораторія археологічних досліджень. Історичного факультету Національного педагогічного університету ім. М. П. Драгоманова.

Розробила архітектурну структуру сайту та зручну навігацію
Створила ескіз та розробила прототип
Розробила чистий мінімалістичний дизайн
Розробила logo book.

UI/UX Designer Freelancer
Розробляю дизайн логотипів, посадових сторінок, сайтів, брендбуки, логобуки, дизайн для соц мереж, рекламну продукцію, друковану продукцію та інше…

Проводжу аналіз конкурентів та ЦА
Створюю концеп-дизайн та розробляю прототип
Розробляю адаптивний дизайн
Співпрацюю із розробниками
"
205,"
UI/UX Designer, Web Designer
Arifmetica, Marketing agency
Aug 2017 - Jen 2022 - 5 years, Ukraine
- Проводила маркетингові дослідження та порівняння конкурентів клієнта на базі зібраних даних.
- Аналізувала вхідні дані від клієнта.
- Розуміння користувача та його цілей. Для цього проводилось інтерв'ю з клієнтами.
- Аналізувала юзера, створювала User flow.
- Працювала з гугл аналітикою, та мапою дотику юзера.
- Проектувала дизайн на основі зібраних даних та функціонал.
- Створювала мудборд.
- Проводила аудит продуктів та оптимізувала існуючі інтерфейси.
- Проводила інтерв'ю з юзерами, клієнтами для оцінки продукту та користі продукту для вдосконалення. По результатам оптимізували сайт, підвищили конверсію та час перебування юзерів на сайті. Спростили отримання інформації для оптових клієнтів.
- Співпрацювала із замовником, захист проектів та презентація.
- Співпрацювала з розробниками, та тестувала готовий продукт.
- Створювала технічну документацію.
- Працювала в команді дизайнерів, мала досвід в постанові завдань для всієї команди. Виступала як проджект проекту.
- Співпрацювала з розробниками та SEO-фахівцями.
- Розробляла концепти для майбутніх проектів та підбирала референси для замовника.
- Виявляла «проблемного простору» — що заважає виконанню завдання, як можна покращити завдання чи процес.
- Збір вимог, розробка альтернатив, прототипування та оцінка.
- Розробка брендбуку.
- Створювала айдентику та веб-банера.
- Розробка пакування для продукту. Від начерку, візуалізації та друку/складання її для товару медичного призначення.
- Робота з SMM відділом. Створення концепцій дизайну.

Digital Marketing
GAF, Київ (Телекоммунікації)
з 08.2015 по 08.2017 (2 роки)
- Аналітика даних компанії.
- Аналітика маркетингових компаній та комунікацій.
- Аналітика конкурентів та представлення їх в інтернет-просторі.
- Створення звіту та плану по покращенню та підвищенню лідів.
- Створення відділу першої лінії продажу.
- Написання скриптів для відділу продажу.
- Розробка стратегії просування компанії у соціальних мережах, форумах. Захист стратегії перед керівництвом.
- Розробка, тестування рекламної стратегії.
- Підготовка матеріалів для реклами.
- Звіти про продаж, планування.
- Робота з відділом дизайну.
- Робота над апдейтом сайту. Збір даних про поведінку користувачів на сайті. Виявлення сліпих зон.
- Розробка візуальної концепції для соціальних мереж.

Web designer, Freelance
з 08.2015 по 08.2017 (2 роки)
- Створювала диза
"
206,"Mobios School - жовт 2021 - бер 2021 
UI/UX Design & Mob

IT Labs - вер 2020 - лист 2020
Web Design 

Відкритість та бажання освоїти нові знання, комунікабельність,
здатність до самоаналізу, вміння вислухати та сприйняти конструктивну критику, швидконавчання
UI/UX Designer - серп 2021 - по теперішній час
Мережа Ланет
Обов’язки: 
UX: аналіз конкурентів, розробка wireframe, розробка навігаційних карт, створення прототипів.
UI: створення UI kit, дизайн мобільних додатків, дизайн landing page, дизайн інтернет магазинів, дизайн корпортивних сайтів. 

Freelancer - січ 2021 - серп 2021
Обов’язки: 
UX: аналіз конкурентів, часткова аналітика GA, розробка wireframe, розробка навігаційних карт, створення прототипів.
UI: створення UI kit, дизайн мобільних додатків, дизайн landing page, дизайн інтернет магазинів, дизайн корпортивних сайтів. 

UI/UX Дизайнер (Проектна робота) - трав 2021 - лип 2021
Aventus Group
Робота над новим проектом, в сфері онлайн кредитування
Обов’язки: 
UX: аналіз конкурентів, часткова аналітика GA, створення прототипу
UI: створення UI kit, дизайн мобільного додатку, дизайн онлайн карти, участь у створенні дизайна, фізичної карти

UI/UX Дизайнер - квіт 2015 - квіт 2016
Qwert-Media
Обов’язки: 
UX: аналіз конкурентів, створення wireframe, часткове проектування, вже існуючих сайтів
UI: створення UI kit, дизайн web сайтів, дизайн адаптивних версій, дизайн та підтримка вже існуючих проектів
Аналіз та проектування, створення сучаного дизайну, як для Web так і для мобільних додатків, підтримка вже існуючих проектів.
Співпраця із командою як дизайнерів, так і розробників.
Підготовка макету до верстки."
207,"
UI/UX designer : Створення творчих ідей, концепцій та задумів для веб-сайтів, лендінгів, мобільних додатків.
Створення веб -сайтів на Tilda.
Побудова information architecture, user flows, wireframes, сjm.
Проектування екранів інтерфейсу та прототипів.
Графічний дизайнер freelance: 
Створення логотипів, банерів, ілюстрацій для різних компаній та студій.
Програми: Figma Adobe Photoshop Adobe lllustrator Sketch Miro InVision

Маю бажання якнайшвидше потрапити у хорошу команду де зможу застосовувати свої скіли і максимально розвиватись!
"
208,"
UI/UX Designer |Фрілансові проекти:
Дизайн лендінгів, інтернет магазинів, редизайн, адаптивний дизайн, кастомні сторінки, екрани та графічні елементи;

UI/UX Designer | ITSC.CO:
Аналіз поведінки користувачів і товару клієнта. Створення макетів і прототипів. Розробка сайтів, графічних елементів, стилів, робота зі шрифтами, кольорами та розмірами.
"
209,"- Від роботи чекаю професійного росту: важливо виконувати цікаві завдання у компанії з людьми, які мають хороші цінності.
UI/UX design, web, adaptive.
- Маю досвід роботи з міжнародними компаніями;
- Маю досвід у великій кількості напрямків, що не стосується лише дизайну;"
210,"- розробка інтерфейсу каси самообслуговування;
- побудова системи сервісу по найму приватних тренерів на дому в Америці
- вебсайти, айдентика
UI
UX
IA
WEBDESIGN
"
211,"Приймав участь в розробці ecommerce сервісу для близького сходу в Дубаї, ОАЕ.
Мав досвід управління командою дизайнерів, як засновиник регіональної дизайн студії.
Працював з замовниками з Швеції, Англії, Швейцарії, Дубаї, Франції.
UI, UX, mobile design fro android and IOS app.
Graphic, motion design, illustration, photography.
Можливість росту, цікаві проекти, комфортні умови."
212,"Курси англійської мови Green Forest
1.5 роки

Марафон по UX/UI дизайну від GoIT
1 тиждень

Курс UI/UX Design (by Taras Shypka)
6 місяців

Курс ""Веб-дизайнер: взрывной старт"" по UI/UX дизайну від WayUP
1 тиждень

Демокурс по UX/UI дизайну від GoIT
1 тиждень
UI/UX-дизайнер
з 09.2020 по 12.2022 (2 рік 3 місяці)
Fiverr, Дистанційно (Дизайн)

Designed user interfaces, layouts of websites and apps for phones, YouTube video previews, logotypes, landing page.

I am a UI/UX Designer. My skills are knowledge of Adobe Photoshop, Figma, Illustrator, knowledge of printing technologies. Experience with photography and studio equipment. In addition, I am an easy-going person and fit any team.
I also have experience in designing websites and mobile applications. I understand how and where animation can be applied, and where it should not be done, and I also know how adaptive design differs from responsive design. My experience in the design of internal document materials (forms, presentations), materials for placement on Internet resources (banners, creatives in social networks, video infographics, email newsletters). Experience in designing and developing user interfaces and user experiences.

Skill:
- UI/UX design;
- web design;
- research and data collection;
- typography;
- understanding of design principles;
- work on several projects at the same time;
- basic understanding of HTML and frameworks.

Personal qualities:
- attention to details;
- responsibility;
- attentiveness;
- stress resistance and the ability to correctly perceive criticism;
- punctuality;
- conscientiousness;
- willingness to learn and self-improvement;
- communication skills and ability to work in a team;
- striving for perfection in work;
- developed imagination and spatial thinking;
- sense of taste and creativity.

Hobbies and interests:
- Rock music;
- volleyball;
- table tennis;
- recreation.
"
213,"Переробка дизайну мобільного додатку,
Приріст користувачів на Українському ринку
UI/UX дизайнер
• Проектування та розробка мобільних інтерфейсів
• Проектування та розробка Web інтерфейсів
• Навички володіння Figma, Adobe Photoshop, Illustrator,
CorelDRAW.
• Дослідження та інтерв’ю на внутрішніх проектах
• Работа в продуктовій команді

Навички 
• Управління продуктовою командою з розробки мобільного
додатку (PO)
• People management
• Робота по Scrum
• UI/UX дизайнер мобільного додатку
• Збір вимог до задач, дослідження аналізу ринка
• Розробка web-интерфейсів; (інтернет-магазини,
корпоративні сайти)
• Створення та розробка POS-матеріалів
"
214,"
• UI дизайнер
з 11.2018 по 02.2022 (3 роки 2 місяці)
Група компаній ""РемонтЕкспресс"", дистанційно.
– працювала над розробкою адаптивних макетів веб-сторінок в відповідності до існуючої дизайн-системи 
– підтримувала існуючі сторінки компанії
– створювала банери
– оформлювала інстаграм 
– створювала лого та бренд-бук компанії, каталоги продукції, фірмову документацію, буклети.

• UI дизайнер
з 09.2015 по 11.2018 (3 роки 2 місяці)
ФОП ""Скай"", дистанційно (салони краси, аптеки)
– Створила сторінки для салону краси, гриль-бару, бюро нерухомості та ін.  
– Займалася розробкою міні-порталу Prokurs (про актуальні курси валюти, вартість палива, форум)
– Розробка з нуля веб-додатку для салонів краси ""SalonProf""

• Помічник веб-дизайнера
з 04.2015 по 09.2015 (5 місяців)
Damira Dovlatova, Кривий Ріг (створення веб-сайтів)
Працювала дистанційно над створенням внутрішніх сторінок сайту на основі домашньої сторінки.

• Дизайнер
з 11.2006 по 11.2011 (5 років)
Aries(поліграфія)
Успішно працювала в типографії протягом 5-ти років.
Займала посаду дизайнера..
В мої обов'язки входила розробка макетів різної складності (від візиток до каталогів) та їх подальша підготовка до друку.

• Маю вищу освіту, спеціалізація ""Графічний дизайн""
"
215,"
Unilime (з січня 2023) 
Веб-дизайнер, UI/UX designer, бренд-дизайнер.

POZITIFF (жовтень 2019 – січень 2022)
Графічний дизайнер, веб-дизайнер
оформлення рекламних матеріалів, створення графіки для сайтів, створення концепцій візуальної айдентики, створення ілюстрацій


IDEST agency (квітень 2019 – жовтень 2019)
Графічний дизайнер
створення концепцій візуальної айдентики, оформлення соцмереж, робота з поліграфією та створення рекламних матеріалів

WSwallpaper (грудень 2017 – березень 2019) 
Графічний дизайнер
розробка дизайну шпалер, верстка каталогів, створення рекламних матеріалів

Під час роботи в компанії провела курс ""Основи Photoshop"" для менеджерів, створила методичний посібник для оптимізації роботи у графічних редакторах
"
216,"Мною був розроблений освітній додаток для школярів ""Нова Школа"".
Створив власний онлайн журнал Cultural Magazine.
Усі сайти, якими я займався, одобрені роботодавцями.
UX/UI Designer, Web/Mobile design, сайти під ключ на конструкторах Tilda та Wordpress

Робота з програмами: Adobe Photoshop, Adobe Illustrator, Adobe Premier, Figma, Word/Pages/Documents, Excel.

Великий досвід роботи з конструкторами: Wordpress та Tilda

Мною був розроблений освітній додаток для школярів - ""Нова Школа"".
Створив власний онлайн журнал Cultural Magazine.

Був досвід роботи в якості СЕО-спеціаліста. 
Є навички в роботі Google Search Console, Adwords, Analytics, Serpstat. Можу створити, розгрупувати та кластеризувати семантичне ядро. Закупити посилання на релевантних сайтах по заданій тематиці.
Я творча особистість, дизайн сайтів — моя професія, від якої я отримую задоволення. Хотів би займатись дизайном сайтів, мобільних додатків."
217,"Пройшла «бойове хрещення» пікселем та коментарями від кота директора під час виконання держзамовлення (візуалізація з метою пояснення ковідних обмежень та креативи для популяризації Громадського бюджету в Києві)
UX/UI дизайнер в Selzy (Unisender.UA) by Ecomz
(з 27.09.2021 по теперiшнiй час)

• Розробка дизайну та архiтектури нових сторiнок сайту;
• Редизайн iснуючих сторiнок та доповнення їх новими блоками;
• Дизайн промо-сторінок, що вирішуть маркетинговi задачi, на Tilda.


Викладач курсу Web & UI/UX дизайн в Prog.kiev.ua
(31.05.2021 по теперiшнiй час)

• Пiдготовка навчального матерiалу в рамках програми курсу 
та проведення онлайн/офлайн лекцiй для студентiв;
• Проведення практичних занять з роботи у програмах Figma, Sketch, Photoshop, Illustrator;
• Менторська допомога студентам у виконаннi домашнiх завдань протягом двух мiсяцiв курсу.

Фахiвець з дизайну відділу промоцiї та iнформування в КП «Центр публiчної комунiкації та iнформацiї» (Державний сектор)
(2019 — 2021)

• Розробка дизайну для друкованої продукцiї (банери, брошури, флаєри) та пiдготовка макетiв для друку;
• Створення iнфографiк для публiкацiй на офiцiйних сторiнках у соцмережах;
• Пiдготовка презентацiй, вiдповiдно до рекомендацiй брендбуку;
• Редагування звiтiв вiдповiдно до основних принципiв сучасної типогафiки.


Iнтерн-дизайнер в OneDome (IT)
(2019 — 2020)

• Дизайн iконок, банерiв;
• Проведення UX дослiджень (аналiз конкурентiв, створення персон, CJM, User Flow);
• Пiдготовка макетiв для брендованої продукцiї;
• Ребрендiнг сайту та додаткiв компанiї.


UI/UX Designer (Фріланс)
(2018 — 2022)

• Створення дизайнiв сайтiв та їхнiх адаптивних версiй, вiдповiдно до результатiв проведених дослiджень (створення портрету користувача, аналiз конкурентiв та iн.);
• Редизайн сайтiв, з урахуванням вже iснуючого бредового стилю та покращення user-experience;
• Розробка айдентики для нових бiзнесiв (логотипи, фiрмовий стиль);
• Створення сайтiв за допомогою Tilda.
"
218,"
Ux/Ui дизайнер з 2-річним досвідом. Роль у команді - співпраця з розробниками, продуктовими менеджерами та тестувальниками, аналіз даних.
Створювала інтерфейси для мобільних додатків та веб-сайтів, розуміючи користувацькі потреби.
"
219,"• Досвід проектування Web і Mobile інтерфейсів
• Проведення UX research
• Побудова User Flow
• Створення wireframes та прототипів
• Figma, Adobe XD, Photoshop, Illustrator, Miro, Axure
• Основи HTML, CSS
Web Designer
Компанія iPromo.

• Створення банерів, розсилки
• Створення презентацій
• Сайти (landing page) на Tilda
• Pекламні оголошення (Facebook, Instagram)
• Створення айдентики та фірмового стилю
"
220,"I was able to study web design through the IT Generation project. I improved my knowledge and skills there. But at this point I do not stop and continue to improve further. Therefore, at the moment I am working on the creation of a CRM system, on a site for a photographer (almost ready, at the stage of testing and improvement) and started working on a site for a service station (now at the research stage). I am also happy to study UX Design on the Coursera platform.

Отримала змогу вивчати веб-дизайн через проєкт IT Generation. Там підтянула свої знання та навички. Але на цьому моменті я не зупиняюсь і продовжую вдосконалюватись далі. Тому, на даний момент працюю над створенням CRM системи, над сайтом для фотографки (майже готово, на етапі тестування та покращення) та почала працювати над сайтом для СТО (зараз на етапі досліджень). А ще з радістю вивчаю UX Design на платформі від Coursera.
Work experience is still not great. At first, I've learned to develop style and taste through creative websites (I created just for practice sites art galleries and museums), then she was able to get an order from a photographer (the website is almost ready).
And a month ago, I got the opportunity to work on the creation of a CRM system, and although it is only a project for a Case Study, I have already gained a lot of knowledge and a little experience in their development.
And very recently, I've received an order for the redesign of the website for the service station.

Досвід роботи поки ще не великий. Спершу навчалась розвивати стиль та смак через творчі сайти (створювала для себе для арт галерей та музеїв), потім змогла отримати замовлення від фотографки (сайт майже готовий) 
А ще місяць назад отримала можливість попрацювати над створенням CRM-системи, і хоч це лише проєкт для Case Study, я вже чимало отримала знань та невеличкий досвід щодо їх розробки. 
І зовсім нещодавно отримала замовлення для редизайну сайту для СТО.
At the moment, I am open to new opportunities. I really want to try to work more closely with mobile applications.

На даний момент я відкрита до нових можливостей. Дуже хочу спробувати попрацювати ближче з мобільними застосунками."
221,"
Адміністратор онлайн занять  -  IMT-Academy (2017-2020)
Адміністрування онлайн знять 
Підтримка онлайн та офлайн студентів
Створення відео контенту для внутрішньої системи академії(LMS)

Motion designer - Фріланс (2020-2023)
Анімування елементів інтерфейсу сайтів та мобільних додатків.
Створення відеоматеріалів для рекламних компаній контекстної реклами та для таргетованої реклами в соціальних мережах.
Створення відеоматеріалів для офлайн реклами.


UI/UX designer - Фріланс (2022-2023)
Аналіз цільової аудиторії та ніші, ресерч референсів.
Розробляв портрети користувачів, сценарії використання і логіку роботи проектів.
Розробка прототипів дизайну сайтів.
Розробка UI дизайнів сайтів.
Проводив UX аудит та оптимізвав існуючі інтерфейси.
Розробка UX дизайнів сайтів.
Розробка адаптивні для мобільних пристроїв.
Співпрацював-комунікував з замовниками , front-end розробниками та SEO спеціалістами.
Створював іконки , ілюстрації, логотипи, банера та інші графічні елементи.

Додатково: Створював 3D моделі елементів дизайну сайту та високополігональні моделі
"
222,"Я не маю великого комерційного досвіду, щоб відзначити щось дуже специфічне, але коли берусь за якусь роботу, то стараюсь виконати її максимально добре
- Адміністратор у ресторані: фінансова звітність, керування персоналом, комунікація з людьми, вирішення конфліктних ситуацій.
- Рекрутер: підбір людей на роботу, підбір роботи для людей.
- Помічник PMa: організація товарообігу
Хочу створювати дійсно зручні умови праці"
223,"
Адміністрування серверів на ОС Windows server
Адміністрування мережевого обладнання;
Ремонт і налаштування компютерного парку (+-40 ПК) і периферії.
Профілактичні роботи і участь у закупівлі нового обладнання
Створення резервних копій даних , відновлення даних.
Навчання користувачів
Адміністрування доменних служб Active Directory
Адміністрування сайту закладу
Наразі вивчаю ui/ux дизайн, хочу розвивається в цій професії, маю багато ідей та енергії
"
224,"
Андрій, 22 роки.
Маю досвід створення сайтів різних типів. Співпрацював зі студіями та працював на фрілансі. До вебу займався графічним дизайном та поліграфією.
Відповідальний, працьовитий, легко знаходжу спільну мову з людьми в команді.
Можу спілкуватись та переписуватись англійською.
Добре володію фігмою, ілюстратором, фотошопом, блендером.
Маю усе необхідне для віддаленої роботи (мак і монітор).
"
225,"
Без досвіду роботи. Маю базові навички у використанні Figma та таргету в Facebook. Володію активними навичками використання та опануванням системи чату GPT для навчання, аналітики та пошуку інформації. Маю досвід у редагуванні та створенні відеороликів.
"
226,"За роботи зроблені на фрилансі получив хороші відгуки, клієнти звертаються знову для оновлення дизайну і створення нової ідеї.
Без досвіду роботи у компанії. Мав невеликий досвід по внесенню правок в готовому проекті, також робив макети лендінгів для портфоліо. Останнім часом занімався розробкою візиток та банерів для приватних осіб.
В пошуках цікавої роботи в колективі, готовий вчитись новому і піднімати свій скіл в тому, що вже вмію. Очікую получити досвід від проектів різного плану та масштабу."
227,"Двічі отримував в різних компаніях підвищення до Арт директора, в моєму резюме більш детально.
Більше 10 років працюю у сфері дизайну. Постійно вдосконалюю свої навички та вміння, шукаю свіжі ідеї для реалізації в проєктах. Напрями UI/UX та Web, Графічний дизайн, motion дизайн, 3D (blender) але ближче все ж таки UI/UX. Мої роботи можно побачити на сайті який вказаний в контактах.
"
228,"Вільно розмовляю англійською.
Постійно навчаюся та підвищую/здобуваю нові навички.
Моя головна супер сила-вміння навчатись та знаходити буть яку потрібну інформацію.
Люблю працювати у команді та знаходити вирішення буть-яких поставлених задач.
Більше 7 років роботи у E-commerce на західних майданчиках у якості CEO.
Глибинний аналіз ринку та конкурентів, дослідження користувачів продуктів. 
Пошук нових продуктів та комунікація з замовниками та користувачами продуктів.
"
229,"Закінчив багато курсів з дизайну, від Genius, Creative Practice, Udemy і Dotli.

Працюючи в компанії, за півтора роки я створив з нуля дизайн для більше ніж 20 додатків на різну тематику. На жаль, через договір підписаний з компанією, я не можу показати ці роботи.

Я думаю, що зможу продемонструвати свої роботи і обгрунтувати мій внесок у них на співбесіді в Зум або Гугл Міт, демонструючи екран.
Також у мене є невеликий досвід у створенні Lottie Анімацій для мобільних додатків. Є портфоліо з різними анімаціями, які я створював.
Продемонструвати їх я також зможу при особистому спілкуванні.
Більше року досвіду на посаді UI/UX Дизайнера в аутсорс компанії

Наразі займаюсь створенням дизайнів під мобільні застосунки, як для потреб компанії так і для зовнішніх замовників.
Працював із додатками для замовників з Америки, Європи та України. На даний момент більше 10 дизайнів додатків, які я робив з нуля.
Частину з них можна знайти у відомих нам маркетах AppStore та Play Market.

----------------------------------------------------------

Близько року  досвіду куратором в онлайн школі на курсі UI/UX Дизайну.

На цій посаді у мене була досвідчена колега, з якою у нас на двох було близько 150 студентів, яких ми проводили через хащі інформації у світ дизайну. До моїх обов'язків входила перевірка домашніх завдань, допомога у їх виконанні, відповіді на питання, які стосуються дизайну і не тільки.
Хотів би професійно розвиватись, вчитися новому щодня. Працювати над цікавими проектами, з цікавими людьми.

Дружний, чуйний, веселий колектив – запорука успіху будь-якої компанії!)

Нема того, чого я не зможу зробити, є тільки те, чому я ще не навчився :)
Намагаюся щодня дізнавитись щось нове не лише в своїй сфері, а й в багатьох інших)"
230,"
Веб-дизайнер, UI/UX
   - Добре володію такими програмами як Figma, Adobe Photoshop, Adobe Illustrator
   - Постійно беру нові завдання для більш детального вивчення та вдосконалення дизайнерських навичок.
   - творчий підхід, вміння швидко та якісно працювати з великими обсягами інформації;
   - почуття стилю
   - організована та відповідальна;
   - комунікабельна
"
231,"
Вивчав UI\UX design у Beetroot Academy в період з лютого по липень 2023 року.
Курсовою роботою по навчанню обрав повний редизайн сайту з консалтингових послуг, UI\UX частини якого мені здались невдалими та застарілими. В процесі цієї роботи проводив різні дослідження: визначення та опитування цільової аудиторії, аналіз конкурентів, аналіз трендів. 
Також в процессі навчання робив дизайн лендінгу для Dating-ресурсу;  low-fideliti wireframes для магазину солодощів. Працював над User persona, Empathy map, User flow, Customer journey map, Information architecture.
Зараз працюю з ментором, для того, щоб покращити свої навички і отримати досвід реального бізнесу.
Дружній колектив. Конкурентна заробітня плата. Можливість кар'єрного росту. Було б круто мати ментора, який допоможе швидше і ефективніше розвиватись у цій професії."
232,"Зробив декілька інстаграм постів. Та маю пару референсів дизйнів сайтів.
Вивчати веб-дизайн я почав нещодавно, приблизно 1-2 місяці тому назад. Оволодів навичками роботи в таких програмах, як Figma і Adobe Photoshop. Кожного дня покращую свої скіли в цих програмах. В процесі створення власного портфоліо.
"
233,"
Вивчаю графічний та веб-дизайн 3 роки. Виконував замовлення як фрілансер. Прагну знайти постійну роботу в цій сфері, щоденно отримувати практичний досвід та вдосконалювати навички. Бажаю працювати в молодому колективі дизайнерів, націлених на створення сучасних продуктів, які вирішують реальні задачі бізнесу.

Більше 3 років працюю куратором в телеграм-чаті на онлайн курсі графічного дизайну в спільноті CREO. Комунікую зі студентами, допомагаю освоїти графічні програми від Adobe.

Маю досвід роботи оператором цифрового та широкоформатного друку в типографії. Добре знайомий з усіма процесами: додрукарською підготовкою, друком та постдруковими роботами.
"
234,"Виконав 3 не комерційні та 1 комерційний проекти.
Маю велике бажання розвиватися у сфері веб дизайну!
Силку на портфоліо скину в приват!
Виконав 3 не комерційні та 1 комерційний проекти для портфоліо. 6 місяців працюю на фрілансі.

Маю велике бажання розвиватися у сфері веб дизайну!
Силку на портфоліо скину в приват!

Дякую за увагу моєї кандидатури!
"
235,"Виконував редизайн дуже старого сайту, використовуючи Фігму та плагіни до неї. До редизайну виконав адаптацію, ui kit, та завантажив кейс на Behance, разом з цим, завершую виконувати лендінг та сервіс.
Виконував лендінг, редизайн сайту, зараз працюю над сервісом, після цього візмусь за розробку мобільного додатку. Для роботи використовую такі програми як Figma, плагіни до неї, Adobe Photoshop, Adobe Illustrator, Canva.
"
