,Modified_meta-llama/llama-3.3-70b-instruct:free_of_Modified_meta-llama/llama-3.3-70b-instruct:free_of_resume_Modelmeta-llama/llama-3.3-70b-instruct:free_Modelmeta-llama/llama-3.3-70b-instruct:free
98359,"Design Professional

Utilizing various tools to bring ideas to life, with expertise in:
- Figma: Prototyping, Wireframes, Customer Journey Maps, Mind Maps, Animations, UX Research, UI Creation, Landings, Adaptive Design, Documentation, Mockups
- After Effects: Custom Motion Animations
- Premiere Pro: Video Editing for Website Content
- Photoshop: Image Editing
- Illustrator: Graphic Design

Proficient in implementing design thinking to create visual representations, with a strong foundation in graphic design, video editing, and user experience (UX) research."
98360,"Web Development Experience

* Redesigned the Alaska Peters website, a barbecue restaurant in New York, USA, enhancing visual appeal through updated design and menu, replacement of low-quality photos, and provision of more comprehensive client information.
* Developed Clin Fix, a web service facilitating connections between users and service providers for tasks such as cleaning and gardening, and between workers and customers."
98361,"Results-driven designer with experience in creating identities from scratch and driving website traffic growth. Successfully contributed to a start-up organization's recognition by developing its online presence.

Key Skills:
• Design and redesign of websites, landing pages, dashboards, and mobile apps
• Responsive design expertise
• Corporate style and identity development
• Prototyping and UI kits creation
• Design of POS materials, preparation for printing, and souvenir products
• Web banners and graphic materials design for social media
• Infographics and presentations design
• Photography and digital image processing

Achievements:
- Created a website from scratch, increasing new customer visits to the organization
- Developed web banners and graphic materials, resulting in increased traffic to the website and official Facebook page

Education:
- Completed UI/UX & Web Design courses in 2018

Career Aspirations:
Seeking a role in an international IT company, preferably in product development, where I can work on complex projects alongside a team of professionals."
98362,"Recent Achievements and Experiences

Hackathon Participant and Winner
- Attended lectures on gender inequality, stereotypes, and engineering specialties
- Collaborated in a team to develop an innovative idea for a chat-bot designed to interest girls in engineering specialties
- Contributed to the creation of a chat-bot in an online girlfriend mode, featuring a test to guide users in choosing a specialty, with the assistance of a prophorientologist in composing relevant questions

Technical Skills and Projects
- Developed databases for an automated hospital employee workstation using SQL Management Studio and Visual Studio in C# for a course project

Current Studies and Professional Development
- Currently studying UX design through a Google course
- Building a professional portfolio
- Seeking an internship to apply skills and knowledge in a practical setting"
98363,"Volunteer Website Designer
Developed impactful landing pages and websites for various clients, including a dog shelter website design for a volunteer organization
Collaborated closely with cross-functional teams to ensure user-centered design solutions
Translated client requirements into visually appealing and intuitive user interfaces
Implemented effective usability testing methodologies to identify areas of improvement
Contributed to the overall success of projects by delivering high-quality designs on time"
98364,"UX Designer & Researcher

Pet Project: 
Panic Attack Application
Designed an application for individuals experiencing panic attacks, focusing on self-education and panic attack reduction.

Project Experience:
Free UI/UX Design Course for Ukrainians (2022) by Taras Shypka
- Collaborated on a team project (4 months, 5 weeks of project duration)
- Held roles of UX Researcher and UI Designer, contributing to the development of a pet-project as part of the course curriculum"
98365,"UX Designer and Developer

Currently enrolled in UX skill improvement courses through Google and Coursera, with 2 out of 7 courses completed, aiming to enhance skills in user experience design.

Project Experience:
- Developed a subscription-based charity website design, analyzing competitors and highlighting the charity's unique aspects to present project information concisely and clearly.
- Designed the website from scratch within a tight deadline, with ongoing improvements based on previous results.

Projects:
- Save Ukraine Now (IF) 1 Day Donate"
98366,"Devin
April 2021 - July 2021: Freelance
July 2021 - November 2021: Freelance

Experience:
Designed a website for Devin
Participated in the development of various company projects
Contributed to the design of a mobile application for an insurance company

Key Responsibilities:
- Created and developed products to maximize effectiveness and solve user problems
- Utilized skills to improve product usability and user experience"
98367,"Results-driven and motivated IT enthusiast with a strong work ethic, seeking to leverage self-study experience in UX/UI design and Figma to secure a role in the industry. Proven ability to quickly learn and adapt to new concepts and technologies.

Key skills: 
- UX/UI design
- Figma
- Quick learner
- Strong work ethic
- Strong communication skills

Professional experience:
Sales Manager
- Managed sales operations
- Developed strong communication skills

Printing Company
- Contributed to the production of plastic cards
- Assisted in printing project documentation

Education and Projects:
- Completed a self-study project in UX/UI design using Figma
- Actively expanding knowledge and skills in IT and design fields through self-study"
98368,"UI/UX School - Genesis Academy
Complex Internet Marketing course at Para school
Web Design Junior, Web Design Beginning courses at Projector

Internship at Star Company
- Contributed to the development of 2 projects: 
  - App for document verification
  - Group of apps in sport and health with a racing theme
- Utilized design tools: 
  - Figma
  - Adobe Photoshop
- Key Responsibilities:
  - Developed screens design
  - Ensured adaptation to iOS and Android platforms
  - Created screenshots for App Store and Google Play listings"
98369,"UX/UI Design Enthusiast
Summary:
Highly motivated individual with a strong foundation in UX/UI design principles, gained through the completion of Google's UX/UI design course on Coursera. Proficient in creating intuitive and attractive interfaces, with a passion for continuous improvement and providing high-quality, user-friendly solutions.

Education:
Completed Google's UX/UI design course on Coursera, mastering basic design principles and learning to effectively utilize tools and programs for interface design.

Experience:
Successfully completed three UX/UI design projects as part of the Coursera course, applying theoretical knowledge to practical design challenges.
Developed and refined skills through personal projects, exploring various design styles and approaches to enhance creativity and proficiency in website and app design.

Skills:
UX/UI design principles
Interface design
Proficiency in design tools and programs
Continuous learning and self-improvement
High-quality and user-friendly solution design
Creativity and adaptability in design approaches"
98370,"Dedicated and conscientious professional with strong social skills and ability to work effectively in a team, receptive to constructive criticism.

Education and Skills:
- Acquired foundational knowledge of web design, including moodboards, grids, typography, UI-kits, and adaptation.
- Proficient in UI/UX design for web and mobile applications, with expertise in full-cycle design: task analysis, interface prototyping, visual style creation, and implementation of usable and simple end products.

Projects and Experience:
- Designed a website for apartment sales, applying learned principles of web design.
- Collaborated with fellow students to develop a web service, mastering principles of persona, user-flow, and smart animation.
- Created a mobile application, further enhancing UI/UX skills.

Professional Approach:
- Emphasis on results-oriented design and open teamwork.
- Values mutual respect, friendly atmosphere, and the possibility of remote work arrangements.
- Believes in corporate training, development, and career growth opportunities.

Specialization:
UI/UX design for web and mobile applications, with a focus on creating effective, user-friendly products that drive results and profitability."
98371,"UI/UX Designer
Summary:
Results-driven UI/UX designer with experience in creating intuitive and aesthetic interfaces for websites and mobile applications. Proven ability to conduct user research and analyze competitors to design simple and understandable interfaces.

Education and Projects:
Completed UI/UX Design courses, creating 5 projects including:
- Flower Lover: a visually appealing landing page for flower delivery services, allowing users to explore options, place orders, and access delivery information.
- House Hopper: a web service for finding and booking accommodation, providing users with functions to search properties, make reservations, and access travel information.
- Additional projects: landing pages, websites, and a mobile app, demonstrating versatility in design capabilities.

Skills and Experience:
- User research and competitor analysis
- UI/UX design for websites and mobile applications
- Creation of intuitive and aesthetic interfaces
- Experience with landing pages, websites, web services, and mobile apps

Career Goals:
- Join a team working on impactful projects that enhance users' lives
- Contribute to innovative and high-quality UX/UI solutions
- Pursue continuous growth and learning in UX/UI design
- Collaborate with experienced professionals to support professional development
- Work in a team environment where ideas and knowledge are shared among colleagues"
98372,"Team Leader, Techgen IT
Project Management: Led designers, organized work, and distributed tasks to ensure efficient project execution
Communication: Collaborated with developers to explain design solutions and demonstrate design animations

Key Accomplishments:
- Designed user interfaces (UI) and user experiences (UX) to enhance usability and efficiency
- Prototyped interfaces and conducted user research to test usability and efficiency
- Utilized design tools such as Figma, Adobe Photoshop, and Adobe Illustrator to create effective designs

Freelance Experience:
Team Lead UI/UX Designer, Multi-page Website
- Coordinated a team of designers to design the user interface for an IT Community
- Planned and managed the project to ensure successful completion

UI/UX Designer, Landing Page
- Designed a user interface for a company providing house design services
- Created a business card landing page featuring completed projects and services

UI/UX Designer, Mobile Application
- Designed a mobile application for searching and buying air tickets with a focus on user-friendly interface

Personal Statement:
I am a responsible and proactive individual with work experience, seeking a company where I can contribute my knowledge and skills. I am open to constructive criticism and driven by result-oriented actions."
98373,"Team Leader & UX Designer

Projects:
Team Project: Neaty Kitty - Webservice for a Cleaning Company
  Conducted thorough analysis of similar services and target audiences
  Created Customer Journey Map (CJM) and Userflow
  Designed a convenient and uncluttered website for cleaning services using Bootstrap 5 design system

Team Project: Tap the Table - Mobile Application for Booking Restaurant Tables
  Collaborated on analysis, userflow, CJM, wireframes, design, and prototyping

Personal Project: Redesign of Yours Sports Bar Website
  Analyzed existing website and competitors
  Created wireframes and design for laptop, tablet, and mobile

Personal Project: Tattoo Studio Landing Page Design
  Created self-made project from references and analysis of similar landing pages
  Designed wireframes and final design

Tools:
  Figma

Portfolio:
  Available on Behance

Education:
  GoIT

Experience:
  Team Leader in two team projects, with a strong background in UX design and collaboration"
98374,"UI/UX Designer
Summary:
Novice UI/UX designer with experience in team projects and personal designs, skilled in design cycle completion and collaboration.

Experience:
Team Projects:
- Contributed to the development of a ""Lost Pets"" web-service for missing animal search, analyzing competitors, creating personas, developing low and high-fidelity prototypes, and filling with high-quality content.
- Participated in mobile application development as part of a team, contributing to the design process.

Personal Projects:
- Completed a redesign of a hotel and restaurant complex.
- Designed a landing page for a Citroen C4 test drive, meeting brief requirements, analyzing competitors, and modernizing the site.

Skills:
- UI/UX design
- Team collaboration
- Individual work
- Design cycle completion
- Competitor analysis
- Persona creation
- Prototyping
- Content creation

About:
Ready to actively learn and develop new skills, with the ability to work effectively both individually and in a team."
98375,"Training Course Experience
Designed various digital products, including landing pages, websites, web services, mobile applications, and adaptive designs, through hands-on training courses.

Key Project: Openmind Web Service
Contributed to the development of Openmind, a web service for couchsurfing that connects users worldwide for free housing in exchange for work.

Project Responsibilities:
- Conducted competitor analysis to identify strengths and weaknesses
- Created personas, user stories, and understood user problems and needs
- Developed user flow, detailed wireframes, and improved UI

Design Responsibilities:
- Designed a profile card for a host user
- Developed UI and UX design for the host profile, including registration, housing addition, profile management, and dialogue features
- Ensured adaptive design for mobile phones and tablets
- Created a UI kit for the project"
98376,"Julia
UX/UI Designer

Summary:
Passionate and detail-oriented UX/UI designer with experience working independently and as part of a team. Proficient in Figma and ProtoPie, with a strong foundation in design principles and a drive to continue learning and growing.

Experience:
UX/UI Designer (Course Projects)
- Designed and developed multiple projects, including mobile apps (Buyland, library app, flower app) and websites (Clean Up, IT school dashboard, Mainsail Realty Company)
- Utilized Figma for interface design, wireframing, and prototyping
- Applied ProtoPie for adding animations to enhance user experience
- Conducted competitor analysis, defined target audience personas, and mapped user journeys
- Collaborated with team members on group projects, ensuring effective communication and a cohesive design approach

Education:
- Completed UX/UI design course at GoIT

Skills:
- UX/UI design
- Figma
- ProtoPie
- Wireframing
- Prototyping
- User research
- Team collaboration
- Attention to detail

Career Goals:
Seeking a challenging role that offers opportunities for personal and professional growth, allowing me to apply my skills and knowledge to meaningful and impactful projects."
98377,"Results-driven freelancer with a passion for creating stylish, high-quality, and user-friendly designs. Proven experience in developing effective online platforms, including landing pages and online stores, with a focus on modern trends and best practices.

Key Skills and Experience:
- Designed a landing page for a jewelry store to attract a wider audience, as well as developed advertising banners and creatives.
- Engaged in ongoing self-training through various educational projects to enhance design skills in multiple styles.
- Continuously improve design skills, with a keen eye on following the latest design trends.
- Proficient in creating online stores, landing pages, creative banners, and mobile interfaces.
- Adhere to the principles of correct project design sequence, including sketching and prototyping.
- Understand the fundamentals of user interface perception and compositional interface construction.

Open to collaborating on diverse projects, including e-commerce platforms, landing pages, and mobile application interfaces, with a commitment to delivering high-quality, easy-to-use designs."
98378,"Participated in a social project: development of a website for volunteers.
Experienced user of:
- Figma
- Photoshop
- Illustrator
- Corel Draw
- Canva
Understanding of:
- Principles of usability and UX methodology
- Principles of graphic design, typography, and color
Experience in:
- Developing websites and mobile applications
- Creating responsive/adaptive design
- Analytical and creative thinking
- Teamwork
Recent projects include:
- Real estate website redesign
- Pet search web-service
Key project stages:
1. Research and planning: 
- Defined main goals and target audience of the site
- Conducted competitor research and market analysis
- Compiled user flow and identified interested parties
2. Creation of structure and content: 
- Defined main blocks and elements of the service and site
- Selected color schemes, fonts, and graphics for a coherent visual experience
- Analyzed composition and arrangement for ease of perception and usability
3. Development and optimization: 
- Created wireframes using Figma or Adobe Photoshop
- Developed selling offers and calls to action
- Designed for ease of perception and use
- Ensured responsiveness for different devices and screen resolutions
- Optimized images and media for faster page loading
Able to work effectively individually and in a team, utilizing creative thinking skills."
98379,"**Summary**
Enthusiastic and detail-oriented UX/UI designer with experience in developing web applications, adaptive design, and prototyping. Skilled in Figma, with a deep understanding of UX and UI principles.

**Technical Skills**
* Sitemap and Userflow creation
* Competitor analysis and CA determination
* Typography and color scheme development
* Mood board creation
* UX/UI principles and best practices
* Lo-fi and Hi-fi layout design
* Prototyping and user testing
* UI and UI-kit design
* Adaptive design and responsive layouts
* Figma

**Soft Skills**
* Effective argumentation and decision-making
* Strong communication and teamwork skills
* Adaptability to project requirements and priorities
* Attention to detail and self-motivation
* Workflow organization and project management
* Time management and prioritization
* Creativity and problem-solving

**Professional Experience**
**E-commerce Project**
Designed and developed an e-commerce website for a new manufacturer, automating the ordering process and creating a user-friendly catalog with filters, sorting, and product cards. Conducted project research, competitor analysis, and user testing, resulting in a successful prototype with high CSAT, completion rate, and task time metrics.

**Landing Page Project**
Developed a landing page to raise awareness about animal adoption, designing an attractive and interactive interface with 10 blocks of content and an interactive form for selecting pets. Conducted project research, secondary research, and brainstorming, resulting in a stylish and effective landing page.

**About Me**
I am a motivated and enthusiastic UX/UI designer with a passion for creating intuitive and attractive interfaces. I thrive in environments with like-minded individuals and am committed to continuous learning and development. With experience in web applications, adaptive design, and prototyping, I am confident in my ability to deliver high-quality designs that meet user needs."
98380,"Junior UX/UI Designer
Summary:
Self-motivated junior UX/UI designer with a passion for detail and experience in furniture and interior design, landing page design, redesign, web services, and mobile applications. Proven ability to create intuitive, aesthetically appealing, and user-friendly interfaces.

Experience:
- Designed landing page for BusinessUp course, meeting extremely tight deadlines
- Successfully completed projects in landing page design, redesign, web services, and mobile applications

Project Experience:
- Landing Page BusinessUp by Podvigina: Designed a landing page for the practical course, incorporating a UI kit and animation elements within a tight deadline
- FinEasy Web Service: Led UX research, created personas, developed user flows, and designed adaptive UI components with engaging animations for a collaborative web service
- Redesign of Mexican Restaurant Website: Conducted competitor analysis, created wireframes, implemented UI design, and incorporated adaptation and animation to enhance user experience
- Urban Festival Landing Page Design: Completed the design cycle, including landing page design, competitor analysis, wireframing, UI development, and responsive adaptation for tablets and mobile devices

Personal Projects:
- 2 personal pet-projects

Skills and Approach:
- User-centered design approach with a deep understanding of user needs
- Ability to craft intuitive, aesthetically appealing, and user-friendly interfaces
- Open to new challenges and ready to grow within a team of creative professionals"
98381,"2020
Mobios School
UX/UI Design and Mobile Design Courses

2021
Projector
Junior Web Designer Courses by Alex Kim, Den Potapov
Font Logo Courses by Kate Jacushek

Experience:
Junior Web Designer
- Designed banners for social media and print outdoor advertising
- Conducted customer briefings to understand project requirements
- Performed basic UX research, including competitor analysis, business area assessment, persona creation, Customer Journey Map (CJM) development, and User Flow design
- Created interactive prototypes to visualize design concepts
- Applied design principles, including typography, grids, colors, mood, and atmosphere, to create visually appealing designs
- Designed adaptive landing pages, e-commerce sites, corporate websites, and mobile applications
- Developed and presented project presentations to clients, effectively communicating design solutions
- Created logos for various projects, demonstrating proficiency in font and logo design"
98382,"UI/UX Designer

Experience:
Freelance UI/UX Designer (project-based, 1 month)
  Researched references and created sketches
  Developed wireframes and prototypes
  Redesigned an existing application
  Designed digital graphics, including YouTube and Instagram banners and intros
  Created and redesigned logos

Skills:
Adobe Photoshop
Figma
InDesign
InVision (basic)
Illustrator (basic)
HTML/CSS (basic knowledge, understanding of process)
English (Advanced)
Communication skills
Organizational skills
Time management

Career Goals:
Develop expertise in UX design
Solve UX problems and create exceptional user experiences
Collaborate with a team of professionals to grow and develop as a designer

Additional Background:
Active participant in design meetups
Completed web design marathons
Maintained a strong portfolio showcasing design capabilities"
98383,"**Summary**
Highly motivated and detail-oriented UI/UX designer with experience in research and analysis, seeking a role in a team of designers where I can continue to learn and grow.

**Education**
* Completion of basic UI/UX course, Hillel IT School
* Completion of UI/UX webinar, GoIt school

**Experience**
Research Manager, Entertainment/Crypto company (1 year 3 months)
* Researched, collected, and analyzed information from target audience to competitors and law policies of target countries
* Participated in UI/UX project and regression testing with QA department (part-time, last month)

**Projects**
* Destin/Tattoo: Competitor analysis, user analysis, and design creation for a tattoo salon website using Figma
* HelpPets: Competitor analysis, typography and UIKit creation, user flow design, and feature ideation for a web-service platform using Figma, Figma mock-ups, and Adobe Photoshop

**Skills**
* UI/UX design
* Research and analysis
* Figma
* Adobe Photoshop
* Team collaboration

**Interests**
* Animations
* Mock-ups
* 3D Design

**Preferences**
* Working in a team of designers
* Using Figma and standard Adobe Kit
* Open to using Miro and similar tools

**Technical Skills Note**
Not interested in implementing frontend via JS or performing deployment."
98384,"EXPERIENCE
Web Service for Finding Lost Pets (Team Project)
Team Member, UkrainianPets web service
- Created persona, Jobs-to-be-done, and designed key pages including ""lost"" and ""found"" animals, ""my ads"", and a form for creating ads
- Collaborated with the team to deliver the project

Redesign of Indian Cuisine Website (Independent Project)
- Conducted a redesign of an existing Indian cuisine website
- Focused on creating a minimalist design that combined accessibility, structure, and visual hierarchy
- Resulted in a modern and user-friendly interface

Flower Shop Landing Page (Independent Project)
- Designed a one-page website for a flower shop
- Created a modern and user-friendly design that showcased flower arrangements and allowed for easy ordering and delivery

SKILLS
* User experience (UX) design
* User interface (UI) design
* Web design
* Team collaboration
* Independent project management

CAREER OBJECTIVE
Seeking a full-time position in a company that aims to simplify everyday life and business, offering opportunities for growth, mutual respect, and a friendly work environment."
98385,"UI/UX Designer
2022 - Present

Education and Courses:
Junior Front-end Developer, EPAM University
UI/UX Designer, Taras Shevchenko University

Experience:
Designed and developed visually appealing web pages, blog sites, and blogs
Created branded materials, including company logos, social media posts, and illustrations for various clients
Developed mobile and web application designs, including a project for Vinnitsa National Technical University (JetIQ)
Delivered user-friendly and attractive designs for small businesses and other clients
Collaborated with clients and development teams to ensure successful project implementation
Utilized Figma, Illustrator, Photoshop, and Procreate to develop corporate identities and illustrations
Designed and developed websites from concept to responsive HTML5/CSS3 pages, using SASS and SCSS, with clear and understandable code
Applied UI/UX principles and understanding of user needs to create functional and attractive products within existing brand guidelines

Skills:
UI/UX Design (Figma)
Illustrations (Adobe Illustrator, Adobe Photoshop)
HTML, CSS (SASS, SCSS)

Commercial Experience:
JetIQ (2022-2023)
Design creation
Wireframe development
Component creation
Layout design

Notable Projects:
Anitime - Mobile application for watching anime
Innovexa - Landing page for a company providing data security services"
98386,"Highly motivated and responsible professional seeking a full-time position in a company focused on enhancing everyday life and business productivity through user-friendly solutions. Proven ability to learn quickly and tackle challenging tasks.

Experience:
Flover Lover - Landing Page Development
Created a simple one-page website with easy navigation and gentle colors to advertise a new bouquet delivery service, including mood board creation and competitor analysis.

Custom Concept Tattoo & Design - Website Redesign
Redesigned a tattoo studio website to modernize its outdated design, ensuring a convenient and attractive user experience across various media devices.

VDOMA - Web Service Development
Developed and launched an animal search web service to help owners find lost animals quickly, involving competitor analysis, user persona creation, prototyping, system design, UI development, and adaptation."
98387,"Redesigned User Interface of Indian Cafe
Mobile App Optimization
Web-Service
Landing Page

Experience:
Mobile App Developer, f.Lover
Developed a mobile application for ordering and delivering bouquets and gifts online, providing users with gift and flower recommendations and allowing for scheduled deliveries on specific dates, times, or special occasions.

Career Goals:
Seeking UX/UI design roles that prioritize user-centered digital experiences, creativity, and collaboration within cross-functional teams. Interested in positions that allow for thorough user research, thoughtful ideation, and testing, with a focus on quality over speed and user satisfaction."
98388,"Summary: 
Highly motivated and detail-oriented designer with experience in creating user-friendly and intuitive interfaces for various web and mobile applications. Proven ability to work effectively in both team and individual settings, with a strong background in UX research, design principles, and project leadership.

Experience: 
Completed three projects during training, including two solo projects and one team project where I served as leader and primary idea generator.
Developed a range of technical and theoretical skills, with a focus on creating comfortable and easy-to-use digital products.

Project Experience: 
Flowers Delivery Mobile App: Designed a user-friendly interface for online flower ordering, conducted persona research, and created a comfortable and easy-to-use app for global customers.
Pet Scout Animal Pet Search Web Service: Conducted UX research, competitor analysis, and user flow analysis, and created wireframes, mockups, and prototypes for a web service designed to find missing pets.
Barbershop Landing Page: Created a landing page for a barbershop, including competitor analysis, persona development, and research methods, with desktop, tablet, and mobile versions.
Tattoo Studio Website Redesign: Redesigned a tattoo salon website, conducting competitor analysis and statistical data analysis to create a visually enjoyable and intuitive website.

Career Goals: 
Seeking a remote or freelance position with a company that offers mentoring and opportunities for growth and development as a designer. Eager to contribute to creating products that meet customer needs and expectations."
98389,"UI/UX Designer

Proficient in Figma, Illustrator, Protopie, and Photoshop, with expertise in:
* Low and high fidelity prototypes
* Vector illustration
* Components
* Adaptive design
* Logo creation
* Landing page design
* User interface and user experience improvement

Delivering user-centered design solutions for web and mobile applications, with a focus on turning concepts into real solutions that solve challenges and optimize user goals.

Key Achievements:
* Redesigned the Destin Tattoo Company website, including competitor analysis, prototyping, text and color selection, logo development, wireframes creation, and component adaptation for tablet and mobile devices
* Contributed to the Lost Pets web service project, designing a user flow for found animal reporting and creating a custom logo
* Designed the Suit Store mobile app, developing a user-friendly search and purchase flow and completing the prototyping stage independently

Seeking a full-time position in a creative team where I can apply my skills to solve complex problems, enhance user interfaces, and grow professionally in design tasks."
98390,"UX/UI Designer
Summary:
Results-driven UX/UI designer with experience in leading teams and developing innovative projects, including mobile apps, landing pages, and web services. Proven track record of creating user-centered designs that drive engagement and conversion.

Experience:
Team Leader, BudgetStay Project
- Led a team of designers to develop a web service interface for finding free or cheap accommodation
- Created main user flow with 2 account types and second flow for 3 types of hosts
- Designed desktop, tablet, and mobile versions with prototype for desktop

Team Leader, Tantric Massage Salon Sensual Landing Page
- Led the development of a landing page to promote the salon's services and attract potential clients
- Designed for desktop, tablet, and mobile devices

UX/UI Designer, FoodieFinder Mobile App
- Designed a mobile app for restaurant search and table reservations
- Created a user-friendly interface for efficient booking and discovery

Independent Projects:
- Concept and redesign for India Cafe website: Created a modern and convenient design to attract potential customers, added missing pages with photos and menu, and appointment feature, designed for desktop, tablet, and mobile devices with prototype for desktop
- Concept for Citroen 4 Landing Page: Designed a landing page to order a test drive, designed for desktop devices

Pet Projects:
- 2 personal projects, details available upon request

Skills:
UX/UI design, team leadership, project management, user-centered design, mobile app design, web design, landing page design, prototype development, user flow creation

Career Goals:
To join a dynamic team as a UX/UI designer and contribute to the development of innovative projects that drive connection between service providers and clients."
98391,"Summary:
Results-driven computer science teacher with 15 years of experience, leveraging skills in graphic design, user experience, and programming to transition into a design role. Proficient in a range of design tools, including Adobe Photoshop, Adobe Illustrator, Corel Draw, ProtoPie, Canva, and Figma.

Experience:
Computer Science Teacher
- Taught computer science topics, including raster and vector graphics, 3D modeling, and programming languages for 15 years
- Developed and implemented engaging lesson plans to promote student learning and understanding

Design Experience:
- Redesigned website for veterinary clinic ""Aibolit""
  - Conducted problem analysis, created interface prototypes, and developed visual styles
  - Designed a modern and user-friendly website to attract potential customers
- Designed ""Coffee Time"" mobile application
  - Analyzed problems, created interface prototypes, and developed visual styles
  - Improved customer experience through a mobile application to scan and pay for goods
- Completed various design projects, including adaptive design, mobile application, moodboard, landing page, research, persona description, and user flow

Skills:
- Proficient in Adobe Photoshop, Adobe Illustrator, Corel Draw, ProtoPie, Canva, and Figma
- Knowledge of graphic design principles, user experience, and programming languages
- Strong problem-solving and analytical skills, with ability to create convenient and simple final products

Career Goals:
Seeking a collaborative and motivated team where I can apply my skills, develop professionally, and contribute to achieving team goals."
98392,"UI/UX Designer
Summary:
Highly motivated UI/UX designer with experience in designing user-friendly websites and web services, proficient in creating intuitive and functional designs for various platforms.

Experience:
* Developed the design of a web service for traveling around Ukraine, focusing on user experience and convenience.
* Redesigned the Poltavski galyshki website, transforming it into a structured and informative platform with enhanced user engagement.
* Designed the VISIT web service, a full-stack design project that enables users to easily organize trips to any part of Ukraine, leveraging UX research and competitor analysis to inform design decisions.

Education:
Online IT school, UI/UX Design course (8 months)
* Studied UI/UX design principles and practices
* Worked on various projects, including landing pages, websites, web services, and individual site elements

Personal Projects:
* Completed 2 personal pet-projects, demonstrating passion for UI/UX design and ability to work on independent projects."
98393,"**Summary**
Highly skilled layout designer with over 10 years of experience in publishing houses, complemented by education in UI/UX design.

**Education**
- H.S. Skovoroda Kharkiv National Pedagogical University, Faculty of Art and Graphics, Ad designer
- Completed UI/UX Design courses, covering:
  - Communication
  - UX research
  - Wireframing
  - UI design
  - Mobile app design
  - Web design
- Completed HTML Layout courses at Source IT (Feb 2015 — Apr 2015)

**Experience**
- **Layout Designer**, Various Publishing Houses (Over 10 years)
  - Developed layouts for books, magazines, and posters
  - Designed pages
  - Searched and processed vector illustrations, including drawing when necessary
  - Searched for bitmap images and processed them
  - Compiled collages
  - Laid out books and magazines
  - Prepared products for printing
- **UI/UX Designer**, CURSOR Education (Feb 2021 — Jul 2021)
- **UX/UI Web-Design + Mobile Design**, Mobios School (Sep 2021 — Dec 2021)

**Projects**
- Final project in UI/UX Design course:
  - Conducted client interviews
  - Performed competitor analysis
  - Conducted SWOT analysis
  - Developed UX Persona
  - Created Customer Journey Map (CJM)
  - Developed information architecture
  - Designed wireframes and final design

**Career Expectations**
Looking to join a dynamic, friendly team that offers opportunities for growth, learning, and constructive feedback."
98394,"UX/UI Enthusiast with a background in Graphic Design, holding certificates from the University of Alberta and California Institute of the Arts, and a winner of the Sixth All-Ukrainian Student Olympiad in Design of publishing and printing production.

Education:
- Certificate, Google UX Design, Coursera
- Certificate, Introduction to Software Product Management, University of Alberta
- Certificate, Fundamentals of Graphic Design, California Institute of the Arts
- Diploma of the II degree, Sixth All-Ukrainian Student Olympiad in the discipline ""Design of publishing and printing production""

Experience:
Freelance Graphic Designer
- Designed print publications and illustrations using Adobe Photoshop and Adobe Illustrator for one year

Skills:
- UX Design
- UI Design
- Graphic Design
- Adobe Photoshop
- Adobe Illustrator
- UX Research
- Wireframing
- Prototyping"
98395,"Summary:
Dedicated and detail-oriented UI/UX designer with a strong foundation in design principles, user research, and interaction design. Proven ability to work independently and collaboratively to deliver high-quality design solutions. Committed to continuous learning and professional growth, with a passion for creating user-centric designs that drive positive user experiences.

Experience:
Freelance UI/UX Designer
- Developed and created unique user interfaces for various clients
- Analyzed client requirements, conducted user research, and created information architecture
- Conducted user experience testing and created prototypes
- Collaborated with developers to ensure high-quality end products
- Managed project timelines and effectively communicated with clients

Achievements:
- Successfully completed comprehensive UI/UX design courses
- Actively participated in design projects, both individually and as part of a team
- Received positive feedback from instructors and peers on design work
- Demonstrated a strong commitment to continuous learning and professional development

Skills:
- User research and analysis
- Wireframing and prototyping
- Interaction design and user experience testing
- Information architecture and design principles
- Collaboration and communication with cross-functional teams

Career Goals:
- Work in a team that values user needs and expectations
- Opportunities for professional growth and development
- Collaborative and open communication with stakeholders to deliver high-quality design solutions"
98396,"UI/UX Designer

Summary:
Highly motivated and creative UI/UX designer with 11 months of consistent skill development, proficient in Figma, Photoshop, Illustrator, Webflow, and After Effects.

Projects:

* Redesigned the website of a roofing materials plant, transforming it into a modern landing page with an engaging structure
* Created a landing page for a tea studio, focusing on developing an attention-grabbing and stylized site
* Developed an online store for board games, incorporating elements of AI
* Improved the Ukrainian cinema network Multiplex application through detailed UX research and proposed solutions to key inconveniences

Skills:

* UI/UX design
* Figma (components, variants, auto layout, constraints)
* Photoshop
* Illustrator
* Webflow site design
* After Effects motion graphics

About:
As a Ukrainian designer, I bring a unique perspective and original style to each project, enhancing its overall quality and character. I continue to expand my expertise in web design, driven by my determination and creative approach."
98397,"Highly motivated and detail-oriented professional with experience in freelancing, illustration, and design. 

Key skills include:
- HTML5
- CSS3 (responsive and adaptive design)
- SASS/LESS
- Flexbox
- GIT
- Basic JavaScript
- React.js, with the ability to split projects into components and prepare for developer's work
- Bootstrap
- Adobe programs, including Photoshop, Illustrator, InDesign, and Procreate
- Figma

Experience in:
- Creating 2D characters for training videos
- Commissioned illustrations
- Combining design and development skills with a strong interest in UI/UX design

Strong understanding of:
- Prioritizing daily work with clients and projects

With a strong passion for art, design, and front-end development, and a desire to combine these skills to create innovative and effective designs."
