Unnamed: 0,Modified_meta-llama/llama-3.3-70b-instruct:freet_of_Modified_meta-llama/llama-3.3-70b-instruct:free_of_Modified_meta-llama/llama-3.3-70b-instruct:free_of_resume_Modelmeta-llama/llama-3.3-70b-instruct:free_Modelmeta-llama/llama-3.3-70b-instruct:free_Modelmeta-llama/llama-3.3-70b-instruct:freet,Modified_meta-llama/llama-3.3-70b-instruct:free_of_Modified_meta-llama/llama-3.3-70b-instruct:free_of_Modified_meta-llama/llama-3.3-70b-instruct:free_of_resume_Modelmeta-llama/llama-3.3-70b-instruct:free_Modelmeta-llama/llama-3.3-70b-instruct:free_Modelmeta-llama/llama-3.3-70b-instruct:free
19,,"Account Manager
ProfiAds (Advertising & Event Agency)
June 2015 – Present

Key Qualifications & Responsibilities:
- Managed project documentation, including client negotiations, contract signing, customer communication, and correspondence with shopping centers, as well as budget management
- Conducted on-site meetings to discuss placement agreements and supervised project launches in various Ukrainian cities
- Coordinated team efforts, collaborating with designers to create layouts and obtaining client approval
- Oversaw advertising placement, including designing printed layouts, sourcing contractors, installation oversight, resolving logistical issues, obtaining necessary permits, and controlling installation and dismantling processes

Notable Projects:
- Successfully launched large-scale projects in multiple Ukrainian shopping centers for prominent clients, including Vodafone, Davidoff, Mary Key, Glo, Lays, OPPO, Vitto Rossi, Fellini, and Vivo"
20,,"Result-Oriented Account Manager/Project Manager

Highly organized and diligent professional with 5+ years of experience in product and outsource companies, with 19 commercially launched projects. Proven track record of effective written, oral, and interpersonal communication skills, with the ability to work under pressure and manage multiple projects simultaneously.

Key Responsibilities:
- Facilitating Scrum events across various teams
- Planning and managing internal and external project communications
- Controlling staffing processes
- Managing project, financial, and invoicing documentation and processes
- Leading internal delivery teams to ensure successful project delivery
- Estimating software implementation requests, including goals, cost, scope of work, and efficiency
- Planning and controlling software development processes
- People management, focusing on building effective and collaborative project teams, and promoting individual and team performance

A positive and open-minded team player, driven by the success of the project and personal growth, seeking a company with a strong team spirit to further develop experience and skills."
21,,"Results-driven Sales Account Manager with 4+ years of experience driving business growth through strategic relationship-building and effective sales strategies.

Key Responsibilities:
- Identify new business opportunities through verified lead processing
- Develop tailored plans to address customer needs and deliver solutions
- Create accurate project quotes based on gathered requirements
- Negotiate and close deals to meet sales targets
- Manage accounts from initiation to completion, ensuring seamless project delivery
- Facilitate business meetings with prospects, customers, and internal stakeholders
- Manage invoicing and payment processes to ensure timely settlement

Key Strengths:
- Proven communication skills, bridging customer and development team gaps
- Effective negotiation and closing techniques
- Collaborative team player with strong interpersonal skills

Career Objectives:
- Enhance Account and Project Management skills
- Contribute to a dynamic team with an informal and friendly culture
- Develop and implement structured business processes
- Receive guidance and mentorship in new roles to drive professional growth"
22,,"Account/Project Manager

Summary:
Results-driven professional with 1.5 years of experience in account and project management, leveraging strong communication skills to deliver high-quality results.

Experience:
Account/Project Manager
- Managed multiple projects simultaneously, prioritizing tasks and performing them efficiently
- Prepared contracts, agreements, and budgets for clients
- Conducted website testing and analysis
- Demonstrated accuracy and responsibility in all aspects of project management

Skills:
- Effective communication and interpersonal skills
- Contract and agreement preparation
- Budgeting and financial management
- Website testing and analysis
- Task prioritization and time management
- Results analysis and process improvement

Personal Qualities:
- Committed and determined
- Strong focus on quality of work
- Ability to find common ground with team members and clients
- Accurate and responsible with a strong work ethic"
23,,"**Summary**
Results-driven professional with experience in account management, project management, and sales, driving revenue growth, building strong relationships, and leading teams, skilled in strategic planning, stakeholder management, and project execution.

**Professional Experience**

**Key Account Manager, Glovo**
- Sold in-app instruments and promotional campaigns to partners, increasing GMV and CPO by 4,000 euros monthly
- Developed and managed partner relationships, owning strategic partnerships end-to-end
- Delivered campaign execution, optimization, and analysis across multiple clients
- Analyzed partners' business performance, ensuring growth month-over-month

**Account Manager, International Company**
- Coordinated a team of 10 people as the sole Account Manager for the region
- Sold B2B functionalities for over 4,000 euros
- Doubled top 10 partners' revenue in 2-3 months

**Project Coordinator/Founder**
- Led a project helping students learn business basics with opportunities for university entry with discounts
- Managed inbound and outbound leads, conducted training, and mentored teams
- Led technical and administrative teams of 60 people

**Key Customer Manager, Dubai**
- Promoted vendor products, increasing sales and designing strategic sales plans
- Built and maintained long-lasting customer relationships
- Negotiated contracts and onboarded new customers

**Assets Sales Manager**
- Sold assets worth over 20,000 dollars in 3 months
- Ensured product and sales materials were updated and focused
- Prepared franchises for sale and managed financial reporting

**Education and Achievements**
- Alumna of the Study US Institutions program for Women Leaders
- Winner of the International Case Championship in Almaty, 2018
- Published in a local internet resource

**Skills and Values**
- Strategic planning and execution
- Stakeholder management and relationship building
- Project management and team leadership
- Sales and revenue growth
- Values ownership, drive, healthy atmosphere, and growth in a company"
24,,"Event Sales Manager & Account Management Professional

Results-driven professional with 10+ years of experience in account and project management, sales, and team leadership, delivering sales growth and building long-term client relationships.

Key Achievements:
- Successfully sold and implemented 300+ projects as an Event Sales Manager, achieving upsales of up to 200% of the primary cost.
- Built and maintained strong client relationships, delivering 2-8 projects with consistently good and excellent feedback.
- Led, trained, and managed a team of 8 people and engaged 20+ partners for a startup, fostering a collaborative environment.

Account Management Experience:
- As an Account Manager (BTL), selected and trained personnel who achieved 30% higher results than expected, demonstrating team development and performance optimization expertise.

Core Competencies:
- Team management and motivation to achieve exceptional results
- Team development and performance optimization
- Strong negotiation and marketing skills
- Creative, goal-oriented, and adept at driving projects forward

Professional Experience:
Event Sales Management at a hotel and restaurant complex (3+ years)
Account Management and Event Coordination (5+ years), with a focus on B2B and B2C sales

Career Objectives:
Seeking challenging opportunities that utilize previous experience and offer professional growth, preferably as an Event Manager, Account Manager, or Project Manager, with a focus on roles without cold sales."
25,,"Results-driven professional with international sales and business development expertise, seeking to leverage experience in global account management to drive growth. Proven track record of success in managing key international accounts, with a strong foundation in communication, analysis, and self-improvement.

Summary:
Proven sales and business development professional with 5.5 years of experience in managing sales operations, leading sales teams, and driving business growth. Skilled in managing global accounts, fostering strong relationships, and driving revenue growth.

Professional Experience:
Global Account Manager (2 years)
- Successfully managed global accounts, fostering strong relationships and driving revenue growth
Head of Sales Department (1.5 years)
- Led sales teams and expanded departmental capabilities
Sales Manager (2 years)
- Managed sales operations and drove business growth

Key Strengths:
- Effective communication and analytical skills
- Strong desire for self-perfection and professional development

Career Objective:
Seeking an Account Management role, focusing on strategic account growth and development, rather than primary sales or sales team management."
26,,"As a seasoned Product Manager, Project Manager, and Scrum Master, I have successfully driven business growth and managed complex projects across various industries, including Finance, Logistics, Mobile games, Services, E-commerce, E-learning, CRM/ERP, Sports, and Entertainment.

Key Highlights:
* Successfully opened a new sales direction in one of the most popular educational platforms in the USA, expanding into the Australian market
* Proven track record of managing 2-20 FTEs, up to 10 projects simultaneously, with expertise in Agile methodologies and Scrum framework
* Skilled in setting up processes according to Scrum methodology, working with Agile mindset, creating roadmaps, and conducting annual evaluations

Professional Experience:
Senior Project Manager, Scrum Master, Business Analyst, and Product Management responsibilities
September 2022 – August 2023
* Mentored and coached team on Agile ceremonies, practices, roles, and artifacts
* Facilitated Scrum ceremonies, adapting them to team needs, and ensured adherence to Scrum values
* Helped team maintain focus on priorities, achieving Sprint and product goals
* Identified customer needs, defined vision, and aligned stakeholders
* Prioritized product features and capabilities, establishing and monitoring timelines for product launch

Senior Project Manager, Scrum Master
August 2019 – August 2022
* Managed web, desktop, and mobile applications development processes
* Managed multiple projects in parallel, ensuring timely issue resolution and risk management
* Facilitated Scrum events, adapting them to team needs, and monitored progress

Team Lead Project Manager, Appus Studio, Kharkov, Ukraine
May 2019 – August 2019
* Assisted in project development, implementing complex tasks, and eliminating critical errors
* Set clear goals and priorities, providing technical advice to employees
* Participated in customer calls and meetings, as well as employee adaptation and motivation processes

Areas of Competence:
* Product backlog management
* Annual planning and OKR methodology
* People management and coordination
* Project management
* Management of co-located and distributed teams
* Balancing critical issue resolution and competing priorities
* Project progress and metrics reporting

Hobbies:
* Speaker at A-Level School (April 2019 – Present)
* Digital Drawing"
27,,"Project Manager at Non-Profits
- Created and implemented a Monday CRM workspace to ensure daily team updates and streamlined data management
- Mentored and trained 5 interns to develop their skills and become strong team members
- Successfully converted existing spreadsheets to the Monday CRM system, enhancing workflow efficiency
- Led the integration and training process for a seamless transition to the new CRM system
- Prepared and delivered comprehensive monthly and quarterly reports to clients, highlighting key performance metrics and achievements
- Established a standardized reporting process, resulting in improved client satisfaction and retention
- Developed a comprehensive external e-learning course on grant writing using LearnWorlds.com

Underwriting Manager
- Evaluated and processed over 600 application packages, providing constructive feedback
- Analyzed statistical data using specialized computer programs, including Jarvis CRM
- Successfully boarded 95 approved merchant applications into the system
- Maintained daily communication with new and existing clients to ensure prompt support and service

Account Manager
- Prepared application packages for clients based on supporting documents
- Submitted applications to banks and maintained regular contact with bank representatives for status updates
- Trained new employees on company customer management policies and procedures
- Ensured the CRM workflow was up-to-date and accurate
- Assisted over 200 clients in obtaining approved accounts with US banks"
28,,"07/2022 - Present
Account Manager at Sparkybit (Germany)

Key Responsibilities:
• Building and maintaining strong, long-lasting customer relationships
• Resolving complaints and preventing potential issues
• Conducting client satisfaction surveys and reviews
• Engaging in consistent customer meetings to positively impact client loyalty and revenue growth
• Managing existing accounts, solving business and technical issues in collaboration with the team

01/2022 - 06/2022
Account Manager at DevPals AB (Sweden)

Key Responsibilities:
• Communicating with clients to ensure customer success and satisfaction
• Developing trusted advisor relationships with key accounts
• Assisting with challenging client requests or issue escalations
• Ensuring timely and successful delivery of solutions according to customer needs
• Assisting in lead generation on Upwork

11/2017 - 09/2021
Business Sales Manager at North-wine (Denmark)

Key Responsibilities:
• Searching for new key customers
• Conducting calls to potential clients to introduce the website
• Assisting in controlling the product range and its display on the website
• Corresponding with existing customers to determine their needs and find suitable products
• Assisting in working on a database of products, pricing management, and wine market monitoring

10/2016 - 11/2017
Head of Logistics at Gold.ua (Ukraine)

Key Responsibilities:
• Controlling delivery at all stages, as well as control of receivables over all branches of the company
• Making complaints to obtain compensation when orders were lost or damaged
• Settling disputes with customers in case of problems with timely delivery of goods"
29,,"**Summary**
Results-driven professional with 3+ years of commercial experience as a project manager, skilled in contract management, communication, and team collaboration. Proven ability to create and develop strong relationships with partners and colleagues, with a strong analytical mindset and decision-making skills.

**Technical Skills**
- Proficient in MS Office and Google Workspace
- Strong Excel skills
- Knowledge of 1C and other accounting programs
- Experience with Client-Bank system
- Understanding of Scrum and Agile principles

**Professional Experience**

**IT Project Manager, Online Web Service Startup (February 2021 - Present)**
- Manage project scope, schedule, and budget
- Plan and control task execution
- Provide statistical and detailed information to management for project evaluation
- Assist the team in delivering work to the product owner

**Director, OOO Interlagos (2020 - January 2021)**
- Analyze, develop, and implement plans according to goals and objectives
- Develop and monitor business processes for production and reporting
- Conduct competitor analysis

**HR Manager, PrAT Hotel Salut (April 2016 - May 2019)**
- Attract and recruit new staff
- Manage personnel records, including registration, transfer, dismissal, and work book maintenance
- Utilize 1C 8.3 and MED program for HR management

**Key Skills**
- Contract management experience
- Effective communication and soft skills
- Ability to build and maintain strong, long-term relationships
- Analytical mindset with understanding of cause and effect relationships
- Self-motivated with a strong focus on self-improvement and goal setting
- Punctual, detail-oriented, and responsible
- Proven experience in stress and conflict resolution"
30,,"Summary:
Results-driven professional with experience in team management, sales, and account management, particularly in high-risk industries such as media buying and payment solutions.

Work Experience:

Head of Department (Media Buying)
Various (March 2022 - July 2022)
- Managed a team of 4 people, providing resources for advertising specialists
- Led department operations to ensure efficient delivery of services

Project Manager (News Project)
Various (3 months)
- Oversaw project planning, recruitment, quality control, and team management
- Led a team of 8-10 employees, handling tasks including salary payments and bonus accruals

Sales/Account Manager
PAYADMIT (March 2022 - Present)
- Generate leads, establish initial client contact, and sell payment solutions
- Provide client support throughout all stages, resolving disputes and conflicts
- Calculate and prepare client offers

Account Manager (Media Buying)
ACIDBRO (January 2021 - March 2022)
- Prepared and set up advertising accounts
- Managed high-risk ad campaigns, including Gambling and Betting
- Assisted the technical department with tasks such as server purchases, hosting, and application downloads

Skills:
- Team management
- Sales and account management
- Media buying and advertising
- High-risk industry expertise (Gambling and Betting)
- Payment solutions
- Conflict resolution and client support"
31,,"Experienced IT Professional

Summary:
Highly detail-oriented professional with experience in testing, web development, and project management. Proficient in semantic languages, JavaScript, and agile development processes.

Technical Skills:
- HTML
- CSS
- JavaScript
- jQuery
- React

Experience:
Testing: Analyzed specifications and performed re-testing
Web Development: Developed websites utilizing semantic languages and added interactivity with JavaScript and libraries
Application Development: Utilized understanding of development processes
Project Management: Applied knowledge of agile development processes, utilized project management tools, and created technical documentation
Project Planning: Created Gantt charts and Roadmaps
Design Collaboration: Contributed to mockup creation
Business Operations: Assisted with invoice creation and negotiations

Language Skills:
English: Proficient, available for interview"
32,,"Senior Account/Project Manager

McCann Kyiv (Clients: Vodafone, Unicef, Carlsberg)
Core Responsibilities:
• Coordinated and managed projects from inception to completion
• Oversaw production of TV commercials, out-of-home advertising, and video content
• Managed vendor relationships, including tender processes, budgeting, payment terms, and timelines
• Collaborated with internal creative teams to select resources and ensure project delivery
• Prepared and submitted regular reports (daily, weekly, monthly) to clients and internal stakeholders
• Maintained control over financial data and project budgets

Project Manager
Cheil Ukraine (Client: Samsung Electronics Ukraine)
Core Responsibilities:
• Coordinated and managed projects across all stages
• Managed a range of projects, including TV commercials, out-of-home advertising, retail point-of-sale materials, digital, below-the-line, and video adaptation
• Conducted tender processes, briefed vendors, and negotiated budgeting, payment terms, and timelines
• Worked closely with internal agency teams to select resources and ensure project coordination and control
• Prepared and submitted regular reports (daily, weekly, monthly) to clients and internal stakeholders
• Controlled and managed financial data and project budgets"
33,,"Results-driven professional with 6 years of experience in project management across IT banking, digital marketing, aerospace, and automotive industries. Proven track record of successfully managing projects from scratch, acquiring new customers, and expanding existing projects with additional staff.

Key Skills and Experience:
• Project management expertise in multiple industries, including IT banking, digital marketing, aerospace, and automotive
• Proficient in frameworks: ITIL, Kanban, PMBoK, BPMN
• Skilled in using tools: Omnitracker, Jira, MS Project, Visio
• Experienced in negotiations, sales, regulations, and business process description
• Strong educational background: PM Master Degree Diploma, IPMA certified
• Excellent language skills: British Council Diploma - Business English Advanced 95%
• International experience: 3 years of on-site work experience in the US

Career Highlights:
• Developed and managed new engineering outsourcing business from scratch
• Successfully acquired new customers with projects and expanded existing projects with additional staff
• Collaborated with cross-functional teams in a mature corporate culture, working on big and interesting projects with a friendly, open-minded team"
34,,"Results-driven professional with experience in the IT industry, seeking a challenging role as Project Manager, Project Coordinator, Account Manager, Business Analyst, or Business Development Manager.

Summary:
Proven management skills, with experience as a Sales Manager in a startup and Regional Director, overseeing documentation and team communication. Proficient in business communications, negotiations, issue resolution, and risk management. A fast learner with a strong foundation in the technical aspects of the industry.

Professional Experience:
Sales Manager, startup company: Utilized management skills to drive sales growth.
Recruiter: Developed skills in talent acquisition and recruiting.
Regional Director: Managed documentation and communication between the team and the company owner abroad.
Customer Support Manager: Provided exceptional customer service and issue resolution.

Education and Training:
Completed Project Management courses, enhancing skills in project management, risk management, and customer negotiation.

Skills:
Business Communications
Business Negotiations
Issue Resolution
Requirements Analysis
Risk Management
Conflict Resolution
Customer Service
Public Relations
International/Intercultural Relations
Recruiting
Talent Acquisition
Translations

Language Proficiency:
English: Upper-Intermediate to Advanced level, as per English test results."
35,,"Personal Rewards & Recognitions:
CEO Award 2014
CBN Award 2013

Professional Experience:
Head of Facilities, Ukraine Operations, Dev-Pro.net (Current)
Leading administrative functions across 5 development centers in Ukraine, including Kyiv, Lviv, Dnipro, and Kharkiv
Responsible for business continuity, launch lead, and overseeing all aspects of services and operations of existing 5,000+ sq.m. facility
Manage a team of 15+ people

Site TS Program Manager, HS&E Department Leader, Procter & Gamble LCC (Previous 6 years)
Managed a team of 43 employees
Key Achievements:
Negotiated with authorities to lower rental rate for land from 13% to 6%, resulting in 37% savings of general plant cost (2017-2018)
Optimized operating expenses and utilities, achieving a 23% reduction in FYTD
Led 6 external audits without critical observations
Restructured and merged units into one department (2013-2015)
Developed 3rd and 4th site phases (2015-2018)
Served as Operations Technology Project Leader in international projects, including startup of new production lines for Tide, Ariel, Gala, and discontinuation of brands DAX, BONUX (2015-2017)
Optimized manufacturing capacities and support departments at the factory, including raw and pack materials (Feb’13 - May’14)
Improved production optimization, achieving process reliability of 84%, unplanned downtime of less than 2%, and scrap of less than 1% in 2015
Restructured the plant's infrastructure, transferred warehouses to 3PL, and started up production facilities, boiler house, and compressors renovation

Skills:
Operations Management
Administrative Facilities Manager
Managed Services
Head of Customer Service
Project Management
Startup Management
System Integration
Team Management
Change Management
Business Development
Product Management"
36,,"Results-Driven Digital Marketing Professional

Summary:
Highly experienced digital marketing expert with over 8 years of experience working with top-tier clients, delivering a proven track record of driving revenue growth and yield optimization across global markets.

Key Achievements:
- Spearheaded seven-figure marketing campaigns with a focus on trafficking and optimization
- Boosted yield by 20% in CEE markets through strategic introduction of new targeting capabilities
- Conceptualized, architected, and managed the development of a rich media building platform to expand advertising capabilities
- Achieved a 40% enhancement in viewability of specific ad units, effectively combating banner blindness

Experience:
Digital Marketing Expert
- Utilized performance marketing and ad operations expertise to drive revenue growth and yield optimization on the publisher side
- Led multiple global projects, collaborating with clients such as Ubisoft, Sony, Nintendo, Samsung, and Apple to achieve business objectives and drive growth across global markets"
37,,"Summary:
Results-driven professional with experience in advertising, project management, and team leadership, leveraging expertise in Google Ads, FB Ads, and other platforms to drive analysis, planning, and optimization.

Education:
- Course in Advertising, Hillel School, 2022
- Education in Computer Technology

Work Experience:
Art-Director/Stage Manager, Synergy Group, 2018-2021
Model, 2022-Present
Disc Jockey, 2018-Present

Key Skills and Experience:
1. Proficient in Google Ads, FB Ads, Mytarget, Taboola, Capterra, and Linkedin Ads (EU and USA markets)
2. Analyzing ad performance, competitor ads, creating performance reports, and media planning
3. Keyword planning and optimization in search campaigns, ads extensions, and search terms
4. Team management: task organization for designers, content writers, and freelancers
5. Product and competitor research
6. SEO: keyword management, title optimization, and description writing
7. Analytical skills: report creation, competitor analysis, team collaboration, and strategy implementation
8. Partner communication, meeting management, project discussion, and implementation

Personal Qualities and Skills:
Team-oriented with strong organizational skills and deadline adherence
Fluent in English, Ukrainian, and Russian
Strong analytical and communication skills
Ability to thrive in a dynamic online office environment"
38,,"SUPPORT SPECIALIST (FINANCE)
NDA (GAMBLING)
2021 - 02.2023
- Provided technical support for financial issues
- Prepared and reviewed financial statements

PROJECT MANAGER
COWBOY ART (ADVERTISING AND PR SERVICES)
- Conducted market analysis of the Ukrainian and global advertising markets
- Served as a brand ambassador, ensuring customer protection and satisfaction
- Developed and implemented project proposals to drive profits
- Controlled and maintained projects from initiation to completion

PROJECT MANAGER
SICORE (ADVERTISING AND PR SERVICES)
04.2018 - 02.2020
- Researched and analyzed the outdoor advertising market to inform sales strategies
- Achieved planned sales indicators through effective implementation
- Identified and sourced new customer opportunities
- Conducted meetings, presentations, and negotiations to secure new business
- Collaborated with cross-functional departments to drive business growth"
39,,"Results-driven Affiliate Manager with 7+ years of experience in launching and managing affiliate programs across various niche markets, including e-commerce, nutra, health and beauty, CBD, forex, dating, software, food, and social media. Proven track record of driving revenue and results by recruiting and managing top affiliates.

Skilled in affiliate platform management, with experience in both third-party networks and in-house programs. Proficient in email marketing, social activities, B2B activities, A/B testing, PPC, and SEO.

Key strengths include:
* Launching and managing affiliate programs
* Recruiting and managing top affiliates
* Providing personalized consultation and assessment to clients
* Coordinating marketing communications and collaborating with cross-functional teams
* Analyzing market trends and competitor activity
* Developing marketing materials and improving website performance

Experience:

Affiliate / Account Manager
* Managed affiliate campaigns and analyzed trends
* Coordinated with internal and external customers and maintained day-to-day communication
* Created and coordinated marketing materials, including text slogans, banners, HTML creatives, and landing pages
* Conducted competitor research and analyzed market position
* Engaged in B2B activities, including finding new partners and increasing brand awareness through email marketing
* Managed social media accounts, including daily posting and engagement

Marketing Analyst
* Investigated data collection markets and provided competitor analysis
* Coordinated marketing communications with customers, including webinars and email campaigns
* Collaborated with Brand and Project Management departments
* Promoted company websites through SEO, PPC, and email marketing
* Developed marketing materials and improved website performance
* Conducted A/B tests to inform marketing strategies

Project Manager
* Completed a Project Management course and obtained an EADL diploma
* Managed IT projects with subordinates and applied project management skills

Certifications:
* EADL diploma in Project Management

Skills:
* Affiliate marketing
* Email marketing
* Social media marketing
* B2B marketing
* A/B testing
* PPC
* SEO
* Project management
* Marketing analysis
* Competitor research
* Marketing materials development
* Website improvement
* Team management"
40,,"Results-driven Support Agent
Career Background:
Results-driven Support Agent with a strong background in customer service and process management, seeking a managerial position to expand skill set and gain new experience.

Professional Experience:
Order Checking and Process Management
- Managed order checking, handled customer inquiries via calls and chats, and performed related tasks to ensure seamless customer experience
- Optimized the working process to enhance efficiency and productivity

Team Leadership and Development
- Mentored new team members to enhance their skills and performance, fostering a supportive team environment
- Identified areas for service improvement and implemented new strategies to drive growth and excellence

Professional Preferences:
Adaptable and open to new challenges and responsibilities, with a preference for roles that prioritize customer service and process management over sales-focused initiatives."
41,,"Results-driven professional seeking an Affiliate Manager/Project Manager position in an international company/organization.

Summary:
Proven track record of successfully managing projects and teams, with a strong focus on results and deadlines. Skilled in business development, project planning, and implementation, with experience in managing teams and building relationships with local and international partners.

Experience:
Head of Project (2020-2021)
- Ensured project survival without active outdoor advertising during pandemic restrictions
- Achieved a constant increase in visitors

Business Development Manager, The German-Ukrainian Chamber of Industry and Commerce (2019-2020)
- Created, planned, and implemented complex projects from scratch
- Successfully managed teams of up to 8 people
- Coordinated working groups and communities
- Built and maintained relationships with local and international partners
- Prepared content and organized online and offline events

Additional Experience:
- Led the working group of IT & Cyber Security to ""committee"" status within one year
- Effectively managed routine work responsibilities

Skills:
- Project management
- Business development
- Team management
- Event planning
- Content preparation
- Partnership building
- Results-driven approach
- Strong focus on deadlines"
42,,"Results-driven IT professional with 9 years of industry experience, having collaborated with numerous startups and diverse teams, including internal and outsourced employees from various cultural backgrounds. Proven track record of driving transformation and growth, with 4 years of experience at a scale-up that underwent hyper-growth during my tenure. Adept at leading, coaching, and mentoring teams to achieve business objectives. Successfully implemented Agile and Lean methodologies, fostering a culture of continuous improvement and delivering business value. Created an environment that empowers team members to reach their full potential. Developed strong communication and interpersonal skills, with the ability to distill complex information into actionable insights. Utilized tools such as Jira, Confluence, GitHub, and Code Climate to promote transparency, organization, and process optimization, driving informed decision-making and building strong relationships with stakeholders."
43,,"Results-driven IT leader with 10+ years of experience in management and technology roles, driving process improvements, compliance, and output quality. Proven track record of elevating customer satisfaction, employee morale, and bottom-line results.

Key expertise includes:
- Establishing and improving Project Management Offices (PMO)
- Delivery management for teams of 50+ employees
- Pre-sales and risk management
- Budgeting and cost control
- Process improvements and quality management
- Leadership and people management
- Lean Agile methodologies
- Rolling wave planning

Accomplished leader with a history of successfully conceptualizing and executing program vision from inception to completion, managing complex milestones, and adapting to changes and shifting priorities. Proven ability to lead international, cross-functional, and distributed engineering teams to deliver strategic initiatives that improve systems, processes, and financial results.

Skilled in managing stringent budgets, driving cost savings, improving delivery, and forecasting additional needs. Experienced in working closely with national and international clients, with the ability to travel as required."
44,,"Summary:
Results-driven IT professional with over 10 years of experience, holding multiple certifications in Project Management, Agile, Scrum, and Kanban, with a strong background in managing projects across various industries.

Certifications:
- PMP (Project Management Professional) by PMI
- CSPO (Certified Scrum Product Owner) by ScrumAlliance
- CSM (Certified Scrum Master) by ScrumAlliance
- SASM (SAFe Advanced Scrum Master)
- KSD (Kanban Management Professional) by Kanban University
- Kanban Maturity Model course by Kanban University
- Kanban Coaching Practices course by Kanban University
- ICP-ACC (ICAgile Certified Agile Coach) by ICAgile
- Certified Trainer by ICAgile
- RPOAS (Registered Product Owner at Scale) by Scrum at Scale
- RSASF (Registered Scrum at Scale Fundamentals) by Scrum at Scale

Experience:
Proven experience in managing web and mobile projects for various industries, including healthcare, education, social media, and insurance, utilizing RUP, Waterfall, and Agile methodologies. Skilled in product and business analysis roles, with a strong track record of delivering successful projects.

Skills:
Technical skills: SQL, BPMN, UML (basic level)
Microsoft Office: MS Project, Word, Excel, PowerPoint, Outlook
Proficient in using various tools, including:
  Miro
  Microsoft Power BI
  Postman
  Jira (including administration)
  Confluence
  Azure DevOps (TFS)
  Asana
  PivotalTracker
  Xmind (mind-mapping)
  Balsamiq Mockups
  draw.io

Language:
English: Upper-Intermediate

Professional Memberships:
Member of IAF (International Association of Facilitators)
Facilitator"
45,,"Warsaw University of Technology (WUT)
Faculty of Computer Science, studied in English for 1 year and 6 months

Professional Experience:
Front-end Developer (4 months)
Project Manager (1 year)
Tech Lead, Project Manager Department (1 year and 3 months)
Single Point of Contact (2 months)

Key Achievements:
Contributed to the development of a giant website listed in Fortune TOP 500 with USA stakeholders
Successfully launched 8 new domains, exceeding the initial goal of one domain

Public Speaking:
Presented lectures at 3 annual conferences on topics including:
  Project Management
  Planning and Approving
  Customer Understanding
  Creating a Friendly Team Atmosphere
  Transforming Customer Desires into Real Projects

Work Environment:
Experienced a cozy office environment with a friendly team atmosphere

Additional Information:
Available upon request: detailed CV with a list of technical skills and information about previous projects."
46,,"**Summary**
Results-driven professional with proven experience in project management and team leadership, skilled in multiple methodologies and tools.

**Technical Skills**
- Agile methodologies: Scrum, Kanban
- Project Management Tools: 
  - Collaboration: Confluence, Trello
  - Issue tracking: Jira, Redmine, VSTS
  - Customer relationship management: Salesforce
  - Professional services automation: Kimble

**Project Experience**
- Successfully managed projects under time and material as well as fixed price engagement models
- Delivered solutions across diverse sectors including enterprise, e-commerce, financial services, and big data

**Management Skills**
- Strategic planning: Risk Management, Cost Management
- Operational efficiency: Time Management, Scheduling
- Leadership and interpersonal skills: Leadership, Communication, Negotiation"
47,,"Agile Delivery Management
- Successfully managed version planning, utilizing Jenkins and GitHub Actions to build versions, and deployed to Azure and AWS environments, including dev and production

Scrum Mastery
- Led and organized Scrum Events, maintained Scrum Artifacts, and created roadmaps, resource plans, project charters, and reports, while mitigating risks to ensure timely delivery of value

Business Analysis
- Authored Business Requirements, User and Job stories, and conducted investigation research to gather critical project information

Collaboration and Leadership
- Fostered close collaboration with cross-functional teams, including developers, UI/UX teams, and stakeholders, to drive project development forward
- Led high-performing teams through daily stand-ups, 1:1 meetings, retrospectives, task management, skills development, and issue resolution, while maintaining supporting documentation

Pre-Sales and Business Development
- Contributed to pre-sales efforts, attended client meetings, and prepared detailed estimations and proposals

Organizational Development
- Played a key role in establishing company processes, crafting role descriptions, and conducting stakeholder interviews, with daily collaboration with the CTO

Career Aspirations
- Seeking a challenging opportunity to leverage diverse experiences, drive results, and continue learning and self-development, with a focus on contributing to projects that positively impact the world, excluding betting, gambling, banking, and dating domains."
48,,"Certified Agile Project Manager
Certified Scrum Master
Kanban, DSDM, Agile Project Management

Summary:
Results-driven project management professional with experience in leading cross-functional teams and delivering successful projects in various domains, including IT, medical, business, and education.

Experience:
- Conceptualized and developed IT projects from inception to completion
- Successfully led and delivered dozens of projects in multiple roles, including Project Manager, UX, Business Analyst, and QA
- Managed long-term products and ensured their continued success
- Proven track record of effectively managing large project teams, with experience working with 80+ member teams
- Conducted projects and products in medical, business, and educational sectors
- Implemented business analysis stage in customer relations to drive business growth
- Identified and explored new Western markets for business expansion
- Demonstrated expertise in hiring, team management, and remote team management

Technical Skills:
- Proficient in Jira, iOS, Android, PhP, Drupal, Redmine, Axure, Mindmap, and UI/UX design

Business Skills:
- Skilled in business analysis, sales and account management, scope clarification, prioritization, influencing, leading, delegating, business development, and change/risk management
- Leverage a powerful tech background to drive business decisions
- Possess advanced Business English skills

Work Environment:
- Thrive in informal settings with adequate management
- Prefer product companies that offer professional growth opportunities
- Value office locations with convenient access to public transportation, such as metro stations"
