Unnamed: 0,Modified_mistralai/mixtral-8x7b-instruct_of_Modified_mistralai/mixtral-8x7b-instruct_of_resume_Modelmistralai/mixtral-8x7b-instruct_Modelmistralai/mixtral-8x7b-instruct
12505,"LIMS Specialist
TerraLab IT, LTD
Khmeknytskyi, Ukraine
June 2014 – Present

Responsibilities:
- Maintain and update LIMS (Laboratory Information Management System) for biotech and pharmaceutical clients
- Develop and implement customized LIMS solutions to meet unique client needs
- Troubleshoot and resolve technical issues related to LIMS
- Collaborate with cross-functional teams to ensure seamless integration of LIMS with other systems
- Provide training and support to clients on the use of LIMS

Experience:
LIMS Specialist
TerraLab IT, LTD
Khmeknytskyi, Ukraine
June 2014 – December 2021

Education:
Bachelor of Science in Computer Science
Kharkiv National University of Radio Electronics
Kharkiv, Ukraine
2010 – 2014

Skills:
- Strong knowledge of LIMS and laboratory procedures
- Experience with various LIMS platforms, including LabWare, SampleManager, and STARLIMS
- Proficient in programming languages such as Python, Java, and SQL
- Excellent problem-solving and analytical skills
- Strong communication and interpersonal skills."
12506,"Owner and Maintainer, Trading Platform (2015-Present)
• Conceptualized and implemented a successful monetization strategy for a trading platform, resulting in business growth to 85,000+ users
• Managed risks and diversification to ensure the stability of the platform
• Specified requirements and led the implementation of new features to improve user experience and functionality

Credit Expert to Head of SME Credit Risks Analysis Department, Banking (2"
12507,"IT Professional Resume

Recent graduate with a strong foundation in managing and optimizing technology resources. Passionate about staying current with the latest technological advances, I am eager to contribute fresh ideas and innovative solutions to your organization. With a quick learning ability and excellent problem-solving skills, I am ready to tackle challenges and support the seamless integration of IT strategies.

Work Experience Assessment System

* Utilizes a comprehensive work experience report, generated using detailed information about my professional background
* Includes an evaluation of my overall work experience and performance, along with a comparison to my peers' work backgrounds
* Visual graphics and interpretations provided to highlight key points
* Leverages AI technology to create a tailored professional resume, effectively presenting my work experience

Education

* Bachelor of Science in Information Technology

Skills

* Technology resource management
* IT strategy integration
* Quick learning
* Problem-solving
* Passion for technological advancements

Seeking an opportunity to apply my knowledge and drive to create a positive impact in the field of IT Management."
12508,"Experienced Business Analyst and Project Manager with a proven track record of driving successful project execution. Proficient in coordinating diverse teams and stakeholders, and building strong relationships through effective communication. Demonstrated expertise in business analysis principles, techniques, and tools, ensuring projects are completed on time, within budget, and to a high standard of quality.

* Coordinated diverse teams and stakeholders, building strong relationships through effective communication
* Demonstrated expertise in business analysis and project management principles, techniques, and tools
* Ensured projects were completed on time, within budget, and to a high standard of quality
* Collected, defined, and translated business objectives into detailed and understandable requirements, managing functionality development till production
* Managed the development of clinical outcome assessments, treating each as a separate project with its objective, stakeholders, timelines, and budget

Experience:

Business Analyst and Project Manager, [Company Name]

* Collaborated with business stakeholders to reach a common understanding of solutions to address their needs
* Defined business requirements and managed the development of clinical outcome assessments
* Ensured projects were executed with precision and excellence

Education:

[Degree and Major], [University Name]

Skills:

* Business Analysis
* Project Management
* Coordination of Diverse Teams and Stakeholders
* Relationship Building
* Requirements Definition
* Clinical Outcome Assessments
* Functionality Development
* Timeline and Budget Management."
12509,"WORK EXPERIENCE:

1. Administered CRM system, maintaining optimal performance and user experience.
2. Tracked and reported bugs, facilitating timely resolution by the contractor.
3. Led CRM implementation in foreign markets, establishing business processes, rules, and conducting system testing.
4. Trained staff on CRM usage, enhancing proficiency and productivity.
5. Gathered information and requirements for CRM launches in foreign markets, ensuring understanding of customer needs.
6. Developed test cases for the contractor, facilitating accurate system testing and validation.
7. Coordinated and led technical support applications of the contractor, writing technical specifications for improvements and new functionality.
8. Conducted manual testing, identifying and reporting system inconsistencies and issues.
9. Monitored system operations, including business processes, transactions, transactional mailings, and rules LP.
10. Prototyped new features via MS Visio, facilitating visual communication and understanding of system enhancements.
11. Managed discounts, bonuses, coupons, and customer data within the system, ensuring accurate and up-to-date records.
12. Generated monthly/weekly reports in Excel, providing valuable insights and data for decision-making.
13. Utilized Postman for API testing and validation.
14. Applied basic SQL knowledge for effective data manipulation and extraction.
15. Analyzed logs and JSON files to identify and resolve system issues.
16. Created comprehensive business analysis for projects from scratch, ensuring thorough planning and execution.

Eager to work with a competent management team and open to new cases, projects, and opportunities for skill development."
12510,"**Work Experience**

* Over 5 years of diverse project experience
* Business Analyst/Product Manager at ValueTek - Banking / Mobile Application
* Product Manager/Business Analyst at Viseven - Event-Driven Architecture
* Business Analyst at Implementation ISD - Healthcare / Product
* IT Analyst at PrivatBank - Web Development

**Skills**

* Scrum, Kanban
* Draw.io, UML, Figma
* Hibob, Miro
* Jira, Confluence, SQL
* Photoshop."
12511," May 2020 - Present
Company: ""OVR360""

* Schlep - App for real-estate photographers
	+ Tasks: Requirements collection, Technical specifications
* Healthcare Digital Wallet
	+ Tasks: Requirements collection, Technical specifications
* App for handmade suits creators
	+ Tasks: Requirements collection, Technical specifications

December 2019 - May 2020
Company: JV ""OptimaPharm LTD""

* Employee training in high-risk jobs
	+ Software: DA Directum
	+ Tasks: Requirements collection, Technical specifications, Test-case creation, Process testing, User instruction documentation
* 1C WMS
	+ Software: 1C, DA Directum
	+ Tasks: Requirements collection, Technical specifications, Test-case creation, Process testing, User instruction documentation
* Weekend standby for drivers
	+ Software: Application ""Logistics"", DA Directum
	+ Tasks: Requirements collection, Technical specifications, Test-case creation, Process testing, User instruction documentation

September 2019 - December 2019
Company: CIT Global Consulting (Freelance)

* Polycard Application
	+ Software: Polycard, Poster, BP automation tool
	+ Tasks: Requirements collection, Test-case creation, Process testing

August 2019 - December 2019
Company: SmartVillage (Freelance)

* Smart Home Management
	+ Software: BP automation tool
	+ Tasks: Requirements collection, Technical specifications, Test-case creation, Process testing

July 2019
Company: Freelance

* Online Store of Children's Goods Web-application
	+ Tasks: Requirements collection

June 2019
Company: Freelance

* Manual Therapy and Master Work Web-application
	+ Tasks: Requirements collection, Technical specifications

March 2018 - September 2018
Company: Freelance

* Expert Order Management
	+ Tasks: Requirements collection, Technical specifications, Process testing."
12512,"---

**[Your Name]**

**Summary:**

* Over 20 years of professional experience in motorbikes, filmmaking, and IT
* Strong soft skills with the ability to quickly learn new tools and methodologies
* Preferred work arrangement: part-time/flexible hours

**Experience:**

* **Producer / Line Producer / Production Manager / Assistant Director**, Generator Productions / Kiev Design Works / Freelance (2003-2006, 2019-Present)
* **Regional Marketing and Customer Relations Agent**, World’s End Motorcycles (UK) in Ukraine, Russia, Belarus, Moldova, Kazakhstan, Kyrgyzstan (2"
12513," Project Management:

* Member, Project Management Office
* Analyzed project implementation processes to minimize delays and key result dismissals
* Verified project manager reports for accuracy and completeness
* Generated quarterly and annual project portfolio reports for NBU
* Tested Jira & Confluence configurations
* Conducted Jira & Confluence-based project management courses for various participant groups

Compliance Specialist:

* Member, AML team
* Ensured bank compliance with local and Group AML and Compliance legislation
* Updated and created internal banking documents, procedures
* Managed preparation and submission of statistical forms to the National Bank of Ukraine
* Initiated IT developments to simplify processes and automate manual tasks
* Prepared business requests, collaborated with analysts on functional specifications, participated in user testing
* Participated in Credit Agricole Group initiatives and projects

Business Analyst:

* Documented and consolidated stakeholder requirements
* Worked with FBL and Data Model
* Proficient in management tools (JIRA, Confluence)
* Skilled in Python, SQL
* Involved in user testing."
12514,"* Successfully maintained client relationships during high-pressure situations.
* Tech lead for NFT marketplace white label solution development and launch, with support from junior team members.
* Simultaneously managed multiple projects, showcasing strong workload management skills.
* Regularly received positive feedback from colleagues for being easy to work with.
* Blockchain startup experience as a Product Owner/Business Analyst, focused on storage provision and management for one year.
* Responsibilities included market research, brainstorming, systematization, documentation, backlog, user stories, and BRD creation.
* Spent 1.5 years in a crypto-based outsource company as a Project Manager/Business Analyst/Product Owner, managing multiple crypto and blockchain projects.
* Conducted discovery for client's ideas, developed ideas, created business requirements, user stories, and backlog, estimated development time and cost, and communicated with clients.
* Performed standard Project Management duties, brainstormed for potential revenue-raising ideas, prepared GM reports, and handled pre-sales.
* Taught several small courses, ""Blockchain for project managers.""
* Served as a Product Manager for 10 months at a blockchain-based travel industry startup, overseeing product management routine, release management, micro-management, R&D, PoC, and other responsibilities.
* Worked as a Product Manager/Product Owner for 10 months at an out-stream commercials service, managing product management processes, conducting research for product launches, leading QA for two people, and overseeing delivery management.
* Spent 15 months as a Product Manager + Head of QA at a silicon valley-based blockchain trading platform and ICO launcher, managing product management, release, QA, and client communication.
* Thrive in blockchain ecosystem and comfortable using alternative software solutions to Microsoft products."
12515,"Here is your improved resume:

Experience:

* Successfully delivered projects as a Business Analyst, Project Manager, and Business Developer, with a track record of improving team productivity and velocity.
* Managed web projects from inception to completion, including gathering and documenting high-level business requirements and mitigating risks.
* Groomed backlogs, composed WBS and BRD, and managed people, change, risks, and crises.
* Executed and controlled projects, estimating and managing costs.
* Involved in multiple projects, communicated with stakeholders, and have experience in WDLC and SDLC.
* Conducted pre-sale, negotiations, marketing research, and R&D.
* Experienced career growth, gained valuable experience, acquired new skills, and seized opportunities."
12516,"Managerial Experience:

* 7 years of experience in a managerial position at a major retail company in Ukraine
* Built and led effective teams, consistently exceeding sales targets

Skills:

* Advanced product management
* In-depth market research
* Successful implementation of new products
* Staff training and development
* Proficient in emerging technologies
* Experience in creating and implementing technology roadmaps with R&D teams

Education:

* Master's degree in Economics
* Bachelor's degree in Metrology and Measurement Technologies from National Technical University of Ukraine 'Kyiv Polytechnic Institute'

Additional Qualifications:

* Able to apply innovative retail sales strategies to manage and motivate sales teams."
12518," Versatile professional with 5 years of experience in project management, business development, and product marketing. Proven track record in driving high-impact projects, developing new business ideas, and leading cross-functional teams in creating and launching new products. Passionate about technology, with a special interest in blockchain and software development.

• Product Development: Led cross-functional teams in creating and launching new products, resulting in increased revenue and customer satisfaction.
• Project Management: Oversaw project timelines, resources, and stakeholders to ensure on-time and on-budget delivery.
• Business Development: Identified and pursued new business opportunities, resulting in increased sales and partnerships.
• Product Marketing: Developed and executed marketing strategies to increase product awareness and adoption.
• Technical Skills: Proficient in HTML5, CSS, and Jira. Familiar with Azure and Agile methodologies.
• Other Skills: Strong analytical skills, with expertise in using Excel for data analysis. Excellent communication and presentation skills, with experience in using PowerPoint."
12519," * Proven track record as a Project Manager, leading multinational teams in implementing projects such as:
	+ Successful implementation of a new information system, transforming business processes.
	+ CRM system implementation, leading to changed and adopted business processes.
	+ Development and implementation of multiple satellite applications for the company's information system.
* Served as Business Analyst and Project Manager from 2009, specializing in risk and compliance.
* Proficient in collaborating with multinational teams, including members from India, France, and Spain.
* Currently holding the position of Head of Sales Support, with a deeper interest and expertise in business analysis and project management.
* Self-assured in contributing to the IT field, despite lacking an IT degree.
* Seeking a Business Analyst or Project Manager role, with a focus on challenging projects.
* Experienced in working in multinational teams and result-driven environments."
12520," • 5+ years of project management experience in web and mobile (Android) development projects
• Managed teams of 7-10 people
• Managed e-commerce, b2b, corporate, and media projects with integrated programs (1C, Капитал)

Previous Responsibilities:
• Conducted business requirements analysis
• Created and managed project plans
• Defined project schedules, tracking progress
• Aligned project objectives with company goals, clarified objectives for project team
• Assisted project team with design and development tasks
• Led issue identification and resolution process
• Managed risk tracking
• Monitored and controlled project scope
• Allocated resources for schedule adherence
• Managed budget and reported on projects
• Handled multiple projects concurrently
• Fostered customer, stakeholder, and sponsor partnerships

Competencies:
• Detail-oriented and analytical
• Strong organizational skills
• Proficient in Jira, Teamwork, Trello, Photoshop, MS Office
• Collaborative, thriving in team environments
• Excellent communication skills with customers, team, and stakeholders
• Business & IT strategy experience
• Customer-focused mindset"
12521,"Experienced Project Manager and Business Analyst with over 5 years of experience leading IT projects in the telecommunications and banking industries. Proficient in classic waterfall, scrum, and agile project management methodologies. Skilled in managing multiple projects simultaneously, systemic thinking, and problem-solving. Strong communicator with the ability to work well in both team and independent settings.

PROFESSIONAL EXPERIENCE

Project Manager and Business Analyst
ABC Company, Anytown, USA
January 2016 - Present

* Led project teams in the implementation of IT projects from inception to completion in the telecommunications and banking industries.
* Utilized classic waterfall, scrum, and agile project management methodologies.
* Managed multiple projects simultaneously, demonstrating strong multitasking and organizational skills.
* Practiced systemic thinking, breaking down tasks into subtasks, setting priorities, evaluating tools and sources of information, and determining deadlines and next steps.
* Communicated effectively with various stakeholders to solve problems and identify new project opportunities.
* Achieved results both independently and as part of a team.

EDUCATION

Additional Education in Project Management
XYZ University, Anytown, USA
2014 - 2015

SKILLS

* Project Management
* Business Analysis
* IT Implementation
* Telecommunications
* Banking
* Classic Waterfall Methodology
* Scrum Methodology
* Agile Methodology
* Multitasking
* Systemic Thinking
* Problem-Solving
* Communication
* Teamwork
* Independent Work"
12523,"---

**Project Management & Business Analysis Professional – Banking Industry**

*17 years of experience in the banking industry, specializing in digital retail banking*

**Projects:**

* Developed and implemented a front-office system for bank's retail business, including:
	+ Credit card sales
	+ Cash loans
	+ Refinancing
	+ Current and deposit account opening
	+ Debit cards
	+ CRM elements
* Collaborated on a tokenization system with Visa and MasterCard, supporting:
	+ Google Pay
	+ Apple Pay
	+ Garmin Pay
* Launched an internet banking system for retail business, featuring:
	+ P2P payments, including cross-border
	+ Account-to-account transfers
	+ Card management
	+ Online currency exchange
	+ Deposit and card account opening

**Skills & Expertise:**

* Strong background in digital retail banking
* Experience in various roles, from Business Analyst to Project Manager and Product Owner
* Proficient in leading the development and implementation of new systems
* Skilled in creating project documentation, including:
	+ Business Requirement Documents (BRD)
	+ Functional Design Documents (FDD)
	+ Test Cases and Test Reports
	+ Project Plans and Status Reports
	+ User Guides and Training Materials"
12525,"---

**Product Owner and Team Organizer**

*Facilitated team to generate ideas and achieve clear goals and vision in the product*

**Responsibilities:**

* Gathered needs and vision from clients’ strategic Product Owners (PO)
* Contributed to global roadmaps associated with strategic POs
* Managed product backlogs, including specifying, prioritizing, and testing of new features, evolutions, and bugs
* Facilitated product development discussions within the team
* Organized releases and communicated short-term roadmap knowledge throughout the team
* Collaborated with strategic POs to improve UX & UI
* Handled support

**Experience:**

* Printing and publishing
* Retail
* CRM/ERP
* E-commerce
* Healthcare
* VR/AR entertainment

**Expectations:**

* Opportunities for growth and mentorship from the company
* Interesting and challenging projects
* A friendly and creative work atmosphere
* Regular performance appraisals and wage reviews."
12526," Projects:

* Built company's core system from scratch
* Led internet marketing and sales efforts
* Optimized supply chain operations

Responsibilities:

* Managed scope for multiple teams
* Planned sprints and quarters
* Served as Scrum master and agile methodologies expert
* Gathered and translated requirements into technical specifications
* Developed and evaluated alternative workflow solutions
* Controlled implementation and ensured specifications compliance
* Collaborated with cross-functional teams to integrate business processes
* Wrote clear and concise documentation for new or modified features

Key Skills and Competencies:

* Proficient in JIRA and Rally for project management and issue tracking
* Skilled in MS Office for daily tasks and communication
* Experienced with e-commerce and CRM systems for customer relationship management
* Proficient in SAP ERP for enterprise resource planning and operations management

Personal Qualities:

* Strong initiative and proactive approach to work
* Analytical and problem-solving skills
* High level of responsibility and reliability
* Creative and quick learner
* Sociable and easy to work with
* Accurate and detail-oriented
* Ambitious and hardworking attitude
* Eager to learn and expand knowledge in new areas."
12527,"Here is your resume with some minor formatting changes for readability:

**[Your Name]**

**Certifications:**

* PSM 1
* SAFe 5 Agilist
* SAFe Scrum Master
* SAFe Product Owner & Product Manager

**Senior Business Analyst, EPAM (December 2020 - Present)**

* Led discovery phase and defined solution scope for the quarter
* Used UX prototyping tools to validate requirements and provide UX recommendations
* Built a well-organized Confluence space with all project requirements
* Organized workshop with focus group of end users to elicit requirements and align expectations
* Conducted research of insurance products to provide better business value for the customer

**Middle Business Analyst, GlobalLogic (November 2019 - November 2020)**

* Created detailed and understandable requirements in the US format
* Organized and facilitated scrum ceremonies: Daily meetings, Sprint planning and Estimations sessions
* Conducted UX prototyping of web interfaces via Wireframepro and Axure
* Managed requirements (elicitation, clarification, docs preparation, keeping requirements up to date)
* Assisted in facilitating and removing impediments to the Development Team's progress

**Business Analyst, Nix Solutions (May 2018 - November 2019)**

* Translated stakeholder requirements into tangible deliverables: requirements specification, user stories with AC, workflow diagrams
* Assisted PO on the end side to prioritize work for the development team and maintain a backlog of future work
* Provided ongoing requirements support for the development team
* Conducted sales and presale support, gathered initial requirements for estimation of the project
* Conducted UX research of competitors and UI prototyping of web/mobile interfaces in Axure

**Sales Manager / Business Analyst, Galaxy IT (December 2017 - May 2018)**

* Conducted business development of the company via search of potential customers on Upwork, Freelancer.com and LinkedIn
* Gathered business requirements and their translation into tasks for the development team
* Set up and managed JIRA projects according to Agile (SCRUM / Kanban)
* Conducted demo sessions of sprint results to the customer
* Conducted sprint planning sessions with the dev team."
12528, HCM Configuration Specialist: Aug 2019 - May 2
12529,"1. Successfully led MVP development for a project with a single Agile team within 4 months, utilizing Scrum practices to enhance planning and work organization.
2. Fostered strong relationships with stakeholders, increasing trust and collaboration.
3. Mentored team members, promoting professional growth and development.
4. Conducted comprehensive requirement analysis and documentation for a new system, collaborating with development teams to ensure system alignment with business needs, and overseeing successful implementation and adoption.
5. Experienced in driving project success, ensuring timely completion within budget and client objective attainment.
6. Managed project team, stakeholders, risks, and changes effectively.
7. Identified improvement opportunities, developed solutions, and facilitated communication between stakeholders and technical teams to ensure project value and business objective alignment.
8. Demonstrated expertise in project planning, prioritization, budgeting, risk management, quality management, change management, and reporting.
9. Skilled in gathering and analyzing requirements, developing solutions, and documentation.
10. Committed to continuously evaluating and improving processes and systems to enhance efficiency, productivity, and profitability.
11. Passionate about eliminating wasteful processes, delivering maximum value to projects and products.
12. Seeking a position to deductively develop products, ensure product success, and play an active role in product strategy.
13. Eager to collaborate with others to meet business goals and customer needs.
14. Interested in addressing customer problems, deriving solutions, and working with data to make data-driven decisions."
12530," Amdocs Israel
Program Manager
2"
12531,"ITEA Certificate in IT Project Management
BA Space School IT Business Analysis courses

Over 10 years of experience in Project Management and B2B Sales in the agribusiness sphere
Expertise in software development lifecycle and various software development methodologies
Proficient in risk management and project planning
Equipped with strong analytical, planning, organizational, and communication skills
Experienced in creating well-structured and easy-to-read documents and presentations

Motivated to secure a long-term IT role to utilize and enhance existing skills while working on challenging and interesting projects."
12532,"* Experienced Head of SAP Project Team
* Successfully implemented system refinements and solutions, consistently meeting project deadlines
* Improved communication and understanding between stakeholders, team members, and developers through clear project scoping
* Mentored team members, resulting in one becoming a Senior BA at a top Ukrainian IT company and another leading an implementation project
* Repeatedly recommended for staff based on strong performance assessments in 2015-2017
* High performance recognized with contract extension at OSCE SMM Ukraine

As Project Manager and Project Lead in SAP ERP implementation project (metallurgical company), responsibilities included:

* Organizing team work and communicating with stakeholders, including TOP management, to ensure business needs were met and new solutions implemented on time
* Prioritizing Product Backlog
* Working on SAP ERP implementation by defining business needs and preparing requirements for Sales, Marketing, Finance, and Procurement departments
* Testing IT solutions, refinements, system improvements, and bug fixes
* Organizing migration process from 1C: Enterprise 8.2 to SAP ERP
* Acting as first line of support for users
* Preparing instructions and conducting training

Tools and technologies utilized:

* MS Office (Word, Excel, Project, Outlook, Skype for Business)
* User stories, use cases, scenarios
* Backlog, project documentation
* SDLC, Agile, Scrum
* Test systems of SAP ERP
* JIRA, Confluence, Miro, Basilique, BPMN (learned later)
* RACI matrix, Product Vision Boards, Story Mapping, diagrams, and prototypes (practiced with)

Additional experience:

* Worked as a business analyst for over 1 year in the beauty sphere, customizing software and organizing working processes
* Gained 1.5 years of civil international working experience (administrative duties, contract management, Human Resources), as well as experience in sales and marketing (over 1 year)

Seeking a Business Analyst or Project Manager role (open to junior positions) in a dynamic organization to apply my expertise and continue professional growth."
12533,"Experienced Project Manager and Scrum Master

• Demonstrated success in project management, specializing in web platform and solution development for Telecom companies
• Proficient in Agile frameworks and various development philosophies, consistently delivering projects on-time and on-budget
• Excellent communication skills, with a strong ability to listen and solve problems, maintaining open communication with all stakeholders
• Business-focused mindset, keeping up-to-date with the latest technologies
• Efficient and results-driven team player, dedicated to contributing to team success

Contact me to discuss how I can contribute to your team's success."
12565,"Experience in Business Analytics: 4 years
Experience in Sales: 5 years

As a Business Analyst/Scrum Master:
- Led and managed teams of up to 15 software developers and 2 QA engineers.
- Implemented 5+ integrations and successfully released MVP for 2 projects.
- Coordinated and established sales strategies for teams of 8 sales and pre-sales managers.
- Developed and implemented Affiliate Program for sales department.
- Completed courses in IT Project Management, Quantitative and Quality Market Research, SQL, HTML, CSS, and PHP.
- Worked on 3 projects, including healthcare and cryptocurrency/crowdfunding projects.
- Managed development process, facilitated Scrum events, and enriched user stories.
- Planned and scheduled project timelines, managed changes, and produced progress reports.
- Communicated with clients in the USA/EU, identified and analyzed business needs, and developed technical requirements.
- Proficient in Confluence, UML, Use Cases, Functional & Non-Functional Specifications, Sequence diagram, budgeting, and risk management.

Key Skills:
- Strong client communication and problem-solving skills.
- Experienced in team, project, and stakeholder management.
- Proficient in development process management, documentation, and reporting.
- Knowledgeable in IT project management, market research, and various programming languages.
- Dedicated to continuous learning and growth.
- Starts workday at 11 am."
12656,"**Experience**

**Web Analyst / Business Analyst** (Current)
• Analyze and report on website traffic and user behavior for a national retail company.

**Business Analyst / Web Analyst** (2021-2"
12674," Experienced IT professional with over 10 years of experience in software selling and support processes automation in a globally distributed company (15+ offices).

Established scrum team process 'from scratch' and served as Scrum Master for a cross-functional team.

Accomplished Analyst and Proxy Product Owner on various projects for 8+ years, demonstrating proficiency in Agile, Scrum, and Scrum Master role.

Demonstrated Project Management skills for 4+ years, including experience in creating comprehensive project documentation, requirements validation, and change management.

Expert in creating software requirements: use case diagrams (Visio, Star UML), use cases, user stories, and cascaded requirements. Knowledgeable in software testing, having passed training and participated in testing activities.

Attended coach training, capable of conducting trainings, brainstorms, debates, and meetings. Proven ability to multitask and work effectively under pressure.

Experience in mobile and desktop applications development projects. Preference for small, product-oriented teams over large departments and extensive portfolios. Explicitly do not want to work in a pool and frequently switch projects.

Skilled in development processes: Waterfall, Agile (Scrum), and Kanban.

Note: No experience in the Banking sector."
12687," Automation Development Experience:

* 2001-Present: Extensive experience in automation development
* Proficient in various automation tools and programming languages
* Experience in designing, implementing, and maintaining automation systems
* Strong problem-solving skills and ability to work independently
* Proven track record of improving efficiency and reducing costs through automation

Education:

* Bachelor's degree in Computer Science

Note: No changes have been made to the original resume that are not accurate representations of the individual's experiences and qualifications."
12736," **Experience:**

*Co-founder and Business Manager, Whales of Design*

- Successfully launched a design agency, expanding into international markets with a first-year turnover of 20 thousand dollars
- Managed projects with team sizes ranging from 4-12 members
- Spearheaded business operations, attended industry conferences to attract potential partners, and fostered relationships with external contractors and designers
- Resolved customer conflicts and ensured project completion from inception to delivery

*Recruiter and Manager*

- Recruited staff and evaluated work performance
- Coordinated logistics for notable events, including ""Ocean Elzy"", ""Atlas Weekend"", and ""Imagine Dragons"" concerts

**Seeking a position in a reputable company that offers opportunities for intellectual and professional growth.**"
13078," Yelyzaveta
IT Professional with Project Management and Financial Expertise

Professional Background:

Experienced Project Manager, skilled in resolving complex technical issues and managing financial matters.

Functional Expertise:

1. Issue Resolution and Technical Troubleshooting:
- Proven ability to address and resolve intricate technical issues during the project lifecycle.
2. Financial Management and Client Relations:
- Skilled in managing financial interactions with clients, offering additional services and upselling supplementary solutions.
- Proficient in handling invoicing and time tracking inquiries with professionalism.
3. Collaboration with Delivery Manager and Client-side Process Configuration:
- Adept at streamlining client-side project management processes, ensuring smooth coordination and effective documentation.
4. Project Resource Cost Calculation:
- Proficient in calculating the cost of specialized resources for each project, ensuring profitability and viable resource allocation.
5. Overall Company Project Margins Calculation:
- Detail-oriented analysis and calculation of complete project margins, assisting the company in gauging overall project profitability.

Passionate and driven professional, committed to adding value and driving success. Seeking opportunities to grow into a highly qualified specialist and contribute to projects.

Connect with me to explore collaboration and discuss potential contributions."
13080,"Business Development Manager / Business Analyst

* Full cycle sales process: generated leads, qualified prospects, developed opportunities, closed deals; prepared contract documentation including Estimates, Proposals, MSA, SOW
* Utilized CRM systems (Salesforce, Zoho, Dynamics, Act!) and email marketing tools (SendGrid, Reply, Outreach), tracking systems such as Jira and Trello
* Coordinated with various departments during the pre-sale stage (recruiters, PMs, company executives), acted as the primary point of contact for prospects during the pre-sale stage (setting up and participating in tech interviews, gathering client’s feedback, working with objections)
* Managed full-cycle E-mail campaigns, created marketing materials (case-studies, press releases, website content)
* Participated in screening and interviewing new S&M department team members, tutored and educated junior team members, including remote teams in other company offices in Ukraine and abroad

Business Analyst:

* Elicited and evaluated clients' requirements, created Software Requirements Specifications
* Maintained and updated project documentation, communicated with customer representatives and developers
* Prepared User Guides, created UI Wireframes"
13146,"Dean's Honor List for Outstanding Academic Achievements - American University in Dubai.

ISO22000 - Certified Internal Auditor

• Over 7 years of extensive international experience in managerial positions, including Assistant Project Manager, Project Manager, and Director of Business Development & Production, in Ukraine, Qatar, UAE, and Lebanon.

• Fluent in English, with proficiency in expressing complex ideas, compiling detailed reports, and delivering product presentations. Experienced in handling international documents under NDA.

• Demonstrated ability to manage up to 15 direct reports, including engineers, designers, and sales managers, and coordinate with third-party service providers.

• Proficient in modern management principles, including plan, organize, lead, and control. Utilizes various programs and packages, such as Trello and Google Documents, to facilitate communication and cooperation.

• Proven track record as a loyal employee, with over 5 years of service at a previous company. Successful experience in personal projects in eCommerce and online news publications.

Available for further discussion of motivation and qualifications."
13147," * Established a partnership network with 150+ IT companies across Ukraine, Poland, Bulgaria, and other countries.
* Successfully managed over 10 projects and numerous support tasks, demonstrating strong project management and business development skills.
* Experienced professional with 3+ years in project management and 2 years in business development management within the IT industry.
* Strong communicator with a curiosity for new challenges and a proven track record of growing partnerships.
* Currently serving as a Partnership Manager in an outsourcing/outstaffing agency, where I am responsible for client and supplier meetings to understand and grow partnerships.
* Handle communication and onboarding of clients, ensuring a smooth and efficient process.
* Manage a team of developers and designers, providing guidance and support to achieve project goals.
* Proficient in various project management and communication tools, including Trello, Notion, Slack, Agile, Jira, CRM, and ActiveCampaign.
* Seeking a dynamic team that offers opportunities for growth and learning."
13148," **Business Development Manager & Fundraiser**

* Built and maintained relationships with stakeholders, securing a $30,000 investment for a startup company within a week
* 5 years of experience in business development and fundraising

**Business Development Manager**

* Communicated new product advancements to potential clients
* Initiated contact with potential clients to establish connections and schedule meetings
* Uncovered new business opportunities
* Participated in conferences, meetings, and industry events
* Set development team and business growth goals, ensuring their achievement
* Researched organizations and individuals to discover new opportunities

**Startup Project Business Development Manager**

* Set business development team objectives and devised strategies to meet them
* Consulted with stakeholders
* Coached business development staff
* Investigated prospective accounts in target markets

**Project Manager, State Enterprise**

* Defined and determined project scope and objectives
* Monitored project costs to adhere to budget
* Supervised progress and made necessary adjustments
* Evaluated project performance to identify enhancement areas

**Team Player**

* Proven ability to collaborate effectively in both small teams and large projects"
13149," ---

**Experience:**

* Established 48 new interconnections with companies across Europe, CIS, America, and Asia within the past 6 months, while identifying and flagging 5 fraudulent companies.
* Managed projects with international partners for 2 years, working with both consumer (B2C) and business (B2B) clients across the globe (Europe, Asia, America, CIS, Africa). Focused on telecommunications for the past 1.5 years, managing interconnections processes and expanding the partnership network.
* Searched for new partners, negotiated terms, calculated business cases, conducted fraud checks, drafted and signed agreements, and communicated with new partners regarding commercial, technical, and legal aspects of the project. Ensured seamless interactions between new companies and all internal departments.
* Gained experience in a computerized environment, utilizing tools such as Pipedrive CRM, Odoo, Confluence, Jira, and Mattermost. Directly engaged with customers through various channels, including telephone, email, Skype, LinkedIn, and cold/warm calls.

**Skills:**

* Proficient in communication and collaboration, with a structured thinking approach and a willingness to engage with diverse customers.
* Adept at thriving in high-pressure situations and managing multiple tasks in a fast-paced environment.
* Strong problem-solving skills, a proactive and efficient work ethic, and self-motivation.

**Job Goals:**

Seeking a challenging and exciting role that utilizes communication, helping people, and project management skills within an international, multilingual environment. Eager to join a team of professionals who are passionate about their work and appreciate a collaborative and respectful management style, training programs, and English language development opportunities. Prefer a position consisting of 70% communication and 30% technical tasks, with opportunities to learn new technologies, tools, and methods as needed."
