id,Llama3-70B-Instruct-Turbo
84,"SummaryHighly experienced designer and team leader with a passion for creating exceptional user experiences. Proven track record of driving success in e-commerce, advertising, and publishing. Skilled in graphic and web design, brand identity, and team management.Experience Senior Designer and Head of Design Team, E-commerce Company	+ Led design department in the largest e-commerce company in the country	+ Automated design and development processes, resulting in significant productivity gains	+ Created successful brands of household appliances Creative Designer and User Experience Designer, E-commerce Company	+ Developed and implemented digital advertising campaigns	+ Utilized customer and user experience analytics to drive business growth Graphic Designer, Advertising Agency Leading Designer, Publishing and Entertainment Company Design Bureau and Printing Studio Founder and HeadQualifications Professional skills in graphic and web design Brand identity creation and promotion Key-visual creation and implementation Digital advertising campaign development and implementation Team management and design department leadership User experience analytics and business problem-solving Animation, motion design, and video editing Layout design and print preparation expertiseSoft Skills Complex problem-solving and analytical thinking Effective people management and negotiation skills Emotional intelligence and empathy Decision-making and design thinking Quick learning and adaptabilityCareer GoalJoin a team of enthusiasts and ambitious professionals to develop and improve a company's product that will make a global impact."
85,"Digital 2D Artist & UI/UX DesignerAbout MeHighly motivated and self-taught digital artist and designer with a strong passion for creating innovative designs. Proficient in a range of design tools and technologies, with a keen eye for detail and a commitment to delivering high-quality results.Experience Freelance Web Designer, Dec 2018 - Nov 2019 UI/UX Designer & Illustrator, Nov 2019 - Aug 2021 Full Stack UI/UX Designer, Illustrator, & Graphic Designer, Apr 2021 - PresentSkills Design: UI/UX Design, Adaptive Design, Illustration (Raster/Vector), Banner Design, Logo Design Language: English (Upper-Intermediate) Soft Skills: Effective Verbal and Written Communication, Time and Self-ManagementTools Adobe Photoshop Adobe Illustrator Procreate App Figma MidjourneyAwards RED DOT, Brands & Communication Design, Aug 2022Career GoalsI am excited to join a successful company with a friendly team where I can apply my skills and experience to drive innovation and growth. I am committed to continuous learning and self-improvement, and I am eager to contribute my best to a dynamic and forward-thinking organization."
86,"Digital DesignerSkills: Color sense and Color Theory Composition and Branding Advertising and Illustration Digital Design, Digital Imagery, and Digital Analytics UI/UX design HTML/CSS Webflow (animation, CMS, etc.) Figma (advanced user)Soft Skills: Confident team player with ability to work independently Creative problem solver Excellent customer interface skillsEducation: Dare IT - Product Design Hillel (IT School) - Basic Web Design Cases Media - Figma (90) Cases Media - Graphic Design, Composition (91)About Me:As a passionate digital designer with extensive experience in marketing, I excel in creating visually stunning designs that drive brand growth. With a strong background in Photoshop, Illustrator, and Figma, I have successfully worked on various projects, including websites, e-blasts, and more.Experience: Freelance Designer for an American company In-house Design Manager, collaborating with over 5 international companies Proven track record of delivering award-winning campaigns and engaging designs that drive target market growthCareer Goals:I am seeking a long-term partnership that offers growth opportunities, where I can leverage my skills and experience to make a meaningful impact on product development and customer satisfaction."
87,"Digital Graphic Designer (NDA)July 2021 – Present Develop web content, logos, posters, and graphics for events Create infographics, landing pages, and small architectural forms for advertising campaigns Design presentations, training materials, and vector illustrations Develop mascots and other visual elementsDigital Graphic & UI/UX Designer (ReevArts)July 2020 – July 2021 Designed over 500 social media assets and 250 TV designs Created UI/UX designs for 2 products over a 1-year period Conducted quality control of animators' work and reviewed designs Storyboarded and illustrated showreels and promosTechnical Graphic Designer (Polygraphy)April 2019 – July 2020 Developed designs meeting customer requirements and prepared for printing Created special layouts for T-shirts, sweatshirts, stickers, and clipping paths Controlled in-house designers' work and reviewed customer designs Ensured quality control of printing and cutting results Developed technological mapsGraphic & Web (UI/UX) Designer (Freelance Design; Self-employed)April 2018 – March 2019 Created final art and files for developers and animators Collaborated with editors and project managers Designed final art for presentations and assisted in creative presentations Developed website and interface designs, prototypes, and templatesAssistant Manager (АМО1, ООО)October 2013 – June 2014 Sourced potential clients and addressed their objections Researched tenders in company areas of activity Analyzed market demand for new parts and competitors' prices Worked with drawings, fulfilled personal orders, and maintained the company website"
88,"Dynamic Junior UI/UX DesignerSummary:Passionate and detail-oriented UI/UX designer with a solid foundation in design principles and user-centered methodologies. Proficient in design software including Figma, Photoshop, and Illustrator. Skilled in creating interactive prototypes, wireframes, and mockups to enhance user engagement and product usability.Education: Completed a 6-month UI/UX design course Additionally studied HTML/CSSProjects:Real Estate Site Redesign Redesigned a website for a real estate company in Destin, Florida, to create a modern and convenient design that attracts potential customers Conducted research and analysis of competitors to understand successful solutions Created 3 user personas and a customer journey map to inform design decisionsTravel Website Designed a web service to help users find and book excursions, tours, and entrance tickets worldwide Developed a user-friendly interface with search functionality, filters, and registration options Created wireframes, UI-Kit, and an adaptive design to ensure a seamless user experienceMobile Application for Restaurant Table Booking Designed a mobile application for booking tables in restaurants Applied design principles and user-centered methodologies to create an intuitive and user-friendly interfaceSkills: Proficient in Figma, Photoshop, and Illustrator Strong understanding of design principles and user-centered methodologies Experienced in creating interactive prototypes, wireframes, and mockups Collaborative team player with a passion for continuous learning and adapting design strategiesCareer Objective:Seeking a full-time position in a product company that focuses on creating digital products for everyday life and business. As a quick learner, responsible, and motivated individual, I am ready to take on complex tasks and contribute to a dynamic team."
89,"UX/UI DesignerSummaryPassionate UX/UI designer dedicated to creating user-centered digital experiences. Seeking roles that offer creativity, collaboration, and opportunities for design innovation, with a focus on quality over speed and user satisfaction.ExperienceIndian Cafe RedesignRedesigned the user interface of Indian Cafe, optimizing the mobile app and web service, and creating a landing page.f.Lover Mobile AppCollaborated on the development of a mobile application for ordering and delivering bouquets and gifts online. Designed an intuitive interface providing users with gift and flower recommendations, allowing them to order gifts for specific dates, times, or special occasions.I made the following changes: Added a clear summary section to highlight your goals and preferences Created a separate experience section to showcase your projects Used a more formal and concise tone throughout the resume Emphasized your role in the projects, using verbs like ""Redesigned"" and ""Collaborated"" Removed the phrase ""I'm excited to explore"" and instead used a more professional summary section Kept the same level of detail and accuracy as the original resume, without adding any new information."
90,"Projects Spearheaded two IT projects: ""Bill of Materials Process Automatization"" and ""MRP in SAP"", resulting in annual savings of $34,000. Led three supply projects: ""ABC and XYZ Methodology for Inventory Stocks Analysis"", ""New Supplier Implementation"", and ""Implementation of a New Glue Using Scheme"", yielding annual savings of $163,000. Successfully implemented three IT projects and seven business process improvements, including ""SAP GUI Automation"" and ""Automation of Data People Cycle Consolidation"", resulting in a 2 FTE optimization. Managed a student probation scheme, achieving a result of 72. Designed and delivered training programs, training over 600 individuals.Work ExperienceFMCG Company (7 years) IT and Project Management: Utilized knowledge of web development processes, HTML/CSS/JS, and project management principles to create technical specifications and project documentations. Leadership and Collaboration: Demonstrated people management, negotiation, and crisis management skills, building long-term cooperation with suppliers and subcontractors. Business Operations: Planned and implemented cost reduction strategies, created and controlled business processes, and managed budgets and timelines. Talent Development: Supported staff performance reviews, personal development processes, and remote recruitment. Communication: Prepared client presentations and staff trainings, and handled business correspondence.Languages Polish: Elementary levelCareer Benefits Opportunities to work on interesting and challenging projects Multinational work environment Personal and professional development opportunities Permanent job with a friendly atmosphere"
91,"About MeI'm a motivated and results-driven professional seeking new challenges and opportunities with a team that shares my values, product vision, and positive thinking.Work ExperiencePR Team Manager, Startup Incubator Developed and executed strategic plans to drive business growth Managed day-to-day operations, ensuring efficient use of resources Coordinated and moderated brainstorming sessions and meetings to foster collaboration Built and maintained relationships with regular partners to drive business outcomes Planned and executed activities from start to finish, tailoring them to specific goals and target audiences Delegated tasks, tracked results, and monitored timely implementation of projectsProject Manager, Hack-A-Train & Hack For Locals Managed logistics, branding, and marketing for Hack-A-Train, a 30-hour hackathon on a train from Mariupol to Lviv	+ Coordinated train booking and branding	+ Oversaw local marketing, application management, and catering	+ Ensured provision of stationery, printed materials, and on-site support Led project management for Hack For Locals, a hackathon for local community development	+ Managed local marketing, application management, and partner engagement	+ Coordinated with companies, government agencies, and partners to drive event success	+ Translated event texts and marketing messages from English to Ukrainian	+ Provided on-site assistance during the event"
92,"Project Coordinator, Ukraine & EurasiaCurrent Role: Coordinate and control the implementation of Global Point of Sale projects in Ukraine and Eurasia Lead a team of 6 specialists across the region Manage Point of Sales Materials and budgeting processes across markets and categories Prepare briefs and communicate with agencies for production and logistics of trade equipment and Point of Sales Materials Oversee procurement processes for Point of Sales Materials and trade equipment Drive initiatives and target interventions to achieve Global KPIs Collaborate with 3rd parties to implement Global goals and priorities Ensure timely communication and delivery of materials for New Product Development point of sale materials and trade equipment production Verify cost estimates for design services in Ukraine and Eurasia markets Review and confirm documents and payments between the company and 3rd party vendorsEducation: IT Project Management course, Projector (2021)Career Goal:To further develop my project management skills in IT and contribute to a high-performing team."
93,"Summary:Results-driven professional with 5+ years of experience in project management-like role in the transportation industry, seeking to leverage skills in IT sector. Proven track record of meeting sales goals, handling complex projects, and delivering excellent customer service.Work Experience:Autotransport Company, Florida/Dnipro (Local Office)Senior Position, 5+ years Managed transportation requests from start to finish, ensuring timely delivery, client satisfaction, and driver needs Utilized CRM, Trello, DocuSign, Confluence, and Jira to streamline processes and enhance efficiency Consistently met sales goals for 5 consecutive years, earning recognition as best sales of the day multiple times Successfully handled an additional project of heavy-load transportation, demonstrating problem-solving skills Maintained a high level of customer satisfaction, reflected in numerous positive reviewsEducation:Hillel IT School, Project Management Course (Excellent Score)Skills: Project management Customer service Time management Problem-solving CRM, Trello, DocuSign, Confluence, Jira Quick learner, taking responsibility, meeting deadlinesI made the following changes to improve your resume: Added a summary section to highlight your strengths and career goals Reorganized the work experience section to focus on achievements and skills rather than daily tasks Emphasized your problem-solving skills and ability to handle complex projects Removed the mention of ""similar to a Project Manager"" and instead highlighted your transferable skills Standardized the formatting and bullet points for easier reading Moved the education section below the work experience to prioritize your professional experience Created a separate skills section to showcase your technical and soft skills"
94,"WorleySenior Project EngineerMarch 2021 - May 2022Key Responsibilities: Managed project deliverables and interfaces to ensure safe, efficient, cost-effective, and timely execution Coordinated project communications, identified key issues, and ensured prompt action/response Reviewed and finalized project procedures in collaboration with key project personnel Ensured project team members were contractually aware of their responsibilities, scopes of work, and deliverables Collaborated with Cost Controller and Planner to provide weekly project status analysisNotable Achievements: Successfully constructed and commissioned new laboratory systems, including Public Address General Alarm, Access Control System, Close Circuit Television, fire alarm, firefighting, HVAC, and power distribution Installed 12 server cabinets in Data Centre for information replication Eliminated risks by relocating laboratory to a safe areaUBOCProject Engineering LeadSeptember 2020 - March 2021Key Responsibilities: Monitored overall progress of engineering work from contractors and addressed problem areas Managed engineering interfaces and information transfer between contractors Ensured quality of engineering work met international standardsNotable Achievements: Established engineering processes and procedures across departments, including PSCM, Quality Team, Construction & Commissioning Developed and integrated Engineering Execution PlanBritish PetroleumProject LeadSeptember 2009 - June 2020Key Responsibilities: Fulfilled project requirements defined in Project Procedure and associated guides and templates Contributed to establishing region annual activity plan Managed project and modification budgets based on assigned activity set Oversaw contractor resources to deliver assigned projects or activities Performance-managed delivery by contractors using global benchmarks, metrics, and KPIs Managed internal stakeholders and interfacesNotable Achievements: Achieved $750M revenue increase through plant efficiency improvements Increased gas production Eliminated safety and business risks, resulting in $2.5M annual production gain Delivered various oil & gas production optimization projects"
95,"SummaryHighly motivated and experienced IT professional with a strong background in project management, business analysis, and system administration. Proven track record of delivering successful projects and developing innovative solutions.Work ExperienceProject Manager, IT HB (6 months)(http://www.it-hb.org)IT Business Analyst, Promocore (4 months)(http://promoco.re)Network and System Administrator, Vinnitsia National Technical University (3 years 5 months)(http://vntu.edu.ua)Designed and developed a corporate network for the educational building of the faculty of computer systems and optical engineering departments. Managed manual assembly and settings, utilizing VLAN, WiFi, WPA 2, ACL, WDS, CAP manager, Squid Server, Radius Server, Teamviewer Server, and Local connections to computers with video surveillance systems.Projects ChiliPizza: Designed, developed, and configured a website with a custom JS site menu, 3D tour, and integrated customer needs. (http://www.chilipizza.vn.ua) Joht & Alex Transport Company: Developed a website, provided consulting, business analytics, branding, SEO, and SMM services. (http://www.ja-bus.com) IROOM: (http://iroom.ua) EcoCITIZENS: Designed and developed an information system for environmental monitoring using microcontrollers Arduino and a website. Developed an ASP.NET web site using MVC, designed and used a database msSQL, and developed a sketch for Arduino web server. Site of Department of Business Economics and Production Management VNTU: Developed Front-End, Back-End, and MySQL database for the project, using the latest version of CMS WORDPRESS with a custom theme. Configured web server and FTP server. (http://epvm.vntu.edu.ua) Development of the system management and optimization of solar collector: Developed a system for managing solar collectors in automatic mode with the ability to connect to the ""Smart home heating"" system. Development of intelligent home heating system: Optimized building heating systems with alternative energy sources.Skills SDLC, Agile, Scrum Project Management: Commercial proposal, project plan development, project scope management, schedule management, cost management, quality management, human resource management, communication management, risk management, and change management. Tools: Trello, Slack, Asana, Worksection, MS Project, Mind-maps, MS Visio UI/UX: Usability concept, guidelines, website and platform development for various projects (e-commerce, corporate, forum), CMS and framework selection, mobile application development, programming language overview. SEO and SMM basics Teamwork: Collaborative work environment, result-oriented team, office, paid sports gym, additional screen, and flipchart with marker."
96,"SummaryMulti-skilled entry-level project manager, doctor, teacher, and PhD with extensive experience in organizing social and volunteer projects. Holding a master's degree in Public Management and Administration, I am confident in my ability to bring value to organizations as an IT project manager.Skills Excellent communicability and responsibility, with experience working with diverse patients, students, and teams Strong teaching and time management skills, with expertise in developing learning materials, conducting lectures, and managing online and offline learning environments Proven public relations, leadership, and team management skills, with experience in organizing mass events, public speaking, and managing teams in public organizations Purposeful and driven, with a strong desire to learn quickly and develop new skills, as demonstrated by my three higher educations and continuous professional developmentEducation and Certifications Course ""IT Project Management"" at A-level Ukraine, 2022 Course ""IT Project Management"" at ITEA, 2022Work Experience Assistant of Department of Internal Medicine №1, Kharkiv National Medical University (2018-present)	+ Teach foreign students in English	+ Organize online learning environments	+ Develop lesson plans and educational e-courses	+ Manage time effectively Physician-Therapist, Kharkiv City Hospital №27 (2016-2018)	+ Diagnose and treat internal diseases	+ Assist the head of the department with healthcare organization Head of Youth Council, Regional Healthcare Trade Union (2016-present)	+ Implement youth policy in trade unions	+ Organize cultural, recreational, creative, and educational events	+ Manage volunteer projects Head of Volunteering, Student Council of KNMU (2013-2016)	+ Create and implement volunteer and social projects	+ Manage stakeholders, scope, time, cost, and risk	+ Oversee procurement Copywriter, Webline Promotion (2017-2019)	+ Write unique articles on medical and other topics	+ Meet customer technical specifications requirements Copywriter, Editor, Head of Medical Department, JDI Studio (2020-2021)	+ Manage communication and quality	+ Organize the work of other copywriters Receptionist-administrator, Children's Medical Center ""Neboleika"" (2013-2017)	+ Manage expectations and communication	+ Organize doctors' appointments and patients' registration	+ Manage schedules, cash, and documentation	+ Resolve conflicts effectively"
97,"Summary:Results-driven professional with experience in project management, business development, and team leadership. Proven track record of driving revenue growth and closing large deals.Education:Currently studying Data Warehouse and Business Intelligence (DWBI) at EPAM, Autumn 2021.Project Manager, Engineering Company (2021) Successfully closed $2M in less than 2 months and concluded agreements with 2 large companies in the field of construction Managed a team to achieve a common goal, utilizing strong communication, negotiation, and problem-solving skills Demonstrated strategic vision and implemented effective strategies and tools to drive results Total transactions made: $12M in 10 monthsBusiness Developer, Network Coffee Shops (2019) Supervised all aspects of coffee shop operations, including employee management, financial transactions, and marketing strategy Effectively managed a fast-paced coffee shop in a busy area, increasing the network to three stores Personally closed $1.2M in less than 11 months, resulting in a 1500% increase in annual revenues from $80K to $1.2MI made some changes to improve the clarity, readability, and impact of your resume, while ensuring that all information is accurate and based on your original text."
98,"Self Employed (2021 - Present)Boosting Service Development Developed and executed a customer acquisition strategy, resulting in a loyal customer base and passive income stream Managed brand reputation and negotiated with clients to drive business growthGlaz Systems (2018 - 2021)Business Development Manager Built and streamlined department processes, increasing efficiency and productivity Successfully grew loyal customer base from 3 to 50, improving NPS and service margin Developed and managed a partner network, driving business growth through B2B sales (IT) and account management Created Software Requirements Specifications for the development team, incorporating client feedback and improvement requests Led team management efforts, resolving conflicts, delegating tasks, and conducting meetings Coordinated business trips, industry exhibitions, and forums, negotiating with large HORECA businesses Managed administrative functions, including payment control, documentation processing, and report managementProject EmploymentШКОЛА ОСТАННЬОГО КАПІТАЛІСТА (AUG - SEP 2023) Managed project requirements, tasks, and technical writing for an EdTech project Contributed to course program development and product visionBALANCУЙ TEAM (JUN 2023 - Present) Led a project to assist trainees from diverse backgrounds in gaining work experience within a team Currently developing two projects: DefendUAId, a platform supporting the Armed Forces of Ukraine, and Balancyй, a comprehensive time management application for iOS, Android, and web platforms"
99,"SummaryHighly motivated and experienced professional with 6+ years of teaching English and Italian languages, 4 years of marketology experience, and 1+ year of IT Project Management expertise. Proven track record of leading multiple projects simultaneously, with strong business analysis, project planning, and leadership skills.Work ExperienceIT Project Manager (1+ year) Led 5+ projects simultaneously, providing support and ensuring timely delivery Conducted business analysis, created project documentation, and managed customer expectations Applied Waterfall and Agile practices (Scrum, Kanban) with proficiency in project management tools (Trello, JIRA, etc.) Coordinated project planning, milestones, and resource allocation Prioritized tasks, distributed work, and monitored project progress Demonstrated advanced English skills (oral, written, business correspondence) and strong communication skills (conflict mitigation, stress resistance)Marketologist (4 years) Created marketing descriptions of products in English and Italian and uploaded them to the databaseTeacher of English and Italian languages (6+ years)Education and Courses PM school (project management courses), May 2018 - July 2018 (certified) Coursera, Project management and philosophy course, August 2019Reading List «Черная книга менеджера» «Белая полка менеджера» Scrum и XP: from the trenches Роман Савин - Тестирование dotcom Scrum и Kanban - выжимаем максимум Том де Марко - Deadline Карл Сьюэлл - Клиенты на всю жизнь Максим Ильяхов, Людмила Сарычева - Пиши, сокращайIdeal Work EnvironmentA team of managers and developers who support each other, prioritize understanding the client, and strive to deliver the best results. Key values include thorough business analysis, transparency, and competitive salary."
