id,GPT4o-mini
72,"     Kyiv, Ukraine      Professional Summary  Results-oriented project manager with over 5 years of management experience. Proven ability to increase profits through high standards, close teamwork, and attention to detail. Adept at problem-solving with a focus on achieving win-win scenarios to ensure satisfaction for both customers and team members. Experienced in managing teams in the retail sector, particularly in luxury perfume, cosmetics, and interior design.Skills  - Agile Methodology (Scrum, Kanban)  - Team leadership and coaching  - Problem-solving and decision-making  - Effective communication and collaboration  - Customer satisfaction focus  - Market knowledge of American and European markets  Professional Experience  Retail Department Store Leader      - Led a team in the retail department specializing in luxury perfumes, cosmetics, and interior design items.  - Implemented strategies to enhance team performance and drive sales growth.  - Developed and maintained a positive work environment, fostering collaboration and goal-oriented teamwork.  - Utilized Agile methodologies to improve workflow efficiency and project outcomes.  Education        Certifications    Languages    "
73,"             Objective  Dedicated professional seeking to leverage extensive management experience and strong communication skills in a role as PM Assistant / Business Analyst Assistant within the IT field. Eager to contribute to a collaborative team environment and support project goals through effective organization and information analysis.Professional Experience  Co-Founder   | Since 2015  - Co-founded three companies specializing in management services, including repair works and complex maintenance of residential properties, as well as trade.  - Successfully opened five stores, employing a total of 26 staff members; managed operations of three stores with 18 employees by the end of 2019.  - Gained extensive experience in personnel management, overseeing a total of more than 30 employees throughout the business operations.Lecturer  Lviv Ivan Franko National University | Lviv, Ukraine | September 2015 - Present  - Instructing students in various subjects, adapting teaching methods to meet the needs of a diverse group of learners.  Lecturer  Lviv Danylo Halytskyi Medical University | Lviv, Ukraine | December 2014 - September 2015  - Taught Ukrainian language to foreign students, fostering an understanding of language and culture.  Translator   | February 2011 - November 2011  - Provided translation services to facilitate communication and understanding in various contexts.Skills  - Strong communication and interpersonal skills  - Excellent organizational abilities  - Adaptability to new information and learning environments  - Team-oriented with a focus on collaboration and feedback  - Customer-focused approach to project management  Education    Languages  -  (fluent)  -  (intermediate)  References  Available upon request.  "
74,"           ---Objective  Dedicated professional seeking a Junior Project Manager position. Committed to self-development in the IT industry, leveraging strong experience and advanced soft skills from a background in hospitality and administrative management.---Experience  Administrative Director     – Present  - Led initiatives that enhanced administrative and study processes, resulting in improved financial performance for the company.- Implemented 7 new courses, expanding the existing portfolio of 38 courses, with 4 additional courses currently in development.- Achieved an average increase of 22% in monthly net income through strategic decision-making.- Boosted the number of signed training contracts per month by an average of 18%, contributing to overall business growth.- Enhanced management practices and communication methods, leading to a significant rise in positive reviews on Google.---Skills  - Strong communication and interpersonal skills  - Ability to manage multiple priorities effectively  - Proficient in project coordination and planning  - Highly organized with a focus on detail  - Committed to professional growth in the IT sector  ---Education          ---References  Available upon request.  --- Looking for a positive team."
75,"           ---Objective  Achievement-oriented recent graduate with a strong background in logistics and small business management. Experienced in diverse environments across five different countries, offering a solid foundation in intercultural communication. Seeking opportunities to leverage management and marketing skills in business development.---Education  Double-Degree Master's Program  , Lithuania & Belgium    ---Experience  Transport Manager  Hegelmann Transporte UAB, Kaunas  March 2018 - September 2018 (6 months)  - Worked with truck personnel to ensure effective operations.  - Managed and controlled the logistics of 25-30 trucks daily across Europe.  - Developed potential solutions for unexpected logistical challenges.  - Prepared initial documents necessary for transportation processes.  - Established and maintained contact with customers to facilitate communication.  - Negotiated delivery terms to ensure service quality and efficiency.  Afterhours Freight Dispatcher  General Freight Experts Inc., Тернопіль  June 2017 - July 2017 (1 month)  - Booked freights across the United States, managing logistical operations.  - Pre-planned and controlled the activities of 4-6 assigned drivers.  - Cultivated relationships with customers to enhance service delivery.  - Stayed informed on freight trends to optimize operations.  - Verified freight brokers' credit rating and history, mitigating financial risks.  - Negotiated and drafted commercial contracts for new and existing clients.  Store Manager  Buchach Coffee Store  December 2015 - June 2016 (6 months)  - Communicated effectively with suppliers to ensure product availability.  - Served coffee and accompanying products, adhering to service standards.  - Monitored service standards and technical condition of equipment.  - Trained staff to maintain high levels of service and operational efficiency.  ---Skills  - Intercultural communication  - Logistics management  - Customer relationship management  - Negotiation and contract drafting  - Team collaboration  ---References available upon request.  "
76,"           Professional Summary  Art Director with 5 years of extensive experience in international film production, complemented by 1.5 years as Head of Creative Team at a Ukraine-Israeli production company. Skilled in budget development, project timeline specification, and progress reporting. Committed to completing projects on schedule with a strong attention to detail and a passion for film and television.Professional Experience  Art Director  Multiple International Movies  - PLAN A (Germany, Israel): Led the Ukrainian segment, focusing on the reconstruction of destroyed streets in Nurnberg, 1945.  - Check Out (Israel): Responsible for reconstructing Turkey in the 90s, with filming conducted in Ukraine.  - Victory (Israel): Contributed to the historical musical, overseeing the reconstruction of Tel-Aviv in the 60s, including various musical stages.  - Arugam Bay (Israel): Managed an international art department team for filming in Sri Lanka.  Head of Creative Team  SE Film Production, Ukraine-Israel  - Oversaw creative direction and team management for various film projects.Education  - Graduate Project Manager Course, 2022  - Graduate Soft Skills Course, 2022  - Graduate HR-Manager Course, 2022  Professional Development  - Participant, Female Leader Summit organized by European Leadership Debate Academy for Eastern Europe countries, 2021  - Completed Agile Course, 2021  Skills  - Strong communication and teamwork abilities  - Excellent attention to detail  - Deep passion for film and television  - Budget development and project management  International Experience  Contributed to film projects in multiple countries, including Ukraine, Georgia, Sri-Lanka, and Israel."
77,"     Yerevan, Armenia      Objective  Dedicated and motivated individual seeking to leverage my extensive experience in Event Management and newly acquired knowledge in Project Management. Eager to gain hands-on experience while contributing to team success.Education  - Online Courses in Project Management Foundations  - Online Courses in Agile Project Management  - Course on Atlassian Jira  Skills  - Familiar with Agile methodologies (Scrum, Kanban)  - Strong detail-oriented and multi-tasking abilities  - Problem-solving skills  - Excellent communication skills in English (advanced level)  - Team player with experience in team management  - Willingness to learn and adapt  Experience  - Profound experience in Event Management  - Actively pursued multiple online courses to enhance Project Management knowledge  Availability  - Open to remote opportunities  - Flexible on financial expectations to prioritize gaining practical experience  "
78," Commercial Project Manager with over 15 years of experience in Contracts & Cost Control Management, materials & services supplying with a focus on engineering projects.ROSHEN  2021-2022  Confectionery Corporation  Position: Project Manager  - EPCM Project Management, new construction of Sodium Hypochlorite production (Kyiv, Ukraine)  - Negotiating & drafting Contracts & Agreements  - Cost Control & Budget forecasting  - Financing & Monthly progress payments responsibilities  - Management of contractual issues, Planning, and Reporting  SIEMENS UKRAINE  2020-2021  Engineering Company  Position: Commercial Project Manager  - Bidding process facilitation and contracts drafting  - Project performance reporting  - Recognition of IFRS and Local revenue, costs, and sales margins  - Signing Acceptance Protocols, Invoices, and Currency Exchange Certificates  - Management of contractual issues and risks  NOSTRUM OIL & GAS  Project 1: Gas Treatment Unit 1&2 / 2009-2012  Project 2: Gas Treatment Unit 3 / 2012-2020  Position: Contracts & Cost Control Manager  - Contract Management in Supply and Construction works, Subcontracting & Service Provision at EPCM Projects  - Facilitation of the bidding process and Contracts awarding  - Negotiating & drafting FIDIC Contracts & Agreements  - Preparation of Cash flow & Budget planning  - Cost Control and Quantity surveying  - Ensuring alignment of project costs with contractual agreements and follow-up on changes  - Estimation and release of Site Extra Work Orders  - Management of contractual correspondence and claims  Ready to contribute to a multinational & multidisciplinary project team with strong corporate values."
79,"             ---Professional Summary  Detail-oriented project manager with experience in maintaining comprehensive project documentation and leading teams through various stages of project development. Proficient in utilizing project management tools, particularly ClickUp, and skilled in creating BPMN diagrams. Proven ability to foster collaboration and teamwork among diverse groups.  ---Skills  - Document Management: Brief, Assumptions, WBS (WBS scheme, TTM, Calendar plan), Project charter, MVP, Requirement Matrix, Risk Register, SRS, RACI, Status Report  - Prototyping and Methodology Selection  - BPMN Diagram Creation  - Project Management Tools: ClickUp and others  - Team Building and Facilitation  ---Experience  Project Manager in IT  Epic Story | April 2021 - Present  - Oversee project workflows and ensure timely completion of project milestones.  - Facilitate regular project meetings and communicate with team members and stakeholders.  Trainer of Non-formal Education  EuroCamp and Sources of Tolerance, The Congress of National Communities of Ukraine | 2017 - 2020  - Led educational training courses for teenagers aged 11-17, fostering team development through effective teambuilding strategies.  Coordinator of Club of Tolerance  The Congress of National Communities of Ukraine | 2017 - 2019  - Organized and facilitated weekly meetings for teenagers, encouraging discussions on various topics and visits to exhibitions.  - Created illustrations and presentations using Canva and Crello.  ---Education  Project Management in IT  IT School Beetroot Academy | November 2020 - March 2021  ---  References  Available upon request.  "
80,"             Objective  Graphic designer currently pursuing a degree in Publishing and Printing at Kharkiv National University of Radio Electronics, specializing in Media Systems and Technologies, seeking to apply my skills in a dynamic environment.Education  Kharkiv National University of Radio Electronics  Bachelor’s Degree in Publishing and Printing  Expected Graduation: Courses  - Web Design, Genius.Space  - UX/UI Design, Genius.Space  Skills  - Graphic Editors: Figma, Adobe Illustrator, Adobe Photoshop, Blender, AutoCAD  - Soft Skills: Teamwork, Empathy, Enjoyment of Work, Punctuality, Discipline  Experience  Graphic Designer  - Developed a set of business cards for a tattoo artist currently working abroad.  - Collaborated on various projects including website designs, brochures, presentations, and logos.  Personal Statement  Design is not merely a job for me; it is my passion. My attention to detail and ability to structure information enable me to create clear action plans, which are crucial in UX design. I am committed to continuous learning and practice to enhance my visualization and graphic elements skills. My approach to tasks is driven by quality and discipline."
81,"             Professional Summary  Innovative designer with over 10 years of experience in the industry, specializing in UI/UX and graphic design. Proven track record of collaborating with diverse clients across Europe and the USA, including projects for large enterprises with over 250,000 employees. Skilled in leading creative teams, managing client communication, and delivering design solutions that meet both business and user needs.Experience  Senior Designer      - Led creative teams, fostering growth and mentorship among teammates.  - Managed project timelines, resource planning, and estimation to ensure successful delivery of design projects.  - Communicated directly with clients to elicit requirements and present design concepts, receiving positive feedback from diverse stakeholders.  - Developed user-centered design solutions for mobile and web applications, utilizing Agile and Scrum methodologies.  - Conducted user testing and created prototypes to refine design strategies and improve user experience.  Designer      - Worked on a variety of design projects for enterprise clients, with a focus on SaaS and e-commerce solutions.  - Collaborated in the development of information architecture and UML diagrams to support project objectives.  - Contributed to art direction and graphic design, aligning visuals with client branding and user needs.  Skills  - Team Leadership  - Project Management  - Project Estimation  - Resource Planning  - Client Communication  - Business English  - Enterprise Size Companies  - Agile and Scrum  - Art Direction  - Prototyping  - UI/UX Design  - Information Architecture  - UML Diagrams  - User Testing  - Mobile App Design  - SaaS  - Web Design  - Graphic Design  Objectives  Seeking a challenging role in a company that values a laid-back atmosphere and flexible schedules, allowing for a focus on delivering results. Eager to engage with clients, lead design teams, and manage complex mobile and web solutions, while consistently providing top-notch output that aligns with business and user needs."
82,"             ---PROFESSIONAL SUMMARY  Experienced product designer and design team lead focused on design team management. Proven track record of successfully completing more than 30 projects and managing a team of 17 designers. Skilled in planning, delegating, and reviewing design processes, with a strong background in user research, workshop facilitation, reporting, and conflict management. Involved in sales processes as a domain expert.---CORE COMPETENCIES  - Team Management  - User Research  - Workshop Facilitation  - Conflict Management  - Design Process Planning  - Solution Presentation  - Negotiation Skills  - Fluent in English  - Proficient in Written German  ---PROFESSIONAL EXPERIENCE  Design Consultant  - Successfully pitched and launched over 20 design projects as part of the sales process.  - Managed user research projects and workshops, ensuring effective collaboration and communication within teams.  - Responsible for overseeing full chain of team processes: planning, delegating, and reviewing deliverables.  Product Design Manager  - Led the design for a human resources project, ensuring alignment with business goals and user needs.  Design Manager  - Managed design processes for a crypto product, coordinating with cross-functional teams to deliver innovative solutions.  UI/UX Team Lead  - Oversaw a SaaS project, leading a team of designers to enhance user experience through effective design strategies.  Various Projects  - Contributed to smaller projects in betting, healthcare, and delivery sectors, showcasing versatility and adaptability in design.  ---EDUCATION  - Completed ""Design Management"" Course  - Completed ""People Management 3.0"" Course  ---PROFESSIONAL GOALS  Eager to leverage management experience in design delivery management roles or assist in establishing strong design teams, whether within an outsourcing company or as part of a product team."
83,"             ---Professional Summary  Design professional with over 6 years of commercial experience across startups, fintech, organizational management, crypto, insurance, and healthcare. Proven track record in web, mobile, dashboard, and web applications. Recognized for exceptional design capabilities with 8 Design Awards on Behance and an Honorable Mention in San Francisco Design Week. ---Experience  Digital Product Designer   - Present  - Contributed to the development of a digital home loan product from concept to MVP.  - Collaborated within a compact team of 3 to create a comprehensive design system from the ground up.  - Engaged with stakeholders and product managers to align on project goals and design direction.  - Conducted research to inform design decisions and validate hypotheses.  - Developed functionality maps and process flows to streamline user experience.  - Created both low and high fidelity wireframes to visualize design concepts.  - Executed UI research and design focused on user-centric solutions.  - Led a design team of 8, fostering collaboration and creativity.Mentorship and Team Development  - Mentored junior designers, enhancing their skills and professional growth.  - Conducted one-on-one meetings to identify challenges and collaborate on personal development objectives.  - Offered constructive feedback and support to team members, promoting a positive and productive environment.---Achievements  - 8 Design Awards on Behance.- Honorable Mention in San Francisco Design Week.- Featured in ""Ukrainian Design: The Very Best Of.""---Skills  - Design System Creation  - Wireframing and Prototyping  - Usability Testing and Analysis  - Cross-Functional Collaboration  - Team Leadership and Mentorship  - Communication with Stakeholders  --- Education      --- References  Available upon request."
84,"             Objective  Dedicated design professional with extensive experience in graphic and web design, seeking to contribute to a team of enthusiastic and ambitious professionals focused on developing and improving world-class products.Experience  Senior Designer / Lead Designer    - Developed thousands of comprehensive concepts and executed hundreds of successful advertising campaigns.  - Established and led the design department in the largest e-commerce company in the country.  - Automated design and development processes within the department, resulting in significant productivity increases.  - Created several successful household appliance brands.  - Founded and directed a design bureau and printing studio.  - Recruited, educated, and mentored dozens of design specialists.  Creative Designer    - Contributed as a creative designer in trading companies and advertising agencies.  - Delivered innovative designs and branding solutions across various projects.  Lead Designer    - Worked in publishing and entertainment as a leading designer, delivering high-quality design work.  - Gained extensive experience in the field of printing and product design.  Qualifications  - Proficient in graphic and web design.  - Expertise in brand identity creation and brand promotion.  - Developed key visuals and supervised the implementation of materials across online and offline channels.  - Designed and executed digital advertising campaigns.  - Strong management skills with experience in leading designer teams and departments.  - Solved business problems through customer and user experience analytics, introducing innovative product features.  - Skilled in animation, motion design, and video editing.  - High proficiency in layout design and print preparation.  Soft Skills  - Ability to identify and resolve complex product issues.  - Strong critical thinking and analytical skills.  - Effective management and interpersonal skills; adept in negotiation and stress resilience.  - High emotional intelligence and empathy.  - Strong decision-making skills with a creative and entrepreneurial mindset.  - Quick learner with a capacity for self-directed learning and cross-functionality.  References available upon request.  "
85,"             Digital 2D Artist & UI/UX Designer  Kyiv  PROFESSIONAL SUMMARY  Self-educated Digital 2D Artist and UI/UX Designer with a solid portfolio showcasing a comprehensive skill set and strong technical understanding. Proficient in current design and technology trends, seeking an opportunity to contribute to a collaborative team.EXPERIENCE  Freelance Web Designer  Dec 2018 - Nov 2019  - Designed visually appealing websites tailored to client specifications.  - Collaborated with clients to achieve design objectives and deliverables.UI/UX Designer / Illustrator  Nov 2019 - Aug 2021  - Developed user-centric designs and illustrated engaging visuals.  - Conducted user research and testing to optimize user experience.Full Stack: UI/UX Designer / Illustrator / Graphic Designer  Apr 2021 - Present  - Created comprehensive design solutions, including UI/UX designs, illustrations, and graphic materials.  - Managed multiple projects simultaneously while meeting deadlines.SKILLS  - Upper-Intermediate English  - UI/UX Design / Adaptive Design  - Illustration (Raster/Vector)  - Banner Design  - Logo Design  TOOLS  - Adobe Photoshop  - Adobe Illustrator  - Procreate App  - Figma  - Midjourney  AWARDS  - Red Dot / Brands & Communication Design (Aug 2022)  I am eager to join a dynamic company where I can further develop my skills and contribute to meaningful projects. I am dedicated to continuous learning and excellence in my work."
86," Skills:  - Color Sense  - Color Theory  - Composition  - Branding  - Advertising  - Illustration  - Web Ads  - Social Media Ads  - Digital Design  - Digital Imagery  - Digital Analytics  - E-blast  - UI/UX Design  - HTML/CSS  - Webflow  Soft Skills:  - Confidence to Work Independently and in a Team  - Creativity  - Interface Directly with Customers  Completed Courses:  - Dare IT - Product Design  - Hillel (IT School) - Basic Web Design  - Cases Media - Figma (90)  - Cases Media - Graphic Design: Composition (91)  Professional Summary:  I am a digital designer with extensive experience in marketing and proficiency in Photoshop, Illustrator, and Figma. I also have hands-on experience with Webflow, including animation and CMS. My passion lies in creating visually stunning designs that help brands grow.  With experience as both a freelance and in-house designer, I have collaborated with more than five companies from different countries and worked as a freelance designer for an American company.  I look forward to leveraging my background and experience to help develop award-winning campaigns for your clients. I thrive on collaborating with clients and colleagues, and I am excited to produce designs that engage target markets and foster growth.  I am seeking opportunities that offer long-term partnerships and the potential for professional growth. My goal is to contribute my knowledge and experience to enhance customer experiences.  Feel free to contact me."
87," Digital Graphic Designer (NDA)  July 2021 – Present  - Web content development  - Creation of logos, posters, graphics for events  - Infographics  - Development of landing pages  - Work with small architectural forms for advertising campaigns of events  - Design of presentations and training materials  - Creation of vector illustrations and mascots  Digital Graphic & UI/UX Designer (ReevArts)  July 2020 – July 2021  - 500+ designs for social media  - 250+ designs for TV  - Over 1 year of continuous UI/UX design for 2 products  - Quality control of animators' work (designers review)  - Storyboarding and creating illustrations for showreels and promos  Technical Graphic Designer (Polygraphy)  April 2019 – July 2020  - Development of designs, taking into account customer requirements and preparation for printing  - Development of special layouts and their printing on T-shirts and sweatshirts  - Preparing layouts for stickers, creating clipping paths  - Control of the work of in-house designers  - Control of designs received from customers  - Quality control of the result of printing and cutting  - Development of technological maps  Graphic & Web (UI/UX) Designer (Freelance Design; Self-employed)  April 2018 – March 2019  - Create final art and files to be given to developers and animators  - Work closely with both editors and project managers  - Create final art for presentations and assist in creative presentations  - Website and interface designs  - Prototyping and templating  Assistant Manager (АМО1, ООО)  October 2013 – June 2014  - Search for potential clients  - Communication with clients and work with their objections  - Search for tenders in the areas of the company's activities  - Analysis of the need to introduce the production of new parts and the relevance of their demand in the market  - Working with drawings  - Fulfillment of personal orders of the head  - Analysis of competitors' market and price monitoring  - Maintaining the site of the enterprise  "
88,"           Objective  Dynamic junior UI/UX designer with a passion for creating seamless and visually captivating user experiences. Seeking a full-time position in a product company that focuses on creating digital products for everyday life and business.Education  - Completed a 6-month UI/UX design course  - Additional coursework in HTML/CSS  Projects  Real Estate Website Redesign  - Redesigned a website for a real estate company located in Destin, Florida.  - Conducted research and analysis of competitors to identify successful design solutions.  - Developed 3 user personas and a customer journey map based on social media studies and customer feedback.  - Focused on creating a modern design to enhance user-friendliness and attract potential customers.Travel Website Development  - Developed a web service to help users find and book excursions, tours, and entertainment globally.  - Conducted competitor analysis and user testing to inform design decisions.  - Created features including:    - Search functionality with filters    - Category-based excursion selection    - User registration via email, Google, or Facebook    - Online payment integration    - Announcement creation form for tour guides  - Produced wireframes, a UI kit, and an adaptive design to ensure usability across devices.Skills  - Proficient in design software: Figma, Photoshop, Illustrator  - Skilled in producing interactive prototypes, wireframes, and mockups  - Strong understanding of design principles and user-centered methodologies  - Quick learner, responsible, and capable of handling complex tasks  - Collaborative team player dedicated to continuous learning and adapting design strategies to meet evolving user needs.  References  Available upon request."
89,"             ---Professional Summary  Enthusiastic UX/UI designer with a strong focus on creating user-centered digital experiences. Passionate about innovative design solutions and collaborative work within cross-functional teams. Seeking opportunities that prioritize quality, user satisfaction, and thoughtful design processes.---Experience  UX/UI Designer  f.Lover Mobile App     – Present  - Redesigned the user interface of the Indian Cafe section within the mobile application, enhancing the user experience and engagement.- Optimized the mobile application for improved performance and user satisfaction.- Developed web services to support the app's functionality and user interactions.- Created a landing page for promotions and user acquisition.---Skills  - User Interface Design  - User Experience Research  - Mobile Application Development  - Web Services Integration  - Landing Page Design  ---  Education        ---  Certifications        ---  Portfolio  Available upon request.  "
90,"           ---PROFESSIONAL SUMMARY  Results-driven professional with 7 years of experience in the FMCG sector, specializing in IT project management, supply chain optimization, and staff development. Proven track record of implementing cost-saving initiatives and training programs that enhance organizational efficiency.---PROJECTS  - Proposed and implemented two IT projects: ""Bill of materials process automatization"" and ""MRP in SAP"". Resulted in $34K annual savings.  - Proposed and executed three supply projects: ""ABC and XYZ methodology for inventory stocks analysis,"" ""New supplier implementation,"" and ""Implementation of a new glue using scheme,"" resulting in $163K annual savings.- Executed three IT projects and seven business process improvements, including ""SAP GUI Automation"" and ""Automation of data People cycle consolidation,"" optimizing by 2 FTEs.- Managed a students’ probation scheme, achieving a result of 72.- Developed and conducted training sessions, successfully training over 600 individuals.---WORK EXPERIENCE  FMCG Company     – Present  - Strong understanding of the web development process.- Basic knowledge of HTML/CSS/JS.- Proficient in project management processes.- Created technical specifications and project documentation.- Experienced in risk management and crisis management.- Skilled in people management.- Negotiated with suppliers and subcontractors, fostering long-term relationships.- Planned budgets and timelines, implemented cost reduction strategies.- Created and controlled business processes along with corresponding documentation.- Conducted remote recruitment.- Supported staff performance reviews and personal development processes.- Prepared presentations for clients and training materials for staff.- Managed business correspondence.---LANGUAGES  - Polish – Elementary level  ---INTERESTS  - Engaging in interesting and challenging projects.  - Working in a multinational environment.  - Exploring opportunities for personal and professional development.  - Seeking a permanent position.  - Fostering a friendly atmosphere.  "
91,"             ---Objective  Seeking new challenges and opportunities within a team that shares common values, product vision, positive thinking, and a strong corporate culture.---Work Experience  PR Team Manager      - Developed strategic plans to guide PR initiatives.  - Managed daily operations and ensured effective execution of PR strategies.  - Organized and moderated brainstorming sessions and meetings to facilitate team collaboration.  - Communicated regularly with partners to maintain strong relationships.  - Planned activities from inception to completion, aligning with goals and target audience.  - Delegated tasks to team members and tracked their results.  - Monitored the timely implementation of tasks to ensure project success.Project Manager  Hack-A-Train – Hackathon on the train from Mariupol to Lviv with Garage48    - Coordinated the booking and branding of the train for the event.  - Managed local marketing efforts and facilitated application processing.  - Organized catering services for participants.  - Oversaw logistics to ensure smooth operation throughout the event.  - Provided stationery and printed materials necessary for the hackathon.  - Controlled all processes during the 30-hour trip to maintain event flow.Project Manager  Hack For Locals – Hackathon for community development with Garage48    - Led local marketing initiatives and managed the application process.  - Engaged companies and government agencies to participate in the event.  - Identified and communicated with potential partners for collaboration.  - Sourced prizes for event winners to encourage participation.  - Translated event texts and marketing messages from English to Ukrainian.  - Provided on-site assistance during the event to ensure a positive experience.  ---Skills  - Strategic Planning  - Operational Management  - Event Coordination  - Partner Communication  - Task Delegation  - Logistics Management  - Marketing Strategy  - Bilingual: English and Ukrainian  ---Education        ---  References  Available upon request.  "
92,"             ---Professional Summary  Dynamic and detail-oriented Project Coordinator with experience in managing large-scale projects within a global FMCG company. Proven ability to effectively coordinate teams and streamline processes to meet organizational goals. Strong background in collaboration with cross-functional teams to ensure project success and adherence to timelines.---Experience  Project Coordinator, Ukraine & Eurasia     – Present  - Full coordination and control of Global Point of Sale project implementation in Ukraine & Eurasia.  - Led a team of 6 specialists across the region to ensure project milestones are met.  - Managed the coordination of Point Of Sales Materials and oversaw the budgeting process across multiple markets while ensuring alignment with Marketing Leaders.  - Prepared briefs and communicated with agencies for the production and logistics of trade equipment and Point Of Sales Materials.  - Controlled the procurement process of Point Of Sales Materials and trade equipment through all stages, including briefing, budgeting, production, warehousing, and placement in retail locations.  - Coordinated initiatives and targeted interventions to achieve Global KPIs.  - Supported the effective implementation of Global goals and priorities in collaboration with third-party vendors.  - Facilitated communication between Marketing and Trade Marketing to streamline the delivery of materials for New Product Development point of sale materials and trade equipment production.  - Reviewed and confirmed cost estimation for design services for Ukraine and Eurasia markets.  - Verified and confirmed documents and payments between the company and third-party vendors.  ---Education  IT Project Management Course  Projector -   ---Skills  - Project Coordination  - Team Leadership  - Budget Management  - Procurement Management  - Stakeholder Communication  - Cross-Functional Collaboration  - Logistics Coordination  - Cost Estimation  - Documentation Management  ---Professional Development  - Seeking opportunities to further develop project management skills in the IT sector and contribute to innovative team environments.  "
93,"             Professional Summary  Results-driven professional with over 5 years of experience in the logistics and transportation industry. Proven track record of meeting sales goals for 5 consecutive years, receiving numerous positive client reviews, and being recognized as the best sales representative on multiple occasions. Demonstrates strong problem-solving abilities and currently oversee the rating board for the company. Seeking to transition into the IT sector to leverage project management skills and a commitment to delivering high-quality service.Experience  Sales and Project Coordinator  Autotransport Company, Florida, USA (Remote Office in Dnipro)   - Present  - Handled logistics and transportation requests, treating each as a unique project from inception to completion.  - Ensured alignment with client and driver needs, focusing on deadlines, pricing, contract terms, and service specifics.  - Achieved the title of best sales of the day multiple times and maintained sales goals for 5 years consecutively.  - Managed an additional project focused on heavy-load transportation, showcasing versatility and capability in handling specialized requirements.  - Received consistent positive feedback from customers, reflecting a high level of service and customer satisfaction.  - Utilized CRM, Trello, and DocuSign for daily operations and task management; experienced with Confluence and Jira as well.  Education  PM Courses, Hillel IT School   – Completed with excellent scores.  Skills  - Project Management  - Sales Strategy and Execution  - Client Relationship Management  - Problem Solving  - Time Management  - CRM Software Proficiency  - Collaboration Tools (Trello, Confluence, Jira)  References  Available upon request.  "
94," Worley  Senior Project Engineer  03/2021 - 05/2022  Responsibilities:  • Managing project deliverables and interfaces to ensure the project is executed in a safe, efficient, cost-effective, and timely manner  • Project communications and identifying key issues requiring action/response  • Review and finalization of project procedures in consultation with key project personnel  • Responsible for ensuring the project team is contractually aware of their respective responsibilities, scopes of work, and deliverables  • Responsible for liaising with the Cost Controller and Planner to provide a weekly analysis of project status  Achievements:  • Construction & commissioning of new laboratory systems (Public Address General Alarm, Access Control System, Close Circuit Television), fire alarm, firefighting, HVAC, power distribution  • 12 server cabinets installation in Data Centre for information replication  • Risk elimination by replacing laboratory in a safe area  UBOC  Project Engineering Lead  09/2020 - 03/2021  Responsibilities:  • Monitor the overall progress of engineering work from engineering contractors and address problem areas as they arise  • Management of engineering interfaces and transfer of information between the engineering contractors  • Oversight of quality of the engineering work from the contractor in accordance with international standards  Achievements:  • Establishment of engineering processes & procedures across departments: PSCM, Quality Team, Construction & Commissioning  • Development and integration of Engineering Execution Plan  British Petroleum  Project Lead  09/2009 - 06/2020  Responsibilities:  • Fulfil the requirements defined in Project Procedure and associated guides and templates  • Provide input to establish the region annual activity plan  • Manage budgets for Project & Modification expenditure based on assigned activity set  • Oversee the assigned contractor’s resources to deliver the assigned projects or activities  • Performance manage delivery by contractors by using global benchmark, metrics, and KPIs  • Manage internal stakeholders and interfaces  Achievements:  • Achieved $750M revenue increasing efficiency of the plant  • Increased gas production  • Elimination of safety and business risks, production increase gaining $2.5M per annum  • Delivery of various oil & gas production optimization projects  "
